bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.388355,,,,,,,,,,,,,fa99b09a-e6b2-46fb-a5aa-54dcde76c155,2441,,"[120.0, 0.1]",3825658,64,,,,,1.6639327,,Right Foot,,,"[116.6, 36.5]",,High Pass,True,36.558445,Incomplete,,,,,,Inswinging,,Corner,2,From Corner,Gabriel Fernández Arenas,6384.0,Right Center Midfield,132,Atlético Madrid,212,['89255afe-c6f9-4cf3-bbf0-4baf8d2c23e8'],49,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:49.558,Pass,
,,,,,,,,,,,,,,,5.065744,,,,,,,,,,,,,5412a650-b889-40d9-be8a-d54bac74d4ce,2443,,"[20.8, 42.1]",3825658,64,,,,,0.35495713,,Head,,,"[46.7, 51.7]",,High Pass,,27.621912,Incomplete,,Carlos Castro García,24173.0,,,,,Recovery,2,From Corner,Jonathan Rodríguez Menéndez,6581.0,Left Wing,132,Atlético Madrid,212,"['c15f98ff-5340-4603-aea0-1c4cf5285870', 'e1425b3b-ce11-472a-86dd-d4ba7907b0ad']",53,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:19:53.154,Pass,
,,,,,,,,,,,,,,,1.659074,,,,,,,,,,,,,e1425b3b-ce11-472a-86dd-d4ba7907b0ad,2446,,"[73.4, 28.4]",3825658,64,,,,,-0.47857186,,Right Foot,,,"[86.7, 21.5]",,High Pass,,14.983324,Incomplete,,Jackson Arley Martínez Valencia,17622.0,,,,,Recovery,2,From Corner,Jesús Gámez Duarte,4788.0,Right Back,132,Atlético Madrid,212,"['5412a650-b889-40d9-be8a-d54bac74d4ce', '5e6633e1-1258-40d2-82c9-6d527b54b377', 'ace45006-083e-4647-8321-06136e879f60']",58,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:58.220,Pass,
,,,,,,,,,,,,,,,1.177313,,,,,,,,,,,,,79dd9408-a467-4d0b-914a-2b0185bdacbf,2451,,"[42.6, 65.3]",3825658,65,,,,,0.36676517,,Right Foot,,,"[59.0, 71.6]",,Ground Pass,,17.568438,Incomplete,,Alen Halilović,6926.0,,,,,,2,From Corner,Alberto Lora Ramos,26633.0,Right Back,132,Atlético Madrid,212,"['80d6a4ce-5295-46f2-9f45-1ea8ebb90b9c', '972f8c87-23b3-4285-af71-51e5d6b81d20', 'e613097d-89e4-4de1-9334-12e038fed77f']",1,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:20:01.278,Pass,True
,,,,,,,,,,,,,,,1.379877,,,,,,,,,,,,,02c1176c-ff67-4c4b-b4d9-3b134dafc794,2455,,"[80.7, 7.0]",3825658,65,,,,,0.8345389,,Left Foot,,,"[95.2, 23.0]",,Ground Pass,,21.592823,,,Jackson Arley Martínez Valencia,17622.0,,,,,,2,From Corner,Filipe Luís Kasmirski,6320.0,Left Back,132,Atlético Madrid,212,['4c40c67e-60f8-42f9-8a8b-fdef6203f4dd'],6,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:20:06.168,Pass,
,,,,,,,,,,,,,,,1.390864,,,,,,,,,,,,,60b43f28-93bb-493b-86ac-cdda09597155,2458,,"[92.9, 23.9]",3825658,65,,,,,1.2847449,,Right Foot,,,"[101.9, 54.5]",,Ground Pass,,31.896082,,,Antoine Griezmann,5487.0,,,,,,2,From Corner,Jackson Arley Martínez Valencia,17622.0,Center Forward,132,Atlético Madrid,212,['e9fcae24-c3c4-4275-98fe-37d897f051a6'],8,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:20:08.749,Pass,
,,,,,,,,,,,,,,,2.048762,,,,,,,,,,,,,0d7609ea-2e5d-4e0c-a796-882fe3f47a6d,2461,,"[99.2, 52.1]",3825658,65,,,,,-0.99525845,,Left Foot,,,"[110.1, 35.3]",,High Pass,,20.026234,Incomplete,,Ángel Martín Correa,6377.0,,,,,,2,From Corner,Antoine Griezmann,5487.0,Right Midfield,132,Atlético Madrid,212,"['454c40be-af59-43c2-8eba-65c1f9d4ad81', 'ba1d9c97-c52b-4930-acfd-47a038b72b55']",10,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:20:10.203,Pass,
,,,,,,,,,,,,,,,7.085932,,,,,,,,,,,,,425fa756-02bb-4f8c-9ff6-1a78e373cf20,2464,,"[13.7, 42.2]",3825658,65,,True,,,0.04739531,,Drop Kick,,,"[89.6, 45.8]",,High Pass,,75.98533,Incomplete,,Carlos Castro García,24173.0,,,,,,2,From Corner,Iván Cuéllar Sacristán,6610.0,Goalkeeper,132,Atlético Madrid,212,"['2fe9778d-1954-4b1f-b2f1-4449a64058d5', '935bf06b-f361-49a5-b4d8-44a7bc6332f8']",24,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:20:24.804,Pass,
,,,,,,,,,,,,,,,2.69391,,,,,,,,,,,,,2fe9778d-1954-4b1f-b2f1-4449a64058d5,2466,,"[30.5, 34.3]",3825658,65,,,,,-1.3038212,,Head,,,"[33.7, 22.6]",,High Pass,,12.129716,,,Tiago Cardoso Mendes,20669.0,,,,,Recovery,2,From Corner,Stefan Savić,6376.0,Right Center Back,132,Atlético Madrid,212,"['425fa756-02bb-4f8c-9ff6-1a78e373cf20', 'af379e34-7f84-4b0b-a49e-7fb1f3e04634']",31,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:20:31.890,Pass,
,,,,,,,,,,,,,,,2.24657,,,,,,,,,,,,,18b4f58c-7338-4783-b833-3d7f2548d58e,2468,,"[33.0, 23.9]",3825658,65,,,,,1.3744937,,Head,,,"[36.5, 41.5]",,High Pass,,17.944637,,,Antoine Griezmann,5487.0,,,,,,2,From Corner,Tiago Cardoso Mendes,20669.0,Center Defensive Midfield,132,Atlético Madrid,212,['5861b992-a08f-4b80-b78e-20592acdcfc6'],34,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:20:34.584,Pass,
