50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.971447,,,,,,,,,,,,,4c2a0e64-714b-4911-ba5c-53029784fc77,48,,"[36.2, 52.0]",3825713,0,,,,,-0.3503142,,Right Foot,,,"[46.6, 48.2]",Ground Pass,,11.072489,,,,,Daniel Parejo Muñoz,6595.0,,,,,,,1,From Throw In,Aderllan Leandro de Jesus Santos,27482.0,Center Back,4,Valencia,207,['eccbc55a-9706-48f5-8a24-f377a9eae163'],58,,,,,,,,,,,,,,,,Valencia,207,00:00:58.455,Pass,
,,,,,,,,,,,,,,,1.486102,,,,,,,,,,,,,f496622f-2efe-4628-a38c-bfd5d183a060,51,,"[46.6, 48.2]",3825713,0,,,,,2.000407,,Right Foot,,,"[36.2, 70.9]",Ground Pass,,24.96898,,,,,Rúben Miguel Nunes Vezo,6592.0,,,,,,,1,From Throw In,Daniel Parejo Muñoz,6595.0,Center Defensive Midfield,4,Valencia,207,['5fe3e797-7b3e-47a9-b6bc-6cdd9805153e'],59,,,,,,,,,,,,,,,,Valencia,207,00:00:59.467,Pass,
,,,,,,,,,,,,,,,2.11688,,,,,,,,,,,,,67683133-bd2a-4ed0-b2a0-3a4aaa13d6a2,57,,"[27.7, 60.8]",3825713,1,,,,,-1.5094079,,Right Foot,,,"[30.3, 18.5]",Ground Pass,,42.37983,,,,,Aymen Abdennour,4406.0,,,True,,,Free Kick,1,From Free Kick,Rúben Miguel Nunes Vezo,6592.0,Right Center Back,5,Valencia,207,['501534a3-f922-4875-960c-03ce5934338b'],20,,,,,,,,,,,,,,,,Valencia,207,00:01:20.945,Pass,
,,,,,,,,,,,,,,,1.678301,,,,,,,,,,,,,9116a6ae-a886-4b48-afc6-4032be13f399,60,,"[34.7, 19.1]",3825713,1,,,,,1.9621066,,Left Foot,,,"[28.8, 33.4]",Ground Pass,,15.469324,,,,,Aderllan Leandro de Jesus Santos,27482.0,,,,,,,1,From Free Kick,Aymen Abdennour,4406.0,Left Center Back,5,Valencia,207,['5a2887ca-82c3-4ac6-9b7c-dd4135c667f9'],26,,,,,,,,,,,,,,,,Valencia,207,00:01:26.072,Pass,
,,,,,,,,,,,,,,,1.142686,,,,,,,,,,,,,74978dc7-adfc-4e75-bee6-fb559f1e4eef,63,,"[33.6, 45.9]",3825713,1,,,,,1.4517044,,Right Foot,,,"[35.0, 57.6]",Ground Pass,,11.783463,,,,,Rúben Miguel Nunes Vezo,6592.0,,,,,,,1,From Free Kick,Aderllan Leandro de Jesus Santos,27482.0,Center Back,5,Valencia,207,['3a86889c-236b-44c3-bdaa-421e9dbed7fa'],29,,,,,,,,,,,,,,,,Valencia,207,00:01:29.493,Pass,
,,,,,,,,,,,,,,,2.197775,,,,,,,,,,,,,22132149-41e1-4912-808e-844fef369d00,66,,"[35.9, 57.9]",3825713,1,,,,,-2.6028984,,Right Foot,,,"[10.3, 42.6]",Ground Pass,,29.823648,,,,,Jaume Doménech Sánchez,6898.0,,,,,,,1,From Free Kick,Rúben Miguel Nunes Vezo,6592.0,Right Center Back,5,Valencia,207,['e9b88fbd-0316-46ce-bad8-8ef9523e051a'],32,,,,,,,,,,,,,,,,Valencia,207,00:01:32.417,Pass,
,,,,,,,,,,,,,,,3.687405,,,,,,,,,,,,,6e153d33-a557-4aa3-bec1-0c96cdd53b4c,70,,"[9.6, 44.2]",3825713,1,,,,,0.28069147,,Right Foot,,,"[70.3, 61.7]",High Pass,,63.172302,,,,,Álvaro Negredo Sánchez,20542.0,,,,,,,1,From Free Kick,Jaume Doménech Sánchez,6898.0,Goalkeeper,5,Valencia,207,"['42b3136c-8565-4f6c-ae05-5b55f484b7bb', '42d8a519-7a6f-48d1-87c7-35a3685ab1ca']",35,,,,,,,,,,,,,,,,Valencia,207,00:01:35.929,Pass,True
,,,,,,,,,,,,,,,1.396342,,,,,,,,,,,,,b3479e1c-7a95-4e59-85e7-302dc7d5717b,74,,"[69.9, 61.7]",3825713,1,,,,,2.815234,,Left Foot,,,"[63.4, 63.9]",Ground Pass,,6.8622155,,,,,Antonio Barragán Fernández,6663.0,,,,,,,1,From Free Kick,Álvaro Negredo Sánchez,20542.0,Left Center Forward,5,Valencia,207,['37a3c4fc-7ea3-4223-b582-332f7f3e22a4'],39,,,,,,,,,,,,,,,,Valencia,207,00:01:39.666,Pass,
,,,,,,,,,,,,,,,2.712808,,,,,,,,,,,,,8244a5c7-32cf-4734-955f-6832f986dd07,77,,"[64.1, 63.5]",3825713,1,,,,,0.5745051,,Right Foot,,,"[84.8, 76.9]",High Pass,,24.65867,,,,,Álvaro Negredo Sánchez,20542.0,,,,,,,1,From Free Kick,Antonio Barragán Fernández,6663.0,Right Wing Back,5,Valencia,207,"['6ba8102e-dd47-45b0-93bd-cf898e8d27bd', 'bcbe16cc-b68c-4d6f-907a-40e62e2f6223']",41,,,,,,,,,,,,,,,,Valencia,207,00:01:41.062,Pass,True
,,,,,,,,,,,,,,,1.147088,,,,,,,,,,,,,5f7f6d8f-39cf-4f09-b827-ad5181d07881,81,,"[85.3, 75.9]",3825713,1,,,,,-1.7553391,,Left Foot,,,"[83.9, 68.4]",Low Pass,,7.6295476,,,,,Francisco Alcácer García,6402.0,,,,,,,1,From Free Kick,Álvaro Negredo Sánchez,20542.0,Left Center Forward,5,Valencia,207,['f4752d95-bee4-41cd-a949-af8294e049bf'],44,,,,,,,,,,,,,,,,Valencia,207,00:01:44.530,Pass,
