50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.377111,,,,,,,,,,,,d7909106-ebd0-45b7-bf24-6d436a43f11a,53,,"[14.9, 57.9]",3825866,0,,,,,-1.906574,,Right Foot,,,"[9.7, 43.0]",Ground Pass,,15.781318,,,,Raúl Lizoáin Cruz,7905.0,,,,,,,1,From Free Kick,Aythami Artiles Oliva,8440.0,Right Center Back,4,Las Palmas,208,['b27cc8bb-09b6-4f55-8a9e-35d0eefc6d57'],51,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:51.598,Pass,
,,,,,,,,,,,,,,,,1.425689,,,,,,,,,,,,67134cbc-27e8-4a38-a8e7-d77ea4fac93f,57,,"[10.7, 37.3]",3825866,0,,,,,-1.6276745,,Left Foot,,,"[9.1, 9.2]",Ground Pass,,28.145515,,,,Pedro Bigas Rigo,7907.0,,,,,,,1,From Free Kick,Raúl Lizoáin Cruz,7905.0,Goalkeeper,4,Las Palmas,208,"['8f699c93-1319-4804-aa89-98c3bfb648d9', 'c3b93866-284b-457c-a3cd-f66327937329']",55,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:55.124,Pass,True
,,,,,,,,,,,,,,,,2.323059,,,,,,,,,,,,57645b1a-d8d0-4a8a-9eba-5b166fee8871,60,,"[14.2, 6.6]",3825866,0,,,,,0.43535328,,Left Foot,,,"[65.8, 30.6]",High Pass,,56.908348,,,,Willian José da Silva,6721.0,,,,,,,1,From Free Kick,Pedro Bigas Rigo,7907.0,Left Center Back,4,Las Palmas,208,['b3389600-cd04-40be-b989-e78d7d0173af'],58,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:58.164,Pass,
,,,,,,,,,,,,,,,,1.018721,,,,,,,,,,,,71890845-cc6a-4a47-add9-2891cf951a5c,63,,"[64.4, 30.6]",3825866,1,,,,True,-2.177629,,,,,"[56.0, 18.5]",Low Pass,,14.729901,,,,Jonathan Viera Ramos,10755.0,,,,,,,1,From Free Kick,Willian José da Silva,6721.0,Center Forward,4,Las Palmas,208,"['5115d087-29cb-49dd-bec3-ba840bb97e22', '850d1ab5-8537-475e-b33a-5e371de0bae6']",0,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:00.839,Pass,True
,,,,,,,,,,,,,,,,1.415174,,,,,,,,,,,,6afd167e-c6ad-4074-87b6-4074cdd290f7,67,,"[57.1, 20.3]",3825866,1,,,,,1.5707964,,Left Foot,,,"[57.1, 43.8]",High Pass,,23.5,,,,Juan Carlos Valerón Santana,15602.0,,,,,,,1,From Free Kick,Jonathan Viera Ramos,10755.0,Left Wing,4,Las Palmas,208,"['53e07f31-8106-4a09-8993-57042c3bb67a', 'f6296298-cd96-413c-9146-c770a0e61850']",3,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:03.003,Pass,True
,,,,,,,,,,,,,,,,1.314298,,,,,,,,,,,,3e4dea2c-b94c-446d-b9c4-25a3abc7859f,69,,"[57.4, 43.8]",3825866,1,,,,,-0.74837804,,Head,,,"[64.4, 37.3]",High Pass,,9.552486,,,,Jonathan Viera Ramos,10755.0,,,,,,,1,From Free Kick,Juan Carlos Valerón Santana,15602.0,Center Attacking Midfield,4,Las Palmas,208,['5d6b22e7-0022-4c63-8536-d0ff2842538d'],4,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:04.666,Pass,
,,,,,,,,,,,,,,,,1.431493,,,,,,,,,,,,208bdcfb-add9-42da-9122-ca5731ae01e5,73,,"[51.2, 43.9]",3825866,1,,,,,3.10568,,Right Foot,,,"[34.5, 44.5]",Ground Pass,,16.710775,,,,Gorka Elustondo Urkola,12191.0,,,,,,Recovery,1,Regular Play,Mikel San José Domínguez,6389.0,Right Defensive Midfield,5,Athletic Club,215,['ae3a4a9b-814b-4e71-9ec4-d995a310451c'],7,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:07.045,Pass,
,,,,,,,,,,,,,,,,2.147577,,,,,,,,,,,,21233215-b160-4e7b-95a5-ee1e63993f0b,76,,"[32.5, 39.6]",3825866,1,,,,,3.1415927,,Left Foot,,,"[11.2, 39.6]",Ground Pass,,21.3,,,,Gorka Iraizoz Moreno,6576.0,,,,,,,1,Regular Play,Gorka Elustondo Urkola,12191.0,Left Center Back,5,Athletic Club,215,['fea8f4fa-e802-45bb-81f3-3b38d03886f8'],10,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:10.860,Pass,
,,,,,,,,,,,,,,,,3.398978,,,,,,,,,,,,74eb0b21-a4d8-499b-91ad-afebe7c3eede,78,,"[10.7, 40.0]",3825866,1,,,,,-0.13874958,,Right Foot,,,"[73.0, 31.3]",High Pass,,62.90453,,Incomplete,,,,,,,,,,1,Regular Play,Gorka Iraizoz Moreno,6576.0,Goalkeeper,5,Athletic Club,215,['af94e099-5d2e-4f40-b364-33102ce20968'],13,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:13.008,Pass,
,,,,,,,,,,,,,,,,0.979188,,,,,,,,,,,,af94e099-5d2e-4f40-b364-33102ce20968,79,,"[47.1, 48.8]",3825866,1,,,,,0.26060238,,Other,,,"[56.1, 51.2]",Low Pass,,9.314505,,,,Juan Carlos Valerón Santana,15602.0,,,,,,Recovery,1,Regular Play,Aythami Artiles Oliva,8440.0,Right Center Back,5,Athletic Club,215,"['08f2bfc5-fd8c-43c5-8cbb-88e6ff69d466', '74eb0b21-a4d8-499b-91ad-afebe7c3eede']",16,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:16.407,Pass,
