50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,"[113.6, 66.9]",,,,,,,,,,,,0.82838,,,,,,,,,,,c38931f3-b66d-430c-88b2-a757e4356af2,1959,,"[107.4, 66.5]",3825729,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Mario Gaspar Pérez Martínez,6772.0,Right Back,106,Villarreal,222,"['42c61ea2-04fe-4892-b922-72643221cd5e', '523ffe1a-9f95-4ca6-8778-ee797f4126f0', '5fb18891-0e7e-4335-bece-4b4f5acb5f2d']",47,,,,,,,,,,,,,,,,,,Villarreal,222,00:03:47.358,Carry,True
,,,,,,,"[86.0, 53.6]",,,,,,,,,,,,0.660789,,,,,,,,,,,11b52566-cc53-41bd-a821-6deb1af9ead9,1968,,"[86.0, 53.6]",3825729,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Manuel Trigueros Muñoz,6771.0,Right Defensive Midfield,106,Villarreal,222,"['546f354c-dc4d-4f39-8187-818b0bf442e9', 'c4c7afe2-1df4-4976-aa55-736c2e5a8b33']",55,,,,,,,,,,,,,,,,,,Villarreal,222,00:03:55.003,Carry,
,,,,,,,"[31.9, 47.7]",,,,,,,,,,,,1.345414,,,,,,,,,,,4c26f60c-2076-4db5-8a6a-b53b63726472,1972,,"[30.2, 46.6]",3825729,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Carlos Carmona Bonet,23848.0,Right Wing,107,Sporting Gijón,1041,"['67f03ff9-9120-4b4d-9d1a-44c824a70465', '74d18548-2b66-4f0a-8c4f-463044e44c6e']",57,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:03:57.743,Carry,
,,,,,,,"[78.8, 76.5]",,,,,,,,,,,,3.878968,,,,,,,,,,,37563f13-4e24-44be-918d-9f8d7aadfda0,1976,,"[52.2, 74.0]",3825729,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alen Halilović,6926.0,Center Attacking Midfield,107,Sporting Gijón,1041,"['8c8a2181-9af8-49fd-b278-da73cfadabc8', 'c9b7a4ea-367c-4a1a-a17e-de74c290fd7b', 'f10f85c6-b5c6-49bb-a902-1819b44fb036']",2,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:04:02.060,Carry,True
,,,,,,,"[79.8, 77.6]",,,,,,,,,,,,0.603222,,,,,,,,,,,02c527c4-2772-49da-82c9-fc29a3e8a2e9,1981,,"[79.6, 77.6]",3825729,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alen Halilović,6926.0,Center Attacking Midfield,108,Sporting Gijón,1041,"['2cb0fbe3-c507-4911-a47b-b9cab5433f13', '87eac036-8167-4282-90f9-a9678ff97e57']",25,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:04:25.350,Carry,
,,,,,,,"[91.4, 76.7]",,,,,,,,,,,,5.859695,,,,,,,,,,,5b8f62fb-4c91-4c14-808c-540e9e5a3c78,1984,,"[98.6, 79.7]",3825729,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alberto Lora Ramos,26633.0,Right Back,108,Sporting Gijón,1041,"['ea4fafc8-c2d9-4af7-a985-44c418519e75', 'f529a309-444a-4793-a2c0-181f08b065a5']",26,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:04:26.720,Carry,
,,,,,,,"[76.8, 75.2]",,,,,,,,,,,,2.214433,,,,,,,,,,,994e3512-9064-4f43-a12a-c7e3c30481be,1987,,"[77.7, 75.0]",3825729,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Luis Hernández Rodríguez,6561.0,Right Center Back,108,Sporting Gijón,1041,"['51b54557-5840-4ae4-a75e-99bd73feeca3', '89113a15-c6de-4e21-b0d5-0117f274a88c', 'e1e1ee79-dc22-41a7-9a8e-b6c24f6c0c4f']",34,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:04:34.266,Carry,True
,,,,,,,"[92.4, 74.4]",,,,,,,,,,,,0.821167,,,,,,,,,,,e5364fb1-f903-408b-ba5d-b794081669d2,1991,,"[92.2, 75.0]",3825729,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alen Halilović,6926.0,Center Attacking Midfield,108,Sporting Gijón,1041,"['903f5e7a-0677-4471-b7a9-e185874007ed', 'cdfe65b7-d453-44b6-9fc2-6bbc9e139116']",37,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:04:37.596,Carry,
,,,,,,,"[111.5, 78.9]",,,,,,,,,,,,1.330609,,,,,,,,,,,4651d790-59d3-46a5-845b-dbf2c998c021,1994,,"[105.5, 78.9]",3825729,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Carlos Carmona Bonet,23848.0,Right Wing,108,Sporting Gijón,1041,"['6a111721-b8ac-4868-9ee3-aabcef38320a', '8e2f205a-258d-4093-8a7c-79aff9127416']",40,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:04:40.417,Carry,
,,,,,,,"[49.5, 17.7]",,,,,,,,,,,,4.422532,,,,,,,,,,,f8327496-7824-46e9-83c5-e1e687eaace9,1998,,"[27.9, 8.5]",3825729,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Denis Suárez Fernández,6609.0,Left Midfield,109,Villarreal,222,"['0aa473e4-ea8b-4a82-a092-5a01570c4ad5', 'eda947c1-295e-4d99-9fb9-0bc998273b8f']",44,,,,,,,,,,,,,,,,,,Villarreal,222,00:04:44.247,Carry,
,,,,,,,"[69.4, 72.7]",,,,,,,,,,,,1.312917,,,,,,,,,,,5e622160-23cf-41a8-85aa-631cf3a71160,2005,,"[70.0, 71.6]",3825729,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Roberto Soldado Rillo,26009.0,Right Center Forward,109,Villarreal,222,"['85965026-e06b-40eb-a9aa-7f1f4600c4cb', 'e831b078-855f-44c5-89f7-fd9b39116b07']",53,,,,,,,,,,,,,,,,,,Villarreal,222,00:04:53.142,Carry,
,,,,,,,"[109.5, 28.0]",,,,,,,,,,,,2.574364,,,,,,,,,,,08cfc8a5-b2bd-418f-aa2a-1f04e2037783,2008,,"[104.7, 19.8]",3825729,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Cédric Bakambu,6862.0,Left Center Forward,109,Villarreal,222,"['3f077525-880f-43b0-9889-4d54449323dd', '5b2fbf2f-40a0-4ef8-860f-3f3f55c589ab']",57,,,,,,,,,,,,,,,,,,Villarreal,222,00:04:57.788,Carry,
,,,,,,,"[36.6, 60.3]",,,,,,,,,,,,0.46822,,,,,,,,,,,95ca3a4d-32ce-4559-a6c5-0aadc1d65836,2015,,"[36.6, 60.3]",3825729,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Luis Hernández Rodríguez,6561.0,Right Center Back,110,Sporting Gijón,1041,"['3651c495-1145-4842-9d84-86e12d4c03f6', '9aa168e4-f786-41ad-b60f-b1b0e1ffd8be']",1,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:06:01.117,Carry,
,,,,,,,"[56.1, 38.7]",,,,,,,,,,,,2.658109,,,,,,,,,,,9245ae40-00ed-4836-b0e3-a8fd64244691,2018,,"[49.7, 54.3]",3825729,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Omar Mascarell González,18398.0,Left Defensive Midfield,110,Sporting Gijón,1041,"['5a4777bf-025c-482c-8e8c-12cd933a6fa7', 'a444fb42-96c8-466c-9ebd-8ffe0a384cd6', 'de6b573f-2060-419c-946f-b854191cecdf']",2,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:06:02.562,Carry,True
,,,,,,,"[50.1, 31.2]",,,,,,,,,,,,1.007209,,,,,,,,,,,f479e557-8ddc-40de-811d-eb3918ee9f89,2023,,"[48.6, 31.6]",3825729,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Ignacio Cases Mora,18925.0,Right Defensive Midfield,110,Sporting Gijón,1041,"['01947924-202d-44d7-b85f-6c5f6798e92f', '49bea3f9-c1ff-4b95-91e6-8c2e58c9be32', '8176f13e-76f6-4df0-9285-21fe8ead1a97']",5,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:06:05.971,Carry,True
