bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,3.199996,,,,,,,,,,,,,a6d57cf4-2340-448c-9189-e24a34a8499e,51,,"[112.7, 78.2]",3825601,0,,,,,-1.3430703,,Right Foot,True,,"[120.0, 46.7]",High Pass,,32.334812,,Out,,,,,,,,1,From Free Kick,Tiago Manuel Dias Correia,7900.0,Right Wing,3,Rayo Vallecano,360,,57,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:57.996,Pass,
,,,,,,,,,,,,,,,,,,3.269379,,,,,,,,,,,,,0a03cdd9-01e2-488f-a4b3-b8c4f30ca366,52,,"[6.0, 36.0]",3825601,1,,True,,,0.49050683,,Left Foot,,,"[72.1, 71.3]",High Pass,,74.9353,,Incomplete,,Arnaldo Antonio Sanabria Ayala,6880.0,,,,Goal Kick,1,From Goal Kick,Alberto García Cabrera,11537.0,Goalkeeper,4,Sporting Gijón,1041,"['53a7d460-163a-4151-a9a9-dc2334ad8291', '80794143-c4a3-499a-a95c-df216aaf3af8']",26,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:26.524,Pass,
,,,,,,,,,,,,,,,,,,0.039997,,,,,,,,,,,,,53a7d460-163a-4151-a9a9-dc2334ad8291,54,,"[48.0, 8.8]",3825601,1,,,,,0.7419473,,Head,,,"[50.4, 11.0]",High Pass,,3.255764,,Incomplete,,,,,,,Recovery,1,From Goal Kick,Răzvan Dincă Raț,10727.0,Left Back,4,Sporting Gijón,1041,"['0a03cdd9-01e2-488f-a4b3-b8c4f30ca366', '6d4ac162-0f87-425d-8498-d129e934fe70']",29,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:29.794,Pass,
,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,5562279a-d1e4-47b8-a05d-c15fbaec0dca,57,,"[41.3, 11.0]",3825601,1,,,,True,-0.48783645,,,,,"[46.2, 8.4]",High Pass,,5.5470715,,,,José Raúl Baena Urdiales,26607.0,,,,Recovery,1,Regular Play,Diego Javier Llorente Ríos,6713.0,Left Center Back,5,Rayo Vallecano,360,"['b3edd1e4-71f2-4aee-a7a8-5f4abdf0daa7', 'c51caf83-5a79-42b4-b034-b2675f472d45']",31,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:31.241,Pass,True
,,,,,,,,,,,,,,,,,,1.158938,,,,,,,,,,,,,fd2420a3-6d40-4b27-9686-6d77c8d5af3b,60,,"[42.2, 15.5]",3825601,1,,,,True,2.8753407,,,,,"[38.9, 16.4]",Low Pass,,3.4205263,,,,Diego Javier Llorente Ríos,6713.0,,,,,1,Regular Play,José Raúl Baena Urdiales,26607.0,Right Defensive Midfield,5,Rayo Vallecano,360,"['4da4b88e-6c82-445a-a1e4-8ca89ee51c6f', 'f9c70b75-9977-4081-9298-7163579804fd']",32,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:32.730,Pass,True
,,,,,,,,,,,,,,,,,,4.455432,,,,,,,,,,,,,69f8ceae-af09-4507-8ab9-5c2a683bbae9,64,,"[40.0, 15.5]",3825601,1,,,,,-0.26650313,,Right Foot,,,"[73.7, 6.3]",High Pass,,34.933224,,Incomplete,,Javier Guerra Rodríguez,11542.0,,,,,1,Regular Play,Diego Javier Llorente Ríos,6713.0,Left Center Back,5,Rayo Vallecano,360,"['2f59d401-3138-4618-9ac1-116ec85d3ee8', '677abba2-0182-411f-a9af-78c4e3a73460', '9a0b999a-7018-4441-b8e9-35bc2e681c25']",33,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:33.909,Pass,True
,,,,,,,,,,,,,,,,,,1.371651,,,,,,,,,,,,,f9e74f87-0fa1-4b5e-961a-c327c4750a81,68,,"[72.8, 0.1]",3825601,1,,,,,1.012197,,,,,"[86.3, 21.7]",High Pass,,25.471748,,,,Javier Guerra Rodríguez,11542.0,,,,Throw-in,1,From Throw In,Răzvan Dincă Raț,10727.0,Left Back,6,Rayo Vallecano,360,['3a6b2313-4c42-48aa-bd66-c36c904c6b52'],48,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:48.849,Pass,
,,,,,,,,,,,,,,,,,,0.885988,,,,,,,,,,,,,eb2a546a-8e33-4d8e-997e-55080db903b1,71,,"[89.8, 23.4]",3825601,1,,,,,-1.9832067,,Right Foot,,,"[84.9, 12.2]",Ground Pass,,12.224975,,,,Pablo Hernández Domínguez,4711.0,,,,,1,From Throw In,Javier Guerra Rodríguez,11542.0,Center Forward,6,Rayo Vallecano,360,['486a3dd1-453f-4b34-97d6-5372babaed36'],50,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:50.912,Pass,
,,,,,,,,,,,,,,,,,,0.74802,,,,,,,,,,,,,08004915-490c-4850-a691-d21c07970697,74,,"[84.9, 12.2]",3825601,1,,,,,-0.86630225,,Right Foot,,,"[91.7, 4.2]",Ground Pass,,10.499524,,,,Jozabed Sánchez Ruiz,6852.0,,,,,1,From Throw In,Pablo Hernández Domínguez,4711.0,Left Wing,6,Rayo Vallecano,360,['9c0b13f9-98cf-49e3-9b7a-a742b2c51472'],51,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:51.801,Pass,
,,,,,,,,,,,,,,,,,,0.778077,,,,,,,,,,,,,77eaabdb-586d-4de9-ba58-0e8b923c91b5,78,,"[91.2, 3.9]",3825601,1,,,,,2.3217254,,Right Foot,,,"[87.0, 8.4]",Ground Pass,,6.155485,,,,Pablo Hernández Domínguez,4711.0,,,,,1,From Throw In,Jozabed Sánchez Ruiz,6852.0,Center Attacking Midfield,6,Rayo Vallecano,360,['5ab382f8-9344-4243-ba44-3de43d066d8f'],52,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:52.957,Pass,
