bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.781433,,,,,,,,,,,,,,391805f0-b9ae-4bc9-af4a-7be431f08e03,71,,,"[84.6, 16.3]",3825667,1,,,,,-2.4740665,,Right Foot,,,,"[76.1, 9.6]",,Low Pass,,10.823123,,,,David Juncà Reñé,6776.0,,,,,,,1,From Throw In,Saúl Berjón Pérez,24070.0,,Left Midfield,7,Eibar,322,"['6222d916-e93f-4508-95d7-3908ea51ba27', '80cd57cc-4661-41d9-bee6-0f4bd5c8cc38']",22,,,,,,,,,,,,,,,,,Eibar,322,00:01:22.236,Pass,True
,,,,,,,,,,,,,,,0.706172,,,,,,,,,,,,,,26d339a1-d61e-4fa1-9c33-6b9010946b26,74,,,"[75.7, 9.6]",3825667,1,,,,,-0.03173537,,Left Foot,,,,"[82.0, 9.4]",,Ground Pass,,6.303174,,,,Saúl Berjón Pérez,24070.0,,,,,,,1,From Throw In,David Juncà Reñé,6776.0,,Left Back,7,Eibar,322,['1f7d42bb-e044-44bd-96b1-5c85235b0a20'],23,,,,,,,,,,,,,,,,,Eibar,322,00:01:23.699,Pass,
,,,,,,,,,,,,,,,0.732219,,,,,,,,,,,,,,2582e452-b568-4972-8214-803e57599871,77,,,"[82.0, 9.4]",3825667,1,,,,,0.67474097,,Right Foot,,,,"[95.0, 19.8]",,Ground Pass,,16.648123,,,,Sergio Enrich Ametller,6700.0,,,,,,,1,From Throw In,Saúl Berjón Pérez,24070.0,,Left Midfield,7,Eibar,322,['fd1cd69a-dddc-42cb-89c7-7855520e59a8'],25,,,,,,,,,,,,,,,,,Eibar,322,00:01:25.116,Pass,
,,,,,,,,,,,,,,,2.064849,,,,,,,,,,,,,,ab059fb1-9b6d-468a-9d4e-15064ddbf39f,81,,,"[94.3, 18.6]",3825667,1,,,,,-0.5838704,,Right Foot,,,,"[111.1, 7.5]",,Ground Pass,,20.13579,,,,David Juncà Reñé,6776.0,,,,,,,1,From Throw In,Sergio Enrich Ametller,6700.0,,Right Center Forward,7,Eibar,322,['c328fc0f-6275-4fd0-88b4-bafebb48b757'],25,,,,,,,,,,,,,,,,,Eibar,322,00:01:25.960,Pass,
,,,,,,,,,,,,,,,1.04398,,,,,,,,,,,,,,d62d1e1d-ad21-4c73-8693-dfd2170ee73d,84,,,"[117.0, 7.8]",3825667,1,,,,,1.8082916,,Left Foot,True,,,"[110.9, 33.0]",,High Pass,,25.927784,,,,Sergio Enrich Ametller,6700.0,,,,,,,1,From Throw In,David Juncà Reñé,6776.0,,Left Back,7,Eibar,322,['19c4a268-65b5-4f1e-aaad-02acc4da1a64'],29,,,,,,,,,,,,,,,,,Eibar,322,00:01:29.509,Pass,
,,,,,,,,,,,,,,,0.418615,,,,,,,,,,,,,,4ff09b5f-d71e-4b3c-bf31-4c0c5e48a958,86,,,"[110.9, 33.0]",3825667,1,,,,,1.6779116,,Head,,,,"[109.9, 42.3]",,Low Pass,,9.353609,,,,Borja González Tomás,6566.0,,,,,,,1,From Throw In,Sergio Enrich Ametller,6700.0,,Right Center Forward,7,Eibar,322,['0f7bc1f1-0018-4ba6-b0a2-4a1daa458054'],30,,,,,,,,,,,,,,,,,Eibar,322,00:01:30.593,Pass,
,,,,,,,,,,,,,,,1.414376,,,,,,,,,,,,,,dcc1c27f-012a-4c25-ab25-6387b805ccf8,91,,,"[77.6, 41.3]",3825667,1,,,,,0.38171998,,Right Foot,,,,"[91.8, 47.0]",,Ground Pass,,15.301307,,Incomplete,,,,,,,,,Recovery,1,From Throw In,Mauro Javier Dos Santos,6837.0,,Right Center Back,7,Eibar,322,['1a1bf703-b8b5-4971-a79a-8af4186789cf'],34,,,,,,,,,,,,,,,,,Eibar,322,00:01:34.567,Pass,
,,,,,,,,,,,,,,,0.643331,,,,,,,,,,,,,,0d211ce6-6e08-46a8-93f6-97e5614aeb05,94,,,"[27.4, 35.2]",3825667,1,,,,,1.052492,,Right Foot,,,,"[34.7, 48.0]",,Ground Pass,,14.735332,,,,Manuel Trigueros Muñoz,6771.0,,,,,,,1,Regular Play,Denis Suárez Fernández,6609.0,,Left Midfield,8,Villarreal,222,['f840c673-6e62-4165-9de7-7b6432431019'],37,,,,,,,,,,,,,,,,,Villarreal,222,00:01:37.672,Pass,
,,,,,,,,,,,,,,,1.486275,,,,,,,,,,,,,,6e0187b2-7971-44b7-8a54-ef220fc496af,96,,,"[34.7, 48.0]",3825667,1,,,,,-1.0900564,,Left Foot,,,,"[46.8, 24.8]",,Low Pass,,26.165817,,,,Roberto Soldado Rillo,26009.0,,,,,,,1,Regular Play,Manuel Trigueros Muñoz,6771.0,,Right Center Midfield,8,Villarreal,222,['09ea0634-3138-4bf1-89e3-5050b67bc6b2'],38,,,,,,,,,,,,,,,,,Villarreal,222,00:01:38.316,Pass,
,,,,,,,,,,,,,,,0.717629,,,,,,,,,,,,,,a09ec102-419c-4205-bd80-e39e08abecd0,102,,,"[48.2, 23.2]",3825667,1,,,,,0.34464732,,Left Foot,,,,"[56.0, 26.0]",,Ground Pass,,8.28734,,,,Roberto Soldado Rillo,26009.0,,,,,,Free Kick,1,From Free Kick,Bruno Soriano Llido,22819.0,,Left Center Midfield,9,Villarreal,222,['45d62814-5fc5-4a70-82a5-c3ec78e795fe'],52,,,,,,,,,,,,,,,,,Villarreal,222,00:01:52.012,Pass,
,,,,,,,,,,,,,,,1.3847,,,,,,,,,,,,,,f9226157-6c74-44bb-8d22-73e5883351d9,105,,,"[56.0, 25.8]",3825667,1,,,,,-2.2157638,,Left Foot,,,,"[47.8, 14.9]",,Ground Pass,,13.640015,,,,Bruno Soriano Llido,22819.0,,,,,,,1,From Free Kick,Roberto Soldado Rillo,26009.0,,Right Center Forward,9,Villarreal,222,['f0afe32b-08f6-4100-a1a6-13cec9daa535'],52,,,,,,,,,,,,,,,,,Villarreal,222,00:01:52.896,Pass,
,,,,,,,,,,,,,,,1.604703,,,,,,,,,,,,,,63553ab3-0da2-4811-a8b9-aeaf54651e79,108,,,"[42.3, 6.2]",3825667,1,,,,,2.2308054,,Left Foot,,,,"[31.9, 19.6]",,Ground Pass,,16.96231,,,,Víctor Ruíz Torre,6752.0,,,,,,,1,From Free Kick,Bruno Soriano Llido,22819.0,,Left Center Midfield,9,Villarreal,222,['912dd451-4486-41b0-8e40-c475104a01b8'],56,,,,,,,,,,,,,,,,,Villarreal,222,00:01:56.338,Pass,
,,,,,,,,,,,,,,,2.686603,,,,,,,,,,,,,,1bee1ee6-0282-489f-b422-935a49cb1bb8,112,,,"[35.7, 17.5]",3825667,1,,,,,0.14284074,,Left Foot,,,,"[80.2, 23.9]",,High Pass,,44.95787,,Incomplete,,Roberto Soldado Rillo,26009.0,,,,,,,1,From Free Kick,Víctor Ruíz Torre,6752.0,,Left Center Back,9,Villarreal,222,"['80b7a4d1-12e9-481e-841e-daa0c9427a88', '81e70594-fd25-4081-9aaa-ca33afbfde3e']",59,,,,,,,,,,,,,,,,,Villarreal,222,00:01:59.497,Pass,
