bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.159956,,,,,,,,,,,,,,,30b76b43-2a9b-48a8-acaa-e9b2b77ddd6c,52,,"[14.7, 41.4]",3825908,0,,,,,-0.8430266,,Left Foot,,,"[19.6, 35.9]",,Ground Pass,7.366139,,,,,Marco Asensio Willemsen,5719.0,,,,,,1,Regular Play,Enzo Pablo Roco Roco,16456.0,Left Center Back,4,Espanyol,214,['b26261dd-a6ef-4aae-8d33-a24958034fa3'],50,,,,,,,,,,,,,,,,,Espanyol,214,00:00:50.826,Pass,
,,,,,,,,,,,,,,,,0.722404,,,,,,,,,,,,,,,fed5b403-dd4a-49f0-b6fe-a977ece60c6f,56,,"[33.5, 28.7]",3825908,0,,,,,0.807421,,Left Foot,,,"[44.6, 40.3]",,Ground Pass,16.055218,,,,,Gerard Moreno Balaguero,6766.0,,,,,,1,Regular Play,Marco Asensio Willemsen,5719.0,Left Wing,4,Espanyol,214,['582cbbd9-6344-4f63-869e-a0a6f8af34c7'],53,,,,,,,,,,,,,,,,,Espanyol,214,00:00:53.878,Pass,
,,,,,,,,,,,,,,,,0.159433,,,,,,,,,,,,,,,e3220ade-fa0e-4516-957d-7cb9e1e99865,59,,"[44.6, 40.3]",3825908,0,,,,,-0.52662724,,Left Foot,,,"[48.9, 37.8]",,Ground Pass,4.9739323,,,Incomplete,,Marco Asensio Willemsen,5719.0,,,,,,1,Regular Play,Gerard Moreno Balaguero,6766.0,Center Forward,4,Espanyol,214,"['6d339f84-7174-46ac-8213-14ca7fdd70c8', 'b17bb76c-6201-4cd3-8c81-0d0680d6ad55']",54,,,,,,,,,,,,,,,,,Espanyol,214,00:00:54.769,Pass,
,,,,,,,,,,,,,,,,3.17293,,,,,,,,,,,,,,,69654850-f973-4064-a7fc-b18cda1f44e1,62,,"[51.2, 52.2]",3825908,0,,,,,-2.9387088,,Right Foot,,,"[16.2, 45.0]",,Ground Pass,35.7329,,,,,Xabier Iruretagoiena Aranzamendi,27462.0,,,,,Recovery,1,Regular Play,Sergio Gontán Gallardo,6742.0,Right Midfield,4,Espanyol,214,['36c509e4-4e3c-45ad-aaed-18798ab038d6'],57,,,,,,,,,,,,,,,,,Eibar,322,00:00:57.562,Pass,
,,,,,,,,,,,,,,,,3.37368,,,,,,,,,,,,,,,0537f69c-4580-49f9-8db4-8e3bd86bb2ce,65,,"[21.6, 53.8]",3825908,1,,,,,0.28939387,,Right Foot,,,"[75.0, 69.7]",,High Pass,55.716873,,,Incomplete,,Sergio Enrich Ametller,6700.0,,,,,,1,Regular Play,Xabier Iruretagoiena Aranzamendi,27462.0,Goalkeeper,4,Espanyol,214,"['0c6e2568-27a5-4ceb-8a57-f2c28d3d1f95', '93d11ce9-2e55-43e0-b23e-3fd1f10ea732']",4,,,,,,,,,,,,,,,,,Eibar,322,00:01:04.411,Pass,
,,,,,,,,,,,,,,,,1.30231,,,,,,,,,,,,,,,93d11ce9-2e55-43e0-b23e-3fd1f10ea732,68,,"[45.1, 10.4]",3825908,1,,,,True,-0.28010798,,,,,"[52.4, 8.3]",,High Pass,7.5960517,,,,,Marco Asensio Willemsen,5719.0,,,,,Recovery,1,Regular Play,Enzo Pablo Roco Roco,16456.0,Left Center Back,4,Espanyol,214,"['0537f69c-4580-49f9-8db4-8e3bd86bb2ce', 'a3821c7f-713d-4518-92f6-19fc0a983fe6', 'f26d3193-7a5a-4547-8206-923e08029d3a']",7,,,,,,,,,,,,,,,,,Espanyol,214,00:01:07.785,Pass,True
,,,,,,,,,,,,,,,,0.837641,,,,,,,,,,,,,,,9e90f3b2-2461-45b8-a667-286451f09582,73,,"[51.4, 12.9]",3825908,1,,,,,1.6001996,,Left Foot,,,"[51.2, 19.7]",,Ground Pass,6.8029404,,,,,Papa Kouly Diop,6867.0,,,,,,1,Regular Play,Marco Asensio Willemsen,5719.0,Left Wing,4,Espanyol,214,"['9bba1499-2555-4199-9651-4ec6f304016d', 'fb286cfa-6acc-4f75-ac3a-686652205b7a']",11,,,,,,,,,,,,,,,,,Espanyol,214,00:01:11.620,Pass,True
,,,,,,,,,,,,,,,,1.308916,,,,,,,,,,,,,,,5d7d4a73-b20c-4524-952f-f87567f05c79,77,,"[50.8, 21.7]",3825908,1,,,,,2.1730838,,Right Foot,,,"[45.3, 29.7]",,Ground Pass,9.708244,,,,,Óscar Esau Duarte Gaitán,5598.0,,,,,,1,Regular Play,Papa Kouly Diop,6867.0,Left Center Midfield,4,Espanyol,214,['c0ee6eac-7b12-4944-b632-3cae47a5742d'],13,,,,,,,,,,,,,,,,,Espanyol,214,00:01:13.109,Pass,
,,,,,,,,,,,,,,,,1.730375,,,,,,,,,,,,,,,d9f9efa3-f04b-4fa7-9f7b-31c5be32c7ff,81,,"[45.1, 36.0]",3825908,1,,,,,1.7984856,,Right Foot,,,"[39.4, 60.6]",,Ground Pass,25.251732,,,,,Javier López Rodríguez,6791.0,,,,,,1,Regular Play,Óscar Esau Duarte Gaitán,5598.0,Center Defensive Midfield,4,Espanyol,214,['5b7fd008-f365-42f3-a27e-3f0e647dccc9'],15,,,,,,,,,,,,,,,,,Espanyol,214,00:01:15.099,Pass,
,,,,,,,,,,,,,,,,1.412125,,,,,,,,,,,,,,,c1a683d5-58c1-4521-996d-0baa83db8036,84,,"[39.3, 61.6]",3825908,1,,,,,-2.8924904,,Right Foot,,,"[27.9, 58.7]",,Ground Pass,11.763078,,,,,Álvaro González Soberón,6762.0,,,,,,1,Regular Play,Javier López Rodríguez,6791.0,Right Back,4,Espanyol,214,['f2a9e219-2196-4857-8710-76f81c20b80b'],16,,,,,,,,,,,,,,,,,Espanyol,214,00:01:16.867,Pass,
,,,,,,,,,,,,,,,,3.213058,,,,,,,,,,,,,,,424d886c-ec1b-4b00-948a-60f7f8482194,86,,"[27.9, 58.7]",3825908,1,,,,,0.21669267,,Right Foot,,,"[81.5, 70.5]",,High Pass,54.883514,,,Incomplete,,Hernán Arsenio Pérez González,6838.0,,,,,,1,Regular Play,Álvaro González Soberón,6762.0,Right Center Back,4,Espanyol,214,"['62b18f08-c2c3-4f8d-b10a-0fa24e246fe9', 'e51ae282-7ef7-4b53-a72c-c14e93350ab9']",18,,,,,,,,,,,,,,,,,Espanyol,214,00:01:18.279,Pass,
,,,,,,,,,,,,,,,,1.192997,,,,,,,,,,,,,,,e51ae282-7ef7-4b53-a72c-c14e93350ab9,88,,"[38.6, 9.6]",3825908,1,,,,,0.23989396,,Head,,,"[52.5, 13.0]",,High Pass,14.309787,,,,,Adrián González Morales,6557.0,,,,,Recovery,1,Regular Play,Jon Ansotegi Gorostola,26764.0,Left Center Back,5,Eibar,322,"['424d886c-ec1b-4b00-948a-60f7f8482194', '90908cb3-9683-485f-8859-dba4c696ab34']",21,,,,,,,,,,,,,,,,,Eibar,322,00:01:21.492,Pass,
,,,,,,,,,,,,,,,,1.496054,,,,,,,,,,,,,,,3c2e941b-1f42-46cd-a920-b9b455460e5b,90,,"[52.9, 13.2]",3825908,1,,,,,-1.7787548,,Head,,,"[50.6, 2.3]",,High Pass,11.1400175,,,,,David Juncà Reñé,6776.0,,,,,,1,Regular Play,Adrián González Morales,6557.0,Left Defensive Midfield,5,Eibar,322,['d326be2e-2816-4268-9442-002cb045cedc'],22,,,,,,,,,,,,,,,,,Eibar,322,00:01:22.685,Pass,
,,,,,,,,,,,,,,,,2.69131,,,,,,,,,,,,,,,d05fcd0a-99a2-41ff-b844-90f43fb648ea,93,,"[60.7, 2.0]",3825908,1,,,,,-0.02416448,,Left Foot,,,"[93.8, 1.2]",,Ground Pass,33.109665,,,,,Antonio Manuel Luna Rodríguez,6675.0,,,,,,1,Regular Play,David Juncà Reñé,6776.0,Left Back,5,Eibar,322,['cb4ceebf-4ce4-4644-abe4-f9b41bff27db'],26,,,,,,,,,,,,,,,,,Eibar,322,00:01:26.259,Pass,
,,,,,,,,,,,,,,,,3.447159,,,,,,,,,,,,,,,746832a4-cd5d-4c47-bcaa-20940be21032,97,,"[92.8, 2.3]",3825908,1,,,,,0.5525366,,Right Foot,,,"[118.1, 17.9]",,Ground Pass,29.722887,,,,,Sergio Enrich Ametller,6700.0,,,,,,1,Regular Play,Antonio Manuel Luna Rodríguez,6675.0,Left Midfield,5,Eibar,322,['954234ee-4ca3-4c2a-b176-5e5db082ff32'],31,,,,,,,,,,,,,,,,,Eibar,322,00:01:31.366,Pass,
,,,,,,,,,,,,,,,,1.103515,,,,,,,,,,,,,,,c3dde0ca-02ea-4f70-9e1a-de51619c520f,99,,"[118.1, 18.1]",3825908,1,,,,,2.03931,,Left Foot,True,,"[109.8, 34.5]",,High Pass,18.380697,,,Incomplete,,Borja González Tomás,6566.0,,,,,,1,Regular Play,Sergio Enrich Ametller,6700.0,Right Center Forward,5,Eibar,322,"['a9ccbe5e-9144-40ff-ae11-014b7a43c4ed', 'd20cc882-7d9a-4c67-87a0-d6e8fdb05a3a']",34,,,,,,,,,,,,,,,,,Eibar,322,00:01:34.813,Pass,
,,,,,,,,,,,,,,,,1.265024,,,,,,,,,,,,,,,da5d5d77-fb77-478a-ba4f-5db61bed4069,105,,"[92.6, 26.5]",3825908,1,,,,,2.0394945,,Left Foot,,,"[84.6, 42.3]",,Ground Pass,17.709885,,,Incomplete,,Daniel García Carrillo,6775.0,,,,,,1,Regular Play,Adrián González Morales,6557.0,Left Defensive Midfield,5,Eibar,322,"['cd2c6ca3-2d3d-4c16-b4c0-cf0f6760f90d', 'df2165be-5f8f-4e88-9df6-7ab6b79d9c96', 'e99b9fe3-4186-4387-b5f0-95fe9d15fd84']",38,,,,,,,,,,,,,,,,,Eibar,322,00:01:38.359,Pass,True
,,,,,,,,,,,True,,,,,0.830255,,,,,,,,,,,,,,,cd2c6ca3-2d3d-4c16-b4c0-cf0f6760f90d,108,,"[35.5, 37.8]",3825908,1,,,,,1.322201,,Left Foot,,,"[38.8, 50.8]",,Ground Pass,13.412308,,,,,Hernán Arsenio Pérez González,6838.0,,,,,Interception,1,Regular Play,Marco Asensio Willemsen,5719.0,Left Wing,6,Espanyol,214,"['3089d545-34fb-46fb-84f9-d0c9b7076751', '3ddc4cb9-2ce1-4714-940c-162b66d4de24', 'da5d5d77-fb77-478a-ba4f-5db61bed4069']",39,,,,,,,,,,,,,,,,,Espanyol,214,00:01:39.624,Pass,True
