50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.220401,,,,,,,,,,,,,3ce9e64c-6883-4e35-af59-b96bc3b8cabc,79,,,"[90.2, 63.6]",3825895,3,,,,,-0.7602462,,Right Foot,True,"[106.5, 48.1]",,High Pass,,22.49311,,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Jonathan Viera Ramos,10755.0,Right Center Forward,10,Las Palmas,208,['8c34e460-918e-49cb-bc59-e67d593f6882'],26,,,,,,,,,,,,,,,,,Las Palmas,208,00:03:26.766,Pass,
,,,,,,,,,,,,,,,,3.033078,,,,,,,,,,,,,167550e7-07ae-422c-8763-61ee214f1795,81,,,"[82.0, 43.3]",3825895,3,,,,,-1.0381756,,Right Foot,,"[102.1, 9.2]",,High Pass,,39.583076,,,Sergio Ezequiel Araújo,8167.0,,,,,,Recovery,1,From Free Kick,David Simón Rodríguez Santana,7906.0,Right Wing Back,10,Las Palmas,208,['03ab2ecf-8965-4cda-aa7b-c3fb7102b163'],30,,,,,,,,,,,,,,,,,Las Palmas,208,00:03:30.209,Pass,
,,,,,,,,,,,,,,,,1.965029,,,,,,,,,,,,,85c74c53-636f-43f7-bd95-558b756f8752,85,,,"[29.4, 80.0]",3825895,3,,True,,,-0.43508396,,,,"[57.8, 66.8]",,High Pass,,31.317726,,,Fernando Llorente Torres,3486.0,,,,,,Throw-in,1,From Throw In,Jorge Andújar Moreno,6672.0,Right Back,11,Sevilla,213,['6ac70cd9-71fb-453d-9990-36645b4011ce'],48,,,,,,,,,,,,,,,,,Sevilla,213,00:03:48.858,Pass,
,,,,,,,,,,,,,,,,0.694807,,,,,,,,,,,,,60f9a446-fdcc-4684-9e67-518e18d72d56,87,,,"[57.8, 66.8]",3825895,3,,,,,-3.0727363,,Right Foot,,"[54.9, 66.6]",,Low Pass,,2.9068885,,,Ciro Immobile,7788.0,,,,,,,1,From Throw In,Fernando Llorente Torres,3486.0,Right Center Forward,11,Sevilla,213,['8943e0dc-a022-4281-b03c-63c7b2308641'],50,,,,,,,,,,,,,,,,,Sevilla,213,00:03:50.865,Pass,
,,,,,,,,,,,,,,,,2.828209,,,,,,,,,,,,,567977f2-4662-48fb-b3be-ecc42bfbfdee,89,,,"[54.9, 66.6]",3825895,3,,,,,1.0002136,,Right Foot,,"[63.5, 80.0]",,Low Pass,,15.922312,,Out,Fernando Llorente Torres,3486.0,,,,,,,1,From Throw In,Ciro Immobile,7788.0,Left Center Forward,11,Sevilla,213,['9028d9fa-b8f7-430d-acb9-b9a18e348d79'],51,,,,,,,,,,,,,,,,,Sevilla,213,00:03:51.560,Pass,
,,,,,,,,,,,,,,,,1.374775,,,,,,,,,,,,,f61b7188-cab0-4b4b-9b71-72cf4a78196e,92,,,"[57.2, 0.1]",3825895,4,,,,,0.49159065,,,,"[69.9, 6.9]",,High Pass,,14.405902,,Incomplete,Sergio Ezequiel Araújo,8167.0,,,,,,Throw-in,1,From Throw In,Pedro Bigas Rigo,7907.0,Left Center Back,12,Las Palmas,208,"['25a02795-8ac4-444d-bf3b-2c4a30b96187', '9ce35932-fdfe-4652-a253-859a6d9aa2e9']",6,,,,,,,,,,,,,,,,,Las Palmas,208,00:04:06.718,Pass,
,,,,,,,,,,,,,,,,1.09073,,,,,,,,,,,,,25a02795-8ac4-444d-bf3b-2c4a30b96187,94,,,"[50.2, 73.2]",3825895,4,,,,,0.41497546,,Head,,"[64.5, 79.5]",,High Pass,,15.62626,,Incomplete,Fernando Llorente Torres,3486.0,,,,,,Interception,1,From Throw In,Grzegorz Krychowiak,3637.0,Right Defensive Midfield,12,Las Palmas,208,"['873065a9-2ae7-482a-9d77-8f3bd6c09944', 'f3e5193c-1858-4b9f-b937-74a43505a77a', 'f61b7188-cab0-4b4b-9b71-72cf4a78196e']",8,,,,,,,,,,,,,,,,,Sevilla,213,00:04:08.092,Pass,
,,,,,,,,,,,,,,,,2.242765,,,,,,,,,,,,,873065a9-2ae7-482a-9d77-8f3bd6c09944,96,,,"[55.6, 0.6]",3825895,4,,,,,1.19029,,Head,,"[62.8, 18.6]",,High Pass,,19.386593,,Incomplete,,,,,,,,Recovery,1,From Throw In,Pedro Bigas Rigo,7907.0,Left Center Back,12,Las Palmas,208,"['25a02795-8ac4-444d-bf3b-2c4a30b96187', 'bd37e5d1-24f7-47fd-bdca-743f98ae7546']",9,,,,,,,,,,,,,,,,,Las Palmas,208,00:04:09.183,Pass,
,,,,,,,,,,,,,,,,1.820827,,,,,,,,,,,,,dd3aef9e-9135-4b2a-9065-9063563d076f,100,,,"[59.4, 60.9]",3825895,4,,,,,-2.2467434,,Right Foot,,"[43.2, 40.7]",,Ground Pass,,25.89363,,,Timothée Kolodziejczak,10476.0,,,,,,,1,Regular Play,Sebastián Carlos Cristóforo Pepe,7154.0,Left Defensive Midfield,13,Sevilla,213,"['02444d48-76ed-4b35-a6c9-61b84079550e', 'ac34a828-0ca6-4495-897d-08ebdd243841']",14,,,,,,,,,,,,,,,,,Sevilla,213,00:04:14.236,Pass,True
,,,,,,,,,,,,,,,,1.836786,,,,,,,,,,,,,9dcad623-3cf1-4a97-95f1-94df0acff58f,103,,,"[42.7, 37.6]",3825895,4,,,,,-1.2472821,,Left Foot,,"[48.4, 20.6]",,Ground Pass,,17.930141,,,Benoît Trémoulinas,27483.0,,,,,,,1,Regular Play,Timothée Kolodziejczak,10476.0,Left Center Back,13,Sevilla,213,['d6866479-2bbb-494f-b080-7990a42cce9d'],16,,,,,,,,,,,,,,,,,Sevilla,213,00:04:16.338,Pass,
