bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,3.302701,,,,,,,,,,,,,d5639636-d0ed-4a91-94f9-ba67259969ef,61,,"[42.8, 52.5]",3825690,1,,,,,0.8537845,,Head,,,,"[56.4, 68.1]",,Low Pass,,20.695894,,,Incomplete,,Jerónimo Figueroa Cabrera,6934.0,,,,,Recovery,1,Regular Play,Roque Mesa Quevedo,3610.0,Right Defensive Midfield,6,Las Palmas,208,"['362e019c-3583-4435-8085-dd5196f278f4', 'f8cfc720-47b4-4a9c-af1e-3324298c61cb', 'fdfa4ad5-79ee-4708-aee0-b09039f4a21c']",16,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:16.190,Pass,
,,,,,,,,,,,,,,,,,1.127727,,,,,,,,,,,,,c1458da1-3c83-4ddd-9132-e74c833ed45e,65,,"[57.8, 9.0]",3825690,1,,,,,2.7938998,,Left Foot,,,,"[42.9, 14.4]",,Ground Pass,,15.848344,,,,,Jordi Figueras Montel,26801.0,,,,,,1,Regular Play,Juan Manuel Vargas Risco,27347.0,Left Back,6,Las Palmas,208,['cca6bdd4-71d7-4cc0-bac8-c99ac1db0a2d'],20,,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:20.596,Pass,
,,,,,,,,,,,,,,,,,6.315206,,,,,,,,,,,,,fc58a0a1-c279-42f9-a555-85dafaf0d88b,68,,"[44.1, 11.8]",3825690,1,,,,,0.043509938,,Left Foot,,,,"[117.6, 15.0]",,High Pass,,73.569626,,,Incomplete,,,,,,,,,1,Regular Play,Jordi Figueras Montel,26801.0,Left Center Back,6,Las Palmas,208,['0975d024-edc2-4131-a384-e280db64f2c7'],21,,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:21.986,Pass,
,,,,,,,,,,,,,,,,,3.417925,,,,,,,,,,,,,d9ebc391-6325-47e2-a366-7e05cfb5a09a,71,,"[7.7, 65.7]",3825690,1,,,,,-0.49193105,,Right Foot,,,,"[76.0, 29.1]",,High Pass,,77.48839,,,Pass Offside,,Sergio Ezequiel Araújo,8167.0,,,,,,1,Regular Play,Javier Varas Herrera,26753.0,Goalkeeper,6,Las Palmas,208,['b1a91af7-4aed-4753-9e33-a6cf535096fc'],46,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:46.281,Pass,
,,,,,,,,,,,,,,,,,1.568779,,,,,,,,,,,,,f4b691e8-25e0-4d4d-8b80-6ed5ba2eba8b,73,,"[43.8, 51.9]",3825690,2,,True,,,-1.6620455,,Right Foot,,,,"[41.0, 21.3]",,Ground Pass,,30.727837,,,,,Jordi Figueras Montel,26801.0,,,,,Free Kick,1,From Free Kick,Heiko Westermann,27349.0,Right Center Back,7,Real Betis,218,['baf3bbdd-0d98-45f1-953f-2b8e44e7ceb7'],10,,,,,,,,,,,,,,,,,,,Real Betis,218,00:02:10.527,Pass,
,,,,,,,,,,,,,,,,,2.231676,,,,,,,,,,,,,c8fdeeb5-83a1-4a0e-9022-3d3389ff3e7c,75,,"[42.7, 17.1]",3825690,2,,,,,1.9171321,,Left Foot,,,,"[29.6, 53.4]",,Ground Pass,,38.59145,,,,,Heiko Westermann,27349.0,,,,,,1,From Free Kick,Jordi Figueras Montel,26801.0,Left Center Back,7,Real Betis,218,['89a78819-a316-40c0-8fc3-e6a2f9d766f6'],14,,,,,,,,,,,,,,,,,,,Real Betis,218,00:02:14.622,Pass,
,,,,,,,,,,,,,,,,,1.378106,,,,,,,,,,,,,a206a492-0d1d-4abe-b259-39be9bd7c7bc,78,,"[25.4, 53.4]",3825690,2,,,,,1.1369351,,Right Foot,,,,"[35.5, 75.2]",,Ground Pass,,24.026028,,,,,Cristiano Piccini,11634.0,,,,,,1,From Free Kick,Heiko Westermann,27349.0,Right Center Back,7,Real Betis,218,['8a19c700-096c-4e86-9c92-919c554747bf'],18,,,,,,,,,,,,,,,,,,,Real Betis,218,00:02:18.489,Pass,
,,,,,,,,,,,,,,,,,2.345129,,,,,,,,,,,,,9b862f93-e84e-404e-8533-495b8e36f080,86,,"[23.7, 76.2]",3825690,2,,,,,0.09134812,,Right Foot,,,,"[63.0, 79.8]",,High Pass,,39.464542,,,Out,,,,,,,,,1,From Free Kick,Heiko Westermann,27349.0,Right Center Back,7,Real Betis,218,,23,,,,,,,,,,,,,,,,,,,Real Betis,218,00:02:23.671,Pass,
,,,,,,,,,,,,,,,,,1.330616,,,,,,,,,,,,,4cff1b99-bbb0-42fe-a082-70bdaba80520,87,,"[65.8, 0.1]",3825690,2,,,,,2.3855977,,,,,,"[62.3, 3.4]",,Low Pass,,4.8104053,,,,,José Vicente Gómez Umpiérrez,6929.0,,,,,Throw-in,1,From Throw In,Dani Castellano Betancor,6932.0,Left Back,8,Las Palmas,208,['d4cb26b3-613d-4015-95d7-674bf2ff855f'],28,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:02:28.949,Pass,
,,,,,,,,,,,,,,,,,1.704452,,,,,,,,,,,,,308c57c5-9376-4ad4-9ffb-4cb1de1992ea,90,,"[52.5, 2.7]",3825690,2,,,,,-3.1311219,,Right Foot,,,,"[33.4, 2.5]",,Ground Pass,,19.101048,,,,,Javier Garrido Behovide,26448.0,,,,,,1,From Throw In,José Vicente Gómez Umpiérrez,6929.0,Left Defensive Midfield,8,Las Palmas,208,['3e24e550-37b1-49a2-bc58-7aea8a78db68'],32,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:02:32.189,Pass,
