bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,4.821988,,,,,,,,,,,,,884fbe1e-2828-4558-8794-cbea9fc1e6f1,1788,,"[46.2, 12.8]",3825811,46,,,,,-0.20207207,,Left Foot,,,,"[95.5, 2.7]",,High Pass,,50.32395,,Incomplete,,,,,,,,,,2,Regular Play,Abraham González Casanova,27148.0,Left Center Midfield,100,Rayo Vallecano,360,"['51719a3c-6d95-4ae8-9c96-d43c77894567', '723a2291-e426-4dcd-a508-34357dba8994']",29,,,,,,,,,,,,,,,Espanyol,214,00:01:29.890,Pass,True
,,,,,,,,,,,,,,,,,,1.110732,,,,,,,,,,,,,71ff2a19-b342-49e4-9c62-9f08350890e8,1799,,"[112.9, 10.5]",3825811,46,,,,,1.7438724,,Right Foot,,,,"[110.4, 24.8]",,Ground Pass,,14.516887,,,,Gerard Moreno Balaguero,6766.0,,,,,,,2,Regular Play,Jorge Franco Alviz,6624.0,Left Wing,101,Espanyol,214,['d9b23c47-80db-4a99-a00c-d25fe58279db'],44,,,,,,,,,,,,,,,Espanyol,214,00:01:44.326,Pass,
,,,,,,,,,,,,,,,,,,0.948668,,,,,,,,,,,,,1c6bbb34-bc5f-49d5-9d56-8423e180889f,1807,,"[115.9, 19.4]",3825811,46,,,,,-1.6517004,,Right Foot,,,,"[115.0, 8.3]",,Ground Pass,,11.136427,,,,Jorge Franco Alviz,6624.0,,,,,,,2,Regular Play,Gerard Moreno Balaguero,6766.0,Center Forward,101,Espanyol,214,['bc7cc403-d8eb-4178-8540-2c10a1172df7'],49,,,,,,,,,,,,,,,Espanyol,214,00:01:49.160,Pass,
,,,,,,,,,,,,,,,,,,0.110071,,,,,,,,,,,,,1bcf3b2d-e45e-4a17-8f35-6937a1fc8ad3,1810,,"[115.0, 13.5]",3825811,46,,,,,-2.6614177,,Right Foot,,,,"[110.2, 11.0]",,Ground Pass,,5.4120235,,Incomplete,,Víctor Sánchez Mata,6758.0,,,,,,,2,Regular Play,Jorge Franco Alviz,6624.0,Left Wing,101,Espanyol,214,"['11a62352-b09f-4ab0-b395-efa26e2ddb4f', '9d461630-bc0d-43c5-8a7a-7b9a373809ef']",55,,,,,,,,,,,,,,,Espanyol,214,00:01:55.036,Pass,
,,,,,,,,,,,,,,,,,,1.258741,,,,,,,,,,,,,aaf1573a-2308-4501-9111-10eaea090ac8,1813,,"[111.6, 0.1]",3825811,47,,True,,,1.8480797,,,,,,"[107.9, 13.1]",,Low Pass,,13.516287,,,,Víctor Sánchez Mata,6758.0,,,,,,Throw-in,2,From Throw In,Rubén Duarte Sánchez,6612.0,Left Back,102,Espanyol,214,['8884bb52-d4a5-4318-b2b0-186575ca8df6'],9,,,,,,,,,,,,,,,Espanyol,214,00:02:09.499,Pass,
,,,,,,,,,,,,,,,,,,0.842821,,,,,,,,,,,,,7bb80239-8f07-491a-a79c-a4adb0e2d325,1816,,"[108.9, 6.7]",3825811,47,,,,,0.76721835,,Right Foot,,,,"[114.5, 12.1]",,Ground Pass,,7.77946,,,,Rubén Duarte Sánchez,6612.0,,,,,,,2,From Throw In,Víctor Sánchez Mata,6758.0,Right Center Midfield,102,Espanyol,214,['d503b62f-2088-4cef-af27-5f8619f83641'],11,,,,,,,,,,,,,,,Espanyol,214,00:02:11.570,Pass,
,,,,,,,,,,,,,,,,,,0.179098,,,,,,,,,,,,,5482a8a5-edc2-4e63-abc3-82bfe29f9c92,1819,,"[113.3, 7.2]",3825811,47,,,,,1.4506876,,Left Foot,,,,"[114.0, 13.0]",,Low Pass,,5.8420887,,Incomplete,,,,,,,,,,2,From Throw In,Rubén Duarte Sánchez,6612.0,Left Back,102,Espanyol,214,['ded463b4-cd79-446c-83a2-f44549d043f7'],13,,,,,,,,,,,,,,,Espanyol,214,00:02:13.515,Pass,
,,,,,,,,,,,,,,,,,,1.606185,,,,,,,,,,,,,8aa0406d-2b12-4982-9146-92d36a87efc0,1821,,"[120.0, 0.1]",3825811,47,,,,,1.8085649,,Right Foot,,,,"[109.7, 42.6]",,High Pass,,43.73031,,Incomplete,,,,,True,True,Straight,,Corner,2,From Corner,Jorge Franco Alviz,6624.0,Left Wing,103,Espanyol,214,['53bef7bc-3c0c-4f61-b7fa-f486480f0406'],40,,,,,,,,,,,,,,,Espanyol,214,00:02:40.061,Pass,
,,,,,,,,,,,,,,,,,,3.393481,,,,,,,,,,,,,4aeee843-0f5f-4ec9-b9db-d39aa7b6d4a4,1824,,"[75.8, 20.0]",3825811,47,,,,,2.5385342,,Right Foot,,,,"[31.8, 50.3]",,Low Pass,,53.423683,,,,Pau López Sabata,6792.0,,,,,,Recovery,2,From Corner,Víctor Sánchez Mata,6758.0,Right Center Midfield,103,Espanyol,214,"['3b74dcfc-1d2d-4e4e-878c-9cb1f9b1fb5c', 'faafd76c-d453-4b60-9e21-8f81c525115f']",46,,,,,,,,,,,,,,,Espanyol,214,00:02:46.367,Pass,True
,,,,,,,,,,,,,,,,,,6.365715,,,,,,,,,,,,,3b90440d-dc98-4ee5-a386-3094699a99c0,1828,,"[32.7, 51.4]",3825811,47,,,,,0.43716374,,Left Foot,,,,"[93.9, 80.0]",,High Pass,,67.55294,,Out,,Papa Kouly Diop,6867.0,,,,,,,2,From Corner,Pau López Sabata,6792.0,Goalkeeper,103,Espanyol,214,['412b4c39-bcd6-429f-bb01-da8d04d5e0f5'],51,,,,,,,,,,,,,,,Espanyol,214,00:02:51.333,Pass,
