bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.333299,,,,,,,,,,,,ea041659-1e9f-4e85-b494-862619a30c61,906,,"[52.5, 72.8]",3825689,24,,,,,-1.3909428,,Left Foot,,,,"[53.7, 66.2]",,Ground Pass,,6.708204,,Incomplete,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,,1,Regular Play,Théo Bongonda Mbul''Ofeko Batombo,23785.0,Right Wing,62,Celta Vigo,209,"['11422826-70f6-4776-8413-c81228e22799', '96e7267d-fd36-4596-b0ba-2609f87e7f9a']",35,,,,,,,,,,,,,,,,,Celta Vigo,209,00:24:35.116,Pass,
,,,,,,,,,,,,,,,,2.00257,,,,,,,,,,,,0544981b-a746-4a39-a3a0-885414f309a9,909,,"[53.2, 67.4]",3825689,24,,,,,-1.2505317,,Left Foot,,,,"[59.9, 47.2]",,Ground Pass,,21.282152,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,Recovery,1,Regular Play,Théo Bongonda Mbul''Ofeko Batombo,23785.0,Right Wing,62,Celta Vigo,209,['f2769b7a-abee-4165-a596-0095a6a7a180'],36,,,,,,,,,,,,,,,,,Celta Vigo,209,00:24:36.008,Pass,
,,,,,,,,,,,,,,,,1.063318,,,,,,,,,,,,ffd05330-016c-4243-a860-94c4cb8c12ca,915,,"[62.7, 41.7]",3825689,25,,True,,,-3.0451188,,Left Foot,,,,"[53.4, 40.8]",,Ground Pass,,9.343447,,,,Gustavo Daniel Cabral Cáceres,6794.0,,,,,,Free Kick,1,From Free Kick,Pedro Pablo Hernández,6801.0,Left Defensive Midfield,63,Celta Vigo,209,['34ec0dc5-537a-4688-8d7e-1c130037a4e3'],3,,,,,,,,,,,,,,,,,Celta Vigo,209,00:25:03.985,Pass,
,,,,,,,,,,,,,,,,1.521586,,,,,,,,,,,,f3775865-457d-463c-9a5d-7bbd787f9163,917,,"[53.4, 41.8]",3825689,25,,,,,1.5304142,,Right Foot,,,,"[54.2, 61.6]",,Ground Pass,,19.816154,,,,Hugo Mallo Novegil,6805.0,,,,,,,1,From Free Kick,Gustavo Daniel Cabral Cáceres,6794.0,Left Center Back,63,Celta Vigo,209,['c059de5b-9b79-4b6b-8919-e7b8ceefc12f'],6,,,,,,,,,,,,,,,,,Celta Vigo,209,00:25:06.197,Pass,
,,,,,,,,,,,,,,,,0.845469,,,,,,,,,,,,4f81e382-795c-43a7-bdcd-23de8e3971c5,920,,"[60.7, 61.1]",3825689,25,,,,,-1.3734008,,Right Foot,,,,"[62.5, 52.1]",,Ground Pass,,9.178235,,,,Pedro Pablo Hernández,6801.0,,,,,,,1,From Free Kick,Hugo Mallo Novegil,6805.0,Right Center Back,63,Celta Vigo,209,['c49ddec0-d6ec-472e-b812-1473a0b68018'],10,,,,,,,,,,,,,,,,,Celta Vigo,209,00:25:10.323,Pass,
,,,,,,,,,,,,,,,,1.591558,,,,,,,,,,,,69663cd2-987c-4e90-8d12-6720a6ad69ca,923,,"[55.2, 50.3]",3825689,25,,,,,-1.4402685,,Left Foot,,,,"[58.6, 24.4]",,Ground Pass,,26.122213,,,,Augusto Matías Fernández,19668.0,,,,,,,1,From Free Kick,Pedro Pablo Hernández,6801.0,Left Defensive Midfield,63,Celta Vigo,209,['119d120c-763f-46e0-9311-25cfceaeb4bf'],13,,,,,,,,,,,,,,,,,Celta Vigo,209,00:25:13.600,Pass,
,,,,,,,,,,,,,,,,0.677035,,,,,,,,,,,,97d0c6d7-8f3f-4ed2-a65e-ee98b2de6079,934,,"[72.5, 46.1]",3825689,25,,,,,-0.52417964,,Right Foot,,,,"[85.3, 38.7]",,Ground Pass,,14.785128,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,,1,From Free Kick,Augusto Matías Fernández,19668.0,Right Defensive Midfield,63,Celta Vigo,209,['69496c31-9738-492f-b340-a95cafe9a17c'],21,,,,,,,,,,,,,,,,,Celta Vigo,209,00:25:21.011,Pass,
,,,,,,,,,,,,,,,,0.584225,,,,,,,,,,,,64897e4b-cdde-4fdb-b9f3-7b4f9f6779f7,938,,"[84.5, 42.1]",3825689,25,,,,,0.962107,,Right Foot,,,,"[89.1, 48.7]",,Low Pass,,8.044874,,,,Iago Aspas Juncal,5217.0,,,,,,,1,From Free Kick,Fabián Ariel Orellana Valenzuela,7105.0,Center Attacking Midfield,63,Celta Vigo,209,"['555ed278-bbc3-42c1-9e23-7737f9d75b10', '750ae338-b3d8-4f15-a2e1-a9680574c477']",21,,,,,,,,,,,,,,,,,Celta Vigo,209,00:25:21.798,Pass,True
,,,,,,,,,,,,,,,,0.239999,,,,,,,,,,,,92f635e3-f9f7-4232-8fe2-210bdf06f9b4,945,,"[32.3, 31.5]",3825689,25,,,,,0.0,,Right Foot,,,,"[33.4, 31.5]",,Low Pass,,1.1,,Unknown,,,,,,,,,,1,From Free Kick,Antonio José Raillo Arenas,24086.0,Left Center Back,63,Celta Vigo,209,['7c8b8aea-e8c1-4d44-bc55-f4bcd295fbd2'],23,,,,,,,,,,,,,,,,,Espanyol,214,00:25:23.290,Pass,True
,,,,,,,,,,,,,,,,1.677315,,,,,,,,,,,,704f9fb2-d427-4064-81be-25e89a7649bb,947,,"[86.7, 55.9]",3825689,25,,,,,-1.9785024,,Right Foot,,,,"[75.6, 30.2]",,Ground Pass,,27.994642,,,,Pedro Pablo Hernández,6801.0,,,,,,Free Kick,1,From Free Kick,Fabián Ariel Orellana Valenzuela,7105.0,Center Attacking Midfield,64,Celta Vigo,209,['3505c2b0-8eb9-488a-a2d4-9bf72cb3df64'],36,,,,,,,,,,,,,,,,,Celta Vigo,209,00:25:36.839,Pass,
