bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.261255,,,,,,,,,,,,b6903ccd-e44a-4eeb-913d-913aaa944500,59,,,"[65.2, 62.8]",3825576,1,,,,1.7835281,,Left Foot,,,,"[62.5, 75.3]",,Ground Pass,,12.788276,,,,Álvaro Negredo Sánchez,20542.0,,,,,,,1,Regular Play,Danilo Barbosa da Silva,10037.0,Right Center Midfield,6,Valencia,207,['a52e1cb7-7e48-446d-8076-a045c3dd3caf'],9,,,,,,,,,,,,,,,,Valencia,207,00:01:09.145,Pass,
,,,,,,,,,,,,,,,,1.876788,,,,,,,,,,,,f5a7f59c-43c1-403e-a8bd-3bf0633195fc,71,,,"[64.6, 71.8]",3825576,1,,,,-2.6798248,,Right Foot,,,,"[43.3, 61.2]",,Ground Pass,,23.791805,,,,Shkodran Mustafi,3638.0,,,,,,Free Kick,1,From Free Kick,Javier Fuego Martínez,6751.0,Center Defensive Midfield,7,Valencia,207,['909eb1cb-258d-41f6-be34-65dbdd67c208'],23,,,,,,,,,,,,,,,,Valencia,207,00:01:23.001,Pass,
,,,,,,,,,,,,,,,,2.448745,,,,,,,,,,,,3faab354-6a03-41eb-b38e-1adcab36365c,74,,,"[43.3, 61.2]",3825576,1,,,,-1.5514283,,Right Foot,,,,"[44.1, 19.9]",,Ground Pass,,41.307747,,,,Rúben Miguel Nunes Vezo,6592.0,,,True,,,,1,From Free Kick,Shkodran Mustafi,3638.0,Right Center Back,7,Valencia,207,['050a5b70-c220-43c0-9d1b-6f3676ad829c'],25,,,,,,,,,,,,,,,,Valencia,207,00:01:25.680,Pass,
,,,,,,,,,,,,,,,,1.363716,,,,,,,,,,,,baae4033-d5b6-4ad1-b8dd-7420395acefe,77,,,"[53.8, 19.2]",3825576,1,,,,-1.3317087,,Right Foot,,,,"[57.7, 3.2]",,Ground Pass,,16.468454,,,,José Luis Gayà Peña,6596.0,,,,,,,1,From Free Kick,Rúben Miguel Nunes Vezo,6592.0,Left Center Back,7,Valencia,207,['790c8f24-f7fa-4c12-96dc-a7fa578b171c'],29,,,,,,,,,,,,,,,,Valencia,207,00:01:29.754,Pass,
,,,,,,,,,,,,,,,,1.427034,,,,,,,,,,,,3530c886-8405-4317-baa7-96666cb66ef4,80,,,"[57.7, 3.2]",3825576,1,,,,0.13769981,,Left Foot,,,,"[84.4, 6.9]",,High Pass,,26.955149,,Unknown,,Rodrigo Moreno Machado,5718.0,,,,,,,1,From Free Kick,José Luis Gayà Peña,6596.0,Left Back,7,Valencia,207,['a8a29fd7-a447-41d9-8ea1-86843c5901d3'],31,,,,,,,,,,,,,,,,Valencia,207,00:01:31.868,Pass,
,,,,,,,,,,,,,,,,4.032252,,,,,,,,,,,,be0020bf-d3cf-4bd4-9275-423b4975bb38,84,,,"[83.3, 5.9]",3825576,2,,,,0.45594698,,Left Foot,,,,"[119.8, 23.8]",,Ground Pass,,40.65292,,Out,,,,,,,,,Free Kick,1,From Free Kick,Rodrigo Moreno Machado,5718.0,Left Wing,8,Valencia,207,,9,,,,,,,,,,,,,,,,Valencia,207,00:02:09.977,Pass,
,,,,,,,,,,,,,,,,3.136484,,,,,,,,,,,,9458d0d5-5e93-4821-9bca-d5844390a255,87,,,"[7.0, 44.1]",3825576,2,,,,-0.72222203,,Right Foot,,,,"[50.7, 5.6]",,High Pass,,58.240364,,,,Fernando Navarro i Corbacho,6913.0,,,,,,Goal Kick,1,From Goal Kick,Germán Darío Lux,27305.0,Goalkeeper,9,RC Deportivo La Coruña,219,['0c5648f6-429f-4d23-b88b-bac42bcffa19'],37,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:02:37.212,Pass,
,,,,,,,,,,,,,,,,1.682648,,,,,,,,,,,,44dbc00f-c541-4f0d-9a21-f52c270a63fa,91,,,"[47.2, 8.3]",3825576,2,,,,2.6430755,,Right Foot,,,,"[30.3, 17.5]",,Low Pass,,19.241882,,,,Sidnei Rechel da Silva Júnior,6777.0,,,,,,,1,From Goal Kick,Fernando Navarro i Corbacho,6913.0,Left Back,9,RC Deportivo La Coruña,219,['8eacb3d9-1e52-43cd-bbcb-2af6b226bbf7'],41,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:02:41.978,Pass,
,,,,,,,,,,,,,,,,2.337853,,,,,,,,,,,,865d510b-3406-4b37-a394-7cd6dd6c195c,95,,,"[25.4, 16.7]",3825576,2,,,,2.445388,,Right Foot,,,,"[5.3, 33.5]",,Ground Pass,,26.196373,,,,Germán Darío Lux,27305.0,,,,,,,1,From Goal Kick,Sidnei Rechel da Silva Júnior,6777.0,Left Center Back,9,RC Deportivo La Coruña,219,['7cdc76bb-eb86-44e9-8644-700857241a45'],45,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:02:45.201,Pass,
,,,,,,,,,,,,,,,,3.12294,,,,,,,,,,,,205e11a7-ad92-457d-93b1-c7285194f2a0,99,,,"[6.5, 36.4]",3825576,2,,,,0.96770865,,Right Foot,,,,"[35.7, 78.8]",,High Pass,,51.482037,,,,Laureano Sanabria Ruiz,23800.0,,,True,,,,1,From Goal Kick,Germán Darío Lux,27305.0,Goalkeeper,9,RC Deportivo La Coruña,219,['10d38bb1-4d9e-40b5-91f0-0e6c02e72467'],48,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:02:48.620,Pass,
