bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.790047,,,,,,,,,,,,b91f1796-61af-4236-a989-11899b623d83,76,,"[91.2, 51.2]",3825631,1,,,,,0.7853982,,Right Foot,,,,"[97.6, 57.6]",,Low Pass,,9.050967,,Incomplete,,Ángel Martín Correa,6377.0,,,,,,1,From Throw In,Jorge Resurrección Merodio,5199.0,Left Midfield,6,Atlético Madrid,212,"['b544b701-407a-4ab1-9bbc-fa884cbeb381', 'd214c9f6-7c45-4f61-aaa9-fd193bc7fbb0']",22,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:22.226,Pass,
,,,,,,,,,,,,,,,,2.396396,,,,,,,,,,,,57109eda-9d2c-48ec-84b0-689178806a6a,81,,"[42.9, 42.7]",3825631,1,,,,,-2.9027348,,Left Foot,,,,"[12.1, 35.2]",,Ground Pass,,31.7,,,,Jan Oblak,6378.0,,,,,,1,From Throw In,Diego Roberto Godín Leal,5249.0,Left Center Back,6,Atlético Madrid,212,['2d65bc58-78c9-4d03-bf23-e718216c84de'],27,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:27.672,Pass,
,,,,,,,,,,,,,,,,3.056034,,,,,,,,,,,,8af672e3-4eab-410d-a3fb-288457b69026,84,,"[14.4, 36.4]",3825631,1,,,,,0.6530628,,Right Foot,,,,"[65.9, 75.8]",,High Pass,,64.842964,,,,Juan Francisco Torres Belén,6375.0,,,,,,1,From Throw In,Jan Oblak,6378.0,Goalkeeper,6,Atlético Madrid,212,['6a38b73a-9974-423b-8ab6-87597d7cd1fa'],31,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:31.936,Pass,
,,,,,,,,,,,,,,,,0.971147,,,,,,,,,,,,a8f3ca73-caf0-436f-9909-3f3ce935f7bf,87,,"[70.0, 74.3]",3825631,1,,,,,-1.012197,,Right Foot,,,,"[74.0, 67.9]",,Ground Pass,,7.547185,,,,Ángel Martín Correa,6377.0,,,,,,1,From Throw In,Juan Francisco Torres Belén,6375.0,Right Back,6,Atlético Madrid,212,['7937725f-175a-4c27-81bb-7c1af22223bc'],35,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:35.885,Pass,
,,,,,,,,,,,,,,,,1.759258,,,,,,,,,,,,da3a80c0-0b5d-4b22-ade3-f030f3954611,91,,"[77.3, 66.6]",3825631,1,,,,,-0.9132681,,Right Foot,,,,"[89.5, 50.8]",,Ground Pass,,19.961964,,Incomplete,,Jackson Arley Martínez Valencia,17622.0,,,,,,1,From Throw In,Ángel Martín Correa,6377.0,Right Midfield,6,Atlético Madrid,212,"['b0ae2859-6128-45ee-ab39-655e53a961fc', 'dc8b4053-033b-4959-938b-f9ba74a37df6']",37,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:37.812,Pass,
,,,,,,,,,,True,,,,,,0.96,,,,,,,,,,,,b0ae2859-6128-45ee-ab39-655e53a961fc,93,,"[30.6, 29.3]",3825631,1,,,,,0.14955974,,Right Foot,,,,"[37.9, 30.4]",,Ground Pass,,7.3824115,,,,Markel Bergara Larrañaga,6633.0,,,,,Interception,1,Regular Play,Diego Antonio Reyes Rosales,16539.0,Right Center Back,7,Real Sociedad,210,"['da3a80c0-0b5d-4b22-ade3-f030f3954611', 'e06d39a8-379b-450f-a1b2-171fd49e2a49']",39,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:39.571,Pass,
,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,493654a3-0c57-4020-bc60-652a02d19695,97,,"[40.8, 33.0]",3825631,1,,,,,-2.224879,,Right Foot,,,,"[27.0, 15.0]",,Ground Pass,,22.68127,,,,Alberto De La Bella Madureño,6674.0,,,,,,1,Regular Play,Markel Bergara Larrañaga,6633.0,Right Defensive Midfield,7,Real Sociedad,210,['395e8cff-6508-47d2-86c3-135eb4eefb74'],41,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:41.251,Pass,
,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,3dec5d20-d88f-475f-9095-c4007802f0cb,100,,"[30.8, 14.5]",3825631,1,,,,,-0.051066674,,Left Foot,,,,"[75.8, 12.2]",,High Pass,,45.05874,,,,Carlos Alberto Vela Garrido,5560.0,,,,,,1,Regular Play,Alberto De La Bella Madureño,6674.0,Left Back,7,Real Sociedad,210,['ac11c033-d27f-40b9-81c3-e4105b5611bd'],44,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:44.251,Pass,
,,,,,,,,,,,,,,,,2.399996,,,,,,,,,,,,00653b52-2752-4a01-a3ec-0ea90efe58b0,104,,"[112.8, 12.2]",3825631,1,,,,,1.8799473,,Left Foot,True,,,"[104.4, 38.5]",,Low Pass,,27.608875,,,,Imanol Agirretxe Arruti,6677.0,,,,,,1,Regular Play,Carlos Alberto Vela Garrido,5560.0,Right Wing,7,Real Sociedad,210,['81ca1d83-34da-4199-9b69-303e0948e402'],50,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:50.172,Pass,
,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,8c70eecd-bd02-46dd-a57e-e1c914d2a54b,112,,"[61.3, 41.8]",3825631,1,,,,True,-1.3748692,,,,,,"[63.9, 28.7]",,Low Pass,,13.355523,,,,Alberto De La Bella Madureño,6674.0,,,,,Recovery,1,Regular Play,Diego Antonio Reyes Rosales,16539.0,Right Center Back,7,Real Sociedad,210,"['0c5fcbd2-8cbe-4c27-b1fc-fbec7035ff62', '9b4848f6-d155-45b1-a146-890e28cfe973']",56,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:56.252,Pass,True
