50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.116223,,,,,,,,,,,,,7ce88a3a-94ab-45dc-afe3-f47a18807e06,52,,,"[27.9, 68.7]",3825685,0,,,,,-0.7639947,,Right Foot,,,"[44.6, 52.7]",,Ground Pass,,23.12769,,,,Roque Mesa Quevedo,3610.0,,,,,,1,Regular Play,Aythami Artiles Oliva,8440.0,Right Center Back,3,Las Palmas,208,['a79a6d72-636e-4b05-b7a0-7b0024300a7a'],44,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:44.423,Pass,
,,,,,,,,,,,,,,,,1.631966,,,,,,,,,,,,,c737f9f0-e854-4b51-803c-31d704742098,56,,,"[44.0, 60.0]",3825685,0,,,,,1.7464811,,Right Foot,,,"[41.0, 76.9]",,Ground Pass,,17.164207,,,,David Simón Rodríguez Santana,7906.0,,,,,,1,Regular Play,Roque Mesa Quevedo,3610.0,Right Defensive Midfield,3,Las Palmas,208,['419d9979-5350-4e98-8a31-371e1a5bdc7a'],47,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:47.495,Pass,
,,,,,,,,,,,,,,,,2.05187,,,,,,,,,,,,,f53cd2f1-6f22-45c4-a2bf-4c8d445caf98,59,,,"[39.5, 77.4]",3825685,0,,,,,-0.08226634,,Right Foot,,,"[86.8, 73.5]",,High Pass,,47.46051,,Incomplete,,Nabil El Zhar,6608.0,,,,,,1,Regular Play,David Simón Rodríguez Santana,7906.0,Right Back,3,Las Palmas,208,"['98b916d9-b604-48bf-8315-dfa4c0d8275e', 'f4f1ef2a-9d42-4b62-baaa-1d000ac38241']",50,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:50.352,Pass,
,,,,,,,,,,,,,,,,1.721752,,,,,,,,,,,,,f4f1ef2a-9d42-4b62-baaa-1d000ac38241,61,,,"[33.3, 6.6]",3825685,0,,,,,-0.19982864,,Head,,,"[49.1, 3.4]",,High Pass,,16.120794,,,,Ignacio Cases Mora,18925.0,,,,,Interception,1,Regular Play,Ismael López Blanco,24263.0,Left Back,3,Las Palmas,208,"['db61cdb2-f605-4e3f-bde2-1f7451653621', 'f53cd2f1-6f22-45c4-a2bf-4c8d445caf98']",52,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:52.404,Pass,
,,,,,,,,,,,,,,,,1.377586,,,,,,,,,,,,,ea1993ce-b0d6-4806-a1fa-38db53518d4e,64,,,"[48.0, 3.1]",3825685,0,,,,,0.14707835,,Left Foot,,,"[64.2, 5.5]",,Low Pass,,16.376812,,Incomplete,,Daniel Arnaud N''Di	,40822.0,,,,,,1,Regular Play,Ignacio Cases Mora,18925.0,Left Defensive Midfield,3,Las Palmas,208,"['06cbf7af-d0a6-48f5-ab9a-1200a403a58b', '53266d61-d151-425f-9f25-316c575e20bb']",54,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:54.133,Pass,
,,,,,,,,,,True,,,,,,0.875972,,,,,,,,,,,,,53266d61-d151-425f-9f25-316c575e20bb,67,,,"[55.9, 74.6]",3825685,0,,,,,0.13176227,,Right Foot,,,"[64.2, 75.7]",,Ground Pass,,8.372574,,,,David Simón Rodríguez Santana,7906.0,,,,,Interception,1,Regular Play,Roque Mesa Quevedo,3610.0,Right Defensive Midfield,3,Las Palmas,208,"['19a7c41c-237d-4668-a13f-6cbc687252e1', '36b62caa-108c-4542-9f43-02a7768f9039', 'ea1993ce-b0d6-4806-a1fa-38db53518d4e']",55,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:55.510,Pass,True
,,,,,,,,,,,,,,,,1.252032,,,,,,,,,,,,,45f06ce6-1a1a-413e-a13b-f40ad7c7635a,70,,,"[62.5, 72.7]",3825685,0,,,,,-2.2808657,,Right Foot,,,"[52.7, 61.3]",,Ground Pass,,15.033297,,,,José Vicente Gómez Umpiérrez,6929.0,,,,,,1,Regular Play,David Simón Rodríguez Santana,7906.0,Right Back,3,Las Palmas,208,"['36b62caa-108c-4542-9f43-02a7768f9039', '9ba0bfde-39c0-49fd-864d-837d8b8a3c66']",57,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:57.185,Pass,True
,,,,,,,,,,,,,,,,1.069304,,,,,,,,,,,,,eea2b29a-0158-44c0-9e2c-8e931e5fdc83,73,,,"[53.0, 60.7]",3825685,0,,,,,-1.042141,,Left Foot,,,"[65.5, 39.3]",,Ground Pass,,24.78326,,,,Sergio Ezequiel Araújo,8167.0,,,,,,1,Regular Play,José Vicente Gómez Umpiérrez,6929.0,Left Defensive Midfield,3,Las Palmas,208,['5308dfa6-ab00-4414-b142-5ddf157795e7'],59,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:59.459,Pass,
,,,,,,,,,,,,,,,,0.803802,,,,,,,,,,,,,e759df0f-7ca1-44a3-8a80-557d7fac3491,77,,,"[43.4, 45.8]",3825685,1,,,,,1.0731812,,Left Foot,,,"[47.8, 53.9]",,Ground Pass,,9.217917,,,,Alen Halilović,6926.0,,,,,Recovery,1,Regular Play,Jorge Meré Pérez,8818.0,Right Center Back,3,Las Palmas,208,['63778feb-2760-4a13-a745-faf67bde643d'],2,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:02.300,Pass,
,,,,,,,,,,,,,,,,2.605946,,,,,,,,,,,,,1610d188-43fc-4c3c-b56f-5838cdc1e464,81,,,"[73.6, 61.3]",3825685,1,,,,,0.33361623,,Left Foot,,,"[101.3, 70.9]",,Ground Pass,,29.316378,,Incomplete,,Luis Hernández Rodríguez,6561.0,,,,,,1,Regular Play,Alen Halilović,6926.0,Right Midfield,3,Las Palmas,208,"['c98e26fc-7512-43fe-8374-16a53e0c1e18', 'd59b8aa7-62e1-4967-b3d4-59344c677aee']",7,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:07.397,Pass,
,,,,,,,,,,,,,,,,2.023726,,,,,,,,,,,,,d59b8aa7-62e1-4967-b3d4-59344c677aee,84,,,"[18.8, 9.2]",3825685,1,,,,,2.3561945,,Right Foot,,,"[1.8, 26.2]",,Ground Pass,,24.04163,,,,Javier Varas Herrera,26753.0,,,,,Interception,1,Regular Play,Dani Castellano Betancor,6932.0,Left Back,3,Las Palmas,208,"['1610d188-43fc-4c3c-b56f-5838cdc1e464', '7694e9a0-cfa3-406f-bfef-db3644aa352f', 'c2ed94de-75d6-4556-85ce-1e8a99569780']",10,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:10.003,Pass,True
,,,,,,,,,,,,,,,,1.499971,,,,,,,,,,,,,25bde00b-beaf-4adf-9c8e-b54611fc80dd,87,,,"[2.9, 26.0]",3825685,1,,,,,-0.16219883,,Left Foot,,,"[13.9, 24.2]",,Ground Pass,,11.146299,,,,Javier Garrido Behovide,26448.0,,,,,,1,Regular Play,Javier Varas Herrera,26753.0,Goalkeeper,3,Las Palmas,208,['0298b49b-fa24-4639-bda1-c6d50145a139'],12,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:12.116,Pass,
,,,,,,,,,,,,,,,,5.766238,,,,,,,,,,,,,0217d601-8220-4a37-9269-53230ac996ec,93,,,"[15.3, 23.2]",3825685,1,,,,,0.87432885,,Right Foot,,,"[62.8, 80.0]",,High Pass,,74.04384,,Out,,,,,True,,,Free Kick,1,From Free Kick,Javier Varas Herrera,26753.0,Goalkeeper,4,Las Palmas,208,,48,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:48.658,Pass,
,,,,,,,,,,,,,,,,1.592905,,,,,,,,,,,,,ee7bdc33-f79a-457a-93b5-cab5e454a9b0,94,,,"[51.3, 0.1]",3825685,1,,True,,,2.634494,,,,,"[37.8, 7.6]",,Low Pass,,15.443445,,,,Bernardo José Espinosa Zúñiga,6573.0,,,,,Throw-in,1,From Throw In,Ismael López Blanco,24263.0,Left Back,5,Sporting Gijón,1041,['d832c2b5-1668-4bd1-a06a-c4000020b504'],56,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:56.989,Pass,
,,,,,,,,,,,,,,,,3.183949,,,,,,,,,,,,,d8e118be-643b-4454-b0cf-610073ac674c,96,,,"[37.9, 8.1]",3825685,2,,,,,2.3958008,,Left Foot,,,"[15.6, 28.7]",,Ground Pass,,30.358688,,,,Iván Cuéllar Sacristán,6610.0,,,,,,1,From Throw In,Bernardo José Espinosa Zúñiga,6573.0,Left Center Back,5,Sporting Gijón,1041,['30e2a06b-15c4-4352-b3e4-aa71cb3b8e48'],4,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:02:04.618,Pass,
