bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.902711,,,,,,,,,,,,71747ee7-1b85-49c2-bdab-fd8a72bea962,46,,"[41.4, 50.0]",3825821,1,,,,,-1.5003535,,Right Foot,,,"[44.3, 8.9]",,Ground Pass,,41.202183,,,,Aymeric Laporte,4353.0,,True,,,,1,From Throw In,Xabier Etxeita Gorritxategi,6788.0,Right Center Back,6,Athletic Club,215,['b4479e20-60c2-4ea7-ba62-a2443dd6d3a6'],13,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:13.582,Pass,
,,,,,,,,,,,,,,,2.022778,,,,,,,,,,,,f0f67aac-a8e6-48ce-8aae-e21bfc65f8ad,49,,"[45.1, 8.9]",3825821,1,,,,,1.7062155,,Left Foot,,,"[39.5, 50.0]",,Ground Pass,,41.479755,,,,Xabier Etxeita Gorritxategi,6788.0,,True,,,,1,From Throw In,Aymeric Laporte,4353.0,Left Center Back,6,Athletic Club,215,['1f57ff1e-1e5d-427c-8329-dcf3241d7db7'],16,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:16.533,Pass,
,,,,,,,,,,,,,,,1.252583,,,,,,,,,,,,d4b871d3-07cc-4684-81ab-e3e08d081fe6,52,,"[62.3, 54.1]",3825821,1,,,,,1.0248975,,Right Foot,,,"[75.3, 75.5]",,Ground Pass,,25.03917,,,,Eneko Bóveda Altube,6386.0,,,,,,1,From Throw In,Xabier Etxeita Gorritxategi,6788.0,Right Center Back,6,Athletic Club,215,['5eef611b-1fd1-4224-ada3-f0d6cfcb1110'],22,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:22.398,Pass,
,,,,,,,,,,,,,,,1.651721,,,,,,,,,,,,e65eee31-c5df-4a09-9220-31d143e33ca2,55,,"[74.7, 70.5]",3825821,1,,,,,-3.0514421,,Right Foot,,,"[57.0, 68.9]",,Ground Pass,,17.77217,,,,Xabier Etxeita Gorritxategi,6788.0,,,,,,1,From Throw In,Eneko Bóveda Altube,6386.0,Right Back,6,Athletic Club,215,['a59871c3-f946-4910-b38e-54351b0fe7a7'],27,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:27.362,Pass,
,,,,,,,,,,,,,,,1.260631,,,,,,,,,,,,30ed8bf8-78ee-4aac-a54a-3f0c118509b5,58,,"[62.9, 67.2]",3825821,1,,,,,0.5258977,,Right Foot,,,"[77.2, 75.5]",,Ground Pass,,16.534206,,,,Eneko Bóveda Altube,6386.0,,,,,,1,From Throw In,Xabier Etxeita Gorritxategi,6788.0,Right Center Back,6,Athletic Club,215,['644afe19-9875-46e1-9f91-51a58ddc9d90'],32,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:32.563,Pass,
,,,,,,,,,,,,,,,0.882171,,,,,,,,,,,,a8cc5fba-c49d-45ab-90b3-d274600f56f4,62,,"[88.1, 61.0]",3825821,1,,,,,-0.51345974,,Right Foot,,,"[101.4, 53.5]",,Low Pass,,15.268923,,Incomplete,,Aritz Aduriz Zubeldia,6394.0,,,Through Ball,True,,1,From Throw In,Eneko Bóveda Altube,6386.0,Right Back,6,Athletic Club,215,"['13fb2c99-8d58-4aa5-b706-01cc3406aa53', 'e33d2840-7e94-4ac1-85c6-e28e4fa41b5b', 'f12ab63a-f98f-4ae7-b937-f16b1912ba97']",38,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:38.341,Pass,True
,,,,,,,,,,,,,,,2.88872,,,,,,,,,,,,4ebbe09f-7da8-41fe-af83-464146e0c64c,66,,"[39.3, 40.2]",3825821,1,,,,,3.1415927,,Left Foot,,,"[15.4, 40.2]",,Ground Pass,,23.9,,,,Gorka Iraizoz Moreno,6576.0,,,,,Recovery,1,From Throw In,Aymeric Laporte,4353.0,Left Center Back,6,Athletic Club,215,"['42ea4379-ff4b-4d54-8dbf-b879b6c8d495', 'bdbd79ef-451a-4d8e-9c45-22f14a15f9eb']",44,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:44.280,Pass,True
,,,,,,,,,,,,,,,2.986492,,,,,,,,,,,,9c067791-eefe-4106-85bc-fb986209258a,70,,"[15.1, 42.8]",3825821,1,,,,,0.5604776,,Right Foot,,,"[62.9, 72.8]",,High Pass,,56.434387,,Incomplete,,,,,,,,,1,From Throw In,Gorka Iraizoz Moreno,6576.0,Goalkeeper,6,Athletic Club,215,"['063ecd57-8a10-43c1-9c31-4e0a7635375b', '9de6165d-ed88-4a22-acc9-ebdc22054760']",49,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:49.122,Pass,True
,,,,,,,,,,,,,,,1.367925,,,,,,,,,,,,e6669543-cfaa-40f5-9e81-1b8488074a15,73,,"[57.0, 80.0]",3825821,1,,True,,,-1.8593837,,,,,"[53.2, 67.2]",,Low Pass,,13.352154,,,,Ander Iturraspe Derteano,6388.0,,,,,Throw-in,1,From Throw In,Eneko Bóveda Altube,6386.0,Right Back,7,Athletic Club,215,['b21e51c1-61a1-4efe-a5ad-3156db8e397d'],59,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:59.956,Pass,
,,,,,,,,,,,,,,,0.794325,,,,,,,,,,,,7c0abdd3-89e5-4044-9bb9-bad7a113502e,75,,"[53.2, 67.2]",3825821,2,,,,,1.2551807,,Right Foot,,,"[56.4, 77.0]",,Ground Pass,,10.309219,,,,Eneko Bóveda Altube,6386.0,,,,,,1,From Throw In,Ander Iturraspe Derteano,6388.0,Right Defensive Midfield,7,Athletic Club,215,['ee733130-a0cd-4c34-b9d1-b702324471a3'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:02:01.500,Pass,
