50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.337386,,,,,,,,,,,,,9c2bf1df-1d50-4223-b8fb-c25535cc2691,2735,,"[63.7, 71.8]",3825609,77,,,,,-0.67783374,,Right Foot,,,,"[75.5, 62.3]",High Pass,,15.148928,Incomplete,,Aritz Aduriz Zubeldia,6394.0,,,,,,2,From Throw In,Óscar de Marcos Arana,6649.0,Right Back,181,Real Sociedad,210,"['2d26bf95-acb8-4840-ab03-5a1924b1e7f4', 'be4069d7-0493-45df-8c14-3c050a802159']",53,,,,,,,,,,,,,,,,,Athletic Club,215,00:32:53.467,Pass,
,,,,,,,,,,,,,,,,,,3.014045,,,,,,,,,,,,,78f8ccec-473c-4a82-b8f7-a55c3ea9b091,2739,,"[46.4, 19.6]",3825609,77,,,,,1.0438007,,Left Foot,,,,"[76.6, 71.5]",High Pass,,60.047066,Incomplete,,Carlos Alberto Vela Garrido,5560.0,,True,,,,2,From Throw In,Asier Illarramendi Andonegi,6671.0,Left Defensive Midfield,181,Real Sociedad,210,"['b7b39777-8cbc-45ff-a3b1-f92bb13ef023', 'd0b1bef6-d5ed-4b10-a284-416e2a0a827e']",55,,,,,,,,,,,,,,,,,Real Sociedad,210,00:32:55.903,Pass,
,,,,,,,,,,,,,,,,,,2.395394,,,,,,,,,,,,,d0b1bef6-d5ed-4b10-a284-416e2a0a827e,2741,,"[43.5, 8.6]",3825609,77,,,,,-0.53938323,,Head,,,,"[57.7, 0.1]",High Pass,,16.549622,Out,,Markel Susaeta Laskurain,6390.0,,,,,Interception,2,From Throw In,Mikel Balenziaga Oruesagasti,6789.0,Left Back,181,Real Sociedad,210,"['78f8ccec-473c-4a82-b8f7-a55c3ea9b091', '95e9a521-2540-497d-b7e8-bae47d01d234']",58,,,,,,,,,,,,,,,,,Athletic Club,215,00:32:58.917,Pass,
,,,,,,,,,,,,,,,,,,0.972318,,,,,,,,,,,,,ffd2e543-5786-4a9e-9ee3-36851b16f6c7,2743,,"[57.4, 80.0]",3825609,78,,True,,,-2.0647378,,,,,,"[54.6, 74.8]",Low Pass,,5.905929,,,Rubén Pardo Gutiérrez,6899.0,,,,,Throw-in,2,From Throw In,Aritz Elustondo Irribaria,6679.0,Right Back,182,Real Sociedad,210,['30e2a9a1-99da-4619-a005-cba4c90a04b0'],6,,,,,,,,,,,,,,,,,Real Sociedad,210,00:33:06.479,Pass,
,,,,,,,,,,,,,,,,,,2.968109,,,,,,,,,,,,,98b2ac5e-e785-46be-95d5-d8e45cfbbbfa,2747,,"[55.3, 73.9]",3825609,78,,,,,-0.101882435,,Right Foot,,,,"[86.6, 70.7]",High Pass,,31.463154,Incomplete,,,,,,,,,2,From Throw In,Rubén Pardo Gutiérrez,6899.0,Right Defensive Midfield,182,Real Sociedad,210,"['2fdf2da1-bbde-47ad-be7a-c1d0192dac88', 'ea7f748b-1a18-49a7-8e9e-ba98b350b95c']",7,,,,,,,,,,,,,,,,,Real Sociedad,210,00:33:07.572,Pass,True
,,,,,,,,,,,,,,,,,,3.179924,,,,,,,,,,,,,24010524-7e35-4bab-b8b3-1e6963e19d6c,2750,,"[26.6, 12.5]",3825609,78,,,,,-0.04260985,,Left Foot,,,,"[52.4, 11.4]",High Pass,,25.823439,,,Markel Susaeta Laskurain,6390.0,,,,,Recovery,2,Regular Play,Aymeric Laporte,4353.0,Left Center Back,183,Athletic Club,215,"['3a5a797c-828a-487a-8f76-a03ddd3e34e8', '606aa2f0-56c6-4c08-a9f2-f7456dcb4b98']",12,,,,,,,,,,,,,,,,,Athletic Club,215,00:33:12.391,Pass,True
,,,,,,,,,,,,,,,,,,2.226564,,,,,,,,,,,,,beda7701-b6fd-46c8-afa9-bdb6b888166c,2752,,"[52.4, 11.4]",3825609,78,,,,True,0.4636476,,,,,,"[56.6, 13.5]",High Pass,,4.6957426,Incomplete,,Aritz Aduriz Zubeldia,6394.0,,,,,,2,Regular Play,Markel Susaeta Laskurain,6390.0,Left Wing,183,Athletic Club,215,"['0433e853-77f3-4c22-a245-5812ed418110', '046f9ab1-904c-4e41-bde2-684f64c20129', '4fe61a36-c330-4c46-a7a0-ed2d5ae88c7e']",15,,,,,,,,,,,,,,,,,Athletic Club,215,00:33:15.571,Pass,True
,,,,,,,,,,,,,,,,,,1.585641,,,,,,,,,,,,,75198542-5d37-4e03-9fa9-ce51f36767f8,2756,,"[34.8, 22.0]",3825609,78,,,,,0.47866794,,Head,,,,"[53.3, 31.6]",Low Pass,,20.842505,,,Raúl García Escudero,6391.0,,,,,Recovery,2,Regular Play,Xabier Etxeita Gorritxategi,6788.0,Right Center Back,183,Athletic Club,215,['9737f20a-51fd-49f0-bc32-d26e5c61cff7'],20,,,,,,,,,,,,,,,,,Athletic Club,215,00:33:20.115,Pass,
,,,,,,,,,,,,,,,,,,0.189314,,,,,,,,,,,,,35407f4c-ce6f-4be3-8623-e6010b67a296,2760,,"[53.3, 32.5]",3825609,78,,,,,1.5707964,,Right Foot,,,,"[53.3, 34.0]",Low Pass,,1.5,Incomplete,,Iñaki Williams Arthuer,6393.0,,,,,,2,Regular Play,Raúl García Escudero,6391.0,Center Attacking Midfield,183,Athletic Club,215,"['9d5f2140-d3c8-4392-820d-92a6f155aa92', 'a620b201-b0e5-443f-b42f-5c784aed4619', 'ce3743f6-f394-48c3-baee-1b2a55a26623']",22,,,,,,,,,,,,,,,,,Athletic Club,215,00:33:22.182,Pass,True
,,,,,,,,,,,,,,,,,,3.024124,,,,,,,,,,,,,fa81b9b2-5c24-4cbf-a3dd-b8ec6161faf1,2764,,"[57.2, 31.8]",3825609,78,,,,,0.48056328,,Left Foot,,,,"[99.4, 53.8]",High Pass,,47.590336,Incomplete,,Aritz Aduriz Zubeldia,6394.0,,,,,Free Kick,2,From Free Kick,Aymeric Laporte,4353.0,Left Center Back,184,Athletic Club,215,"['73649ba0-0fdd-4ea6-a095-ba74c41c9d3c', '9dcab5d0-ed85-4845-941b-fb91316736e8']",51,,,,,,,,,,,,,,,,,Athletic Club,215,00:33:51.672,Pass,
