bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.750704,,,,,,,,,,,,,10b92138-b600-4529-8edc-6eb62151393a,48,,"[74.8, 40.0]",3825804,0,,,,,1.4430554,,Right Foot,,,,"[76.2, 50.9]",,Ground Pass,,10.98954,,,Roque Luis Santa Cruz Cantero,26783.0,,,,,,1,Regular Play,Charles Días Barbosa de Oliveira,6707.0,Right Center Forward,4,Málaga,223,['48e25457-7935-462d-8085-9e1a0598332c'],42,,,,,,,,,,,,,,,,,,Málaga,223,00:00:42.004,Pass,
,,,,,,,,,,,,,,,,,1.005208,,,,,,,,,,,,,f7bbbeef-146b-4388-b282-ad22e6999faa,51,,"[76.2, 50.9]",3825804,0,,,,,-1.2883352,,Right Foot,,,,"[85.4, 19.2]",,Low Pass,,33.00803,Incomplete,,Gonzalo Castro Irizábal,6740.0,,,,,,1,Regular Play,Roque Luis Santa Cruz Cantero,26783.0,Left Center Forward,4,Málaga,223,"['33b53a0d-895f-45dc-bdfb-800dc7f0f1a2', 'cf827f32-98ab-4b4d-8f65-550e71e0414d']",42,,,,,,,,,,,,,,,,,,Málaga,223,00:00:42.965,Pass,
,,,,,,,,,,,,,,,,,1.72455,,,,,,,,,,,,,e5a9ed19-553a-4728-b2f9-724d3948954e,56,,"[38.5, 57.9]",3825804,0,,,,,0.66796345,,Right Foot,,,,"[58.4, 73.6]",,Ground Pass,,25.347584,,,Federico Nicolás Cartabia,6728.0,,,,,,1,Regular Play,Juan Francisco Moreno Fuertes,6738.0,Right Back,5,RC Deportivo La Coruña,219,['3226b159-2f4a-44db-ad56-4d92b5d3579c'],46,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:46.681,Pass,
,,,,,,,,,,,,,,,,,1.348355,,,,,,,,,,,,,766c23ff-2e55-4bbf-af0e-65010b87869f,59,,"[70.4, 75.2]",3825804,0,,,,,-2.183513,,Left Foot,,,,"[63.3, 65.1]",,Ground Pass,,12.345849,,,Alejandro Bergantiños García,23806.0,,,,,,1,Regular Play,Federico Nicolás Cartabia,6728.0,Right Wing,5,RC Deportivo La Coruña,219,['9739303f-ee21-4585-bdb1-7ab8a749c6bc'],51,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:51.787,Pass,
,,,,,,,,,,,,,,,,,0.711292,,,,,,,,,,,,,89fccfce-6cde-487f-af87-48f47992a343,62,,"[63.4, 64.9]",3825804,0,,,,,-0.33139655,,Right Foot,,,,"[72.7, 61.7]",,Ground Pass,,9.835141,,,Lucas Pérez Martínez,6732.0,,,,,,1,Regular Play,Alejandro Bergantiños García,23806.0,Right Center Midfield,5,RC Deportivo La Coruña,219,['5f31f528-e3c8-4657-a884-b23dd9131233'],53,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:53.215,Pass,
,,,,,,,,,,,,,,,,,2.048236,,,,,,,,,,,,,7ccbe14c-f9f2-410e-9077-ffeacf6651da,65,,"[71.8, 61.7]",3825804,0,,,,,0.6307494,,Left Foot,,,,"[87.0, 72.8]",,High Pass,,18.82153,,,Federico Nicolás Cartabia,6728.0,,,,,,1,Regular Play,Lucas Pérez Martínez,6732.0,Center Forward,5,RC Deportivo La Coruña,219,"['a8989a05-3fab-4321-aab0-1f98a3102d56', 'c4b65b92-6284-4a1f-a57f-a20eb60fea5a']",53,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:53.927,Pass,True
,,,,,,,,,,,,,,,,,0.310619,,,,,,,,,,,,,921b82a7-f1b8-41ae-99cc-b9957842f921,69,,"[115.7, 60.9]",3825804,0,,,,,-2.1486983,,Right Foot,,,,"[114.2, 58.6]",,Low Pass,,2.745906,Incomplete,,,,,,,,,1,Regular Play,Federico Nicolás Cartabia,6728.0,Right Wing,5,RC Deportivo La Coruña,219,"['5ec5c765-f4f4-4841-920c-e9a530a16bd2', 'fcb0bcdf-7f46-440a-88a0-283bc11a9adb']",59,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:59.269,Pass,True
,,,,,,,,,,,,,,,,,1.238779,,,,,,,,,,,,,078062eb-41bf-461b-8b95-35855fd6ef03,71,,"[120.0, 80.0]",3825804,1,,,,,-1.7554502,,Left Foot,,,,"[113.5, 45.2]",,High Pass,True,35.401836,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Lucas Pérez Martínez,6732.0,Center Forward,6,RC Deportivo La Coruña,219,['77976aa4-621c-41b5-857c-1c3edb5c1211'],29,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:29.177,Pass,
,,,,,,,,,,,,,,,,,2.365214,,,,,,,,,,,,,cbb6b26c-745b-4f35-a5f3-7dd24d48b04c,75,,"[60.2, 71.4]",3825804,1,,,,,-2.55359,,Right Foot,,,,"[34.1, 54.0]",,Ground Pass,,31.368296,,,Germán Darío Lux,27305.0,,,,,,1,From Corner,Juan Francisco Moreno Fuertes,6738.0,Right Back,6,RC Deportivo La Coruña,219,['3cca46c2-f7e5-4e8a-a19e-ff977bf28722'],38,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:38.051,Pass,
,,,,,,,,,,,,,,,,,2.807319,,,,,,,,,,,,,f1063178-4d52-4bc0-89b4-c1feb8b4872b,78,,"[31.4, 54.4]",3825804,1,,,,,0.30373448,,Right Foot,,,,"[78.3, 69.1]",,High Pass,,49.149773,Incomplete,,Federico Nicolás Cartabia,6728.0,,,,,,1,From Corner,Germán Darío Lux,27305.0,Goalkeeper,6,RC Deportivo La Coruña,219,"['1ece863e-8e00-4aab-8cc9-abed1f506c06', 'f79e9793-8a18-4120-88c2-9b798c80f5aa']",45,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:45.166,Pass,
