bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,3.836406,,,,,,,,,,,,48dd5a7c-47ae-479e-8f8c-3d66a36e59e4,58,,,"[16.8, 56.7]",3825764,1,,,,-0.46650067,,Right Foot,,,,"[72.8, 28.5]",,High Pass,,62.6996,,Incomplete,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,Free Kick,1,From Free Kick,Keylor Navas Gamboa,5597.0,Goalkeeper,5,Real Madrid,220,"['1d7f8517-d8dc-4599-8cc5-f87ec98c11b8', '95636322-29b2-49c7-8fe2-a72606b86d6c']",18,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:18.959,Pass,
,,,,,,,,,,,,,,,0.857278,,,,,,,,,,,,0f782a2d-82e4-4ef2-85f8-498964a53bec,62,,,"[52.9, 45.0]",3825764,1,,,,-0.264976,,Right Foot,,,,"[72.8, 39.6]",,Ground Pass,,20.61965,,,,David Barral Torres,26248.0,,,,,,1,From Free Kick,Rubén Salvador Pérez Del Mármol,6599.0,Right Defensive Midfield,5,Real Madrid,220,['b26e5528-8005-4665-aca5-5ddc8dfaab3a'],24,,,,,,,,,,,,,,,,,Granada,1049,00:01:24.651,Pass,
,,,,,,,,,,,,,,,0.875556,,,,,,,,,,,,318bc904-ef96-4f9a-84d3-5ffe1ebce995,70,,,"[42.5, 34.3]",3825764,1,,,,-0.6099169,,Right Foot,,,,"[50.8, 28.5]",,Ground Pass,,10.12571,,,,Francisco Román Alarcón Suárez,4926.0,,,,,,1,From Free Kick,Sergio Ramos García,5201.0,Left Center Back,5,Real Madrid,220,['5dc2814e-b25d-4737-b2fd-cb33a383b5f1'],29,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:29.168,Pass,
,,,,,,,,,,,,,,,0.825372,,,,,,,,,,,,25497aa3-cbb3-4cf4-ba51-06091b3fc15b,74,,,"[55.3, 25.4]",3825764,1,,,,0.09966865,,Right Foot,,,,"[63.3, 26.2]",,Ground Pass,,8.039901,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,1,From Free Kick,Francisco Román Alarcón Suárez,4926.0,Left Center Midfield,5,Real Madrid,220,"['23383b3d-293a-40d2-bc2f-cebaab669927', '598d2006-c118-4c7a-966b-c62eb0da57dc']",31,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:31.021,Pass,True
,,,,,,,,,,,,,,,1.506518,,,,,,,,,,,,cfc24dcb-f21e-42e9-baa5-e0cb47fe4618,77,,,"[64.5, 26.1]",3825764,1,,,,-1.9790733,,Right Foot,,,,"[56.8, 8.3]",,Ground Pass,,19.394072,,,,Marcelo Vieira da Silva Júnior,5552.0,,,,,,1,From Free Kick,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Wing,5,Real Madrid,220,['ca83d46e-1c78-4f0f-b467-e950f342c212'],31,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:31.847,Pass,
,,,,,,,,,,,,,,,0.8399,,,,,,,,,,,,cfa67dbb-e51b-43f7-ae92-222a07d8043a,80,,,"[85.7, 8.7]",3825764,1,,,,-0.9624713,,Left Foot,,,,"[89.6, 3.1]",,Ground Pass,,6.8242216,,,,Francisco Román Alarcón Suárez,4926.0,,,,,,1,From Free Kick,Marcelo Vieira da Silva Júnior,5552.0,Left Back,5,Real Madrid,220,['a900bc18-c6ed-4fd4-8470-702c7b0db3f9'],37,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:37.419,Pass,
,,,,,,,,,,,,,,,2.448455,,,,,,,,,,,,683e8d8c-c6c9-4d9d-8ac7-7c18d0f64aa6,89,,,"[84.6, 10.4]",3825764,1,,,,0.3026732,,Right Foot,,,,"[111.5, 18.8]",,Ground Pass,,28.181023,,,,Francisco Román Alarcón Suárez,4926.0,,,Through Ball,True,,1,From Free Kick,Marcelo Vieira da Silva Júnior,5552.0,Left Back,5,Real Madrid,220,['0646dca1-3690-4aa0-81aa-09d01d6c08bf'],43,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:43.991,Pass,
,,,,,,,,,,,,,,,0.685516,,,,,,,,,,,,78fbf5ac-5ffa-4808-9e9a-7e6187d80411,91,,,"[111.8, 19.6]",3825764,1,,,,2.0432932,,Left Foot,,,,"[107.2, 28.6]",,Ground Pass,,10.107423,,Incomplete,,James David Rodríguez Rubio,5695.0,,,,,,1,From Free Kick,Francisco Román Alarcón Suárez,4926.0,Left Center Midfield,5,Real Madrid,220,"['529b290d-c130-42af-adb4-3d2a26bb19f0', 'f5fd6c47-1e3d-446c-a71d-3b3a2fd531b8']",46,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:46.440,Pass,
,,,,,,,,,,,,,,,1.320145,,,,,,,,,,,,428a60ab-8042-4fd3-b126-0e35472780d7,97,,,"[30.5, 76.0]",3825764,1,,,,0.32175055,,Right Foot,,,,"[42.5, 80.0]",,Low Pass,,12.649111,,Out,,Isaac Ajayi Success,6918.0,,,,,,1,From Free Kick,Rubén Rochina Naixes,6680.0,Center Attacking Midfield,5,Real Madrid,220,"['0dee1a6a-b7ea-4287-9137-2a5baa55197b', '95ec9fc9-5667-41ce-8e72-7ecb0953a1ee']",56,,,,,,,,,,,,,,,,,Granada,1049,00:01:56.186,Pass,True
,,,,,,,,,,,,,,,0.612127,,,,,,,,,,,,937a59b7-7573-4b66-9fc0-afa60778ce3e,99,,,"[78.0, 0.1]",3825764,2,True,,,2.7011967,,,,,,"[51.9, 12.4]",,Low Pass,,28.853077,,,,Sergio Ramos García,5201.0,,,,,Throw-in,1,From Throw In,Marcelo Vieira da Silva Júnior,5552.0,Left Back,6,Real Madrid,220,['7abade82-c107-4027-969f-0cc2fecd43fe'],9,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:09.055,Pass,
,,,,,,,,,,,,,,,0.333851,,,,,,,,,,,,5cc7255f-027f-4bd4-8cd0-85c126edff11,101,,,"[56.3, 2.0]",3825764,2,True,,,1.8086323,,Right Foot,,,,"[54.7, 8.6]",,Ground Pass,,6.7911706,,,,Toni Kroos,5574.0,,,,,,1,From Throw In,Sergio Ramos García,5201.0,Left Center Back,6,Real Madrid,220,['f9e36b9a-fda8-40e9-9c6a-ca84f0e7f09d'],9,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:09.845,Pass,
,,,,,,,,,,,,,,,1.07712,,,,,,,,,,,,d6801f23-a203-4cf1-afd6-8caf6d25b679,103,,,"[54.7, 8.6]",3825764,2,,,,-1.2439697,,Right Foot,,,,"[56.7, 2.7]",,Ground Pass,,6.2297673,,,,Sergio Ramos García,5201.0,,,,,,1,From Throw In,Toni Kroos,5574.0,Center Defensive Midfield,6,Real Madrid,220,['a9ac0ff0-aa2f-4c86-9d5a-4859632f011b'],10,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:10.219,Pass,
,,,,,,,,,,,,,,,2.284063,,,,,,,,,,,,60d43db3-2e45-4436-b868-775fa8b24ed0,106,,,"[57.1, 2.3]",3825764,2,,,,1.9663941,,Right Foot,,,,"[42.4, 37.5]",,Ground Pass,,38.146168,,,,Raphaël Varane,5485.0,,,,,,1,From Throw In,Sergio Ramos García,5201.0,Left Center Back,6,Real Madrid,220,['30581da0-9b06-48a4-b70b-1ff7efce65ee'],13,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:13.239,Pass,
,,,,,,,,,,,,,,,1.628432,,,,,,,,,,,,e2e4e1eb-be7c-4c16-869a-998ccd697a2f,109,,,"[43.6, 40.1]",3825764,2,,,,1.4278388,,Left Foot,,,,"[47.4, 66.5]",,Ground Pass,,26.672083,,,,Daniel Carvajal Ramos,5721.0,,,,,,1,From Throw In,Raphaël Varane,5485.0,Right Center Back,6,Real Madrid,220,['020c13c2-8c59-475d-be6c-e574f55d3005'],16,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:16.630,Pass,
,,,,,,,,,,,,,,,0.886627,,,,,,,,,,,,d9b76a58-0ced-4913-b7e8-c685e4b3a4c0,115,,,"[50.6, 73.5]",3825764,2,True,,,-2.3255918,,Right Foot,,,,"[41.1, 63.4]",,Ground Pass,,13.865786,,,,Toni Kroos,5574.0,,,,,Free Kick,1,From Free Kick,Daniel Carvajal Ramos,5721.0,Right Back,7,Real Madrid,220,['9292b57a-a358-4121-8f5a-dc9286a7ea50'],39,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:39.518,Pass,
,,,,,,,,,,,,,,,2.263159,,,,,,,,,,,,0e57da80-b995-4e1d-8f96-d817f604568d,117,,,"[43.6, 53.9]",3825764,2,,,,-1.5820634,,Right Foot,,,,"[43.2, 18.4]",,Ground Pass,,35.502254,,,,Sergio Ramos García,5201.0,,,,,,1,From Free Kick,Toni Kroos,5574.0,Center Defensive Midfield,7,Real Madrid,220,['1507bb7f-201c-4fa4-9082-faf397246531'],43,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:43.040,Pass,
