50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.583244,,,,,,,,,,,,,,,378a8247-5471-4ddf-89ca-83425f13c6aa,61,,"[56.9, 55.8]",3825620,1,,,,,-0.5439698,,Right Foot,,,"[69.3, 48.3]",,Ground Pass,,14.491722,,,Francisco Portillo Soler,6873.0,,,,,,,1,From Free Kick,Bruno González Cabrera,6872.0,Right Center Back,5,Real Betis,218,['0f645f64-3734-4864-8fe2-8d59cc5d9566'],14,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:14.655,Pass,
,,,,,,,,,,,,,,,1.984514,,,,,,,,,,,,,,,6da3c5da-26b9-406c-86d7-b420e5cfd1ef,65,,"[69.3, 49.2]",3825620,1,,,,,1.9742154,,Right Foot,,,"[62.3, 65.6]",,Ground Pass,,17.831432,,,Cristiano Piccini,11634.0,,,,,,,1,From Free Kick,Francisco Portillo Soler,6873.0,Left Midfield,5,Real Betis,218,"['83f8fffa-f50d-4e90-9e17-415c06ef606a', 'f40d1dcb-45db-4e79-b774-8119bdfa9ad8']",16,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:16.347,Pass,True
,,,,,,,,,,,,,,,1.167336,,,,,,,,,,,,,,,b4324cf2-d63f-4348-b350-2170a9778ece,67,,"[62.3, 65.0]",3825620,1,,,,,-2.821285,,Right Foot,,,"[41.5, 58.1]",,Ground Pass,,21.914606,,,Bruno González Cabrera,6872.0,,,,,,,1,From Free Kick,Cristiano Piccini,11634.0,Right Back,5,Real Betis,218,['1a748130-4789-493d-adee-c4c2c9ca7cc9'],18,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:18.332,Pass,
,,,,,,,,,,,,,,,1.8678,,,,,,,,,,,,,,,6a5ec344-5321-460b-b964-2f6dbcde6c79,70,,"[33.8, 58.8]",3825620,1,,,,,-2.6211343,,Left Foot,,,"[9.2, 44.7]",,Ground Pass,,28.354364,,,Antonio Adán Garrido,6654.0,,,,,,,1,From Free Kick,Bruno González Cabrera,6872.0,Right Center Back,5,Real Betis,218,['bb3ad99f-7ab5-48e2-82e4-6a0ca2558d01'],20,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:20.796,Pass,
,,,,,,,,,,,,,,,4.721855,,,,,,,,,,,,,,,f63bf17a-8329-4523-8b81-9e94fc579ea4,73,,"[12.4, 40.0]",3825620,1,,,,,0.30809838,,Left Foot,,,"[102.9, 68.8]",,High Pass,,94.972046,Incomplete,,Álvaro Cejudo Carmona,26723.0,,,,,,,1,From Free Kick,Antonio Adán Garrido,6654.0,Goalkeeper,5,Real Betis,218,"['96571681-6821-4072-b1a1-69d0b0b0cdc8', 'd77c2833-9fa1-4bc0-87a0-d56997398eb2']",34,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:34.824,Pass,
,,,,,,,,,,,,,,,0.736923,,,,,,,,,,,,,,,91fee61e-7383-4a1a-b1f3-cd5d8e514d5a,77,,"[100.8, 77.8]",3825620,1,,,,,-2.7942066,,Left Foot,,,"[95.0, 75.7]",,Ground Pass,,6.168468,,,Vincenzo Renato Rennella,24277.0,,,,,,Recovery,1,From Free Kick,Álvaro Cejudo Carmona,26723.0,Right Midfield,5,Real Betis,218,"['490f82de-6c1a-4eaa-92bf-a1f13f9848f8', 'c4fc1a1e-e827-432d-83d9-e3e8006e0efa']",41,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:41.458,Pass,True
,,,,,,,,,,,,,,,1.669822,,,,,,,,,,,,,,,79a717e9-a53f-4f45-8653-e3d1a21ba80e,84,,"[77.0, 65.8]",3825620,1,,,,,-3.005821,,Left Foot,,,"[58.7, 63.3]",,Ground Pass,,18.469976,,,Bruno González Cabrera,6872.0,,,,,,,1,From Free Kick,Vincenzo Renato Rennella,24277.0,Right Center Forward,5,Real Betis,218,['7917838e-ce58-49f8-8084-f7d8c99fc59c'],46,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:46.148,Pass,
,,,,,,,,,,,,,,,3.271201,,,,,,,,,,,,,,,c1fbdb8a-807e-4b49-b465-51299fb06fc6,87,,"[58.4, 62.8]",3825620,1,,,,,-1.7558469,,Right Foot,,,"[54.6, 42.5]",,Ground Pass,,20.652603,,,Heiko Westermann,27349.0,,,,,,,1,From Free Kick,Bruno González Cabrera,6872.0,Right Center Back,5,Real Betis,218,['0c34189d-1607-4974-b130-0a25e3a12e12'],48,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:48.719,Pass,
,,,,,,,,,,,,,,,5.24203,,,,,,,,,,,,,,,561bcda2-57cc-4ecd-ae14-c8de8b7dc6fb,91,,"[52.7, 19.2]",3825620,1,,,,,-0.0029717595,,Left Foot,,,"[120.0, 19.0]",,High Pass,,67.3003,Out,,Francisco Miguel Varela Martín,24132.0,,,,,,,1,From Free Kick,Heiko Westermann,27349.0,Left Center Back,5,Real Betis,218,"['36f418bd-50fb-4f4b-82b1-d005789b9336', 'ddeccd4e-c05b-4e6f-b1fc-57fbbb0b8824']",52,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:52.006,Pass,True
,,,,,,,,,,,,,,,3.433943,,,,,,,,,,,,,,,d8028b1e-8726-4f06-bbd0-ad7944aeefc1,93,,"[6.0, 44.0]",3825620,2,,,,,-0.090023994,,Right Foot,,,"[76.9, 37.6]",,High Pass,,71.18827,Incomplete,,,,,,,,,Goal Kick,1,From Goal Kick,Antonio Rodríguez Martínez,26070.0,Goalkeeper,6,Rayo Vallecano,360,['bce29cc6-f5eb-480f-936c-3cf164da918c'],26,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:26.260,Pass,
