50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.919999,,,,,,,,,,,,,,3a09878b-76cc-4b8a-927e-dc29fc5b782e,84,,"[38.5, 78.4]",3825823,3,,,,,-3.1288815,,Right Foot,,,,"[14.9, 78.1]",,Ground Pass,,23.601906,,,,Adil Rami,3253.0,,,,,1,From Throw In,Mariano Ferreira Filho,21210.0,Right Back,9,Sevilla,213,['04917e03-c4d8-4cc2-a4c5-ef6add443289'],32,,,,,,,,,,,,,,,,,Sevilla,213,00:03:32.687,Pass,
,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,6c662237-641f-4317-b251-2a6b8910913b,88,,"[16.1, 78.8]",3825823,3,,,,,-2.0531492,,Right Foot,,,,"[3.9, 55.5]",,Ground Pass,,26.30076,,,,Sergio Rico González,6823.0,,,,,1,From Throw In,Adil Rami,3253.0,Right Center Back,9,Sevilla,213,['66aa7ad3-a540-4c91-830a-8312ff070667'],35,,,,,,,,,,,,,,,,,Sevilla,213,00:03:35.287,Pass,
,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,24815389-9738-4dc7-9c16-c8b89aab750a,91,,"[5.3, 47.1]",3825823,3,,,,,-0.7128863,,Left Foot,,,,"[49.6, 8.8]",,High Pass,,58.56091,,,,Benoît Trémoulinas,27483.0,,,,,1,From Throw In,Sergio Rico González,6823.0,Goalkeeper,9,Sevilla,213,['45472096-4dc0-4ca7-85c1-b114ec95adac'],39,,,,,,,,,,,,,,,,,Sevilla,213,00:03:39.527,Pass,
,,,,,,,,,,,,,,,,,,1.679999,,,,,,,,,,,,,,d7fa8a17-4f7c-4ae8-b02c-571e88a01602,94,,"[42.9, 10.1]",3825823,3,,,,,2.8217914,,Left Foot,,,,"[27.5, 15.2]",,Ground Pass,,16.222515,,,,Timothée Kolodziejczak,10476.0,,,,,1,From Throw In,Benoît Trémoulinas,27483.0,Left Back,9,Sevilla,213,['90b249b7-4f06-44fa-bcae-594dacf50613'],45,,,,,,,,,,,,,,,,,Sevilla,213,00:03:45.447,Pass,
,,,,,,,,,,,,,,,,,,0.959998,,,,,,,,,,,,,,cf175199-8e01-4d7f-b256-8109529e75ca,97,,"[27.5, 15.2]",3825823,3,,,,,1.2777585,,Left Foot,,,,"[31.0, 26.8]",,Ground Pass,,12.116518,,,,Grzegorz Krychowiak,3637.0,,,,,1,From Throw In,Timothée Kolodziejczak,10476.0,Left Center Back,9,Sevilla,213,['8297de8f-7a4f-4473-a753-24964cc9275b'],47,,,,,,,,,,,,,,,,,Sevilla,213,00:03:47.647,Pass,
,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,66870e10-cd03-44a8-854b-e8cdbabff87e,100,,"[31.0, 26.8]",3825823,3,,,,,-1.8042244,,Right Foot,,,,"[27.6, 12.5]",,Ground Pass,,14.698639,,,,Timothée Kolodziejczak,10476.0,,,,,1,From Throw In,Grzegorz Krychowiak,3637.0,Left Defensive Midfield,9,Sevilla,213,['d2417cdd-642e-4511-9406-71aeca4cec2b'],48,,,,,,,,,,,,,,,,,Sevilla,213,00:03:48.647,Pass,
,,,,,,,,,,,,,,,,,,0.759996,,,,,,,,,,,,,,271f711f-493d-4a98-921d-2cde7a89d268,103,,"[35.0, 10.1]",3825823,3,,,,,0.114876606,,Left Foot,,,,"[58.4, 12.8]",,Ground Pass,,23.555254,,,,Éver Maximiliano David Banega,5504.0,,,,,1,From Throw In,Timothée Kolodziejczak,10476.0,Left Center Back,9,Sevilla,213,['5886945c-b9ae-46dc-b4aa-30c5b4568176'],51,,,,,,,,,,,,,,,,,Sevilla,213,00:03:51.327,Pass,
,,,,,,,,,,,,,,,,,,3.022315,,,,,,,,,,,,,,cabe935f-92c6-4cdd-8751-6c0d37b45ef5,106,,"[58.4, 12.8]",3825823,3,,,,,0.36371064,,No Touch,,,,"[89.4, 24.6]",,Ground Pass,,33.169865,True,Incomplete,,Víctor Machín Pérez,6841.0,,,,,1,From Throw In,Éver Maximiliano David Banega,5504.0,Center Attacking Midfield,9,Sevilla,213,"['bb1d5755-5fb0-4abc-8c31-1743c5aa0a48', 'eeeac281-e065-4092-b974-8341ddcfb20e']",52,,,,,,,,,,,,,,,,,Sevilla,213,00:03:52.127,Pass,
,,,,,,,,,,,,,,,,,,2.611639,,,,,,,,,,,,,,eeeac281-e065-4092-b974-8341ddcfb20e,108,,"[30.7, 55.5]",3825823,3,,,,,-2.8097641,,Left Foot,,,,"[4.0, 46.3]",,Ground Pass,,28.240574,,,,Gerónimo Rulli,6694.0,,,,Recovery,1,Regular Play,Íñigo Martínez Berridi,6665.0,Left Center Back,10,Real Sociedad,210,"['98528650-e5ee-4eaf-934b-197aa7cc04c5', 'cabe935f-92c6-4cdd-8751-6c0d37b45ef5']",55,,,,,,,,,,,,,,,,,Real Sociedad,210,00:03:55.149,Pass,
,,,,,,,,,,,,,,,,,,3.966619,,,,,,,,,,,,,,081c54a2-e664-4bfb-9b21-e91f94f4095d,110,,"[4.0, 46.3]",3825823,3,,,,,0.2896331,,Right Foot,,,,"[64.4, 64.3]",,High Pass,,63.025074,,Incomplete,,,,,,,,1,Regular Play,Gerónimo Rulli,6694.0,Goalkeeper,10,Real Sociedad,210,['106a6913-3afe-4441-9a5d-c0249dc8d2bf'],57,,,,,,,,,,,,,,,,,Real Sociedad,210,00:03:57.761,Pass,
