50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.607688,,,,,,,,,,,,,6aba840c-ff17-4ec2-96cc-d31e8926db8b,50,,"[40.6, 6.3]",3825891,1,True,,,2.9479706,,Left Foot,,,"[25.3, 9.3]",,Ground Pass,,15.591344,,,,Enzo Pablo Roco Roco,16456.0,,,,,,,1,From Free Kick,Rubén Duarte Sánchez,6612.0,Left Back,5,Espanyol,214,['d4c40aa9-d64f-4482-b9fc-442f21a5f840'],47,,,,,,,,,,,,,,,,,Espanyol,214,00:01:47.962,Pass,
,,,,,,,,,,,,,,,,,,2.048334,,,,,,,,,,,,,58659871-fdb7-461b-a6c1-8e277e4f2a87,52,,"[20.9, 11.2]",3825891,1,,,,1.9370091,,Right Foot,,,"[10.2, 39.1]",,Ground Pass,,29.881432,,,,Pau López Sabata,6792.0,,,,,,,1,From Free Kick,Enzo Pablo Roco Roco,16456.0,Left Center Back,5,Espanyol,214,['b210e6e4-663b-4922-8f50-03a542214fae'],50,,,,,,,,,,,,,,,,,Espanyol,214,00:01:50.863,Pass,
,,,,,,,,,,,,,,,,,,2.78525,,,,,,,,,,,,,306c7aa8-9d8b-4aa9-bc44-c0e35c743f18,55,,"[8.9, 42.5]",3825891,1,,,,1.2223141,,Left Foot,,,"[19.0, 70.3]",,Ground Pass,,29.577864,,,,Álvaro González Soberón,6762.0,,,,,,,1,From Free Kick,Pau López Sabata,6792.0,Goalkeeper,5,Espanyol,214,['503e9810-ba06-4981-97c6-f169937c0b7f'],54,,,,,,,,,,,,,,,,,Espanyol,214,00:01:54.158,Pass,
,,,,,,,,,,,,,,,,,,0.095921,,,,,,,,,,,,,4024b9dd-f971-4723-8b2f-4ab4f618ccfb,59,,"[20.1, 70.4]",3825891,1,,,,0.34302393,,Right Foot,,,"[21.5, 70.9]",,Low Pass,,1.4866068,,Incomplete,,,,,,,,,,1,From Free Kick,Álvaro González Soberón,6762.0,Right Center Back,5,Espanyol,214,"['328221ab-2477-4e36-b500-31e23d08652b', 'e44986ce-8218-450e-9723-b13c54b97bbe']",58,,,,,,,,,,,,,,,,,Espanyol,214,00:01:58.069,Pass,True
,,,,,,,,,,,,,,,,,,0.946402,,,,,,,,,,,,,51f3d6d5-ee04-4333-b10a-50ea4b9b543a,61,,"[36.3, 80.0]",3825891,2,,,,-0.64987046,,,,,"[43.8, 74.3]",,Low Pass,,9.420191,,,,Hernán Arsenio Pérez González,6838.0,,,,,,Throw-in,1,From Throw In,Javier López Rodríguez,6791.0,Right Back,6,Espanyol,214,['f70dbbcc-e1b5-4a23-a37b-f72dbf81f70f'],11,,,,,,,,,,,,,,,,,Espanyol,214,00:02:11.081,Pass,
,,,,,,,,,,,,,,,,,,0.740412,,,,,,,,,,,,,d1ac5e56-2122-4d73-8713-e76fab39b018,64,,"[43.8, 74.5]",3825891,2,,,,2.819842,,Right Foot,,,"[38.7, 76.2]",,Ground Pass,,5.375872,,,,Javier López Rodríguez,6791.0,,,,,,,1,From Throw In,Hernán Arsenio Pérez González,6838.0,Right Wing,6,Espanyol,214,"['2af695df-55fb-4c6e-9d0f-d3710f8ba856', 'd1d45065-f818-4c49-a486-0ba6119686eb']",12,,,,,,,,,,,,,,,,,Espanyol,214,00:02:12.028,Pass,True
,,,,,,,,,,,,,,,,,,0.549179,,,,,,,,,,,,,daaa2cf1-5cf9-48ff-8dab-60e4b111fc7d,67,,"[38.2, 76.2]",3825891,2,,,,0.104876935,,Right Foot,,,"[42.0, 76.6]",,Ground Pass,,3.8209946,,,,Hernán Arsenio Pérez González,6838.0,,,,,,,1,From Throw In,Javier López Rodríguez,6791.0,Right Back,6,Espanyol,214,['6137ebb9-8df6-4614-8184-61349b14dd4f'],13,,,,,,,,,,,,,,,,,Espanyol,214,00:02:13.218,Pass,
,,,,,,,,,,,,,,,,,,0.684047,,,,,,,,,,,,,6e018d60-ac5a-42c2-a55c-da379a019787,71,,"[41.0, 78.1]",3825891,2,,,,-1.6447353,,Right Foot,,,"[40.6, 72.7]",,Ground Pass,,5.4147944,,,,Javier López Rodríguez,6791.0,,,,,,,1,From Throw In,Hernán Arsenio Pérez González,6838.0,Right Wing,6,Espanyol,214,"['39913d15-d12b-49db-92d9-a05ea7736e2e', '66ce4df8-88f5-4ccb-80c5-52b3378a3038']",14,,,,,,,,,,,,,,,,,Espanyol,214,00:02:14.624,Pass,True
,,,,,,,,,,,,,,,,,,0.760916,,,,,,,,,,,,,f2498258-23a0-4849-be5f-c1d1674beed6,73,,"[40.4, 72.5]",3825891,2,,,,0.0863234,,Right Foot,,,"[50.8, 73.4]",,Ground Pass,,10.438869,,,,Víctor Sánchez Mata,6758.0,,,,,,,1,From Throw In,Javier López Rodríguez,6791.0,Right Back,6,Espanyol,214,['297be914-aa51-4b64-96e8-7c6c3c6dabc8'],15,,,,,,,,,,,,,,,,,Espanyol,214,00:02:15.308,Pass,
,,,,,,,,,,,,,,,,,,0.730434,,,,,,,,,,,,,8c246b10-ce35-4a62-bb37-038529bf1748,75,,"[51.1, 73.5]",3825891,2,,,,-2.6467052,,Left Foot,,,"[44.8, 70.1]",,Ground Pass,,7.1589108,,,,Javier López Rodríguez,6791.0,,,,,,,1,From Throw In,Víctor Sánchez Mata,6758.0,Right Defensive Midfield,6,Espanyol,214,['d773900f-4606-4c75-bef9-2bdcc2f076f5'],16,,,,,,,,,,,,,,,,,Espanyol,214,00:02:16.069,Pass,
