bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.937993,,,,,,,,,,,,9286596e-31bd-45e3-b891-b19e50c1107d,57,,"[63.1, 67.4]",3825825,1,,,,,0.61466295,,Right Foot,,,"[73.3, 74.6]",Ground Pass,,12.485191,,,,Joan Verdú Fernández,26211.0,,,,,1,From Throw In,Jefferson Andrés Lerma Solís,5678.0,Right Back,6,Levante UD,221,['3b80f733-c513-468c-a84a-1b8165894fc5'],47,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:47.556,Pass,
,,,,,,,,,,,,,,,,,1.026128,,,,,,,,,,,,cb368069-ecca-4a2c-9257-20911a70fef7,60,,"[72.7, 75.2]",3825825,1,,,,,-2.4429328,,Right Foot,,,"[62.7, 66.8]",Ground Pass,,13.059862,,,,José Antonio García Rabasco,24149.0,,,,,1,From Throw In,Joan Verdú Fernández,26211.0,Right Midfield,6,Levante UD,221,['bdf366ef-6635-411a-913e-54765f368489'],49,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:49.187,Pass,
,,,,,,,,,,,,,,,,,2.921686,,,,,,,,,,,,b4875617-ba16-4986-9fe2-d1a151f64e4e,63,,"[63.1, 66.4]",3825825,1,,,,,-1.0674225,,Right Foot,,,"[87.0, 23.0]",High Pass,,49.545635,,Incomplete,,,,,True,,,1,From Throw In,José Antonio García Rabasco,24149.0,Left Defensive Midfield,6,Levante UD,221,['1b10ac7f-5d74-4d7e-8358-e5fd84679c4b'],51,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:51.027,Pass,
,,,,,,,,,,,,,,,,,1.796602,,,,,,,,,,,,199cdd6b-c921-427b-9c32-e01963d92937,68,,"[89.4, 19.4]",3825825,1,,,,,-1.3272797,,Right Foot,,,"[93.4, 3.3]",Ground Pass,,16.589455,,,,Juan Francisco García García,26023.0,,,,,1,From Throw In,José Luis Morales Nogales,6668.0,Left Midfield,6,Levante UD,221,['6a689a1d-5676-4303-b974-0f668b1b8f00'],58,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:58.142,Pass,
,,,,,,,,,,,,,,,,,1.324208,,,,,,,,,,,,8097f880-5c26-4b13-96e6-c552a7f2d389,71,,"[96.2, 2.7]",3825825,1,,,,,1.3160957,,Left Foot,True,,"[105.0, 36.5]",High Pass,,34.92678,,Incomplete,,Giuseppe Rossi,7141.0,,,,,1,From Throw In,Juan Francisco García García,26023.0,Left Back,6,Levante UD,221,"['6658664b-674f-4481-9828-3cb9685ec46e', '6971b1ae-d187-4e9e-adf6-c07d9f82b6ff']",59,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:59.979,Pass,
,,,,,,,,,,,,,,,,,1.631444,,,,,,,,,,,,de4abc94-af26-4419-9c98-0aab8c75c6ce,74,,"[32.5, 47.8]",3825825,2,,,,True,0.0,,,,,"[45.6, 47.8]",High Pass,,13.1,,Incomplete,,,,,,,Recovery,1,From Throw In,Pablo Pérez Rodríguez,23838.0,Center Attacking Midfield,6,Levante UD,221,"['89a14286-9839-4438-8e1c-da103291bc3c', '8a6f96e3-b6ea-4577-a0ef-f568919438ec']",3,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:02:03.913,Pass,True
,,,,,,,,,,,,,,,,,1.348039,,,,,,,,,,,,6654c0a6-9f71-4985-99f5-a4a789475eb6,78,,"[70.9, 31.1]",3825825,2,,,,,-1.4318376,,Right Foot,,,"[74.9, 2.5]",Ground Pass,,28.878366,,,,Juan Francisco García García,26023.0,,,,,1,From Throw In,José Antonio García Rabasco,24149.0,Left Defensive Midfield,6,Levante UD,221,['6ebc8815-41a2-4ae4-83cd-734d2edaf0c2'],6,,,,,,,,,,,,,,,,,,Levante UD,221,00:02:06.891,Pass,
,,,,,,,,,,,,,,,,,2.520841,,,,,,,,,,,,9889a1dd-8101-4ced-b65b-ec6d950b0a9f,81,,"[74.5, 2.5]",3825825,2,,,,,-0.0790429,,Left Foot,,,"[104.8, 0.1]",High Pass,,30.394901,,Out,,José Luis Morales Nogales,6668.0,,,,,1,From Throw In,Juan Francisco García García,26023.0,Left Back,6,Levante UD,221,['ba5a1f64-e10c-4bdd-8af2-ef541a03cb99'],9,,,,,,,,,,,,,,,,,,Levante UD,221,00:02:09.690,Pass,
,,,,,,,,,,,,,,,,,1.555535,,,,,,,,,,,,772d5ea4-6dc0-4f0a-b659-102783ca0816,83,,"[25.1, 80.0]",3825825,2,,,,,-0.58327824,,,,,"[39.8, 70.3]",Low Pass,,17.611927,,,,Carlos Carmona Bonet,23848.0,,,,Throw-in,1,From Throw In,Alberto Lora Ramos,26633.0,Right Back,7,Sporting Gijón,1041,['a8636598-b346-4c7e-ba4d-19c85c714bd8'],21,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:02:21.961,Pass,
,,,,,,,,,,,,,,,,,1.507113,,,,,,,,,,,,f1cdc457-c5c1-4260-9ed0-0a60fd2140b2,86,,"[38.6, 69.5]",3825825,2,,,,,2.6313837,,Other,,,"[27.7, 75.6]",Low Pass,,12.490797,,Incomplete,,,,,,,,1,From Throw In,Carlos Carmona Bonet,23848.0,Right Wing,7,Sporting Gijón,1041,['15a7bf77-a949-4c44-b176-e2b327cc3736'],23,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:02:23.540,Pass,
,,,,,,,,,,,,,,,,,3.152148,,,,,,,,,,,,e2f8ac69-077e-4ab1-ba68-530533a49164,92,,"[32.1, 80.0]",3825825,2,,,,,-0.2973024,,,,,"[55.6, 72.8]",High Pass,,24.578243,,,,Arnaldo Antonio Sanabria Ayala,6880.0,,,,Throw-in,1,From Throw In,Alberto Lora Ramos,26633.0,Right Back,8,Sporting Gijón,1041,['6fbf2469-72f9-474b-8698-4ac1361b48f0'],48,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:02:48.143,Pass,
,,,,,,,,,,,,,,,,,2.384515,,,,,,,,,,,,a91e26e4-7603-4df2-9842-60f3b8aa2f87,97,,"[52.6, 71.5]",3825825,3,,,,,-1.776539,,Right Foot,,,"[45.4, 37.0]",Ground Pass,,35.243298,,,,Ognjen Vranješ,16332.0,,,,Free Kick,1,From Free Kick,Luis Hernández Rodríguez,6561.0,Right Center Back,9,Sporting Gijón,1041,['03883faa-f83d-4491-be13-a59c12faa829'],1,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:03:01.841,Pass,
,,,,,,,,,,,,,,,,,1.502849,,,,,,,,,,,,e8ba34c4-b3f6-4ca6-b097-3dabfca46059,100,,"[44.0, 23.7]",3825825,3,,,,,1.6114715,,Right Foot,,,"[42.6, 58.1]",Ground Pass,,34.42848,,,,Luis Hernández Rodríguez,6561.0,,,,,1,From Free Kick,Ognjen Vranješ,16332.0,Left Center Back,9,Sporting Gijón,1041,['e8ab28d4-8485-4121-b5e7-0590dd8582f6'],6,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:03:06.198,Pass,
,,,,,,,,,,,,,,,,,2.949721,,,,,,,,,,,,df4d91ef-be80-40ac-9121-e5725cca1be1,104,,"[43.0, 61.7]",3825825,3,,,,,0.4126614,,Right Foot,,,"[84.8, 80.0]",High Pass,,45.630363,,Out,,,,,,,,1,From Free Kick,Luis Hernández Rodríguez,6561.0,Right Center Back,9,Sporting Gijón,1041,['ee966b03-5186-4ccf-888d-1f1d38e9f9f9'],9,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:03:09.197,Pass,True
,,,,,,,,,,,,,,,,,2.229394,,,,,,,,,,,,c9bda97c-a427-4af6-b154-f7cb89aa4aac,105,,"[44.6, 0.1]",3825825,3,,,,,0.20934159,,,,,"[71.9, 5.9]",High Pass,,27.909317,,Incomplete,,,,,,,Throw-in,1,From Throw In,Juan Francisco García García,26023.0,Left Back,10,Levante UD,221,['846598f8-6194-4bfa-a79d-5886dbdfaa14'],16,,,,,,,,,,,,,,,,,,Levante UD,221,00:03:16.278,Pass,
,,,,,,,,,,,,,,,,,1.79876,,,,,,,,,,,,a6c4f519-5e64-4d5e-88bd-f267f20ce630,110,,"[73.7, 3.9]",3825825,3,,,,,0.7015615,,Left Foot,,,"[86.6, 14.8]",High Pass,,16.888458,,Unknown,,José Luis Morales Nogales,6668.0,,,,,1,From Throw In,Deyverson Brum Silva Acosta,25134.0,Right Center Forward,10,Levante UD,221,['432fc013-5e14-476a-a657-77a0e266d8b2'],22,,,,,,,,,,,,,,,,,,Levante UD,221,00:03:22.089,Pass,
