50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.171875,,,,,,,,,,,,,,13f467ae-825b-4aef-ba1e-3baf4cc58a8e,971,,"[14.6, 47.6]",3825826,27,,,,,0.76159316,,Right Foot,,,,"[27.5, 59.9]",Ground Pass,,17.82414,,,,,Jean-Sylvain Claude Babin,4498.0,,,,,,,1,Regular Play,Andrés Eduardo Fernández Moreno,8697.0,Goalkeeper,50,Granada,1049,['33cab062-48c0-497b-8398-a840e9faeeb2'],14,,,,,,,,,,,,,,,,,Granada,1049,00:27:14.132,Pass,
,,,,,,,,,,,,,,,,1.824024,,,,,,,,,,,,,,b720662a-1107-425c-9499-36c58ddc9c2b,974,,"[27.9, 59.4]",3825826,27,,,,,-2.4232316,,Right Foot,,,,"[12.8, 46.2]",Ground Pass,,20.056171,,,,,Andrés Eduardo Fernández Moreno,8697.0,,,,,,,1,Regular Play,Jean-Sylvain Claude Babin,4498.0,Right Center Back,50,Granada,1049,['b9070d64-89f9-494a-b4bd-3a46031114fb'],15,,,,,,,,,,,,,,,,,Granada,1049,00:27:15.571,Pass,
,,,,,,,,,,,,,,,,3.690519,,,,,,,,,,,,,,a81ed1c7-5e19-43ad-9e53-0cc09ccefb9d,977,,"[15.4, 46.5]",3825826,27,,,,,0.19458658,,Right Foot,,,,"[70.2, 57.3]",High Pass,,55.854095,,,Incomplete,,,,,,,,,,1,Regular Play,Andrés Eduardo Fernández Moreno,8697.0,Goalkeeper,50,Granada,1049,['a1c46d2d-a2c3-45fd-a9b7-47320a383329'],22,,,,,,,,,,,,,,,,,Granada,1049,00:27:22.333,Pass,
,,,,,,,,,,,,,,,,1.005017,,,,,,,,,,,,,,a1c46d2d-a2c3-45fd-a9b7-47320a383329,979,,"[49.9, 22.8]",3825826,27,,,,True,-0.5467888,,,,,,"[59.1, 17.2]",Low Pass,,10.770329,,,,,Duje Čop,8419.0,,,,,,Recovery,1,Regular Play,Ignacio Camacho Barnola,8234.0,Left Defensive Midfield,50,Granada,1049,"['480df885-4c7d-4301-87d4-2f2dff20e7e0', '6b25d4df-6fe4-466a-b7fb-9ba0c7ffc880', 'a81ed1c7-5e19-43ad-9e53-0cc09ccefb9d']",26,,,,,,,,,,,,,,,,,Málaga,223,00:27:26.024,Pass,True
,,,,,,,,,,,,,,,,2.974924,,,,,,,,,,,,,,3e0aa828-39e9-4320-a08c-9107c1169e94,983,,"[36.1, 75.7]",3825826,27,,,,,-0.0047846525,,Right Foot,,,,"[77.9, 75.5]",High Pass,,41.80048,,,,,Isaac Ajayi Success,6918.0,,,,,,Recovery,1,Regular Play,Jean-Sylvain Claude Babin,4498.0,Right Center Back,50,Granada,1049,['fe2319cc-4766-4b2d-a5f2-1e479c0fe47f'],30,,,,,,,,,,,,,,,,,Granada,1049,00:27:30.641,Pass,
,,,,,,,,,,,,,,,,0.388643,,,,,,,,,,,,,,774a239c-29d0-4649-8d69-e3ec5f59e517,987,,"[77.0, 75.7]",3825826,27,,,,,-2.6620734,,Right Foot,,,,"[74.5, 74.4]",Low Pass,,2.8178005,,,Incomplete,,Rubén Rochina Naixes,6680.0,,,,,,,1,Regular Play,Isaac Ajayi Success,6918.0,Right Wing,50,Granada,1049,"['15ec2f3c-27c3-4c42-80d3-55b56160bdb1', 'a9a4b7dd-7748-43eb-bcc3-ece2ac5b1833', 'df7dcf9e-7f8b-46ba-a075-6f1a0a0d9cc2']",34,,,,,,,,,,,,,,,,,Granada,1049,00:27:34.646,Pass,True
,,,,,,,,,,,,,,,,0.399259,,,,,,,,,,,,,,6a2aa2b0-752b-42a2-a2b5-c7d2b9205231,992,,"[76.2, 71.5]",3825826,27,,,,,-1.0164888,,Right Foot,,,,"[78.8, 67.3]",Ground Pass,,4.9396358,,,Incomplete,,Youssef El-Arabi,27109.0,,,,,,,1,Regular Play,Isaac Ajayi Success,6918.0,Right Wing,50,Granada,1049,"['ec3ece86-71c3-4d1e-8ba3-2d345b9b0a49', 'f738c1f1-b059-414c-829b-2dbed1fff88a']",36,,,,,,,,,,,,,,,,,Granada,1049,00:27:36.693,Pass,
,,,,,,,,,,,,,,,,0.867348,,,,,,,,,,,,,,ecac444f-b8bc-410e-a71f-c78e16599691,996,,"[40.4, 9.9]",3825826,27,,,,,-0.9364135,,Right Foot,,,,"[44.3, 4.6]",Ground Pass,,6.5802736,,,,,Gonzalo Castro Irizábal,6740.0,,,,,,,1,Regular Play,José Luis García del Pozo,6580.0,Right Defensive Midfield,51,Málaga,223,['f55012cd-49ba-401e-92cb-3e24be145136'],38,,,,,,,,,,,,,,,,,Málaga,223,00:27:38.412,Pass,
,,,,,,,,,,,,,,,,1.742476,,,,,,,,,,,,,,da88b7cc-0d34-43fb-844c-09b6fb7fc977,999,,"[48.7, 4.2]",3825826,27,,,,,1.1241323,,Left Foot,,,,"[57.8, 23.2]",Ground Pass,,21.0668,,,,,Duje Čop,8419.0,,,,,,,1,Regular Play,Gonzalo Castro Irizábal,6740.0,Left Midfield,51,Málaga,223,['83f5e9c1-fbf4-459f-a973-54a5beffd813'],40,,,,,,,,,,,,,,,,,Málaga,223,00:27:40.055,Pass,
,,,,,,,,,,,,,,,,1.073458,,,,,,,,,,,,,,0e69cb7e-e826-4cf8-ac8e-a8cb4bd0fe91,1002,,"[57.6, 22.8]",3825826,27,,,,,1.1457561,,No Touch,,,,"[61.9, 32.3]",Ground Pass,,10.427847,,True,,,Juan Pablo Añor Acosta,6563.0,,,,,,,1,Regular Play,Duje Čop,8419.0,Left Center Forward,51,Málaga,223,"['1637ce62-2972-4e35-bbfe-a9df321cb463', '36244b27-2c57-4cd0-b32b-a56f5b1b3f7c']",41,,,,,,,,,,,,,,,,,Málaga,223,00:27:41.798,Pass,True
