50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.224453,,,,,,,,,,,,,da61ea58-9f4f-4258-a458-a5fe38be5172,14,,"[82.1, 67.7]",3825594,0,,,,,-0.034950797,,Left Foot,,,"[96.4, 67.2]",,Low Pass,,14.308739,,,,Kevin Gameiro,6401.0,,,,,,,1,From Throw In,José Antonio Reyes Calderón,23816.0,Left Wing,3,Sevilla,213,['5fc0890f-41bf-4b94-b3fa-10c66bdc1fa9'],18,,,,,,,,,,,,,,,,,Sevilla,213,00:00:18.677,Pass,
,,,,,,,,,,,,,,,,0.87987,,,,,,,,,,,,,2d1d8594-539a-4710-883b-756f661150cd,28,,"[97.8, 64.7]",3825594,0,,,,,-1.1734719,,Right Foot,,,"[102.5, 53.5]",,Ground Pass,,12.146193,,,,Éver Maximiliano David Banega,5504.0,,,,,,,1,From Throw In,Víctor Machín Pérez,6841.0,Right Wing,3,Sevilla,213,"['3e31f6ba-0e09-4bed-b109-db212686ea47', '4b596cea-6bf7-46e2-abdf-b0ab2b059d3e']",25,,,,,,,,,,,,,,,,,Sevilla,213,00:00:25.788,Pass,True
,,,,,,,,,,,,,,,,1.935733,,,,,,,,,,,,,76cd7749-5cd7-43db-9539-6e874a7bea87,32,,"[100.8, 53.5]",3825594,0,,,,,2.2826433,,Right Foot,,,"[96.4, 58.6]",,Ground Pass,,6.735726,True,Incomplete,,José Antonio Reyes Calderón,23816.0,,,,,,,1,From Throw In,Éver Maximiliano David Banega,5504.0,Center Attacking Midfield,3,Sevilla,213,"['6330939f-e4aa-4c82-8b72-a6f108946cb3', '85f98df7-7b8e-4f33-87d4-f0b3fb145988', 'b21062c2-915d-439c-9aa1-03919f885961']",27,,,,,,,,,,,,,,,,,Sevilla,213,00:00:27.256,Pass,True
,,,,,,,,,,,,,,,,3.07927,,,,,,,,,,,,,b21062c2-915d-439c-9aa1-03919f885961,34,,"[23.7, 21.5]",3825594,0,,,,,-0.27609703,,Left Foot,,,"[65.7, 9.6]",,Ground Pass,,43.653294,,,,Manuel Agudo Durán,6724.0,,,,,,Recovery,1,Regular Play,Pedro Pablo Hernández,6801.0,Center Attacking Midfield,4,Celta Vigo,209,"['76cd7749-5cd7-43db-9539-6e874a7bea87', 'c3f47a9e-35ca-4487-bd4b-8089f4606c15']",29,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:29.191,Pass,
,,,,,,,,,,,,,,,,4.663443,,,,,,,,,,,,,901887f1-0b7a-42ab-a783-414e98e67f56,38,,"[79.4, 18.6]",3825594,0,,,,,1.000343,,Right Foot,,,"[116.1, 75.8]",,High Pass,,67.96124,,,,Iago Aspas Juncal,5217.0,,,True,,,,1,Regular Play,Manuel Agudo Durán,6724.0,Left Wing,4,Celta Vigo,209,['0a61f236-8f63-444a-9121-2e978f97ff07'],35,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:35.462,Pass,
,,,,,,,,,,,,,,,,1.816566,,,,,,,,,,,,,8883574e-975e-424a-a0d0-160982ef6a9f,42,,"[115.0, 65.3]",3825594,0,,,,,-2.5595925,,Left Foot,,,"[95.7, 52.6]",,Ground Pass,,23.10368,,,,Daniel Wass,6797.0,,,,,,,1,Regular Play,Iago Aspas Juncal,5217.0,Center Forward,4,Celta Vigo,209,"['47248e46-9f77-48c2-b3f7-fff6387ba300', 'd97d4320-672a-4903-9b1e-8d619b360c43']",44,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:44.987,Pass,True
,,,,,,,,,,,,,,,,1.112911,,,,,,,,,,,,,c53db476-957a-45aa-bc9c-eea01064b01a,45,,"[96.0, 51.5]",3825594,0,,,,,-0.41658095,,Right Foot,,,"[107.3, 46.5]",,Ground Pass,,12.356779,,Incomplete,,,,,,,,,,1,Regular Play,Daniel Wass,6797.0,Right Defensive Midfield,4,Celta Vigo,209,"['e52d0e24-9fa3-4e76-a45d-0eb2686b3e94', 'f3c8098f-397e-42e9-b1ce-6e99a53b28ee']",46,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:46.804,Pass,True
,,,,,,,,,,,,,,,,1.893702,,,,,,,,,,,,,46b9f3b5-45d8-4c08-868c-7733bfff95f2,48,,"[19.4, 39.3]",3825594,0,,,,,0.46735588,,Right Foot,,,"[51.7, 55.6]",,Ground Pass,,36.17983,,,,Víctor Machín Pérez,6841.0,,,,,,,1,Regular Play,Grzegorz Krychowiak,3637.0,Right Defensive Midfield,4,Celta Vigo,209,['5bc1e43a-c29a-405c-86f0-040e67d36ff1'],49,,,,,,,,,,,,,,,,,Sevilla,213,00:00:49.444,Pass,
,,,,,,,,,,,,,,,,1.294304,,,,,,,,,,,,,3d070cef-cfb3-4a06-ae78-d6063907304b,56,,"[68.1, 3.5]",3825594,0,,,,,2.6109529,,Right Foot,,,"[56.0, 10.6]",,Ground Pass,,14.029255,,,,Jonathan Castro Otto,6802.0,,,,,,,1,Regular Play,Sergi Gómez Solà,6804.0,Left Center Back,4,Celta Vigo,209,"['02519864-ad01-45ff-8a45-efd7d4eafffa', '76e1eb4a-7f31-44da-9d20-eded946d25ed']",56,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:56.108,Pass,True
,,,,,,,,,,,,,,,,1.028182,,,,,,,,,,,,,5ee37678-9c5d-4b4c-b5cb-1ad2ceb3042e,59,,"[56.0, 10.6]",3825594,0,,,,,1.7939097,,Right Foot,,,"[53.3, 22.5]",,Ground Pass,,12.202458,,,,Augusto Matías Fernández,19668.0,,,,,,,1,Regular Play,Jonathan Castro Otto,6802.0,Left Back,4,Celta Vigo,209,['aee6069e-b91b-4da6-993b-639a791e506c'],57,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:57.992,Pass,
,,,,,,,,,,,,,,,,1.788755,,,,,,,,,,,,,dd28da21-aab3-4514-a72f-2a6cc7fbaf5e,62,,"[54.0, 25.1]",3825594,1,,,,,1.6391109,,Right Foot,,,"[52.7, 44.1]",,Ground Pass,,19.044422,,,,Daniel Wass,6797.0,,,,,,,1,Regular Play,Augusto Matías Fernández,19668.0,Left Defensive Midfield,4,Celta Vigo,209,['d84f7906-b192-4c81-b698-e20f893a84d1'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:00.474,Pass,
,,,,,,,,,,,,,,,,0.916176,,,,,,,,,,,,,ff627115-2597-4005-93a0-6b7ba84002d9,65,,"[49.4, 47.9]",3825594,1,,,,,-1.1128793,,Right Foot,,,"[56.3, 33.9]",,Ground Pass,,15.60801,,,,Augusto Matías Fernández,19668.0,,,,,,,1,Regular Play,Daniel Wass,6797.0,Right Defensive Midfield,4,Celta Vigo,209,['7125f782-ec73-4782-b86e-062bd8a64e0f'],3,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:03.041,Pass,
,,,,,,,,,,,,,,,,1.29351,,,,,,,,,,,,,1234927c-32b8-486f-b398-3cc37ed20a61,67,,"[56.3, 33.9]",3825594,1,,,,,2.0561209,,Right Foot,,,"[48.6, 48.5]",,Ground Pass,,16.50606,,,,Daniel Wass,6797.0,,,,,,,1,Regular Play,Augusto Matías Fernández,19668.0,Left Defensive Midfield,4,Celta Vigo,209,['c23ad00d-caff-462d-af74-2aed3380bc01'],3,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:03.957,Pass,
,,,,,,,,,,,,,,,,1.188262,,,,,,,,,,,,,569730de-8ff7-4782-9f6b-86fcb746c107,70,,"[48.6, 48.5]",3825594,1,,,,,-1.9579164,,Right Foot,,,"[43.3, 35.5]",,Ground Pass,,14.038875,,,,Gustavo Daniel Cabral Cáceres,6794.0,,,,,,,1,Regular Play,Daniel Wass,6797.0,Right Defensive Midfield,4,Celta Vigo,209,['665809f4-4ae3-4406-a77d-60f5ef881406'],5,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:05.276,Pass,
,,,,,,,,,,,,,,,,1.148469,,,,,,,,,,,,,bb78b2a9-7f26-4267-8d33-f1bf7489484a,73,,"[48.9, 34.9]",3825594,1,,,,,0.91042566,,Right Foot,,,"[56.9, 45.2]",,Ground Pass,,13.041856,,,,Daniel Wass,6797.0,,,,,,,1,Regular Play,Gustavo Daniel Cabral Cáceres,6794.0,Right Center Back,4,Celta Vigo,209,['03476836-42be-4ccd-9ce7-f7ee6ecd520f'],8,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:08.615,Pass,
,,,,,,,,,,,,,,,,1.456005,,,,,,,,,,,,,00d9dd82-9b8c-4a1d-8612-1f185308483d,76,,"[67.3, 57.6]",3825594,1,,,,,0.8716037,,Right Foot,,,"[82.1, 75.2]",,Ground Pass,,22.995651,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,,1,Regular Play,Daniel Wass,6797.0,Right Defensive Midfield,4,Celta Vigo,209,['59120445-7cb9-4772-b3e5-652e14d4b175'],13,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:13.531,Pass,
,,,,,,,,,,,,,,,,0.852871,,,,,,,,,,,,,ad42bf7a-7f99-4aa0-b145-05614dc833d4,78,,"[82.1, 75.8]",3825594,1,,,,,2.7233684,,Right Foot,,,"[77.6, 77.8]",,Ground Pass,,4.924429,,,,Hugo Mallo Novegil,6805.0,,,,,,,1,Regular Play,Fabián Ariel Orellana Valenzuela,7105.0,Right Wing,4,Celta Vigo,209,['e92e19af-d6a9-4b63-9b94-0a4515efaf1e'],14,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:14.987,Pass,
,,,,,,,,,,,,,,,,3.247702,,,,,,,,,,,,,ea846afb-5e12-44c5-8ccc-3b485174fbdd,80,,"[77.6, 77.8]",3825594,1,,,,,-0.35266852,,Right Foot,,,"[106.4, 67.2]",,Low Pass,,30.68876,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,,1,Regular Play,Hugo Mallo Novegil,6805.0,Right Back,4,Celta Vigo,209,['904ff48b-18d7-49da-b5d2-eab8e1035591'],15,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:15.840,Pass,
,,,,,,,,,,,,,,,,1.245114,,,,,,,,,,,,,3202ff68-e6b5-48bc-a497-2b9fc7cdc493,83,,"[109.3, 59.2]",3825594,1,,,,,-1.479349,,Right Foot,True,,"[111.4, 36.3]",,High Pass,,22.996086,,Incomplete,,Iago Aspas Juncal,5217.0,,,,,,,1,Regular Play,Fabián Ariel Orellana Valenzuela,7105.0,Right Wing,4,Celta Vigo,209,"['bc730a61-c107-4119-88b5-c63adadd18d2', 'e5adfe59-ba4a-44e0-a4a6-4512a5ff34ad']",20,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:20.117,Pass,
,,,,,,,,,,,,,,,,1.838352,,,,,,,,,,,,,ed832070-97e8-4644-b945-507581f312fb,90,,"[7.0, 44.1]",3825594,1,,True,,,-1.6011924,,Right Foot,,,"[6.1, 14.5]",,Ground Pass,,29.61368,,,,Timothée Kolodziejczak,10476.0,,,,,,Goal Kick,1,From Goal Kick,Sergio Rico González,6823.0,Goalkeeper,5,Sevilla,213,['470fc05d-2ba4-4e12-998e-2eef45502b1f'],39,,,,,,,,,,,,,,,,,Sevilla,213,00:01:39.216,Pass,
,,,,,,,,,,,,,,,,0.813473,,,,,,,,,,,,,74bd347e-fc64-4079-b825-488211c05df4,92,,"[15.5, 8.8]",3825594,1,,,,,-0.14345226,,Left Foot,,,"[33.5, 6.2]",,Ground Pass,,18.186808,,Incomplete,,Jorge Andújar Moreno,6672.0,,,,,,,1,From Goal Kick,Timothée Kolodziejczak,10476.0,Left Center Back,5,Sevilla,213,"['7f7655fa-9a6d-4c4f-8b52-65ba02335787', 'a6220e98-4cdb-4d51-8aee-832a933ab4c2']",43,,,,,,,,,,,,,,,,,Sevilla,213,00:01:43.302,Pass,
,,,,,,,,,,,,,,,,2.279493,,,,,,,,,,,,,0e144064-9800-46cd-934b-2d8af6d94afc,96,,"[88.0, 71.7]",3825594,1,,,,,-1.3845383,,Right Foot,,,"[95.5, 31.9]",,Ground Pass,,40.500492,,Incomplete,,Manuel Agudo Durán,6724.0,,,,,,,1,From Goal Kick,Fabián Ariel Orellana Valenzuela,7105.0,Right Wing,5,Sevilla,213,"['1b5697cb-cb89-47b6-b594-d31215bd770d', '3aef2d9c-06b1-4d33-8dcd-b63dcb6bf767']",45,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:45.864,Pass,
,,,,,,,,,,,True,,,,,2.035416,,,,,,,,,,,,,3aef2d9c-06b1-4d33-8dcd-b63dcb6bf767,98,,"[24.6, 48.2]",3825594,1,,,,,-0.3494115,,Right Foot,,,"[62.2, 34.5]",,High Pass,,40.01812,,Unknown,,Kevin Gameiro,6401.0,,,,,,Interception,1,From Goal Kick,Mariano Ferreira Filho,21210.0,Right Back,5,Sevilla,213,"['0e144064-9800-46cd-934b-2d8af6d94afc', '8d0cc572-11a4-4b15-b56d-9e575d9fe359']",48,,,,,,,,,,,,,,,,,Sevilla,213,00:01:48.143,Pass,
,,,,,,,,,,,,,,,,2.502752,,,,,,,,,,,,,6df309d7-ee89-4d7d-b72a-b047909db766,102,,"[67.1, 35.2]",3825594,2,,,,,0.51226866,,Right Foot,,,"[106.4, 57.3]",,High Pass,,45.087692,,Incomplete,,,,,,,,,Free Kick,1,From Free Kick,Timothée Kolodziejczak,10476.0,Left Center Back,6,Sevilla,213,['06fb9b6e-184b-4bf3-9d92-2955fd72d088'],21,,,,,,,,,,,,,,,,,Sevilla,213,00:02:21.920,Pass,
,,,,,,,,,,,,,,,,2.541374,,,,,,,,,,,,,28f02b45-7193-40cf-a5b8-e2875715fd58,108,,"[6.0, 36.0]",3825594,2,,,,,0.12603405,,Right Foot,,,"[57.3, 42.5]",,High Pass,,51.710155,,,,Daniel Wass,6797.0,,,,,,Goal Kick,1,From Goal Kick,Sergio Álvarez Conde,6884.0,Goalkeeper,7,Celta Vigo,209,['182ee0ef-dd4b-4484-8126-9a1d06eb29bb'],59,,,,,,,,,,,,,,,,,Celta Vigo,209,00:02:59.617,Pass,
,,,,,,,,,,,,,,,,0.685721,,,,,,,,,,,,,b94df04f-c11e-49ff-837c-2f563e0e0b2c,110,,"[57.3, 42.5]",3825594,3,,,,,0.14623542,,Head,,,"[70.2, 44.4]",,High Pass,,13.039172,,Incomplete,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,,1,From Goal Kick,Daniel Wass,6797.0,Right Defensive Midfield,7,Celta Vigo,209,"['a9c63ead-292e-42a8-acef-217250b6215d', 'f09b2a0f-57de-4f9c-a2e9-7760888fa5c6']",2,,,,,,,,,,,,,,,,,Celta Vigo,209,00:03:02.375,Pass,
,,,,,,,,,,,,,,,,0.975056,,,,,,,,,,,,,80656c32-9a8b-4d44-9dd0-40d809556b39,115,,"[53.4, 36.3]",3825594,3,,,,,0.0,,Right Foot,,,"[76.5, 36.3]",,High Pass,,23.1,,,,Kevin Gameiro,6401.0,,,,,,,1,Regular Play,Grzegorz Krychowiak,3637.0,Right Defensive Midfield,8,Sevilla,213,['a6a0b568-e2d8-4d6e-b206-8b247b700be7'],3,,,,,,,,,,,,,,,,,Sevilla,213,00:03:03.967,Pass,
,,,,,,,,,,,,,,,,0.54293,,,,,,,,,,,,,159b35d2-da41-4b0e-ba8e-c353d1379cc7,118,,"[76.5, 36.3]",3825594,3,,,,,-2.573488,,Right Foot,,,"[71.8, 33.3]",,Ground Pass,,5.575841,,,,José Antonio Reyes Calderón,23816.0,,,,,,,1,Regular Play,Kevin Gameiro,6401.0,Center Forward,8,Sevilla,213,['fd7ffb7d-da10-4c79-a944-187a09c3294d'],5,,,,,,,,,,,,,,,,,Sevilla,213,00:03:05.157,Pass,
,,,,,,,,,,,,,,,,0.259843,,,,,,,,,,,,,b327815c-d63c-4fad-b648-d835a2b2ddbf,122,,"[70.9, 34.0]",3825594,3,,,,,0.30288488,,Left Foot,,,"[75.7, 35.5]",,Low Pass,,5.0289164,,Incomplete,,Kevin Gameiro,6401.0,,,,,,,1,Regular Play,José Antonio Reyes Calderón,23816.0,Left Wing,8,Sevilla,213,"['2827425f-dc4a-47cd-9e09-f537a2328b85', 'ea1a462d-f63c-4fc6-afe6-a1ec1df62fb7']",5,,,,,,,,,,,,,,,,,Sevilla,213,00:03:05.740,Pass,
,,,,,,,,,,,,,,,,1.805816,,,,,,,,,,,,,cd3b0bf0-2245-4091-84d7-bd2a937fc487,128,,"[53.0, 18.6]",3825594,3,,,,,-0.7370029,,Left Foot,,,"[71.4, 1.9]",,Ground Pass,,24.848541,,,,Manuel Agudo Durán,6724.0,,,,,,,1,Regular Play,Hugo Mallo Novegil,6805.0,Right Back,9,Celta Vigo,209,['37a30e1d-efcb-40b8-ab8a-93a3360d7953'],11,,,,,,,,,,,,,,,,,Celta Vigo,209,00:03:11.173,Pass,
,,,,,,,,,,,,,,,,1.310139,,,,,,,,,,,,,b9bd76d3-4287-4fd4-b857-1a745c7a436d,148,,"[31.0, 66.6]",3825594,3,,,,,1.5208379,,Left Foot,,,"[31.5, 76.6]",,Ground Pass,,10.012492,,,,Víctor Machín Pérez,6841.0,,,,,,,1,Regular Play,Éver Maximiliano David Banega,5504.0,Center Attacking Midfield,9,Celta Vigo,209,"['2c04742c-6787-42f6-98e8-76d1ba6a1ff4', 'b48f2496-d4ce-404c-b2f6-9f25f2aa14b0', 'c1765136-f952-4410-a9c5-8221709c3617']",24,,,,,,,,,,,,,,,,,Sevilla,213,00:03:24.031,Pass,True
