bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.884073,,,,,,,,,,,,,4e552cb3-f347-4ce1-90ca-c651a806169f,1685,,"[102.2, 0.1]",3825725,47,,,,,0.79249024,,,,,"[109.2, 7.2]",,Low Pass,,9.970456,,,,Jorge Molina Vidal,6630.0,,,,,,Throw-in,2,From Throw In,Juan Manuel Vargas Risco,27347.0,Left Back,93,Real Betis,218,['6f08feb2-bda1-4392-a717-dc3a8213c125'],32,,,,,,,,,,,,,,,,Real Betis,218,00:02:32.779,Pass,
,,,,,,,,,,,,,,,,,,1.398582,,,,,,,,,,,,,0c77cf23-9bef-4ee9-b298-3e48cab0f7bb,1690,,"[109.9, 5.0]",3825725,47,,,,,-2.7109,,Right Foot,,,"[102.5, 1.6]",,Low Pass,,8.143709,,,,Juan Manuel Vargas Risco,27347.0,,,,,,,2,From Throw In,Jorge Molina Vidal,6630.0,Right Center Forward,93,Real Betis,218,"['0e446688-0484-47db-b357-3cb2752023cd', 'b0097e97-bf6f-4dae-abcb-407281f91d9f', 'ef452536-c1a8-4580-8b37-3dc0797f203e']",33,,,,,,,,,,,,,,,,Real Betis,218,00:02:33.737,Pass,True
,,,,,,,,,,,,,,,,,,0.783672,,,,,,,,,,,,,8eb5e0be-958c-4e8a-a55d-e4f00692473f,1694,,"[100.9, 3.4]",3825725,47,,,,,-0.19502027,,Left Foot,,,"[109.0, 1.8]",,Ground Pass,,8.256513,,Incomplete,,,,,,,,,,2,From Throw In,Juan Manuel Vargas Risco,27347.0,Left Back,93,Real Betis,218,"['372fc82b-ef81-471e-9aa8-7b92cf9dd5f0', '387b7f9d-74d9-4371-a6cd-439782ae1a21']",35,,,,,,,,,,,,,,,,Real Betis,218,00:02:35.194,Pass,True
,,,,,,,,,,,,,,,,,,1.08838,,,,,,,,,,,,,3f5827c0-db81-4851-a0b2-f78a55176a97,1696,,"[108.6, 0.1]",3825725,47,,,,,2.125478,,,,,"[102.9, 9.3]",,Low Pass,,10.822661,,,,Daniel Ceballos Fernández,6697.0,,,,,,Throw-in,2,From Throw In,Juan Manuel Vargas Risco,27347.0,Left Back,94,Real Betis,218,['0b9ff51d-5797-46ae-a4bf-9be700782fa8'],44,,,,,,,,,,,,,,,,Real Betis,218,00:02:44.435,Pass,
,,,,,,,,,,,,,,,,,,0.532313,,,,,,,,,,,,,1ba1e87e-5e56-4453-acc4-4458fe402aaf,1699,,"[101.8, 6.1]",3825725,47,,,,,0.41965085,,Right Foot,,,"[108.3, 9.0]",,Ground Pass,,7.1175838,,,,Rubén Castro Martín,6832.0,,,,,,,2,From Throw In,Daniel Ceballos Fernández,6697.0,Left Midfield,94,Real Betis,218,['08fd6eff-cd51-4f8a-a5c0-ec3c35ee4927'],46,,,,,,,,,,,,,,,,Real Betis,218,00:02:46.948,Pass,
,,,,,,,,,,,,,,,,,,1.577529,,,,,,,,,,,,,f243c1c4-8bb0-4fa4-8271-d616983896f3,1705,,"[107.2, 4.8]",3825725,48,,True,,,1.3668649,,Right Foot,True,,"[115.1, 43.0]",,High Pass,,39.00833,,Incomplete,,,,,,,,,Free Kick,2,From Free Kick,Juan Manuel Vargas Risco,27347.0,Left Back,95,Real Betis,218,['74beb16c-ddaa-4eb1-90ae-10bc9cb3a97e'],4,,,,,,,,,,,,,,,,Real Betis,218,00:03:04.918,Pass,
,,,,,,,,,,,,,,,,,,2.684595,,,,,,,,,,,,,d1dd7eec-6a62-48c7-a161-ac2599bb84dd,1708,,"[80.3, 67.4]",3825725,48,,,,,-2.38183,,Left Foot,,,"[56.3, 44.6]",,Low Pass,,33.103474,,,,Petros Matheus dos Santos Araújo,27346.0,,,,,,Recovery,2,From Free Kick,Cristiano Piccini,11634.0,Right Back,95,Real Betis,218,"['ce511859-47ba-4e95-b750-1d05b77d4642', 'e96923e2-5225-41b3-8add-69741de34ee5']",10,,,,,,,,,,,,,,,,Real Betis,218,00:03:10.462,Pass,True
,,,,,,,,,,,,,,,,,,1.043312,,,,,,,,,,,,,dc81cbc0-6a0a-4fc6-95de-8dc53b60f8c5,1712,,"[56.6, 44.1]",3825725,48,,,,,0.23590861,,Right Foot,,,"[77.4, 49.1]",,Ground Pass,,21.392523,,,,Germán Alejandro Pezzella,7161.0,,,,,,,2,From Free Kick,Petros Matheus dos Santos Araújo,27346.0,Right Defensive Midfield,95,Real Betis,218,"['1e60d972-9750-4e85-8a21-5b2d6ce62aa0', '288c860f-4982-43fc-9cb7-66e2dd508c5c']",14,,,,,,,,,,,,,,,,Real Betis,218,00:03:14.129,Pass,True
,,,,,,,,,,,,,,,,,,2.04775,,,,,,,,,,,,,c604ddd5-0d27-44c5-834e-e921982e7ab1,1715,,"[72.6, 46.8]",3825725,48,,,,,-2.4418948,,Right Foot,,,"[56.8, 33.5]",,Ground Pass,,20.652603,,,,Petros Matheus dos Santos Araújo,27346.0,,,,,,,2,From Free Kick,Germán Alejandro Pezzella,7161.0,Right Center Back,95,Real Betis,218,['0d5a888e-7b7c-4d87-a734-eb644fa49727'],16,,,,,,,,,,,,,,,,Real Betis,218,00:03:16.116,Pass,
,,,,,,,,,,,,,,,,,,0.898911,,,,,,,,,,,,,a32d4d6b-cfe1-4f56-b0cc-2a3616cc846f,1718,,"[74.2, 9.3]",3825725,48,,,,,1.5022018,,Right Foot,,,"[75.1, 22.4]",,Ground Pass,,13.130879,,,,Daniel Ceballos Fernández,6697.0,,,,,,,2,From Free Kick,Petros Matheus dos Santos Araújo,27346.0,Right Defensive Midfield,95,Real Betis,218,['16649aea-021f-4727-b9e6-b5ae90535486'],23,,,,,,,,,,,,,,,,Real Betis,218,00:03:23.035,Pass,
