50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.737453,,,,,,,,,,,,,8657fad9-c2aa-4994-af05-4db0dc1c5e6b,53,,"[22.5, 43.6]",3825739,1,,,,0.98635244,,Right Foot,,,,"[31.1, 56.6]",,Ground Pass,,15.587174,,,,,Daniel Carvajal Ramos,5721.0,,,,,,1,Regular Play,Keylor Navas Gamboa,5597.0,Goalkeeper,6,Real Madrid,220,['dbc7c811-6888-4b01-87ad-3604ec8df103'],47,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:47.642,Pass,
,,,,,,,,,,,,,,,,,,1.478655,,,,,,,,,,,,,5f468bc7-ceb6-4b49-9875-ef268ee90bc7,56,,"[38.6, 69.2]",3825739,1,,,,-2.0095623,,Right Foot,,,,"[30.2, 51.3]",,Ground Pass,,19.77296,,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,1,Regular Play,Daniel Carvajal Ramos,5721.0,Right Back,6,Real Madrid,220,['5949f463-5085-4cd3-8f6c-51518a39f3c6'],52,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:52.179,Pass,
,,,,,,,,,,,,,,,,,,1.956933,,,,,,,,,,,,,c398dca4-7ba2-4d56-9f1c-f98e524c26e2,59,,"[31.9, 50.2]",3825739,1,,,,-1.2566278,,Right Foot,,,,"[43.5, 14.5]",,Ground Pass,,37.537315,,,,,Francisco Román Alarcón Suárez,4926.0,,,,,,1,Regular Play,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,6,Real Madrid,220,['f0b90210-e57d-49d3-9ddf-8b04653f92a7'],55,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:55.056,Pass,
,,,,,,,,,,,,,,,,,,1.224093,,,,,,,,,,,,,517896dc-1c9a-4dc7-9f36-324f79710509,62,,"[52.7, 17.5]",3825739,2,,,,1.8036727,,Right Foot,,,,"[49.0, 33.1]",,Ground Pass,,16.03278,,,,,Toni Kroos,5574.0,,,,,,1,Regular Play,Francisco Román Alarcón Suárez,4926.0,Left Center Midfield,6,Real Madrid,220,['1e7c1803-ffca-4248-b554-7ca3b3134dcf'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:00.460,Pass,
,,,,,,,,,,,,,,,,,,1.934348,,,,,,,,,,,,,3ace8e8b-c96e-49b7-9d76-62a8ede42822,65,,"[51.2, 38.0]",3825739,2,,,,1.1520623,,Right Foot,,,,"[67.4, 74.4]",,Ground Pass,,39.84219,,,,,Daniel Carvajal Ramos,5721.0,,,,,,1,Regular Play,Toni Kroos,5574.0,Center Defensive Midfield,6,Real Madrid,220,['3131f145-1d80-4d93-b812-04e64b1ab821'],2,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:02.985,Pass,
,,,,,,,,,,,,,,,,,,1.271944,,,,,,,,,,,,,0851a282-44fd-4f73-b573-11e4507a362e,68,,"[65.5, 72.4]",3825739,2,,,,-2.9497373,,Right Foot,,,,"[51.6, 69.7]",,Ground Pass,,14.159802,,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,1,Regular Play,Daniel Carvajal Ramos,5721.0,Right Back,6,Real Madrid,220,['a7b96ea4-5424-42f2-b847-022177283b75'],6,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:06.534,Pass,
,,,,,,,,,,,,,,,,,,0.982771,,,,,,,,,,,,,4092d988-7f9a-4768-b636-d1d53937cdb1,71,,"[60.0, 71.6]",3825739,2,,,,-1.6197083,,Right Foot,,,,"[59.3, 57.3]",,Ground Pass,,14.317122,,,,,Luka Modrić,5463.0,,,,,,1,Regular Play,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,6,Real Madrid,220,['0db35da3-f354-4046-9b3e-1ab9153c365a'],10,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:10.779,Pass,
,,,,,,,,,,,,,,,,,,1.876734,,,,,,,,,,,,,5f26b92a-3a29-466e-b025-b6eec2af047f,74,,"[56.1, 52.1]",3825739,2,,,,-1.6750325,,Right Foot,,,,"[52.7, 19.6]",,Ground Pass,,32.67736,,,,,Raphaël Varane,5485.0,,,,,,1,Regular Play,Luka Modrić,5463.0,Right Center Midfield,6,Real Madrid,220,['ac16b8e8-38ce-46f3-9744-5237c4daec9a'],14,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:14.634,Pass,
,,,,,,,,,,,,,,,,,,1.171122,,,,,,,,,,,,,af8a48c4-c09b-478c-beb2-9db00fc1c184,77,,"[59.3, 13.2]",3825739,2,,,,1.7716441,,Right Foot,,,,"[55.9, 29.9]",,Ground Pass,,17.042593,,,,,Toni Kroos,5574.0,,,,,,1,Regular Play,Raphaël Varane,5485.0,Left Center Back,6,Real Madrid,220,['7525d444-c6e1-4db0-86c9-d1160377b686'],19,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:19.287,Pass,
,,,,,,,,,,,,,,,,,,2.785626,,,,,,,,,,,,,8e090edf-e1cf-4916-9185-6e7450b42886,80,,"[55.9, 32.2]",3825739,2,,,,1.0022718,,Right Foot,,,,"[83.5, 75.4]",,High Pass,,51.264023,,,,,Daniel Carvajal Ramos,5721.0,,True,,,,1,Regular Play,Toni Kroos,5574.0,Center Defensive Midfield,6,Real Madrid,220,['2ba46be3-59f2-4000-8f2d-9f3d37749e9a'],21,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:21.959,Pass,
,,,,,,,,,,,,,,,,,,1.077644,,,,,,,,,,,,,675a9149-a31b-480e-82cc-531eb9995ec9,83,,"[79.4, 49.3]",3825739,2,,,,2.052875,,Right Foot,,,,"[74.9, 57.9]",,Ground Pass,,9.706183,,,,,Luka Modrić,5463.0,,,,,,1,Regular Play,Daniel Carvajal Ramos,5721.0,Right Back,6,Real Madrid,220,['80f6e55e-3687-41b4-8499-5def24d25f6d'],30,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:30.225,Pass,
,,,,,,,,,,,,,,,,,,1.655393,,,,,,,,,,,,,380c874b-ad86-4739-b6d1-ebe09f3d17a5,86,,"[75.1, 57.9]",3825739,2,,,,0.66711235,,Right Foot,,,,"[94.4, 73.1]",,Ground Pass,,24.566847,,,,,Gareth Frank Bale,6399.0,,,,,,1,Regular Play,Luka Modrić,5463.0,Right Center Midfield,6,Real Madrid,220,['71f4b3fc-fba1-4529-bc65-a892ca9b0ace'],33,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:33.020,Pass,
,,,,,,,,,,,,,,,,,,0.476331,,,,,,,,,,,,,1e86529d-f170-4838-9b59-62d9600850ff,89,,"[100.0, 64.5]",3825739,2,,,,-1.0943289,,Left Foot,,,,"[106.4, 52.1]",,High Pass,,13.954211,,,Incomplete,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,1,Regular Play,Gareth Frank Bale,6399.0,Right Wing,6,Real Madrid,220,"['83a819f8-191b-400b-8c31-3526083e5956', 'db75b26a-be60-4b72-9da0-dbc3e352c109']",38,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:38.858,Pass,
