50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,3.724121,,,,,,,,,,,,,,9546fa40-0024-4691-89b9-3fd17fee1594,61,,"[6.0, 44.0]",3825885,2,,,,,0.2433642,,Right Foot,,,,"[78.9, 62.1]",,High Pass,,75.11338,,,,,Javier Guerra Rodríguez,11542.0,,,,,Goal Kick,1,From Goal Kick,Juan Carlos Martín Corral,24255.0,Goalkeeper,5,Rayo Vallecano,360,['29e5dce2-66bc-4de2-bd42-79df5a486a1c'],15,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:15.094,Pass,
,,,,,,,,,,,,,,,,,,,1.126498,,,,,,,,,,,,,,324deda9-7384-4b88-86b9-afe945689468,64,,"[78.9, 62.1]",3825885,2,,,,True,-0.6063034,,,,,,"[92.6, 52.6]",,High Pass,,16.671532,,,Incomplete,,Nicolás Ladislao Fedor Flores,26685.0,,,,,,1,From Goal Kick,Javier Guerra Rodríguez,11542.0,Right Center Forward,5,Rayo Vallecano,360,"['360e533e-63b8-4c17-a7c9-71f11942725e', '3797f498-dd06-4ceb-ab75-940a25bc3f37', 'a3e65af1-9e18-4592-943f-b7ed74a0ab20']",18,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:18.818,Pass,True
,,,,,,,,,,,,,,,,,,,1.204398,,,,,,,,,,,,,,db9c42fd-c2ae-465a-9684-1bfe8f6033ce,68,,"[28.6, 31.0]",3825885,2,,,,,0.34194982,,Right Foot,,,,"[58.1, 41.5]",,High Pass,,31.312937,,,Incomplete,,Pablo Sarabia García,6720.0,,,,,,1,From Goal Kick,Juan Torres Ruiz,6861.0,Left Center Back,5,Rayo Vallecano,360,"['164398a1-1c68-485d-9051-581e4f3dae6b', '6f46371f-8f22-4ff1-a54f-fb83a6ae2752']",20,,,,,,,,,,,,,,,,,,Getafe,216,00:02:20.772,Pass,
,,,,,,,,,,,,,,,,,,,1.181132,,,,,,,,,,,,,,35547e27-eb89-4735-b1a0-a3112fd55135,72,,"[65.7, 37.4]",3825885,2,,,,,-1.1722739,,Right Foot,,,,"[78.5, 7.0]",,Ground Pass,,32.984844,,,,,Tiago Manuel Dias Correia,7900.0,,,,,,1,From Goal Kick,Roberto Román Triguero,6914.0,Left Center Back,5,Rayo Vallecano,360,['12bdfd8c-761a-4b2f-9e95-f1031b728462'],23,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:23.167,Pass,
,,,,,,,,,,,,,,,,,,,1.728788,,,,,,,,,,,,,,e435f391-8aef-49d1-a385-03742293026f,76,,"[97.5, 14.4]",3825885,2,,,,,0.74020284,,Right Foot,True,,,"[118.3, 33.4]",,Low Pass,,28.171618,,,Incomplete,,,,,,,,,1,From Goal Kick,Tiago Manuel Dias Correia,7900.0,Left Wing Back,5,Rayo Vallecano,360,['1d0f5e72-051a-4cd5-a0a9-315edb8c4d61'],29,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:29.054,Pass,
,,,,,,,,,,,,,,,,,,,3.85402,,,,,,,,,,,,,,ab739439-7221-4b0e-bb57-dc4463f61c45,78,,"[7.0, 44.3]",3825885,2,,True,,,0.24038552,,Drop Kick,,,,"[78.8, 61.9]",,High Pass,,73.92564,,,,,Álvaro Vázquez García,24035.0,,,,,,1,From Goal Kick,Vicente Guaita Panadero,6625.0,Goalkeeper,5,Rayo Vallecano,360,['f58f763a-c819-44ff-9e93-209365ef6697'],43,,,,,,,,,,,,,,,,,,Getafe,216,00:02:43.583,Pass,
,,,,,,,,,,,,,,,,,,,1.082282,,,,,,,,,,,,,,7ba4bf0e-ae1b-44c1-9e02-df54c34de8c9,86,,"[41.2, 5.6]",3825885,2,,,,,-3.0501814,,Right Foot,,,,"[29.2, 4.5]",,Ground Pass,,12.050311,,,,,Roberto Román Triguero,6914.0,,,,,,1,From Goal Kick,Tiago Manuel Dias Correia,7900.0,Left Wing Back,5,Rayo Vallecano,360,['b5c74907-d261-4fce-824f-ff7d6b36b4cb'],49,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:49.207,Pass,
,,,,,,,,,,,,,,,,,,,2.258256,,,,,,,,,,,,,,d3ea557c-0eb2-46d8-a4da-99c37b365cbd,90,,"[23.1, 3.0]",3825885,2,,,,,1.9955026,,Right Foot,,,,"[8.9, 34.4]",,Ground Pass,,34.461575,,,,,Juan Carlos Martín Corral,24255.0,,,,,,1,From Goal Kick,Roberto Román Triguero,6914.0,Left Center Back,5,Rayo Vallecano,360,"['28ed0e6c-3eef-4c3d-864c-d4db9ccc8fa9', '9339d105-8ea5-4693-9027-ecb00b041b8e']",51,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:51.130,Pass,True
,,,,,,,,,,,,,,,,,,,3.307607,,,,,,,,,,,,,,599e1751-1783-43e5-8352-bd8dbe0a634d,94,,"[8.5, 37.7]",3825885,2,,,,,0.50263494,,Right Foot,,,,"[63.8, 68.1]",,High Pass,,63.105072,,,Incomplete,,,,,,,,,1,From Goal Kick,Juan Carlos Martín Corral,24255.0,Goalkeeper,5,Rayo Vallecano,360,['4134707d-a3a6-4a86-8f4c-e2a5b16456e3'],54,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:54.822,Pass,
,,,,,,,,,,,,,,,,,,,0.982173,,,,,,,,,,,,,,e5e3629b-83dc-4b54-a619-bdc7d899bb70,98,,"[56.6, 11.9]",3825885,2,,,,,1.0205492,,Left Foot,,,,"[63.9, 23.8]",,Ground Pass,,13.960659,,,,,Mehdi Lacen,6745.0,,,,,,1,Regular Play,Roberto Lago Soto,27054.0,Left Back,6,Getafe,216,"['cf639c61-ba98-4a76-ad7c-eea418a2c2e2', 'e48ec4cc-cf21-4f4f-a426-a8edcd268a8d']",59,,,,,,,,,,,,,,,,,,Getafe,216,00:02:59.191,Pass,True
