ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.252007,,,,,,,,,,,,,6ab1bf61-069a-4435-b218-4e8df2d0d83c,1923,,"[111.8, 19.3]",3825636,51,,,,,2.698291,,Left Foot,,,"[97.9, 25.9]",Ground Pass,,15.387333,,,,José Luis García del Pozo,6580.0,,,,,,2,From Free Kick,Juan Carlos Pérez López,6559.0,Left Wing,139,Málaga,223,['eb6b449d-c492-4179-8683-854ed07b01bb'],39,,,,,,,,,,,,,,,,,Málaga,223,00:06:39.288,Pass,
,,,,,,,,,,,,,,,0.934023,,,,,,,,,,,,,8aa45d01-4e1d-4756-9a56-4610653986cc,1927,,"[99.6, 26.0]",3825636,51,,,,,-1.066127,,Right Foot,,,"[105.4, 15.5]",Ground Pass,,11.995416,,,,Juan Carlos Pérez López,6559.0,,,,,,2,From Free Kick,José Luis García del Pozo,6580.0,Right Defensive Midfield,139,Málaga,223,"['b2cbc17e-08a5-4290-ad03-85b9c890dea6', 'cb7fa155-ff92-4291-9254-bb4f6c8340b1']",41,,,,,,,,,,,,,,,,,Málaga,223,00:06:41.617,Pass,True
,,,,,,,,,,,,,,,1.3391,,,,,,,,,,,,,67ab8326-2d44-4859-89c7-b39f2dc53c8f,1930,,"[105.7, 15.7]",3825636,51,,,,,1.3955927,0e518da1-d6eb-4f0e-a259-814551c40120,Left Foot,True,,"[111.4, 47.9]",High Pass,,32.70061,,,,Adnane Tighadouini,8264.0,True,,,,,2,From Free Kick,Juan Carlos Pérez López,6559.0,Left Wing,139,Málaga,223,['1b41981b-1588-4499-a102-08600668bfcd'],44,,,,,,,,,,,,,,,,,Málaga,223,00:06:44.243,Pass,
,,,,,,,,,,,,,,,3.350518,,,,,,,,,,,,,b5701b68-f34d-40e0-bf24-134d0240a7f3,1935,,"[6.0, 36.0]",3825636,52,,,,,0.15545201,,Right Foot,,,"[73.0, 46.5]",High Pass,,67.81777,,,,Celso Borges Mora,5582.0,,,,,Goal Kick,2,From Goal Kick,Germán Darío Lux,27305.0,Goalkeeper,140,RC Deportivo La Coruña,219,['9ef03554-eddc-4be9-a3cb-df6231cab294'],19,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:07:19.734,Pass,
,,,,,,,,,,,,,,,0.721897,,,,,,,,,,,,,99b11ff4-ae63-4bb6-82ff-4c581c49c6c3,1937,,"[73.2, 47.1]",3825636,52,,,,,-0.11195592,,Head,,,"[90.1, 45.2]",Low Pass,,17.00647,,Incomplete,,Lucas Pérez Martínez,6732.0,,,,,,2,From Goal Kick,Celso Borges Mora,5582.0,Right Defensive Midfield,140,RC Deportivo La Coruña,219,"['1a1b26a6-65fd-4e37-8a6e-d8b85c13beb6', 'dab0f466-838b-4673-bae4-6e3475e11ebd']",23,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:07:23.085,Pass,
,,,,,,,,,,,,,,,0.211785,,,,,,,,,,,,,1a1b26a6-65fd-4e37-8a6e-d8b85c13beb6,1939,,"[30.0, 34.9]",3825636,52,,,,,-0.15410812,,Head,,,"[40.3, 33.3]",High Pass,,10.423532,,Incomplete,,,,,,,,Recovery,2,From Goal Kick,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,140,RC Deportivo La Coruña,219,"['99b11ff4-ae63-4bb6-82ff-4c581c49c6c3', 'bdffc6b1-1195-4381-8f5e-cf6e53eeba95']",23,,,,,,,,,,,,,,,,,Málaga,223,00:07:23.807,Pass,
,,,,,,,,,,,,,,,1.694095,,,,,,,,,,,,,2d886dbe-1f0c-4493-8c9f-a12884d3062c,1944,,"[72.1, 41.8]",3825636,52,,,,,-1.820715,,Left Foot,,,"[63.6, 8.5]",Ground Pass,,34.367718,,,,Fernando Navarro i Corbacho,6913.0,,,,,,2,From Goal Kick,Federico Nicolás Cartabia,6728.0,Right Midfield,140,RC Deportivo La Coruña,219,['6e19b4cd-1942-469b-b0d3-02f6b752537d'],27,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:07:27.791,Pass,
,,,,,,,,,,,,,,,4.159845,,,,,,,,,,,,,5bf85678-0d0e-4e2c-b33c-3373a06614b2,1948,,"[63.4, 8.7]",3825636,52,,,,,2.5859458,,Right Foot,,,"[14.6, 39.0]",Ground Pass,,57.441536,,,,Germán Darío Lux,27305.0,,,,,,2,From Goal Kick,Fernando Navarro i Corbacho,6913.0,Left Back,140,RC Deportivo La Coruña,219,['5c1d4e18-1b46-438b-8837-22e28bb1c484'],34,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:07:34.360,Pass,
,,,,,,,,,,,,,,,3.695004,,,,,,,,,,,,,1ec4d745-6d73-4a99-b7f5-38084bc04176,1950,,"[14.9, 39.0]",3825636,52,,,,,-0.46301147,,Right Foot,,,"[77.8, 7.6]",High Pass,,70.301994,,Incomplete,,Fayçal Fajr,5724.0,,,,,,2,From Goal Kick,Germán Darío Lux,27305.0,Goalkeeper,140,RC Deportivo La Coruña,219,"['885893af-ed0d-44fc-8afb-43fdc9e75e65', '9edb9088-9e4e-46ad-b05f-d21be583d5dd']",38,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:07:38.520,Pass,
,,,,,,,,,,,,,,,1.114125,,,,,,,,,,,,,91c83411-51d9-4c00-8332-d518ac1e6b0a,1955,,"[49.2, 73.9]",3825636,52,,,,,-1.553704,,Right Foot,,,"[49.4, 62.2]",Ground Pass,,11.70171,,,,Fernando Damián Tissone,19431.0,,,,,,2,Regular Play,Roberto José Rosales Altuve,6569.0,Right Back,141,Málaga,223,['8c9f1925-0a14-44be-9122-b91662703a62'],45,,,,,,,,,,,,,,,,,Málaga,223,00:07:45.252,Pass,
