bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.030585,,,,,,,,,,,,,63d0940f-95ee-42b1-9cf6-6bf7c116cac7,22,,"[47.6, 9.5]",3825781,0,,,,,-0.19838664,,Left Foot,,,,"[67.0, 5.6]",,Ground Pass,,19.788128,,Incomplete,,,,,,,Recovery,1,From Kick Off,José Ignacio Martínez García,11298.0,,Left Back,2,Sevilla,213,['87f6a12e-ebd4-4103-9e0c-f12290858cc4'],10,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:10.995,Pass,
,,,,,,,,,,,,,,,,1.314252,,,,,,,,,,,,,87f6a12e-ebd4-4103-9e0c-f12290858cc4,24,,"[53.1, 74.5]",3825781,0,,,,,-2.1427653,,Left Foot,,,,"[42.8, 58.5]",,Ground Pass,,19.028662,,,,Federico Julián Fazio,6349.0,,,,Recovery,1,From Kick Off,Jorge Andújar Moreno,6672.0,,Right Back,2,Sevilla,213,"['63d0940f-95ee-42b1-9cf6-6bf7c116cac7', 'ba589778-f59b-466f-a592-4a8a35614844']",13,,,,,,,,,,,,,,,,,Sevilla,213,00:00:13.026,Pass,
,,,,,,,,,,,,,,,,0.953761,,,,,,,,,,,,,da13401d-d326-48d0-948c-d3b8376ae286,33,,"[49.5, 28.8]",3825781,0,,,,,2.9639964,,Right Foot,,,,"[37.8, 30.9]",,Ground Pass,,11.886968,,,,Federico Julián Fazio,6349.0,,,,,1,From Kick Off,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,,Left Defensive Midfield,2,Sevilla,213,['5c62ec02-3826-46b3-a9ec-2fcb71257f4b'],20,,,,,,,,,,,,,,,,,Sevilla,213,00:00:20.756,Pass,
,,,,,,,,,,,,,,,,2.766657,,,,,,,,,,,,,01504c3c-31f9-43cb-9513-be63694c2207,36,,"[34.8, 32.1]",3825781,0,,,,,0.5908116,,Right Foot,,,,"[75.8, 59.6]",,High Pass,,49.36851,,,,Víctor Machín Pérez,6841.0,,,,,1,From Kick Off,Federico Julián Fazio,6349.0,,Left Center Back,2,Sevilla,213,['4537a5f2-f949-4826-918e-57ea9561ef05'],22,,,,,,,,,,,,,,,,,Sevilla,213,00:00:22.852,Pass,
,,,,,,,,,,,,,,,,0.392006,,,,,,,,,,,,,78ff104f-ad0b-43ff-9c9a-ff5aeb116cd9,38,,"[75.3, 59.5]",3825781,0,,,,,0.95825875,,Head,,,,"[77.9, 63.2]",,Low Pass,,4.5221677,,Incomplete,,Kevin Gameiro,6401.0,,,,,1,From Kick Off,Víctor Machín Pérez,6841.0,,Right Wing,2,Sevilla,213,"['cd191278-b31b-4982-adae-81403bff59f2', 'f1b5239a-eea1-493f-9c98-c8adf4407025']",25,,,,,,,,,,,,,,,,,Sevilla,213,00:00:25.659,Pass,
,,,,,,,,,,,,,,,,2.045379,,,,,,,,,,,,,c4e2e631-e596-4782-9504-f69a4113974f,42,,"[70.3, 52.7]",3825781,0,,,,,-0.7604034,,Right Foot,,,,"[82.6, 41.0]",,Ground Pass,,16.975864,,Incomplete,,,,,,,Recovery,1,From Kick Off,Sebastián Carlos Cristóforo Pepe,7154.0,,Right Defensive Midfield,2,Sevilla,213,"['1cef622c-ef3b-442a-a1d4-8c9908b8ca47', '48468beb-f976-4bc1-b572-43facf8d37f3']",27,,,,,,,,,,,,,,,,,Sevilla,213,00:00:27.736,Pass,True
,,,,,,,,,,,,,,,,0.724511,,,,,,,,,,,,,48468beb-f976-4bc1-b572-43facf8d37f3,43,,"[37.5, 39.1]",3825781,0,,,,,1.286722,,Right Foot,,,,"[41.5, 52.8]",,Ground Pass,,14.272,,,,Pablo Hernández Domínguez,4711.0,,,,Recovery,1,Regular Play,José Raúl Baena Urdiales,26607.0,,Right Defensive Midfield,3,Rayo Vallecano,360,"['1a0bc393-c885-417c-8958-6c1afb3e2e6b', 'c4e2e631-e596-4782-9504-f69a4113974f']",29,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:29.782,Pass,
,,,,,,,,,,,,,,,,2.192358,,,,,,,,,,,,,63297a48-e74f-4498-9cdf-9f7b250f7893,46,,"[43.2, 53.1]",3825781,0,,,,,-2.8287704,,Right Foot,,,,"[9.5, 42.2]",,High Pass,,35.418922,,,,Juan Carlos Martín Corral,24255.0,,,,,1,Regular Play,Pablo Hernández Domínguez,4711.0,,Right Wing,3,Rayo Vallecano,360,['ecfb635e-03b5-468b-975a-ec1c10106774'],30,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:30.586,Pass,
,,,,,,,,,,,,,,,,2.935681,,,,,,,,,,,,,562a0ff6-90f2-442b-b134-c65089ef5c54,49,,"[9.3, 42.0]",3825781,0,,,,,0.027617285,,Right Foot,,,,"[63.6, 43.5]",,High Pass,,54.320713,,,,Nicolás Ladislao Fedor Flores,26685.0,,,,,1,Regular Play,Juan Carlos Martín Corral,24255.0,,Goalkeeper,3,Rayo Vallecano,360,['aa7cc3ea-54a3-4324-b652-7be8d8f3427b'],34,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:34.788,Pass,
,,,,,,,,,,,,,,,,1.39334,,,,,,,,,,,,,5defc34a-b138-408e-8b63-7ebbcf47494e,53,,"[63.7, 43.1]",3825781,0,,,,,1.6605545,,Other,,,,"[62.8, 53.1]",,Low Pass,,10.040419,,,,Jozabed Sánchez Ruiz,6852.0,,,,,1,Regular Play,Nicolás Ladislao Fedor Flores,26685.0,,Center Forward,3,Rayo Vallecano,360,['a9032d6f-a9cb-4c99-8eff-1579ce6c7b17'],37,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:37.883,Pass,
,,,,,,,,,,,,,,,,1.774092,,,,,,,,,,,,,56fa3387-cc8d-4e14-b26b-57822a5d5c02,57,,"[64.0, 53.1]",3825781,0,,,,,-1.4115717,,Right Foot,,,,"[70.6, 12.0]",,Low Pass,,41.626553,,,,Tiago Manuel Dias Correia,7900.0,,True,,,1,Regular Play,Jozabed Sánchez Ruiz,6852.0,,Center Attacking Midfield,3,Rayo Vallecano,360,['31278d4e-9272-4236-a399-157a6f26d3ed'],39,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:39.357,Pass,
,,,,,,,,,,,,,,,,1.233277,,,,,,,,,,,,,7d2a8781-ff5a-45f3-9428-9d21315fc0f8,60,,"[97.9, 12.4]",3825781,0,,,,,0.981,,Right Foot,True,,,"[115.1, 38.1]",,High Pass,,30.924585,,Incomplete,,Nicolás Ladislao Fedor Flores,26685.0,,,,,1,Regular Play,Tiago Manuel Dias Correia,7900.0,,Left Wing,3,Rayo Vallecano,360,"['1d84a5c1-6831-4d23-a7c4-84a09a133c30', 'f5d8a6fe-b8b6-463a-850a-964a1a79574f']",45,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:45.831,Pass,
,,,,,,,,,,,,,,,,4.297441,,,,,,,,,,,,,b157ed3f-5c72-4649-b8eb-f96755dbdfc3,64,,"[14.4, 41.8]",3825781,1,,,,,-0.17903964,,Drop Kick,,,,"[90.1, 28.1]",,High Pass,,76.92971,,Incomplete,,Kevin Gameiro,6401.0,,,,,1,Regular Play,Sergio Rico González,6823.0,,Goalkeeper,4,Sevilla,213,"['a7629d5b-7905-46ad-adf4-7a3b4af817f0', 'dbf1891e-3d3c-4aab-a619-e64249077a90']",1,,,,,,,,,,,,,,,,,Sevilla,213,00:01:01.076,Pass,
,,,,,,,,,,,,,,,,2.578569,,,,,,,,,,,,,9bb7ee7b-3317-46b0-b190-56c2ae878648,67,,"[57.3, 31.3]",3825781,1,,,,,-0.05594157,,Head,,,,"[69.8, 30.6]",,High Pass,,12.519585,,Incomplete,,,,,,,Recovery,1,Regular Play,Federico Julián Fazio,6349.0,,Left Center Back,4,Sevilla,213,['2da83fa0-701d-425f-8d65-3ec39d417e8a'],8,,,,,,,,,,,,,,,,,Sevilla,213,00:01:08.972,Pass,
,,,,,,,,,,,,,,,,2.012562,,,,,,,,,,,,,2da83fa0-701d-425f-8d65-3ec39d417e8a,68,,"[50.3, 49.5]",3825781,1,,,,,0.040586837,,Head,,,,"[70.0, 50.3]",,High Pass,,19.716236,,Incomplete,,Pablo Hernández Domínguez,4711.0,,,,Recovery,1,Regular Play,José Raúl Baena Urdiales,26607.0,,Right Defensive Midfield,4,Sevilla,213,"['08be962a-581b-4c03-91f2-bad0c29d5a7f', '517ebdfe-8ce0-4b3e-8768-7eecca7c5c48', '9bb7ee7b-3317-46b0-b190-56c2ae878648']",11,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:11.550,Pass,
,,,,,,,,,,,,,,,,2.218207,,,,,,,,,,,,,43c05dd0-5d00-4361-a879-ea7326cdcc22,73,,"[49.8, 28.8]",3825781,1,,,,,-0.08194171,,Right Foot,,,,"[91.2, 25.4]",,High Pass,,41.53938,,,,Kevin Gameiro,6401.0,,,,,1,Regular Play,Federico Julián Fazio,6349.0,,Left Center Back,4,Sevilla,213,"['a9cc7a3b-b194-4dbe-a14d-347067264ed5', 'ca2dfeb7-532a-4924-9896-80df65efb795']",14,,,,,,,,,,,,,,,,,Sevilla,213,00:01:14.460,Pass,True
,,,,,,,,,,,,,,,,2.004406,,,,,,,,,,,,,8014f10f-29d0-42f5-947f-d1f8c728fb56,76,,"[90.6, 24.6]",3825781,1,,,,,-2.0405788,,Right Foot,,,,"[84.0, 11.6]",,Low Pass,,14.579437,,,,Michael Krohn-Dehli,6356.0,,,,,1,Regular Play,Kevin Gameiro,6401.0,,Center Forward,4,Sevilla,213,['6a72607a-4b48-4473-87b6-20eb44f08f78'],16,,,,,,,,,,,,,,,,,Sevilla,213,00:01:16.860,Pass,
,,,,,,,,,,,,,,,,1.815118,,,,,,,,,,,,,9723e8e4-6ad5-4869-adb9-64c5ac7339ed,81,,"[84.7, 5.1]",3825781,1,,,,,2.7776136,,Right Foot,,,,"[74.2, 9.1]",,Ground Pass,,11.236102,,,,Benoît Trémoulinas,27483.0,,,,,1,Regular Play,Michael Krohn-Dehli,6356.0,,Left Wing,4,Sevilla,213,"['383fed0f-7edd-4175-9bb5-a6cd38661c80', 'b3284046-27c6-45bc-916f-3f1b06f2f5b1']",19,,,,,,,,,,,,,,,,,Sevilla,213,00:01:19.295,Pass,True
,,,,,,,,,,,,,,,,1.034912,,,,,,,,,,,,,6f5c8857-99b2-4e33-9789-86c2390dbbf8,84,,"[75.3, 9.3]",3825781,1,,,,,2.228685,,Left Foot,,,,"[71.9, 13.7]",,Ground Pass,,5.5605755,,,,Sebastián Carlos Cristóforo Pepe,7154.0,,,,,1,Regular Play,Benoît Trémoulinas,27483.0,,Left Back,4,Sevilla,213,['bd5e087b-7811-4443-9510-ea42a890508a'],21,,,,,,,,,,,,,,,,,Sevilla,213,00:01:21.150,Pass,
,,,,,,,,,,,,,,,,1.996403,,,,,,,,,,,,,501088eb-2659-4b87-956d-797635f69a5d,87,,"[71.5, 15.2]",3825781,1,,,,,1.1212465,,Right Foot,,,,"[90.8, 55.2]",,High Pass,,44.412724,,Incomplete,,,,,True,,,1,Regular Play,Sebastián Carlos Cristóforo Pepe,7154.0,,Right Defensive Midfield,4,Sevilla,213,['b06409bb-4d4e-4c53-ad33-f7620cf86a0f'],24,,,,,,,,,,,,,,,,,Sevilla,213,00:01:24.497,Pass,
,,,,,,,,,,,,,,,,1.606564,,,,,,,,,,,,,5745761e-4989-466f-ae10-8f1ca32acd23,89,,"[98.3, 0.1]",3825781,1,,,,,1.1878116,,,,,,"[109.5, 27.9]",,High Pass,,29.97132,,,,Vicente Iborra De La Fuente,3497.0,,,,Throw-in,1,From Throw In,Benoît Trémoulinas,27483.0,,Left Back,5,Sevilla,213,['1df49a2d-f1a4-417d-a966-70c5bc7b6b20'],43,,,,,,,,,,,,,,,,,Sevilla,213,00:01:43.770,Pass,
,,,,,,,,,,,,,,,,0.526501,,,,,,,,,,,,,38fd3ec7-df15-460b-8099-44afcec73ff1,91,,"[109.4, 27.9]",3825781,1,,,,True,1.2271057,,,,,,"[112.8, 37.4]",,Low Pass,,10.090095,,Incomplete,,,,,,,,1,From Throw In,Vicente Iborra De La Fuente,3497.0,,Center Attacking Midfield,5,Sevilla,213,"['0cea4291-53fd-4ad5-ada0-246fc00dff9a', '59bdeb30-9aaa-4829-85da-3c351379b482']",45,,,,,,,,,,,,,,,,,Sevilla,213,00:01:45.417,Pass,True
,,,,,,,,,,,,,,,,1.471358,,,,,,,,,,,,,83b0bfc3-acae-4cb4-bfb7-a6ff10da7900,97,,"[14.5, 52.2]",3825781,2,,,,,-2.6322024,,Right Foot,,,,"[3.4, 46.0]",,Ground Pass,,12.714166,,,,Juan Carlos Martín Corral,24255.0,,,,Free Kick,1,From Free Kick,José Eduardo Rosa Vale de Castro,26222.0,,Right Center Back,6,Rayo Vallecano,360,['25248953-57d7-4496-b2ec-8c8376d520cd'],7,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:07.305,Pass,
,,,,,,,,,,,,,,,,3.405254,,,,,,,,,,,,,fd36d46d-df87-4fa8-aea3-8b3c2715ceff,100,,"[3.6, 53.3]",3825781,2,,,,,0.17150116,,Right Foot,,,,"[64.8, 63.9]",,High Pass,,62.11119,,Incomplete,,Nicolás Ladislao Fedor Flores,26685.0,,,,,1,From Free Kick,Juan Carlos Martín Corral,24255.0,,Goalkeeper,6,Rayo Vallecano,360,"['5ab180bc-6620-4d2d-a16d-0e0c4dcae168', 'de674f14-01d4-4850-8b1b-8152977f242a']",10,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:10.561,Pass,
,,,,,,,,,,,,,,,,3.303527,,,,,,,,,,,,,8ea83597-15f9-4ee9-9425-5ea3e6afd71d,107,,"[62.0, 76.3]",3825781,2,,,,,-0.72309035,,Right Foot,,,,"[91.8, 50.0]",,High Pass,,39.74582,,Incomplete,,Jozabed Sánchez Ruiz,6852.0,,,,,1,From Free Kick,José Raúl Baena Urdiales,26607.0,,Right Defensive Midfield,6,Rayo Vallecano,360,"['9a7e4f4c-55cf-4295-bbed-d26763ba7ed1', 'fb2a96d2-d7a8-4117-9113-5fa3596bf89f']",16,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:16.831,Pass,
,,,,,,,,,,,,,,,,1.998715,,,,,,,,,,,,,9a7e4f4c-55cf-4295-bbed-d26763ba7ed1,110,,"[28.3, 30.1]",3825781,2,,,,True,-1.2074673,,,,,,"[35.6, 10.9]",,High Pass,,20.540936,,,,Benoît Trémoulinas,27483.0,,,,Recovery,1,From Free Kick,Adil Rami,3253.0,,Right Center Back,6,Rayo Vallecano,360,"['2a3ae20a-05e0-438b-abb6-51e695fa899c', '4edbb21e-b99a-41a2-b4c3-97681d6b533d', '8ea83597-15f9-4ee9-9425-5ea3e6afd71d']",20,,,,,,,,,,,,,,,,,Sevilla,213,00:02:20.135,Pass,True
,,,,,,,,,,,,,,,,1.289706,,,,,,,,,,,,,11de6f2a-d75e-4079-b56a-1fa9cf4c5324,113,,"[35.6, 10.9]",3825781,2,,,,,0.072599456,,Right Foot,,,,"[63.1, 12.9]",,High Pass,,27.572632,,Incomplete,,,,,,,,1,From Free Kick,Benoît Trémoulinas,27483.0,,Left Back,6,Rayo Vallecano,360,['d1b0a690-8b5d-4c24-995a-9354ec4a914d'],22,,,,,,,,,,,,,,,,,Sevilla,213,00:02:22.173,Pass,
,,,,,,,,,,,,,,,,0.962303,,,,,,,,,,,,,d1b0a690-8b5d-4c24-995a-9354ec4a914d,114,,"[57.0, 67.2]",3825781,2,,,,,-0.31899574,,Head,,,,"[67.9, 63.6]",,Low Pass,,11.479112,,,,José Raúl Baena Urdiales,26607.0,,,,Recovery,1,From Free Kick,José Eduardo Rosa Vale de Castro,26222.0,,Right Center Back,6,Rayo Vallecano,360,"['11de6f2a-d75e-4079-b56a-1fa9cf4c5324', '98b7e9ea-94f2-412d-8a72-dfe4b2ace58e']",23,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:23.463,Pass,
,,,,,,,,,,,,,,,,2.957542,,,,,,,,,,,,,acedc319-6063-4ec8-8d85-f5111a7b23cf,118,,"[50.1, 18.1]",3825781,2,,,,,0.43698725,,Right Foot,,,,"[110.9, 46.5]",,High Pass,,67.10589,,Incomplete,,,,,,,Free Kick,1,From Free Kick,Federico Julián Fazio,6349.0,,Left Center Back,7,Sevilla,213,['5595ab4f-ad63-4ecc-83eb-0255d176b2b5'],53,,,,,,,,,,,,,,,,,Sevilla,213,00:02:53.268,Pass,
,,,,,,,,,,,,,,,,1.277184,,,,,,,,,,,,,5cc6bbf1-73fd-4ed5-b505-b6de6a59bb50,121,,"[9.8, 33.0]",3825781,3,,,,,-1.3009472,,Keeper Arm,,,,"[13.7, 18.9]",,Ground Pass,,14.629422,,,,Diego Javier Llorente Ríos,6713.0,,,,,1,Regular Play,Juan Carlos Martín Corral,24255.0,,Goalkeeper,8,Rayo Vallecano,360,['9d993116-df18-448d-9b0a-72fe1037a2fe'],1,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:03:01.818,Pass,
,,,,,,,,,,,,,,,,0.778216,,,,,,,,,,,,,0ec4f96e-c9fd-4307-aa67-0f60201d2543,125,,"[20.9, 13.6]",3825781,3,,,,,-0.9652517,,Right Foot,,,,"[29.0, 1.9]",,Ground Pass,,14.230249,,,,José Ignacio Martínez García,11298.0,,,,,1,Regular Play,Diego Javier Llorente Ríos,6713.0,,Left Center Back,8,Rayo Vallecano,360,"['2adaf180-15d0-4d3c-ac7f-f238a4917901', '99872ffb-ca8e-451c-a7fc-24dc7864c1fc']",5,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:03:05.961,Pass,True
