bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.818235,,,,,,,,,,,,555fcf9d-005c-4cca-9541-bbf18b26878c,56,,"[25.6, 8.5]",3825648,1,,,,,0.6352454,,Right Foot,,,"[41.2, 20.0]",High Pass,,19.380661,Incomplete,,Javier Guerra Rodríguez,11542.0,,,,,Recovery,1,From Free Kick,Tiago Manuel Dias Correia,7900.0,Left Wing,4,Eibar,322,"['d178fb15-dd12-4bdd-af9c-ddaf9667f60f', 'd2fdc7ed-8897-4df9-8f93-584aa0068311']",5,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:05.745,Pass,
,,,,,,,,,,,,,,,,,,1.717924,,,,,,,,,,,,f2f03102-eb27-432c-bf19-779a54409c13,59,,"[80.9, 56.8]",3825648,1,,,,,0.046840712,,Head,,,"[93.7, 57.4]",High Pass,,12.8140545,Incomplete,,Borja González Tomás,6566.0,,,,,,1,From Free Kick,Gonzalo Escalante,6712.0,Left Defensive Midfield,4,Eibar,322,"['ac6445da-951b-49de-a5d2-322996d519ba', 'e9e7ce26-a468-40f4-8573-ba98204f2788']",7,,,,,,,,,,,,,,,,Eibar,322,00:01:07.950,Pass,
,,,,,,,,,,,,,,,,,,1.487523,,,,,,,,,,,,057a6321-c799-42bd-9eef-55422da37470,64,,"[92.0, 57.4]",3825648,1,,,,,-2.8833404,,Right Foot,,,"[86.7, 56.0]",Ground Pass,,5.481788,Incomplete,,Simone Verdi,7170.0,,,,,,1,From Free Kick,Borja González Tomás,6566.0,Center Forward,4,Eibar,322,"['56b46c77-fa37-491d-a246-345019b93d41', '7f163378-ef4b-407b-9422-bc786ce28dba']",10,,,,,,,,,,,,,,,,Eibar,322,00:01:10.743,Pass,
,,,,,,,,,,,,,,,,,,1.52094,,,,,,,,,,,,7f163378-ef4b-407b-9422-bc786ce28dba,66,,"[33.4, 24.1]",3825648,1,,,,,1.9597532,,Left Foot,,,"[28.4, 36.3]",Ground Pass,,13.18484,,,Roberto Román Triguero,6914.0,,,,,Recovery,1,From Free Kick,José Raúl Baena Urdiales,26607.0,Left Defensive Midfield,4,Eibar,322,"['057a6321-c799-42bd-9eef-55422da37470', 'a97a36d5-3a30-4390-8418-6a3c1ef247ea']",12,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:12.231,Pass,
,,,,,,,,,,,,,,,,,,2.121647,,,,,,,,,,,,6f92de5f-3a9a-44ce-97f6-216adb4b4dfc,69,,"[28.4, 36.3]",3825648,1,,,,,1.3585713,,Right Foot,,,"[36.2, 72.5]",Ground Pass,,37.0308,Unknown,,,,,,,,,1,From Free Kick,Roberto Román Triguero,6914.0,Right Back,4,Eibar,322,,13,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:13.955,Pass,
,,,,,,,,,,,,,,,,,,0.529784,,,,,,,,,,,,10df7334-7ada-4b6d-9a69-4861c7c3ba27,73,,"[83.4, 7.7]",3825648,1,,,,,1.5243182,,Right Foot,,,"[83.6, 12.0]",Ground Pass,,4.304649,,,David Juncà Reñé,6776.0,,,,,Free Kick,1,From Free Kick,Saúl Berjón Pérez,24070.0,Left Wing,5,Eibar,322,['956b5464-481e-4d62-a214-6e90ac3bd13f'],47,,,,,,,,,,,,,,,,Eibar,322,00:01:47.393,Pass,
,,,,,,,,,,,,,,,,,,0.676807,,,,,,,,,,,,22a6d420-c4b4-4367-a487-cb9bb0d3022c,75,,"[83.6, 12.0]",3825648,1,,,,,-1.5707964,,Left Foot,,,"[83.6, 10.6]",Ground Pass,,1.4,,,Saúl Berjón Pérez,24070.0,,,,,,1,From Free Kick,David Juncà Reñé,6776.0,Left Back,5,Eibar,322,['e0eb8cf4-93dd-4a5f-80b5-a3990cec5fb6'],47,,,,,,,,,,,,,,,,Eibar,322,00:01:47.923,Pass,
,,,,,,,,,,,,,,,,,,2.722017,,,,,,,,,,,,b1c478ce-3ec4-4fdc-b5a5-0dcda20b9712,78,,"[83.6, 10.6]",3825648,1,,,,,0.8507734,,Right Foot,,,"[120.0, 52.1]",High Pass,,55.201538,Out,,,,,True,,,,1,From Free Kick,Saúl Berjón Pérez,24070.0,Left Wing,5,Eibar,322,,48,,,,,,,,,,,,,,,,Eibar,322,00:01:48.677,Pass,
,,,,,,,,,,,,,,,,,,3.48974,,,,,,,,,,,,db5a75e4-6dba-48ba-b281-145372769391,79,,"[6.0, 36.0]",3825648,2,,,,,-0.54474145,,Right Foot,,,"[60.3, 3.1]",High Pass,,63.48937,,,Tiago Manuel Dias Correia,7900.0,,,,,Goal Kick,1,From Goal Kick,Antonio Rodríguez Martínez,26070.0,Goalkeeper,6,Rayo Vallecano,360,['2a48cb03-ce90-4e70-9d5e-0408d7cc311d'],12,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:12.389,Pass,
,,,,,,,,,,,,,,,,,,1.469133,,,,,,,,,,,,cb270ce5-e9cc-4957-81e8-9dba5fd30c6d,81,,"[60.3, 3.1]",3825648,2,,,,,1.093131,,Head,,,"[64.7, 11.6]",High Pass,,9.571311,Incomplete,,Javier Guerra Rodríguez,11542.0,,,,,,1,From Goal Kick,Tiago Manuel Dias Correia,7900.0,Left Wing,6,Rayo Vallecano,360,"['81e73e2e-fa1a-41e3-a16b-7a4ec7519bb4', 'c6282ff0-004b-4e0f-8c8f-8c8e1c37b9fb']",15,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:15.879,Pass,
