50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.750613,,,,,,,,,,,,,,415d8a8e-7c24-4d50-9719-09862df087e3,1579,,"[68.9, 11.7]",3825623,43,,,,2.8920057,,Right Foot,,,"[63.8, 13.0]",Ground Pass,,5.263079,,,,Sérgio Paulo Barbosa Valente,25859.0,,,,,,,1,Regular Play,Pablo Fornals Malla,6764.0,Left Defensive Midfield,80,Málaga,223,['7b6d98ca-abf9-4c64-82be-0559abd4acbb'],42,,,,,,,,,,,,,,,,,,Málaga,223,00:43:42.511,Pass,
,,,,,,,,,,,,,,,,1.507937,,,,,,,,,,,,,,32eaa20b-859b-4e69-bc75-904831e41ede,1582,,"[68.8, 10.5]",3825623,43,,,,-1.2231895,,Left Foot,,,"[71.3, 3.6]",Ground Pass,,7.3389373,,,,Miguel Torres Gómez,6878.0,,,,,,,1,Regular Play,Sérgio Paulo Barbosa Valente,25859.0,Center Attacking Midfield,80,Málaga,223,['ae7d6cfc-49ad-4002-9c47-7abcf7677507'],45,,,,,,,,,,,,,,,,,,Málaga,223,00:43:45.565,Pass,
,,,,,,,,,,,,,,,,0.805519,,,,,,,,,,,,,,4646b42c-8529-4cd2-972f-35db2abc5aff,1585,,"[81.7, 2.4]",3825623,43,,,,1.6790669,,Right Foot,,,"[80.7, 11.6]",Ground Pass,,9.254189,,,,Pablo Fornals Malla,6764.0,,,,,,,1,Regular Play,Miguel Torres Gómez,6878.0,Left Back,80,Málaga,223,['e2b8acde-a97e-4df1-a4d4-8dbbf6c8e332'],47,,,,,,,,,,,,,,,,,,Málaga,223,00:43:47.961,Pass,
,,,,,,,,,,,,,,,,2.026497,,,,,,,,,,,,,,ec82b26b-e78b-48c8-9cab-b387497d351c,1588,,"[81.7, 10.8]",3825623,43,,,,2.556715,,Right Foot,,,"[66.9, 20.6]",Ground Pass,,17.750492,,,,Weligton Róbson Pena de Oliveira,26669.0,,,,,,,1,Regular Play,Pablo Fornals Malla,6764.0,Left Defensive Midfield,80,Málaga,223,['d1b36820-7ba8-41fa-807d-56c3a23f0f61'],49,,,,,,,,,,,,,,,,,,Málaga,223,00:43:49.743,Pass,
,,,,,,,,,,,,,,,,0.756477,,,,,,,,,,,,,,3d60854d-c30f-4719-a429-3880c8d707da,1590,,"[67.9, 20.4]",3825623,43,,,,0.22131445,,Right Foot,,,"[71.9, 21.3]",Ground Pass,,4.1,,,,Sérgio Paulo Barbosa Valente,25859.0,,,,,,,1,Regular Play,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,80,Málaga,223,['a6062e5f-775f-4337-849a-fa5d5461740f'],51,,,,,,,,,,,,,,,,,,Málaga,223,00:43:51.769,Pass,
,,,,,,,,,,,,,,,,1.943375,,,,,,,,,,,,,,730e6763-82d2-40d6-88a9-80efafb32af2,1593,,"[72.2, 21.5]",3825623,43,,,,2.4532907,,Left Foot,,,"[55.3, 35.4]",Ground Pass,,21.881956,,,,Raúl Albentosa Redal,6727.0,,,,,,,1,Regular Play,Sérgio Paulo Barbosa Valente,25859.0,Center Attacking Midfield,80,Málaga,223,['978e8a13-de5b-428e-9be9-f5a153046478'],52,,,,,,,,,,,,,,,,,,Málaga,223,00:43:52.646,Pass,
,,,,,,,,,,,,,,,,1.662521,,,,,,,,,,,,,,aef0f69a-d86a-4dd9-876b-51e31fb47cee,1596,,"[69.8, 52.4]",3825623,44,,,,-0.7871871,,Right Foot,,,"[97.7, 24.4]",High Pass,,39.527332,,Incomplete,,Juan Carlos Pérez López,6559.0,,,,,,,1,Regular Play,Raúl Albentosa Redal,6727.0,Right Center Back,80,Málaga,223,"['2bedbe06-621e-4e67-8d4f-aedddaef000b', '6ceb5dce-1ce8-4e6c-bd5f-930c7af34b03']",0,,,,,,,,,,,,,,,,,,Málaga,223,00:44:00.850,Pass,
,,,,,,,,,,,,,,,,2.8863,,,,,,,,,,,,,,bd7f035e-9378-462c-89ce-b678a0fbba29,1600,,"[97.4, 0.1]",3825623,44,,,,2.6586754,,,,,"[78.9, 9.8]",Low Pass,,20.888754,,,,Ignacio Camacho Barnola,8234.0,,,,,,Throw-in,1,From Throw In,Miguel Torres Gómez,6878.0,Left Back,81,Málaga,223,['2557cf07-1775-47b6-a201-860c63a32be1'],8,,,,,,,,,,,,,,,,,,Málaga,223,00:44:08.918,Pass,
,,,,,,,,,,,,,,,,1.312342,,,,,,,,,,,,,,503cf50c-9fb9-4953-b91d-a373357b3011,1605,,"[70.9, 6.8]",3825623,44,,,,0.90053296,,Right Foot,,,"[77.4, 15.0]",Ground Pass,,10.463747,,,,Juan Carlos Pérez López,6559.0,,,,,,,1,From Throw In,Ignacio Camacho Barnola,8234.0,Right Defensive Midfield,81,Málaga,223,"['35821c1d-91d4-43c6-9c8e-c544fede498c', 'd997cc02-ac83-4691-9316-aef58d3f066a']",17,,,,,,,,,,,,,,,,,,Málaga,223,00:44:17.004,Pass,True
,,,,,,,,,,,,,,,,1.112593,,,,,,,,,,,,,,35c6e72c-ef12-49ee-b4a9-48ae6114c96b,1608,,"[77.4, 14.1]",3825623,44,,,,-1.7329952,,Left Foot,,,"[75.6, 3.1]",Ground Pass,,11.146299,,,,Ignacio Camacho Barnola,8234.0,,,,,,,1,From Throw In,Juan Carlos Pérez López,6559.0,Left Wing,81,Málaga,223,['e649800c-fe13-4ffa-ba38-3d3b66f6075c'],18,,,,,,,,,,,,,,,,,,Málaga,223,00:44:18.396,Pass,
,,,,,,,,,,,,,,,,0.932174,,,,,,,,,,,,,,f21e9b75-767f-4ea5-abde-2ba0d745e0a6,1611,,"[79.0, 2.2]",3825623,44,,,,-0.031989083,,Right Foot,,,"[91.5, 1.8]",Ground Pass,,12.506398,,Incomplete,,Miguel Torres Gómez,6878.0,,,,,,,1,From Throw In,Ignacio Camacho Barnola,8234.0,Right Defensive Midfield,81,Málaga,223,"['4d966fae-868e-4c49-9f9d-9a21eaf124b0', 'ab45bf2b-574c-48e8-9f85-98a036eebe35']",20,,,,,,,,,,,,,,,,,,Málaga,223,00:44:20.601,Pass,
,,,,,,,,,,,,,,,,0.6678,,,,,,,,,,,,,,1c05d818-96e1-4826-9234-d52fa03957fa,1615,,"[30.1, 77.9]",3825623,44,,,,-0.77739835,,Right Foot,,,"[36.4, 71.7]",Ground Pass,,8.839118,,,,Daniel Parejo Muñoz,6595.0,,,,,,,1,Regular Play,Santiago Mina Lorenzo,6594.0,Right Wing,82,Valencia,207,['02a2e2bb-eb67-4e5d-89ab-96d3bc99431a'],22,,,,,,,,,,,,,,,,,,Valencia,207,00:44:22.175,Pass,
,,,,,,,,,,,,,,,,1.300826,,,,,,,,,,,,,,e9a982a2-2f09-4477-93a2-8ac03f1aa7b9,1618,,"[44.8, 70.2]",3825623,44,,,,-1.1122248,,Right Foot,,,"[56.5, 46.5]",Ground Pass,,26.430664,,Incomplete,,Pablo Daniel Piatti,6763.0,,,,,,,1,Regular Play,Daniel Parejo Muñoz,6595.0,Right Center Midfield,82,Valencia,207,"['59bc0776-9b99-4a54-8a17-99bd3ecca37f', 'd82e285b-b7d9-447d-8528-0f9a0f40dde5']",24,,,,,,,,,,,,,,,,,,Valencia,207,00:44:24.131,Pass,
