50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.817341,,,,,,,,,,,3376a7ce-7405-4c2f-8ec0-56f2400faf56,64,,"[68.3, 17.0]",3888701,1,True,,,1.5707964,,Right Foot,,,"[68.3, 31.1]",,Ground Pass,14.1,,Julio César Cortés Lagos,397659.0,,,,,Free Kick,1,From Free Kick,Juan Martin Mujica,397644.0,Left Back,7,Uruguay,783,['e0065694-c5b2-4067-9f66-f948ffca37e3'],1,,,,,,,,,,,,,,,,,Uruguay,783,00:01:01.557,Pass,
,,,,,,,,,,,,,,,,,,1.070654,,,,,,,,,,,050e154d-b91d-48cc-bc85-601decd87451,66,,"[72.2, 35.8]",3888701,1,,,,-0.071307465,,Right Foot,,,"[86.2, 34.8]",,Ground Pass,14.035668,Incomplete,Julio César Morales Araújo,397655.0,,,,,,1,From Free Kick,Julio César Cortés Lagos,397659.0,Right Center Midfield,7,Uruguay,783,"['46641b9f-5c23-4455-bc8f-7d8a62b308c0', '92c1b40b-6102-4a72-a5d8-025125b51bf3']",6,,,,,,,,,,,,,,,,,Uruguay,783,00:01:06.482,Pass,
,,,,,,,,,,,,,,,,,,0.770394,,,,,,,,,,,f1a7edca-43a7-4beb-81a6-1e0ca2f26a2c,70,,"[36.3, 44.3]",3888701,1,,,,-0.067693025,,Left Foot,,,"[42.2, 43.9]",,Ground Pass,5.9135437,,Eduardo Gonçalves de Andrade,397637.0,,,,,,1,Regular Play,Gérson de Oliveira Nunes,397621.0,Left Defensive Midfield,8,Brazil,781,['57a18b33-8c57-4467-abb5-1117dcc8d6bd'],8,,,,,,,,,,,,,,,,,Brazil,781,00:01:08.592,Pass,
,,,,,,,,,,,,,,,,,,0.76471,,,,,,,,,,,c6fa20a4-6704-4cde-97aa-45a7badb7c86,73,,"[44.4, 42.8]",3888701,1,,,,2.016902,,Left Foot,,,"[40.0, 52.0]",,Ground Pass,10.198039,,Clodoaldo Tavares de Santana,397620.0,,,,,,1,Regular Play,Eduardo Gonçalves de Andrade,397637.0,Right Center Forward,8,Brazil,781,['56071029-9378-4fec-b430-ff66c4b5250f'],9,,,,,,,,,,,,,,,,,Brazil,781,00:01:09.552,Pass,
,,,,,,,,,,,,,,,,,,1.54255,,,,,,,,,,,bfa3d42d-641c-4b1e-9542-89c8887657fd,76,,"[40.3, 51.2]",3888701,1,,,,1.4806161,,Right Foot,,,"[42.0, 70.0]",,Ground Pass,18.876705,,Jair Ventura Filho,397622.0,,,,,,1,Regular Play,Clodoaldo Tavares de Santana,397620.0,Right Defensive Midfield,8,Brazil,781,['0db7042b-73c5-4ad7-b82f-88afa7629285'],11,,,,,,,,,,,,,,,,,Brazil,781,00:01:11.293,Pass,
,,,,,,,,,,,,,,,,,,1.224688,,,,,,,,,,,066af382-7d4a-4e35-a94d-77779301ae78,80,,"[40.6, 68.1]",3888701,1,,,,-2.5419965,,Right Foot,,,"[32.7, 62.7]",,Ground Pass,9.5692215,,Carlos Alberto Torres,39708.0,,,,,,1,Regular Play,Jair Ventura Filho,397622.0,Right Midfield,8,Brazil,781,"['7c908338-a232-4fcd-a90b-dc47cdf679bc', 'f41ceb86-c96a-4b67-a209-decfe03eea8a']",13,,,,,,,,,,,,,,,,,Brazil,781,00:01:13.161,Pass,True
,,,,,,,,,,,,,,,,,,1.472379,,,,,,,,,,,37ae513e-8f68-4339-b204-71ad734ed3fd,83,,"[32.7, 61.8]",3888701,1,,,,-1.158043,,Right Foot,,,"[39.4, 46.5]",,Ground Pass,16.702694,,Clodoaldo Tavares de Santana,397620.0,,,,,,1,Regular Play,Carlos Alberto Torres,39708.0,Right Back,8,Brazil,781,['31a51da3-3724-4a8d-b811-652f48ef5855'],14,,,,,,,,,,,,,,,,,Brazil,781,00:01:14.830,Pass,
,,,,,,,,,,,,,,,,,,1.982463,,,,,,,,,,,e9204c26-372b-4ae4-9d6a-e5dd0fbe6717,86,,"[41.2, 48.1]",3888701,1,,,,1.0765827,,Right Foot,,,"[53.0, 70.0]",,Ground Pass,24.876696,,Carlos Alberto Torres,39708.0,,,,,,1,Regular Play,Clodoaldo Tavares de Santana,397620.0,Right Defensive Midfield,8,Brazil,781,['84b05ba8-c71f-4cb7-84fe-fe637d6b57dc'],19,,,,,,,,,,,,,,,,,Brazil,781,00:01:19.009,Pass,
,,,,,,,,,,,,,,,,,,1.903506,,,,,,,,,,,0affe3a2-ce95-43d7-bb2c-08b82c583833,89,,"[56.8, 75.8]",3888701,1,,,,-0.8372779,,Right Foot,,,"[85.1, 44.4]",,High Pass,42.27115,Incomplete,Eduardo Gonçalves de Andrade,397637.0,,,,,,1,Regular Play,Carlos Alberto Torres,39708.0,Right Back,8,Brazil,781,"['40251ffe-6cef-43c3-9795-4c7c3793db84', '55d27248-7697-4617-98dc-53bd2c7a4b28']",23,,,,,,,,,,,,,,,,,Brazil,781,00:01:23.289,Pass,
,,,,,,,,,,,,,,,,,,1.390286,,,,,,,,,,,c6e99ed2-0831-42da-98fb-b9743298fbc5,95,,"[39.1, 22.4]",3888701,1,,,,1.1071488,,Right Foot,,,"[47.1, 38.4]",,Ground Pass,17.888544,,Julio César Cortés Lagos,397659.0,,,,,,1,Regular Play,Julio Walter Montero Castillo,397640.0,Center Defensive Midfield,9,Uruguay,783,['55a29458-bc7d-4f45-81d5-e52f88e09dfe'],29,,,,,,,,,,,,,,,,,Uruguay,783,00:01:29.853,Pass,
,,,,,,,,,,,,,,,,,,0.942994,,,,,,,,,,,c087703f-01e6-4908-ada9-f3f3ce4b5233,98,,"[47.0, 41.5]",3888701,1,,,,1.5350972,,Right Foot,,,"[47.3, 49.9]",,Ground Pass,8.405355,,Dagoberto Fontes,397645.0,,,,,,1,Regular Play,Julio César Cortés Lagos,397659.0,Right Center Midfield,9,Uruguay,783,['c3c98681-2a74-470d-820f-f6fc7dff7615'],32,,,,,,,,,,,,,,,,,Uruguay,783,00:01:32.351,Pass,
,,,,,,,,,,,,,,,,,,2.19685,,,,,,,,,,,de31e19f-c030-4308-87d5-717555ecca3a,101,,"[49.0, 56.7]",3888701,1,,,,1.1210368,,Right Foot,,,"[54.6, 68.3]",,Ground Pass,12.880994,,Ignacio Luis Ubiña,397643.0,,,,,,1,Regular Play,Dagoberto Fontes,397645.0,Center Forward,9,Uruguay,783,['695acda4-8b69-496d-941a-5249d1fc9b20'],34,,,,,,,,,,,,,,,,,Uruguay,783,00:01:34.854,Pass,
