50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,3.493166,,,,,,,,,,,,,,cb906c4b-2059-4f29-857e-04bf70e259f3,57,,,"[62.5, 0.1]",3998846,3,,,,0.19607803,,,,,,"[91.7, 5.9]",,High Pass,,29.770454,,,Sofia Cantore,45638.0,,,,,Throw-in,1,From Throw In,Elena Linari,10208.0,Left Center Back,8,Italy Women's,855,['5611980f-5fc5-4216-bd8b-909930ecc3a4'],5,,,,,,,,,,,,,,,,,Italy Women's,855,00:03:05.141,Pass,
,,,,,,,,,,,,,,,,,1.519469,,,,,,,,,,,,,,5050621b-83eb-4b3b-b86d-4cca64888b39,62,,,"[35.5, 80.0]",3998846,3,,,,-0.81266415,,,,,,"[46.2, 68.7]",,Low Pass,,15.562134,,,Francisca Ramos Ribeiro Nazareth Sousa,62913.0,,,,,Throw-in,1,From Throw In,Ana Borges,10141.0,Right Back,9,Portugal Women's,864,['17dd1f29-7b03-4c8e-ace3-d49e404226a1'],23,,,,,,,,,,,,,,,,,Portugal Women's,864,00:03:23.897,Pass,
,,,,,,,,,,,,,,,,,2.165047,,,,,,,,,,,,,,8de510af-58b9-43f8-86a3-25c627418f9d,66,,,"[43.1, 66.2]",3998846,3,,,,-1.7727305,,Left Foot,,,,"[35.3, 28.1]",,Ground Pass,,38.89023,,,Joana Filipa Gaspar Silva Marchão,45144.0,,,,,,1,From Throw In,Francisca Ramos Ribeiro Nazareth Sousa,62913.0,Center Attacking Midfield,9,Portugal Women's,864,['64ec21ca-089c-4c51-bf3e-6b2c33b618a0'],26,,,,,,,,,,,,,,,,,Portugal Women's,864,00:03:26.592,Pass,
,,,,,,,,,,,,,,,,,3.698182,,,,,,,,,,,,,,1df18551-33fd-4621-98f3-d90bdeebdae0,69,,,"[44.3, 24.2]",3998846,3,,,,-0.085448794,,Left Foot,,,,"[94.5, 19.9]",,Low Pass,,50.383827,,,Diana Micaela Abreu de Sousa e Silva,10159.0,,,,,,1,From Throw In,Joana Filipa Gaspar Silva Marchão,45144.0,Left Back,9,Portugal Women's,864,['a37672a6-f507-4b2c-a1f6-02dd33b144ca'],30,,,,,,,,,,,,,,,,,Portugal Women's,864,00:03:30.206,Pass,
,,,,,,,,,,,,,,,,,1.966899,,,,,,,,,,,,,,96c056fc-f15e-4cf9-b025-b3bf735bb426,72,,,"[95.7, 19.3]",3998846,3,,,,-0.30036345,,Left Foot,,,,"[107.0, 15.8]",,Ground Pass,,11.829624,,,Joana Filipa Gaspar Silva Marchão,45144.0,,,,,,1,From Throw In,Diana Micaela Abreu de Sousa e Silva,10159.0,Left Center Forward,9,Portugal Women's,864,['131d1cc3-a258-455e-a595-f3e8bccd277c'],37,,,,,,,,,,,,,,,,,Portugal Women's,864,00:03:37.298,Pass,
,,,,,,,,,,,,,,,,,2.285744,,,,,,,,,,,,,,33ce3cec-e26e-4f5b-82bf-23bb2fccb28d,75,,,"[107.0, 15.8]",3998846,3,,,,1.1643071,,Left Foot,True,,,"[120.0, 46.0]",,High Pass,,32.879173,Out,,,,,,,,,1,From Throw In,Joana Filipa Gaspar Silva Marchão,45144.0,Left Back,9,Portugal Women's,864,,39,,,,,,,,,,,,,,,,,Portugal Women's,864,00:03:39.359,Pass,
,,,,,,,,,,,,,,,,,1.890173,,,,,,,,,,,,,,56f7786f-ba4b-4a0f-a753-fefb36f93764,76,,,"[5.6, 40.7]",3998846,4,,,,-1.1908078,,Right Foot,,,,"[18.9, 7.4]",,Low Pass,,35.857773,,,Lisa Boattin,25770.0,,,,,Goal Kick,1,From Goal Kick,Laura Giuliani,10218.0,Goalkeeper,10,Italy Women's,855,['e3c6703d-4841-42ba-93d0-706af6060f4e'],5,,,,,,,,,,,,,,,,,Italy Women's,855,00:04:05.122,Pass,
,,,,,,,,,,,,,,,,,2.390049,,,,,,,,,,,,,,8933c3b1-1956-4656-a442-504cbf6f2b1c,79,,,"[21.1, 5.9]",3998846,4,,,,0.09513182,,Left Foot,,,,"[47.3, 8.4]",,Ground Pass,,26.319004,Incomplete,,,,,,,,,1,From Goal Kick,Lisa Boattin,25770.0,Left Wing Back,10,Italy Women's,855,['c599e841-0708-4d22-9c6e-81965758cf47'],8,,,,,,,,,,,,,,,,,Italy Women's,855,00:04:08.066,Pass,
,,,,,,,,,,,,,,,,,0.949215,,,,,,,,,,,,,,3a6248a5-1514-4d9a-9c67-c654ecef071b,82,,,"[79.8, 69.8]",3998846,4,,,,-0.35470566,,Right Foot,,,,"[93.3, 64.8]",,Ground Pass,,14.39618,,,Ana Ines Palma Capeta,402132.0,,,,,,1,Regular Play,Ana Borges,10141.0,Right Back,11,Portugal Women's,864,['c793b1fd-a109-47b7-b78b-a69a20200c43'],11,,,,,,,,,,,,,,,,,Portugal Women's,864,00:04:11.587,Pass,
,,,,,,,,,,,,,,,,,1.427354,,,,,,,,,,,,,,184976bc-b91e-49dd-89f8-baff94e8bbc6,84,,,"[93.3, 64.7]",3998846,4,,,,1.6250907,,Right Foot,,,,"[92.8, 73.9]",,Ground Pass,,9.213577,,,Andreia Alexandra Norton,34875.0,,,,,,1,Regular Play,Ana Ines Palma Capeta,402132.0,Right Center Forward,11,Portugal Women's,864,['99272a5a-6446-41c7-ac1d-1548f444e84f'],12,,,,,,,,,,,,,,,,,Portugal Women's,864,00:04:12.536,Pass,
,,,,,,,,,,,,,,,,,1.596812,,,,,,,,,,,,,,347a8a9d-46cf-44bd-98cb-30077fc45b3f,86,,,"[92.8, 73.9]",3998846,4,,,,-0.24497867,,Right Foot,,,,"[108.8, 69.9]",,Ground Pass,,16.492422,,,Ana Borges,10141.0,,,,,,1,Regular Play,Andreia Alexandra Norton,34875.0,Right Center Midfield,11,Portugal Women's,864,['cda2ade8-db20-46cb-8e86-a13bfdff9257'],13,,,,,,,,,,,,,,,,,Portugal Women's,864,00:04:13.963,Pass,
,,,,,,,,,,,,,,,,,1.067501,,,,,,,,,,,,,,117bc5f1-2caa-4649-9089-1fb584e0e072,88,,,"[108.8, 69.5]",3998846,4,,,,-1.4549537,,Right Foot,True,,,"[112.0, 42.0]",,Low Pass,,27.685556,Incomplete,,,,,,,,,1,Regular Play,Ana Borges,10141.0,Right Back,11,Portugal Women's,864,['028c4df4-3a02-481a-8e7e-2958a001af14'],15,,,,,,,,,,,,,,,,,Portugal Women's,864,00:04:15.560,Pass,
,,,,,,,,,,,,,,,,,3.735136,,,,,,,,,,,,,,aad0f3f2-1954-418c-b4da-5955262fdee2,90,,,"[26.5, 27.9]",3998846,4,,,,-0.8685394,,Right Foot,,,,"[49.6, 0.6]",,Low Pass,,35.76171,Out,,,,,,,,Recovery,1,Regular Play,Emma Severini,49695.0,Left Center Midfield,11,Portugal Women's,864,,18,,,,,,,,,,,,,,,,,Italy Women's,855,00:04:18.721,Pass,
,,,,,,,,,,,,,,,,,3.718148,,,,,,,,,,,,,,efb60472-ccac-4ac2-bbfe-cb7188a07785,91,,,"[77.3, 80.0]",3998846,4,,,,-0.15121768,,,,,,"[108.8, 75.2]",,High Pass,,31.863615,Incomplete,,,,,,,,Throw-in,1,From Throw In,Ana Borges,10141.0,Right Back,12,Portugal Women's,864,['bc9765bb-38cd-48db-bb79-d8f8189e6314'],47,,,,,,,,,,,,,,,,,Portugal Women's,864,00:04:47.746,Pass,
,,,,,,,,,,,,,,,,,2.207671,,,,,,,,,,,,,,4178e542-d841-4993-93c4-9e41545acdfc,94,,,"[9.6, 2.3]",3998846,4,,,,0.0,,Left Foot,,,,"[42.8, 2.3]",,High Pass,,33.2,Incomplete,,,,,,,,,1,From Throw In,Elena Linari,10208.0,Left Center Back,12,Portugal Women's,864,['c4173d32-b8bf-43af-9e30-fc86e83b9917'],52,,,,,,,,,,,,,,,,,Italy Women's,855,00:04:52.329,Pass,
,,,,,,,,,,,,,,,,,1.425618,,,,,,,,,,,,,,b78eb2b8-a48b-4b01-911d-28d9dd7a0017,97,,,"[77.7, 77.2]",3998846,4,,,,-2.1112158,,Right Foot,,,,"[71.7, 67.2]",,Ground Pass,,11.661903,,,Fátima Alexandra Figueira Pinto,34873.0,,,,,,1,From Throw In,Ana Borges,10141.0,Right Back,12,Portugal Women's,864,['3fdef146-b404-4fd3-af91-2ea4a936761d'],55,,,,,,,,,,,,,,,,,Portugal Women's,864,00:04:55.726,Pass,
,,,,,,,,,,,,,,,,,0.785219,,,,,,,,,,,,,,fc4986be-01e3-4c98-8691-addba8e10de4,101,,,"[71.8, 67.0]",3998846,4,,,,1.4691075,,Left Foot,,,,"[72.8, 76.8]",,Ground Pass,,9.850888,,,Ana Borges,10141.0,,,,,,1,From Throw In,Fátima Alexandra Figueira Pinto,34873.0,Center Defensive Midfield,12,Portugal Women's,864,['eca4e25c-b899-4a7b-b566-4d7ee2b09e56'],57,,,,,,,,,,,,,,,,,Portugal Women's,864,00:04:57.200,Pass,
,,,,,,,,,,,,,,,,,1.326306,,,,,,,,,,,,,,2647c4b4-0823-4849-b057-ea7ffd43a6e7,105,,,"[48.8, 0.1]",3998846,5,,,,0.30719855,,,,,,"[63.3, 4.7]",,High Pass,,15.212166,,,Cristiana Girelli,10203.0,,,,,Throw-in,1,From Throw In,Elena Linari,10208.0,Left Center Back,13,Italy Women's,855,['1350a16e-07b2-4e5d-a8f7-08ef081d1254'],19,,,,,,,,,,,,,,,,,Italy Women's,855,00:05:19.325,Pass,
,,,,,,,,,,,,,,,,,1.121847,,,,,,,,,,,,,,4bf86737-1183-40cf-8871-3da5cfcd4b89,107,,,"[63.3, 4.7]",3998846,5,,,,0.36153054,,Head,,,,"[75.2, 9.2]",,High Pass,,12.722421,Incomplete,,,,,,,,,1,From Throw In,Cristiana Girelli,10203.0,Left Center Forward,13,Italy Women's,855,['322e23ca-cb65-4ce5-85e6-70cae4892841'],20,,,,,,,,,,,,,,,,,Italy Women's,855,00:05:20.651,Pass,
,,,,,,,,,,,,,,,,,2.11767,,,,,,,,,,,,,,322e23ca-cb65-4ce5-85e6-70cae4892841,108,,,"[44.9, 70.9]",3998846,5,,,,-0.44809017,,Right Foot,,,,"[73.4, 57.2]",,High Pass,,31.621828,,,Diana Micaela Abreu de Sousa e Silva,10159.0,,,,,Recovery,1,Regular Play,Diana Catarina Ribeiro Gomes,32143.0,Right Center Back,14,Portugal Women's,864,"['4efa216f-6234-4ec5-92c1-6212ff0764c2', '4bf86737-1183-40cf-8871-3da5cfcd4b89']",21,,,,,,,,,,,,,,,,,Portugal Women's,864,00:05:21.773,Pass,
