50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,da6b2da7-d274-495a-8fa9-1e4bee82cbd5,34,,"[36.0, 19.2]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Carole da Silva Costa,10162.0,Left Center Back,4,Portugal Women's,864,['c7881483-c525-4c22-9702-c132914bc5ca'],52,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:52.197,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cb33f321-26b0-4d1e-aa94-466828823574,37,,"[44.0, 4.5]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Joana Filipa Gaspar Silva Marchão,45144.0,Left Back,4,Portugal Women's,864,['1e449cc1-54b0-4504-b9d0-f59ae191ed31'],54,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:54.535,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67341c29-2c0d-4c0e-92c6-a8ace482a849,40,,"[78.0, 10.4]",3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ana Borges,10141.0,Left Center Forward,4,Portugal Women's,864,['07296666-b5d8-446a-b3c7-365b2d5a4e95'],57,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:57.928,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efc9869f-7513-4ad9-960b-5816a0aad12c,52,,"[56.4, 2.7]",3835323,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Joana Filipa Gaspar Silva Marchão,45144.0,Left Back,4,Portugal Women's,864,['27f2aa0f-367a-42f9-9bfa-ea619c4f11ab'],3,,,,,,,,,,,,,,,,,Portugal Women's,864,00:01:03.066,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86b08baf-3c82-45bc-91c9-ba96373205ed,55,,"[64.5, 9.0]",3835323,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andreia Alexandra Norton,34875.0,Left Center Midfield,4,Portugal Women's,864,['81977198-00ae-4533-9cb7-126b4d12d6fb'],4,,,,,,,,,,,,,,,,,Portugal Women's,864,00:01:04.356,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02986ac2-6fd1-49af-be56-dd94160704e8,60,,"[68.6, 13.3]",3835323,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Diana Micaela Abreu de Sousa e Silva,10159.0,Center Attacking Midfield,4,Portugal Women's,864,['2ea93663-2ed1-4350-8c00-21fda31bbcc5'],6,,,,,,,,,,,,,,,,,Portugal Women's,864,00:01:06.829,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7932ea67-d8c3-47cd-acdc-eb8160929e67,68,,"[57.0, 73.4]",3835323,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ana-Maria Crnogorčević,10408.0,Right Midfield,5,Switzerland Women's,860,['cf2f1e1a-93ca-49b6-a8ef-3edafa9c0ab1'],9,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:01:09.840,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e9934275-3404-49b7-98aa-1065b39a89fe,74,,"[70.3, 76.0]",3835323,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ana-Maria Crnogorčević,10408.0,Right Midfield,5,Switzerland Women's,860,['097b3d44-6321-4525-bf5a-6a76986f6be8'],13,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:01:13.415,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30716312-606a-44de-8456-78be468c21aa,77,,"[97.4, 47.8]",3835323,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Géraldine Reuteler,10419.0,Left Midfield,5,Switzerland Women's,860,['71cee637-1e61-4485-b8f5-5f7c9ba8fe11'],16,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:01:16.235,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47066f6e-a7c2-445f-8495-4f188a2faa25,85,,"[47.0, 42.1]",3835323,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Diana Micaela Abreu de Sousa e Silva,10159.0,Center Attacking Midfield,6,Portugal Women's,864,['3fb5869b-6ee9-4f69-acff-d9a8e8f96236'],14,,,,,,,,,,,,,,,,,Portugal Women's,864,00:02:14.621,Ball Receipt*,
