ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.027487,,,,,,,,,,,,,d034664f-7545-4341-b3bb-f2ede5630aeb,45,,"[15.0, 7.5]",3835339,0,,,,,0.20902294,,Right Foot,,,,"[41.4, 13.1]",,High Pass,,26.987404,,,Géraldine Reuteler,10419.0,,,,,,,1,From Goal Kick,Eseosa Aigbogun,10407.0,Left Back,5,Switzerland Women's,860,['252b999a-e73c-4a6d-8c3f-40b962aeb6af'],51,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:51.027,Pass,
,,,,,,,,,,,,,,,,,1.917849,,,,,,,,,,,,,d98bbfc7-c73e-48d8-81f0-36f757f9c4fc,49,,"[36.9, 8.9]",3835339,0,,,,,-0.061867844,,Right Foot,,,,"[48.2, 8.2]",,High Pass,,11.321661,,,Coumba Sow,31630.0,,,,,,,1,From Goal Kick,Géraldine Reuteler,10419.0,Left Midfield,5,Switzerland Women's,860,"['a40cf206-c6f7-4459-8152-fad0e34602e8', 'dc8ee4ef-4181-4fb5-a398-166b8cac8b7f']",54,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:54.065,Pass,True
,,,,,,,,,,,,,,,,,0.698858,,,,,,,,,,,,,57609588-6939-4302-a623-6bd548a00834,57,,"[51.1, 0.1]",3835339,1,,,,,1.2074032,,,,,,"[53.8, 7.2]",,Low Pass,,7.5960517,,,Géraldine Reuteler,10419.0,,,,,,Throw-in,1,From Throw In,Eseosa Aigbogun,10407.0,Left Back,6,Switzerland Women's,860,['3ea9e002-8443-41af-8e65-a99138bd06b4'],7,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:01:07.235,Pass,
,,,,,,,,,,,,,,,,,2.40201,,,,,,,,,,,,,fa467a74-eda5-4274-b843-968cbb29e56b,61,,"[53.8, 15.4]",3835339,1,,,,,2.1818316,,Right Foot,,,,"[38.6, 37.1]",,Ground Pass,,26.493961,,,Viola Calligaris,10417.0,,,,,,,1,From Throw In,Géraldine Reuteler,10419.0,Left Midfield,6,Switzerland Women's,860,"['2cbc7e2e-084d-4edc-ae38-9c5109e17637', 'f5bfdc3c-3b7c-4fb4-93c6-48976188cdeb']",10,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:01:10.282,Pass,True
,,,,,,,,,,,,,,,,,1.604814,,,,,,,,,,,,,9131ea50-a659-4772-9421-6e86d529b0c8,64,,"[43.8, 52.3]",3835339,1,,,,,0.9921894,,Right Foot,,,,"[55.1, 69.6]",,Ground Pass,,20.663494,,,Noelle Maritz,10404.0,,,,,,,1,From Throw In,Viola Calligaris,10417.0,Right Center Back,6,Switzerland Women's,860,['f53a239d-82a2-45a6-91e1-77a44bb312ae'],14,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:01:14.078,Pass,
,,,,,,,,,,,,,,,,,2.555602,,,,,,,,,,,,,e5fc2737-f6ce-46a4-b098-8ea366bb5dad,67,,"[56.6, 72.7]",3835339,1,,,,,-0.25332174,,Right Foot,,,,"[96.0, 62.5]",,High Pass,,40.698895,,,Ana-Maria Crnogorčević,10408.0,,,,,,,1,From Throw In,Noelle Maritz,10404.0,Right Back,6,Switzerland Women's,860,['94517319-d31a-41ab-a825-169dab3de80b'],17,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:01:17.145,Pass,
,,,,,,,,,,,,,,,,,0.870492,,,,,,,,,,,,,66030ab4-c0e2-4a65-b8b3-0ec0849b96db,73,,"[109.1, 80.0]",3835339,1,,,,,-1.3282448,,,,,,"[111.5, 70.3]",,Low Pass,,9.992497,,,Sandy Mändly,63073.0,,,,,,Throw-in,1,From Throw In,Noelle Maritz,10404.0,Right Back,7,Switzerland Women's,860,['6d515005-5ec6-4829-8a9c-82ee205522b2'],35,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:01:35.672,Pass,
,,,,,,,,,,,,,,,,,1.04997,,,,,,,,,,,,,12802177-bd74-459d-8e29-995ce5980f88,77,,"[112.5, 71.7]",3835339,1,,,,,2.3864882,,Left Foot,,,,"[107.4, 76.5]",,Ground Pass,,7.0035706,,,Noelle Maritz,10404.0,,,,,,,1,From Throw In,Sandy Mändly,63073.0,Right Center Midfield,7,Switzerland Women's,860,"['04d2db45-c1a3-4395-ab17-e478781023e0', 'c7e69a67-8b10-4532-a081-7e48e30912c0']",36,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:01:36.599,Pass,True
,,,,,,,,,,,,,,,,,1.517243,,,,,,,,,,,,,f7465946-457a-4e84-b580-379b3bf6103a,84,,"[111.5, 70.8]",3835339,1,,,,,-1.7543141,,Right Foot,True,,,"[106.6, 44.4]",,High Pass,,26.850885,,,Ramona Bachmann,4659.0,,,,,,,1,From Throw In,Noelle Maritz,10404.0,Right Back,7,Switzerland Women's,860,['ac739408-ac46-4939-a37f-9247ef5fd301'],40,,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:01:40.217,Pass,
,,,,,,,,,,,,,,,,,1.818576,,,,,,,,,,,,,242aed35-c4fa-4c66-8112-be64f03cb486,92,,"[19.7, 29.0]",3835339,1,,,,,-0.4636476,,Right Foot,,,,"[41.7, 18.0]",,Ground Pass,,24.596748,,,Lineth Beerensteyn,10656.0,,,,,,,1,Regular Play,Sherida Spitse,10645.0,Left Defensive Midfield,8,Netherlands Women's,851,['2e11c9cb-4e02-4227-9da0-d0593f6e4041'],44,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:01:44.436,Pass,
