bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,2.493,,,,,,,,,,,4a5d3a02-04dd-4531-b091-c1052c362bd3,12,,"[56.0, 80.0]",7546,0,,-2.768605,,,,,,,"[33.0, 71.0]",Low Pass,24.698177,,Raphaël Varane,5485.0,,,,,Throw-in,1,From Throw In,Benjamin Pavard,5476.0,Right Back,3,France,771,['3a63582c-a13d-4d9b-972b-0ef0852e5f71'],13,,,,,,,,,,,,,,,,,,France,771,00:00:13.300,Pass,
,,,,,,,,,,,,,1.88,,,,,,,,,,,6c9e3e99-ebf0-4f14-8a39-cf93189bd88f,15,,"[32.0, 67.0]",7546,0,,-1.5707964,,,Right Foot,,,,"[32.0, 23.0]",Ground Pass,44.0,,Samuel Yves Umtiti,5492.0,,True,,,,1,From Throw In,Raphaël Varane,5485.0,Right Center Back,3,France,771,['11d202ba-618a-4b34-97af-fa55887d0e3a'],16,,,,,,,,,,,,,,,,,,France,771,00:00:16.873,Pass,
,,,,,,,,,,,,,1.88,,,,,,,,,,,75465ca5-ee36-4dbd-804d-9defa1bee4f5,18,,"[35.0, 24.0]",7546,0,,1.5083776,,,Left Foot,,,,"[37.0, 56.0]",Ground Pass,32.06244,,Raphaël Varane,5485.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,3,France,771,['8f3b8cc7-d8d9-4fa7-b8e7-7b0c01c1acbd'],20,,,,,,,,,,,,,,,,,,France,771,00:00:20.593,Pass,
,,,,,,,,,,,,,1.119,,,,,,,,,,,151843fc-9e31-4092-bc1f-e18406454d7f,21,,"[45.0, 62.0]",7546,0,,0.5404195,,,Right Foot,,,,"[70.0, 77.0]",Ground Pass,29.15476,,Antoine Griezmann,5487.0,,,,,,1,From Throw In,Raphaël Varane,5485.0,Right Center Back,3,France,771,['bab14dfe-c76b-432a-a386-615037cd48f5'],24,,,,,,,,,,,,,,,,,,France,771,00:00:24.233,Pass,
,,,,,,,,,,,,,1.24,,,,,,,,,,,a54faf9f-c891-4b88-bc0c-2742f2e5e089,25,,"[70.0, 77.0]",7546,0,,-3.0466409,,,Left Foot,,,,"[49.0, 75.0]",Ground Pass,21.095022,,Benjamin Pavard,5476.0,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Center Attacking Midfield,3,France,771,"['72d451ef-ffb2-4a74-be00-309ccec9b553', 'fab0feec-a486-4bfc-82ab-73e0287ff4bb']",25,,,,,,,,,,,,,,,,,,France,771,00:00:25.353,Pass,True
,,,,,,,,,,,,,0.52,,,,,,,,,,,3e7640b3-43a3-4394-a6da-fadf425ae7e9,28,,"[49.0, 74.0]",7546,0,,-1.2036225,,,Right Foot,,,,"[54.0, 61.0]",Ground Pass,13.928389,,N''Golo Kanté,3961.0,,,,,,1,From Throw In,Benjamin Pavard,5476.0,Right Back,3,France,771,['e415d52e-dc08-4018-b850-41f1f96c1232'],27,,,,,,,,,,,,,,,,,,France,771,00:00:27.553,Pass,
,,,,,,,,,,,,,1.28,,,,,,,,,,,8cd57aaf-67cf-4400-bb5f-930f984f3059,32,,"[54.0, 61.0]",7546,0,,3.0791738,,,Right Foot,,,,"[38.0, 62.0]",Ground Pass,16.03122,,Raphaël Varane,5485.0,,,,,,1,From Throw In,N''Golo Kanté,3961.0,Right Center Midfield,3,France,771,"['08e020c0-820e-4535-bfd8-1fcb441d9c95', 'efc7d442-e0b6-4eda-88ec-308e31b3357e']",28,,,,,,,,,,,,,,,,,,France,771,00:00:28.193,Pass,True
,,,,,,,,,,,,,1.987,,,,,,,,,,,e806ad4b-9a9d-4c02-bd1c-a125c62f3042,35,,"[85.0, 61.0]",7546,0,,-2.3561945,,,Right Foot,,,,"[82.0, 58.0]",High Pass,4.2426405,Incomplete,Olivier Giroud,3604.0,,,,,,1,From Throw In,Raphaël Varane,5485.0,Right Center Back,3,France,771,"['23c017c1-eafe-49b0-b532-4f000d5a48d4', '55acd3a1-f4aa-4fda-8eb3-a242f7781983']",32,,,,,,,,,,,,,,,,,,France,771,00:00:32.193,Pass,
,,,,,,,,,,,,,0.88,,,,,,,,,,,55acd3a1-f4aa-4fda-8eb3-a242f7781983,37,,"[39.0, 23.0]",7546,0,,0.0,,,Head,,,,"[50.0, 23.0]",High Pass,11.0,,Víctor Yoshimar Yotún Flores,5529.0,,,,,Recovery,1,Regular Play,Alberto Junior Rodríguez Valdelomar,5532.0,Left Center Back,4,Peru,784,"['c3e55fd4-8bb3-4839-b4cd-8831c36b7679', 'e806ad4b-9a9d-4c02-bd1c-a125c62f3042']",34,,,,,,,,,,,,,,,,,,Peru,784,00:00:34.180,Pass,
,,,,,,,,,,,,,1.373,,,,,,,,,,,e4954252-1608-4e21-8dcb-0cb03bad6be9,39,,"[50.0, 21.0]",7546,0,,2.1375256,,,Left Foot,,,,"[43.0, 32.0]",Ground Pass,13.038404,,Pedro Jesús Aquino Sánchez,5526.0,,,,,,1,Regular Play,Víctor Yoshimar Yotún Flores,5529.0,Left Defensive Midfield,4,Peru,784,['c4fa5257-945a-4c2f-a2eb-9b0db34d3cac'],35,,,,,,,,,,,,,,,,,,Peru,784,00:00:35.060,Pass,
,,,,,,,,,,,,,1.773,,,,,,,,,,,62e0dbee-125c-4412-8a76-282ff91a3486,43,,"[42.0, 35.0]",7546,0,,2.0491488,,,Right Foot,,,,"[28.0, 62.0]",Ground Pass,30.413813,,Luis Jan Piers Advíncula Castrillón,5521.0,,,,,,1,Regular Play,Pedro Jesús Aquino Sánchez,5526.0,Right Defensive Midfield,4,Peru,784,"['0c94fd43-d83d-4a9c-86e8-c70e9022308c', 'ccfc2f3f-750a-40a3-aad5-0c2f6d861977']",36,,,,,,,,,,,,,,,,,,Peru,784,00:00:36.860,Pass,True
,,,,,,,,,,,,,2.68,,,,,,,,,,,92b0e7e5-6b12-4106-845f-580b4847889a,46,,"[22.0, 70.0]",7546,0,,-0.42826414,,,Right Foot,,,,"[68.0, 49.0]",High Pass,50.566788,,José Paolo Guerrero Gonzáles,5535.0,,,,,,1,Regular Play,Luis Jan Piers Advíncula Castrillón,5521.0,Right Back,4,Peru,784,['48fc8d4e-4070-4264-ace1-5fda076550f9'],41,,,,,,,,,,,,,,,,,,Peru,784,00:00:41.513,Pass,
,,,,,,,,,,,,,0.627,,,,,,,,,,,5099f4a1-70ab-4fdb-b4bb-dd6de7970342,48,,"[68.0, 50.0]",7546,0,,2.9229238,,,Other,,,,"[59.0, 52.0]",High Pass,9.219544,,Christian Alberto Cueva Bravo,5519.0,,,,,,1,Regular Play,José Paolo Guerrero Gonzáles,5535.0,Center Forward,4,Peru,784,['5d449f24-6777-4648-9b7b-2d8f1fd24d2f'],44,,,,,,,,,,,,,,,,,,Peru,784,00:00:44.193,Pass,
,,,,,,,,,,,,,1.813,,,,,,,,,,,da86bf3f-5b39-43b0-aa4e-9ad10cc8a848,50,,"[60.0, 52.0]",7546,0,,-1.5707964,,,Right Foot,,,,"[60.0, 25.0]",High Pass,27.0,Incomplete,,,,,,,,1,Regular Play,Christian Alberto Cueva Bravo,5519.0,Center Attacking Midfield,4,Peru,784,['2783ff40-1668-4a33-ad0c-14bc9fd02977'],44,,,,,,,,,,,,,,,,,,Peru,784,00:00:44.820,Pass,
,,,,,,,,,,,,,1.52,,,,,,,,,,,477e3e74-a703-460a-be62-d0c418a964e8,56,,"[76.0, 70.0]",7546,0,,2.6779451,,,Right Foot,,,,"[70.0, 73.0]",Ground Pass,6.708204,Incomplete,N''Golo Kanté,3961.0,,,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Right Wing,4,Peru,784,"['9d3d67ef-a3a1-4ac1-9777-178d8f88e78b', 'a2cb0bd2-2095-49ed-b25f-5d121da929a5']",51,,,,,,,,,,,,,,,,,,France,771,00:00:51.780,Pass,
,,,,,,,,,,,,,1.213,,,,,,,,,,,a2cb0bd2-2095-49ed-b25f-5d121da929a5,58,,"[51.0, 8.0]",7546,0,,0.7853982,,,Left Foot,,,,"[74.0, 31.0]",Ground Pass,32.526913,,José Paolo Guerrero Gonzáles,5535.0,,,,,Recovery,1,Regular Play,Miguel Ángel Trauco Saavedra,5518.0,Left Back,4,Peru,784,"['477e3e74-a703-460a-be62-d0c418a964e8', '7dc7e880-b1f3-40fe-b868-37ded2a34f9e']",53,,,,,,,,,,,,,,,,,,Peru,784,00:00:53.300,Pass,
,,,,,,,,,,,,,2.053,,,,,,,,,,,d54d5a6a-3bfd-471e-ac35-a07e3c052d9d,62,,"[75.0, 33.0]",7546,0,,1.3068326,,,Right Foot,,,,"[85.0, 70.0]",Ground Pass,38.327538,,André Martín Carrillo Díaz,3632.0,,,,,,1,Regular Play,José Paolo Guerrero Gonzáles,5535.0,Center Forward,4,Peru,784,"['a2f6dc9b-bb94-4bae-925c-5f27022969ed', 'd1e9aa57-43c7-43d8-878a-fd658b274378']",56,,,,,,,,,,,,,,,,,,Peru,784,00:00:56.460,Pass,True
,,,,,,,,,,,,,1.107,,,,,,,,,,,01210a2a-dab1-4881-b86b-9edc43b2b19a,69,,"[100.0, 80.0]",7546,1,,-2.2455373,,,,,,,"[92.0, 70.0]",High Pass,12.806249,,Pedro Jesús Aquino Sánchez,5526.0,,,,,Throw-in,1,From Throw In,Luis Jan Piers Advíncula Castrillón,5521.0,Right Back,5,Peru,784,['53ad110e-c794-4832-bdc7-fb95753738d4'],21,,,,,,,,,,,,,,,,,,Peru,784,00:01:21.273,Pass,
,,,,,,,,,,,,,0.973,,,,,,,,,,,fd1a3c0d-8260-4910-b1b4-272feb36913a,72,,"[92.0, 70.0]",7546,1,,0.7853982,,,Right Foot,,,,"[99.0, 77.0]",Ground Pass,9.899495,,Luis Jan Piers Advíncula Castrillón,5521.0,,,,,,1,From Throw In,Pedro Jesús Aquino Sánchez,5526.0,Right Defensive Midfield,5,Peru,784,"['640b193e-f5d7-4b29-ada3-7e6c529f0e09', '7704239b-3213-4313-b0fa-f92314cd047b']",22,,,,,,,,,,,,,,,,,,Peru,784,00:01:22.380,Pass,True
,,,,,,,,,,,,,0.573,,,,,,,,,,,84994405-768d-4065-9ae8-3214df11b2dc,76,,"[98.0, 79.0]",7546,1,,-1.3909428,,,Right Foot,,,,"[100.0, 68.0]",Ground Pass,11.18034,,José Paolo Guerrero Gonzáles,5535.0,,,,,,1,From Throw In,Luis Jan Piers Advíncula Castrillón,5521.0,Right Back,5,Peru,784,"['5b323fbd-ad9d-465e-a4f1-fface95c26aa', 'd77c4099-4230-44b3-a218-0e6c331cc701']",24,,,,,,,,,,,,,,,,,,Peru,784,00:01:24.020,Pass,True
,,,,,,,,,,,,,1.013,,,,,,,,,,,52ac80f8-4760-4d45-af96-df05aa0c6431,79,,"[100.0, 69.0]",7546,1,,0.7853982,,,Right Foot,,,,"[106.0, 75.0]",Ground Pass,8.485281,Incomplete,Luis Jan Piers Advíncula Castrillón,5521.0,,,,,,1,From Throw In,José Paolo Guerrero Gonzáles,5535.0,Center Forward,5,Peru,784,"['bbda1505-75e2-4de4-96a8-30b83744619f', 'ffc2212b-42b3-488b-aaf5-d51f094bb85b']",24,,,,,,,,,,,,,,,,,,Peru,784,00:01:24.620,Pass,
,,,,,,,,,,,,,1.48,,,,,,,,,,,29041d9f-cee2-4b00-a96d-12e9ec93ebef,85,,"[16.0, 9.0]",7546,1,,1.0358412,,,Right Foot,,,,"[32.0, 36.0]",High Pass,31.38471,Incomplete,Kylian Mbappé Lottin,3009.0,,,,,Recovery,1,From Throw In,Paul Pogba,20004.0,Left Center Midfield,5,Peru,784,"['13d60d5a-043e-46a0-b229-924f3cc722a2', 'c0b92fbb-6674-4285-8843-1e7625553004']",27,,,,,,,,,,,,,,,,,,France,771,00:01:27.260,Pass,
,,,,,,,,,,,,,1.453,,,,,,,,,,,c0b92fbb-6674-4285-8843-1e7625553004,87,,"[89.0, 45.0]",7546,1,,0.5404195,,,Right Foot,,,,"[99.0, 51.0]",High Pass,11.661903,,José Paolo Guerrero Gonzáles,5535.0,,,,,Recovery,1,From Throw In,Christian Alberto Cueva Bravo,5519.0,Center Attacking Midfield,5,Peru,784,"['29041d9f-cee2-4b00-a96d-12e9ec93ebef', 'e0874a68-1889-4e72-87fc-58aef60f2425']",28,,,,,,,,,,,,,,,,,,Peru,784,00:01:28.740,Pass,
,,,,,,,,,,,,,0.533,,,,,,,,,,,87e31573-9171-4a37-a440-865a0f6dda63,90,,"[100.0, 50.0]",7546,1,,-2.0344439,9ab0a029-829c-4de5-b5d3-b60b93b43e05,,Other,,,,"[97.0, 44.0]",Low Pass,6.708204,,Édison Michael Flores Peralta,5525.0,True,,,,,1,From Throw In,José Paolo Guerrero Gonzáles,5535.0,Center Forward,5,Peru,784,['45251fa3-3e10-42d1-983f-2d0cf2355201'],30,,,,,,,,,,,,,,,,,,Peru,784,00:01:30.260,Pass,
,,,,,,,,,,,,,0.6,,,,,,,,,,,69375b84-709d-43d7-b4ba-13ee2b2e95df,96,,"[29.0, 45.0]",7546,1,,-2.3561945,,,Head,,,,"[24.0, 40.0]",Low Pass,7.071068,Incomplete,N''Golo Kanté,3961.0,,,,,Recovery,1,From Throw In,Kylian Mbappé Lottin,3009.0,Right Wing,5,Peru,784,"['727aab50-f466-4db0-b821-89aee438bde3', 'f38f41f2-9f73-4e21-92ea-46b32e9af1c7']",32,,,,,,,,,,,,,,,,,,France,771,00:01:32.140,Pass,
,,,,,,,,,,,,,1.44,,,,,,,,,,,727aab50-f466-4db0-b821-89aee438bde3,98,,"[97.0, 41.0]",7546,1,,2.782822,,,Head,,,,"[89.0, 44.0]",High Pass,8.5440035,Incomplete,,,,,,,Recovery,1,From Throw In,José Paolo Guerrero Gonzáles,5535.0,Center Forward,5,Peru,784,"['5fbcbb38-ff0d-47b9-bf92-82a47d01b7e2', '69375b84-709d-43d7-b4ba-13ee2b2e95df']",32,,,,,,,,,,,,,,,,,,Peru,784,00:01:32.740,Pass,
,,,,,,,,,,,,,0.76,,,,,,,,,,,5fbcbb38-ff0d-47b9-bf92-82a47d01b7e2,99,,"[32.0, 37.0]",7546,1,,-0.15264933,,,Left Foot,,,,"[45.0, 35.0]",Ground Pass,13.152946,Incomplete,Olivier Giroud,3604.0,,,,,Recovery,1,From Throw In,Antoine Griezmann,5487.0,Center Attacking Midfield,5,Peru,784,"['433bedc9-6f6c-4e97-b7af-25bd6fdebf00', '727aab50-f466-4db0-b821-89aee438bde3', 'a600ce14-95f7-4e7d-af65-5288326960a1']",34,,,,,,,,,,,,,,,,,,France,771,00:01:34.180,Pass,
,,,,,,,,,,,,,0.733,,,,,,,,,,,a600ce14-95f7-4e7d-af65-5288326960a1,101,,"[76.0, 46.0]",7546,1,,-0.5880026,,,Left Foot,,,,"[79.0, 44.0]",Ground Pass,3.6055512,,Christian Alberto Cueva Bravo,5519.0,,,,,Interception,1,From Throw In,Christian Guillermo Martín Ramos Garagay,5530.0,Right Center Back,5,Peru,784,"['5fbcbb38-ff0d-47b9-bf92-82a47d01b7e2', 'ed5c583a-e24a-4f36-8c83-b6a1d83f28bc']",34,,,,,,,,,,,,,,,,,,Peru,784,00:01:34.940,Pass,
,,,,,,,,,,,,,0.733,,,,,,,,,,,d46320f4-7e84-4538-b8a7-0fdeca1ce66d,105,,"[73.0, 61.0]",7546,1,,2.1910458,,,Right Foot,,,,"[68.0, 68.0]",Ground Pass,8.602325,,Luis Jan Piers Advíncula Castrillón,5521.0,,,,,,1,From Throw In,Christian Alberto Cueva Bravo,5519.0,Center Attacking Midfield,5,Peru,784,"['0343b50d-3786-4e86-9749-6c8e69a6518e', '3e9daf2e-c386-4160-b3be-e1a0d3894415']",38,,,,,,,,,,,,,,,,,,Peru,784,00:01:38.860,Pass,True
,,,,,,,,,,,,,1.173,,,,,,,,,,,20f0b3f3-4e6c-4df4-94cf-0e3386ccbede,109,,"[67.0, 75.0]",7546,1,,0.19739556,,,Right Foot,,,,"[82.0, 78.0]",Ground Pass,15.297058,,André Martín Carrillo Díaz,3632.0,,,,,,1,From Throw In,Luis Jan Piers Advíncula Castrillón,5521.0,Right Back,5,Peru,784,"['7089dd77-68c1-40ba-971c-f84f479d9de7', 'f1924e9d-e741-4c6d-b274-99a99505d913']",41,,,,,,,,,,,,,,,,,,Peru,784,00:01:41.340,Pass,True
,,,,,,,,,,,,,0.773,,,,,,,,,,,e22f6041-4ff9-4a0b-9037-d09897392112,119,,"[120.0, 74.0]",7546,1,,-2.1112158,,,Right Foot,,,,"[111.0, 59.0]",Ground Pass,17.492855,Incomplete,José Paolo Guerrero Gonzáles,5535.0,,,,,,1,From Throw In,André Martín Carrillo Díaz,3632.0,Right Midfield,5,Peru,784,"['24149072-981d-4cea-9d4d-6fa993821dcf', '440a5fbc-6c95-4117-84bd-c316375f1655', 'ab17461a-8c51-4194-bb33-16673cfb99ee']",53,,,,,,,,,,,,,,,,,,Peru,784,00:01:53.140,Pass,True
,,,,,,,,,,,,,0.6,,,,,,,,,,,440a5fbc-6c95-4117-84bd-c316375f1655,121,,"[10.0, 22.0]",7546,1,,-1.5707964,,,Left Foot,,,,"[10.0, 14.0]",Ground Pass,8.0,,Blaise Matuidi,4375.0,,,,,Interception,1,Regular Play,N''Golo Kanté,3961.0,Right Center Midfield,6,France,771,"['da5045f0-fee5-4657-8c5e-510a6c7f824f', 'e22f6041-4ff9-4a0b-9037-d09897392112']",53,,,,,,,,,,,,,,,,,,France,771,00:01:53.913,Pass,
,,,,,,,,,,,,,0.733,,,,,,,,,,,93a2c607-0cbb-493c-a3b5-2e30bf69afd0,132,,"[89.0, 73.0]",7546,1,,-1.0516502,,,Right Foot,,,,"[93.0, 66.0]",Ground Pass,8.062258,,Édison Michael Flores Peralta,5525.0,,,,,,1,Regular Play,Luis Jan Piers Advíncula Castrillón,5521.0,Right Back,7,Peru,784,"['6be23b19-fc7d-412d-9e25-d751c7d831f1', 'b47d13c3-1084-4131-9120-2c81abd6125a']",59,,,,,,,,,,,,,,,,,,Peru,784,00:01:59.500,Pass,True
,,,,,,,,,,,,,0.973,,,,,,,,,,,ef8542bb-73b4-4f04-9edc-77aac980fb3d,135,,"[90.0, 65.0]",7546,2,,2.4468544,,,Left Foot,,,,"[78.0, 75.0]",Ground Pass,15.6205,,Christian Alberto Cueva Bravo,5519.0,,,,,,1,Regular Play,Édison Michael Flores Peralta,5525.0,Left Midfield,7,Peru,784,['1c2bbd36-7863-4b9b-8206-8ffc88286464'],1,,,,,,,,,,,,,,,,,,Peru,784,00:02:01.620,Pass,
