50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.88,,,,,,,,,,,,,79788326-bb36-4392-8151-d511bba1431f,47,,"[43.0, 16.0]",7558,0,,0.044415217,,,Right Foot,,,"[88.0, 18.0]",High Pass,45.044422,Incomplete,Edinson Roberto Cavani Gómez,4319.0,,,,1,From Goal Kick,Diego Roberto Godín Leal,5249.0,Left Center Back,3,Uruguay,783,"['857ed3cf-f591-42ff-965a-263e0b144652', 'e22221e2-6ccd-44e6-b417-ea8ecf5bdc36']",54,,,,,,,,,,,,,,,,Uruguay,783,00:00:54.080,Pass,
,,,,,,,,,,,,0.12,,,,,,,,,,,,,e22221e2-6ccd-44e6-b417-ea8ecf5bdc36,49,,"[33.0, 63.0]",7558,0,,0.0,,,Head,,,"[39.0, 63.0]",High Pass,6.0,Incomplete,,,,,Recovery,1,From Goal Kick,Igor Smolnikov,6298.0,Right Back,3,Uruguay,783,"['2de08474-79dc-4b7c-8919-e6a451cc0062', '79788326-bb36-4392-8151-d511bba1431f']",55,,,,,,,,,,,,,,,,Russia,796,00:00:55.960,Pass,
,,,,,,,,,,,,4.0,,,,,,,,,,,,,160bb5a1-8743-473e-b262-1404fc173007,62,,"[7.0, 45.0]",7558,1,,0.23554498,,,Right Foot,,,"[82.0, 63.0]",High Pass,77.12976,Incomplete,Artem Dzyuba,5195.0,,,Goal Kick,1,From Goal Kick,Igor Akinfeev,5172.0,Goalkeeper,4,Russia,796,"['7ce7138f-9043-47e1-a1bf-722cc85947b2', 'c59eb11b-bf53-47aa-a0b3-0b960427a0f5']",31,,,,,,,,,,,,,,,,Russia,796,00:01:31.760,Pass,
,,,,,,,,,,,,1.76,,,,,,,,,,,,,7ce7138f-9043-47e1-a1bf-722cc85947b2,65,,"[39.0, 18.0]",7558,1,True,1.5707964,,,,,,"[39.0, 35.0]",High Pass,17.0,Unknown,Nahitan Michel Nández Acosta,5247.0,,,Recovery,1,From Goal Kick,Matías Vecino Falero,5255.0,Left Midfield,4,Russia,796,"['160bb5a1-8743-473e-b262-1404fc173007', '7e4bebee-429a-4827-8a8c-34fedfff3502', '97023c50-5dd7-4718-a14f-1192691f7370']",35,,,,,,,,,,,,,,,,Uruguay,783,00:01:35.760,Pass,True
,,,,,,,,,,,,1.48,,,,,,,,,,,,,d495c9ba-e6fe-4448-bab1-622539e1237a,69,,"[34.0, 43.0]",7558,1,,1.380808,,,Left Foot,,,"[39.0, 69.0]",Ground Pass,26.476404,,José Martín Cáceres Silva,5248.0,,,Free Kick,1,From Free Kick,Sebastián Coates Nión,6300.0,Right Center Back,5,Uruguay,783,['8b1754a4-1527-4415-8ea0-1ee8e8665957'],50,,,,,,,,,,,,,,,,Uruguay,783,00:01:50.520,Pass,
,,,,,,,,,,,,0.8,,,,,,,,,,,,,824d5b0a-d55f-4d12-bfaa-b337c94af264,72,,"[55.0, 76.0]",7558,1,,0.21866895,,,Right Foot,,,"[64.0, 78.0]",Ground Pass,9.219544,,Nahitan Michel Nández Acosta,5247.0,,,,1,From Free Kick,José Martín Cáceres Silva,5248.0,Right Back,5,Uruguay,783,['36804073-961a-46c7-a5fa-dd7d8ff6893b'],55,,,,,,,,,,,,,,,,Uruguay,783,00:01:55.480,Pass,
,,,,,,,,,,,,0.68,,,,,,,,,,,,,42fd4a60-7969-4b13-a0dd-7a80294109d7,77,,"[64.0, 78.0]",7558,1,,-1.6814536,,,Right Foot,,,"[63.0, 69.0]",Ground Pass,9.055386,,José Martín Cáceres Silva,5248.0,,,,1,From Free Kick,Nahitan Michel Nández Acosta,5247.0,Right Midfield,5,Uruguay,783,"['0551d03a-7f3d-414d-a756-5d27fc747541', 'cae2e93f-a36a-4fa8-a3fe-0f7731863622']",56,,,,,,,,,,,,,,,,Uruguay,783,00:01:56.360,Pass,True
,,,,,,,,,,,,0.04,,,,,,,,,,,,,4de3b62e-fc35-408c-9c2b-d9dc853d9046,80,,"[67.0, 69.0]",7558,1,,-1.5707964,,,Right Foot,,,"[67.0, 65.0]",Low Pass,4.0,Incomplete,Rodrigo Bentancur Colmán,5260.0,,,,1,From Free Kick,José Martín Cáceres Silva,5248.0,Right Back,5,Uruguay,783,"['112a140a-fa25-4d55-b8d9-4c8431cf8cc1', '75d9fb17-c9b5-4ed3-ab23-8ad2b9338873']",58,,,,,,,,,,,,,,,,Uruguay,783,00:01:58.280,Pass,
,,,,,,,,,,,,1.04,,,,,,,,,,,,,de4342e1-a454-41da-a1a6-276fcc0467bc,85,,"[55.0, 21.0]",7558,2,,-2.1293957,,,Left Foot,,,"[45.0, 5.0]",High Pass,18.867962,,Fedor Kudryashov,5677.0,,,,1,Regular Play,Aleksey Miranchuk,6299.0,Center Attacking Midfield,6,Russia,796,['a40b5115-59ae-447e-90c3-7e7e265d8190'],0,,,,,,,,,,,,,,,,Russia,796,00:02:00.360,Pass,
,,,,,,,,,,,,1.053,,,,,,,,,,,,,13517db9-824b-4f2a-9f32-5259279de262,88,,"[45.0, 5.0]",7558,2,,0.7419473,,,Head,,,"[57.0, 16.0]",High Pass,16.27882,,Aleksey Miranchuk,6299.0,,,,1,Regular Play,Fedor Kudryashov,5677.0,Left Back,6,Russia,796,"['3167bb23-34e8-4ead-af9a-20f03ad01167', 'f921c334-19c6-42b9-8e5a-997d8f4c6e25']",1,,,,,,,,,,,,,,,,Russia,796,00:02:01.400,Pass,True
