ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[94.0, 9.0]",,,,,,3.721,,,,,,,,,,,,,8faa9577-bafc-4d70-a12d-dfafe605828d,2829,,"[78.0, 14.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kamil Grosicki,5667.0,Left Wing,136,Poland,789,"['c2480c61-b380-4436-91fb-6d155dccf53f', 'd14b40db-b4d4-431a-918c-1d67a397dd73', 'fdee613b-f274-4fed-ac45-17f29dd6d983']",15,,,,,,,,,,,,,,,,,,Poland,789,00:30:15.772,Carry,True
,,,,"[94.0, 5.0]",,,,,,0.12,,,,,,,,,,,,,4b349a81-5b24-41d8-a128-2e407ffab1aa,2833,,"[94.0, 5.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Maciej Rybus,5672.0,Left Wing Back,136,Poland,789,"['870d04f4-255a-4478-9ded-dd406028f9d7', 'd14b40db-b4d4-431a-918c-1d67a397dd73', 'e05614de-813d-4689-b898-cb320c5003d5']",20,,,,,,,,,,,,,,,,,,Poland,789,00:30:20.013,Carry,True
,,,,"[76.0, 14.0]",,,,,,1.44,,,,,,,,,,,,,3f80e9a9-c520-4085-98b8-9383867e01cd,2836,,"[81.0, 12.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Piotr Zieliński,5660.0,Left Defensive Midfield,136,Poland,789,"['7bdb8946-7af1-4a11-8460-74b51cc961cf', '839c867a-ac3c-47f1-9530-791adba7c557']",21,,,,,,,,,,,,,,,,,,Poland,789,00:30:21.053,Carry,
,,,,"[55.0, 44.0]",,,,,,0.52,,,,,,,,,,,,,ee1c8bdc-3bd3-4974-a856-e1b90de0c3fa,2839,,"[54.0, 42.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jan Bednarek,4626.0,Center Back,136,Poland,789,"['3c3c0d77-2432-4783-9e4f-390460bda16b', 'd42ae834-d449-409d-958a-6510e87addc9']",24,,,,,,,,,,,,,,,,,,Poland,789,00:30:24.253,Carry,
,,,,"[75.0, 61.0]",,,,,,2.76,,,,,,,,,,,,,9daa61ea-5b61-41cc-a61c-192bb75e31a0,2842,,"[63.0, 59.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Thiago Rangel Cionek,5662.0,Right Center Back,136,Poland,789,"['88b8262a-20c0-44ae-9693-c0261df1726c', 'ccf60e31-6736-4889-a22e-27fe9f6c62c7']",26,,,,,,,,,,,,,,,,,,Poland,789,00:30:26.013,Carry,
,,,,"[88.0, 32.0]",,,,,,0.747,,,,,,,,,,,,,c183c34f-24be-4a9e-a177-d211cba061b1,2847,,"[88.0, 34.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Piotr Zieliński,5660.0,Left Defensive Midfield,136,Poland,789,"['9ea7b2a3-0921-45dd-b8fa-73bfacae6255', '9ed697e9-b983-45c2-82e3-2fa6f1e85c54']",32,,,,,,,,,,,,,,,,,,Poland,789,00:30:32.253,Carry,
,,,,"[25.0, 59.0]",,,,,,0.787,,,,,,,,,,,,,2aadb9ec-2c42-4d9a-894a-022b4da25675,2851,,"[24.0, 58.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ismaïla Sarr,2941.0,Right Wing,137,Senegal,787,"['6b4313d3-080e-410e-86d7-652062bec108', 'b19a053b-66f1-499b-b6a4-819ae142b2f2', 'dbfadf45-bd40-46be-bfaf-238515fa2cec']",34,,,,,,,,,,,,,,,,,,Senegal,787,00:30:34.733,Carry,True
,,,,"[59.0, 49.0]",,,,,,0.253,,,,,,,,,,,,,2253d849-047e-4507-ac33-0c903f315066,2855,,"[59.0, 51.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Pape Moussa Konaté,3555.0,Left Center Forward,137,Senegal,787,"['b130a1bd-d9af-4c02-bf43-b68f171a7940', 'c0921d6b-1d10-4f82-9410-059f121f9bba']",37,,,,,,,,,,,,,,,,,,Senegal,787,00:30:37.520,Carry,
,,,,"[64.0, 73.0]",,,,,,1.88,,,,,,,,,,,,,747988e9-3058-4e70-9ad2-e2cb7193dd8b,2859,,"[66.0, 71.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Łukasz Piszczek,5658.0,Right Wing Back,138,Poland,789,"['01eab9cd-76e2-4d75-b863-44e246bfc2e9', 'a694806a-3307-46d2-81cf-b6f08ade7ead', 'f05c5bb4-04cb-497e-ac2e-a5ca09d8d744']",41,,,,,,,,,,,,,,,,,,Poland,789,00:30:41.893,Carry,True
,,,,"[35.0, 69.0]",,,,,,3.681,,,,,,,,,,,,,e48d94a0-d302-4ea5-965c-5dd7e367e102,2863,,"[41.0, 77.0]",7539,75,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Thiago Rangel Cionek,5662.0,Right Center Back,138,Poland,789,"['1ae2eb9d-0550-4b79-8ee0-cdff8f200642', '65cef250-1179-4d71-ae5a-2f7c92910482']",45,,,,,,,,,,,,,,,,,,Poland,789,00:30:45.332,Carry,
