ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,2.013,,,,,,,,,,8117efb9-109f-4595-940d-a1c18fabd9d4,18,,"[38.0, 38.0]",7562,0,,-0.81569195,,,Right Foot,,,,"[54.0, 21.0]",,Ground Pass,23.345236,,Víctor Yoshimar Yotún Flores,5529.0,,,,1,From Kick Off,Anderson Santamaría Bardales,5738.0,Left Center Back,2,Peru,784,['c6ade35c-d7a6-4172-98d0-1078c0eee738'],13,,,,,,,,,,,,,,,,,Peru,784,00:00:13.987,Pass,
,,,,,,,,,,,1.173,,,,,,,,,,1a4dd8df-9528-415c-8971-115134ed21cf,21,,"[56.0, 19.0]",7562,0,,-1.1583859,,,Left Foot,,,,"[63.0, 3.0]",,Ground Pass,17.464249,,Miguel Ángel Trauco Saavedra,5518.0,,,,1,From Kick Off,Víctor Yoshimar Yotún Flores,5529.0,Left Defensive Midfield,2,Peru,784,['c9d5ea30-592a-45a1-8f55-bd3bdc405d7d'],17,,,,,,,,,,,,,,,,,Peru,784,00:00:17.227,Pass,
,,,,,,,,,,,1.933,,,,,,,,,,70a293b2-7b94-4d50-ba72-6afa25c46bdc,25,,"[60.0, 3.0]",7562,0,,2.5829933,,,Left Foot,,,,"[44.0, 13.0]",,Ground Pass,18.867962,,Anderson Santamaría Bardales,5738.0,,,,1,From Kick Off,Miguel Ángel Trauco Saavedra,5518.0,Left Back,2,Peru,784,['482e207a-e4d0-429a-aab5-fa26e89c16ee'],18,,,,,,,,,,,,,,,,,Peru,784,00:00:18.907,Pass,
,,,,,,,,,,,1.933,,,,,,,,,,d20c9b6c-7835-4984-a949-933675b0e0d5,29,,"[45.0, 22.0]",7562,0,,1.4743226,,,Right Foot,,,,"[48.0, 53.0]",,Ground Pass,31.144823,,Christian Guillermo Martín Ramos Garagay,5530.0,,,,1,From Kick Off,Anderson Santamaría Bardales,5738.0,Left Center Back,2,Peru,784,['e40b587f-4fa4-4e53-b469-0f53a5632819'],23,,,,,,,,,,,,,,,,,Peru,784,00:00:23.227,Pass,
,,,,,,,,,,,1.493,,,,,,,,,,7cb73fa0-e4b0-4038-8dd9-e44a8207e208,32,,"[52.0, 55.0]",7562,0,,0.98279375,,,Right Foot,,,,"[68.0, 79.0]",,Ground Pass,28.84441,,André Martín Carrillo Díaz,3632.0,,,,1,From Kick Off,Christian Guillermo Martín Ramos Garagay,5530.0,Right Center Back,2,Peru,784,['0a14fa8a-ab65-43dd-b124-be2b47633b03'],26,,,,,,,,,,,,,,,,,Peru,784,00:00:26.627,Pass,
,,,,,,,,,,,1.773,,,,,,,,,,bdc8cf85-4850-4810-b159-7b0c3aefa014,36,,"[67.0, 77.0]",7562,0,,-2.5899377,,,Right Foot,,,,"[54.0, 69.0]",,Ground Pass,15.264338,,Christian Guillermo Martín Ramos Garagay,5530.0,,,,1,From Kick Off,André Martín Carrillo Díaz,3632.0,Right Midfield,2,Peru,784,['fb28502e-e0b7-4e5a-bd3d-21181bece146'],31,,,,,,,,,,,,,,,,,Peru,784,00:00:31.707,Pass,
,,,,,,,,,,,1.893,,,,,,,,,,ccf71f56-d16d-4a98-a6f3-f520674e7206,39,,"[53.0, 67.0]",7562,0,,-1.59936,,,Right Foot,,,,"[52.0, 32.0]",,Ground Pass,35.014282,,Anderson Santamaría Bardales,5738.0,,,,1,From Kick Off,Christian Guillermo Martín Ramos Garagay,5530.0,Right Center Back,2,Peru,784,['ca102122-27d1-49a5-8125-de9ca493d495'],34,,,,,,,,,,,,,,,,,Peru,784,00:00:34.307,Pass,
,,,,,,,,,,,1.933,,,,,,,,,,c1b34be7-00c9-4647-8f68-935d84c18264,42,,"[54.0, 33.0]",7562,0,,-1.1964628,,,Right Foot,,,,"[65.0, 5.0]",,Ground Pass,30.083218,,Miguel Ángel Trauco Saavedra,5518.0,,,,1,From Kick Off,Anderson Santamaría Bardales,5738.0,Left Center Back,2,Peru,784,['9facaa94-4f9d-43f6-8284-fd85c0a49955'],37,,,,,,,,,,,,,,,,,Peru,784,00:00:37.187,Pass,
,,,,,,,,,,,0.2,,,,,,,,,,1f631e55-d653-4c2c-9f33-91ec9ee6d232,46,,"[66.0, 3.0]",7562,0,,0.7853982,,,Left Foot,,,,"[67.0, 4.0]",,Ground Pass,1.4142135,Incomplete,,,,,,1,From Kick Off,Miguel Ángel Trauco Saavedra,5518.0,Left Back,2,Peru,784,['d0bf3ace-752c-4cf1-94fb-69b813f2d4a7'],39,,,,,,,,,,,,,,,,,Peru,784,00:00:39.827,Pass,
,,,,,,,,,,,1.693,,,,,,,,,,7ca91bc8-ab72-4cfd-b1b0-fca7659efd3c,48,,"[66.0, 1.0]",7562,0,,2.9229238,,,,,,,"[57.0, 3.0]",,High Pass,9.219544,,Anderson Santamaría Bardales,5738.0,,,Throw-in,1,From Throw In,Miguel Ángel Trauco Saavedra,5518.0,Left Back,3,Peru,784,['4bc3ffe7-d65d-4a74-8da3-c89562a34f0f'],47,,,,,,,,,,,,,,,,,Peru,784,00:00:47.307,Pass,
,,,,,,,,,,,0.853,,,,,,,,,,91607c48-52a3-4764-8d84-22b84bd301c3,51,,"[59.0, 6.0]",7562,0,,-0.4636476,,,Right Foot,,,,"[65.0, 3.0]",,Ground Pass,6.708204,,Miguel Ángel Trauco Saavedra,5518.0,,,,1,From Throw In,Anderson Santamaría Bardales,5738.0,Left Center Back,3,Peru,784,['15b9595f-01a7-4a9c-ba1b-4e262da5621b'],51,,,,,,,,,,,,,,,,,Peru,784,00:00:51.507,Pass,
,,,,,,,,,,,1.413,,,,,,,,,,e49c3bfe-c761-4aca-81b4-f40eb05afd20,54,,"[63.0, 4.0]",7562,0,,2.3561945,,,Left Foot,,,,"[53.0, 14.0]",,Ground Pass,14.142136,,Anderson Santamaría Bardales,5738.0,,,,1,From Throw In,Miguel Ángel Trauco Saavedra,5518.0,Left Back,3,Peru,784,['bf1f849e-cf52-4a45-b150-e33b68dcc419'],53,,,,,,,,,,,,,,,,,Peru,784,00:00:53.027,Pass,
,,,,,,,,,,,0.893,,,,,,,,,,74a0d62a-4f75-4b71-84bd-7a601d42e224,58,,"[53.0, 13.0]",7562,0,,-1.3045443,,,Right Foot,,,,"[56.0, 2.0]",,Ground Pass,11.401754,,Miguel Ángel Trauco Saavedra,5518.0,,,,1,From Throw In,Anderson Santamaría Bardales,5738.0,Left Center Back,3,Peru,784,['e4c98881-e57a-4809-abad-ca331f79ddc2'],56,,,,,,,,,,,,,,,,,Peru,784,00:00:56.467,Pass,
,,,,,,,,,,,1.215,,,,,,,,,,b892a42e-f676-4c01-a8a3-0e7385018ed7,62,,"[54.0, 3.0]",7562,0,,-0.071307465,,,Left Foot,,,,"[68.0, 2.0]",,Ground Pass,14.035668,,Édison Michael Flores Peralta,5525.0,,,,1,From Throw In,Miguel Ángel Trauco Saavedra,5518.0,Left Back,3,Peru,784,"['15c77910-dd5d-4e46-90d0-e9bb08ff7937', '7e32643d-ad27-465d-8a35-ae12d7faabd6']",58,,,,,,,,,,,,,,,,,Peru,784,00:00:58.347,Pass,True
,,,,,,,,,,,0.733,,,,,,,,,,749fdbda-931d-4a54-ac25-35d99cc3220d,66,,"[52.0, 76.0]",7562,1,,-1.1383885,,,Right Foot,,,,"[58.0, 63.0]",,Ground Pass,14.3178215,,Tom Rogić,5491.0,,,Recovery,1,Regular Play,Josh Risdon,5482.0,Right Back,4,Australia,792,['0c010ebd-223d-45f2-819b-4da20d1545fe'],0,,,,,,,,,,,,,,,,,Australia,792,00:01:00.227,Pass,
,,,,,,,,,,,2.16,,,,,,,,,,fc13fb5c-99e3-469a-a1ba-ce1082daa804,70,,"[67.0, 55.0]",7562,1,,-1.670465,,,Left Foot,,,,"[65.0, 35.0]",,Ground Pass,20.09975,,Aaron Mooy,3281.0,,,,1,Regular Play,Tom Rogić,5491.0,Center Attacking Midfield,4,Australia,792,['5401f198-4b17-4041-b40d-ba41c66e1b11'],4,,,,,,,,,,,,,,,,,Australia,792,00:01:04.507,Pass,
,,,,,,,,,,,2.453,,,,,,,,,,65b01942-d8c5-440b-9c13-c87899a19f6e,73,,"[65.0, 35.0]",7562,1,,-0.7419473,,,Left Foot,,,,"[89.0, 13.0]",,Ground Pass,32.55764,,Aziz Eraltay Behich,5479.0,,,,1,Regular Play,Aaron Mooy,3281.0,Left Center Midfield,4,Australia,792,"['0c0eb5c9-e85e-436d-870a-61e6ccd734f7', '2956a3f6-489d-4520-8e38-aa68226fec5b']",6,,,,,,,,,,,,,,,,,Australia,792,00:01:06.667,Pass,True
,,,,,,,,,,,1.613,,,,,,,,,,8a09b0f2-be75-4ad0-80be-ac4fcef71f89,77,,"[93.0, 11.0]",7562,1,,0.05258306,,,Left Foot,,,,"[112.0, 12.0]",,Ground Pass,19.026299,,Robbie Kruse,5494.0,,,,1,Regular Play,Aziz Eraltay Behich,5479.0,Left Back,4,Australia,792,"['37f9a741-2bc7-459e-a2b8-02211f0ebca8', '54e65aaf-65bc-4376-bf33-cf439bb09e99']",10,,,,,,,,,,,,,,,,,Australia,792,00:01:10.147,Pass,True
,,,,,,,,,,,0.96,,,,,,,,,,1efae0b7-facb-4f7b-a404-6f8c632c0fe2,81,,"[112.0, 9.0]",7562,1,,-2.863293,,,Right Foot,,,,"[105.0, 7.0]",,Ground Pass,7.28011,,Aziz Eraltay Behich,5479.0,,,,1,Regular Play,Robbie Kruse,5494.0,Left Midfield,4,Australia,792,"['2113cb20-7c89-466a-b0e9-a910c14b56a0', 'f6d3e5a2-209a-4fa0-9b97-d7d1b388e3f9']",12,,,,,,,,,,,,,,,,,Australia,792,00:01:12.907,Pass,True
,,,,,,,,,,,0.973,,,,,,,,,,75a76e22-51b7-43d1-9f29-8c1fa92353f4,90,,"[8.0, 67.0]",7562,1,,1.2490457,,,Right Foot,,,,"[12.0, 79.0]",,Ground Pass,12.649111,,Luis Jan Piers Advíncula Castrillón,5521.0,,,,1,Regular Play,Christian Guillermo Martín Ramos Garagay,5530.0,Right Center Back,4,Australia,792,"['28870a5a-1ec9-4cab-b887-034e8eb480a7', 'b1a8853b-24cf-4494-8feb-d362ae82f24b']",17,,,,,,,,,,,,,,,,,Peru,784,00:01:17.587,Pass,True
,,,,,,,,,,,0.147,,,,,,,,,,6f4bd4b4-4626-4c5b-bf57-477b4ba3eca8,94,,"[9.0, 78.0]",7562,1,,-0.5880026,,,Right Foot,,,,"[12.0, 76.0]",,Low Pass,3.6055512,Incomplete,,,,,,1,Regular Play,Luis Jan Piers Advíncula Castrillón,5521.0,Right Back,4,Australia,792,"['414887a4-7935-499d-bea7-b0ae660c0c42', 'bf3133fa-6855-4ebb-9444-02b9759d98c4']",19,,,,,,,,,,,,,,,,,Peru,784,00:01:19.320,Pass,True
,,,,,,,,,,,1.56,,,,,,,,,,de340ee5-e663-467b-8de8-a6e0c8245e82,96,,"[30.0, 80.0]",7562,1,,-0.18998829,,,,,,,"[56.0, 75.0]",,High Pass,26.476404,Incomplete,,,,,Throw-in,1,From Throw In,Luis Jan Piers Advíncula Castrillón,5521.0,Right Back,5,Peru,784,['e57d93e7-1158-4225-be41-12fe65dd7a19'],34,,,,,,,,,,,,,,,,,Peru,784,00:01:34.347,Pass,
,,,,,,,,,,,1.493,,,,,,,,,,3e50a3f5-a046-4987-ad07-ba3a73a35b38,102,,"[52.0, 16.0]",7562,1,,1.4758446,,,Left Foot,,,,"[54.0, 37.0]",,Ground Pass,21.095022,,Trent Sainsbury,5478.0,,,Free Kick,1,From Free Kick,Mark Milligan,5488.0,Left Center Back,7,Australia,792,['326107c9-662b-47d5-a7ea-a4b9f003d95a'],44,,,,,,,,,,,,,,,,,Australia,792,00:01:44.907,Pass,
,,,,,,,,,,,2.133,,,,,,,,,,f7c3404a-11b2-43d9-ad46-ed34044de968,105,,"[57.0, 41.0]",7562,1,,1.8244704,,,Left Foot,,,,"[50.0, 68.0]",,Ground Pass,27.89265,,Josh Risdon,5482.0,,,,1,From Free Kick,Trent Sainsbury,5478.0,Right Center Back,7,Australia,792,['805680a7-e4f0-4209-b798-20383439d6d5'],47,,,,,,,,,,,,,,,,,Australia,792,00:01:47.427,Pass,
,,,,,,,,,,,2.4,,,,,,,,,,7c877add-2d6e-47b9-b9dc-84e00a8be7ff,109,,"[56.0, 75.0]",7562,1,,-0.43240777,,,Right Foot,,,,"[95.0, 57.0]",,High Pass,42.953465,Incomplete,Tomi Jurić,5493.0,,,,1,From Free Kick,Josh Risdon,5482.0,Right Back,7,Australia,792,"['260fc006-22b8-4639-86e0-036d5596e8ad', '267d3bc4-f696-4ae6-910c-2fd93dd7c3df', 'eccaacba-bfdb-4691-878c-246888fabbb2']",52,,,,,,,,,,,,,,,,,Australia,792,00:01:52.067,Pass,True
,,,,,,,,,,,2.893,,,,,,,,,,267d3bc4-f696-4ae6-910c-2fd93dd7c3df,111,,"[26.0, 24.0]",7562,1,,-0.8550527,,,Head,,,,"[46.0, 1.0]",,High Pass,30.479502,Out,,,,,Recovery,1,From Free Kick,Anderson Santamaría Bardales,5738.0,Left Center Back,7,Australia,792,['7c877add-2d6e-47b9-b9dc-84e00a8be7ff'],54,,,,,,,,,,,,,,,,,Peru,784,00:01:54.467,Pass,
,,,,,,,,,,,0.893,,,,,,,,,,2ea10c8c-e912-46e9-ba65-12decc02976b,112,,"[80.0, 80.0]",7562,2,,-2.6516354,,,,,,,"[65.0, 72.0]",,Low Pass,17.0,,Mile Jedinak,5489.0,,,Throw-in,1,From Throw In,Tomi Jurić,5493.0,Center Forward,8,Australia,792,['ab88b71a-b908-4d41-9b05-2ddbdba85678'],0,,,,,,,,,,,,,,,,,Australia,792,00:02:00.867,Pass,
,,,,,,,,,,,0.48,,,,,,,,,,458bfad9-0bc1-4a94-b7ae-f06cb02f7e8d,116,,"[65.0, 76.0]",7562,2,,0.27829966,,,Right Foot,,,,"[72.0, 78.0]",,Ground Pass,7.28011,,Josh Risdon,5482.0,,,,1,From Throw In,Mile Jedinak,5489.0,Right Center Midfield,8,Australia,792,"['b1d00dd0-adf1-4660-9333-4a0970e9f90d', 'ff9d78b8-8ebb-49bd-a88f-fc72aea076a8']",2,,,,,,,,,,,,,,,,,Australia,792,00:02:02.147,Pass,True
,,,,,,,,,,,0.973,,,,,,,,,,90b9bb51-dcfb-45c7-ba69-09912536bb24,120,,"[64.0, 78.0]",7562,2,,-2.896614,,,Left Foot,,,,"[52.0, 75.0]",,Ground Pass,12.369317,,Trent Sainsbury,5478.0,,,,1,From Throw In,Josh Risdon,5482.0,Right Back,8,Australia,792,['7df1fa7a-f4fb-49dd-ab4d-7235d0508be5'],4,,,,,,,,,,,,,,,,,Australia,792,00:02:04.627,Pass,
,,,,,,,,,,,1.72,,,,,,,,,,da9139ec-e21b-448c-91a6-fb894810d035,124,,"[47.0, 78.0]",7562,2,,-0.104876935,,,Right Foot,,,,"[85.0, 74.0]",,High Pass,38.209946,Incomplete,Tomi Jurić,5493.0,,,,1,From Throw In,Trent Sainsbury,5478.0,Right Center Back,8,Australia,792,"['43483de3-fe94-495e-9e68-8028aac23a80', '7968ba2e-58f8-4cdd-b323-5a1966c45c75', 'f3656686-47a1-4be3-837e-23218c35c81b']",6,,,,,,,,,,,,,,,,,Australia,792,00:02:06.827,Pass,True
,,,,,,,,,,,1.533,,,,,,,,,,7968ba2e-58f8-4cdd-b323-5a1966c45c75,126,,"[36.0, 7.0]",7562,2,,-0.32175055,,,Left Foot,,,,"[51.0, 2.0]",,Ground Pass,15.811388,,Édison Michael Flores Peralta,5525.0,,,Recovery,1,From Throw In,Miguel Ángel Trauco Saavedra,5518.0,Left Back,8,Australia,792,"['928f2119-97a1-47b0-b2aa-5fdecb913b04', 'da9139ec-e21b-448c-91a6-fb894810d035']",8,,,,,,,,,,,,,,,,,Peru,784,00:02:08.547,Pass,
,,,,,,,,,,,0.373,,,,,,,,,,a221d557-b6fa-423b-b252-7fafa5c36cd0,131,,"[42.0, 2.0]",7562,2,,-0.24497867,,,Right Foot,,,,"[46.0, 1.0]",,Ground Pass,4.1231055,Out,,,,,,1,From Throw In,Édison Michael Flores Peralta,5525.0,Left Midfield,8,Australia,792,['0d7224f3-b311-4405-bd16-adbc8ddda1ca'],13,,,,,,,,,,,,,,,,,Peru,784,00:02:13.147,Pass,True
,,,,,,,,,,,1.493,,,,,,,,,,2d7eda95-d235-4961-a401-960125a3cf44,132,,"[80.0, 80.0]",7562,2,,-0.6000502,,,,,,,"[99.0, 67.0]",,High Pass,23.021729,,Mathew Leckie,5481.0,,,Throw-in,1,From Throw In,Josh Risdon,5482.0,Right Back,9,Australia,792,['9b9c23c8-9190-40f6-9c0c-3d9d2ba7db97'],21,,,,,,,,,,,,,,,,,Australia,792,00:02:21.947,Pass,
,,,,,,,,,,,1.04,,,,,,,,,,f0a2ad37-0e5e-4aa1-be93-14111c64d9de,135,,"[102.0, 73.0]",7562,2,,2.6476512,,,Right Foot,,,,"[89.0, 80.0]",,High Pass,14.764823,Out,Josh Risdon,5482.0,,,,1,From Throw In,Mathew Leckie,5481.0,Right Midfield,9,Australia,792,['1b6e1911-1994-4a0e-91b0-5a01a4b5a834'],24,,,,,,,,,,,,,,,,,Australia,792,00:02:24.547,Pass,
,,,,,,,,,,,1.04,,,,,,,,,,f1cd4f08-2269-4649-935f-9b2438ec029b,138,,"[24.0, 1.0]",7562,2,,0.18534794,,,,,,,"[56.0, 7.0]",,High Pass,32.55764,,José Paolo Guerrero Gonzáles,5535.0,,,Throw-in,1,From Throw In,Miguel Ángel Trauco Saavedra,5518.0,Left Back,10,Peru,784,['436954dd-ce3a-4f75-ba95-c86c6289cd95'],32,,,,,,,,,,,,,,,,,Peru,784,00:02:32.667,Pass,
,,,,,,,,,,,0.15,,,,,,,,,,0c899ace-8cbd-4f64-be8c-f62899c6c7ba,140,,"[53.0, 9.0]",7562,2,,-0.4636476,,,Head,,,,"[57.0, 7.0]",,High Pass,4.472136,Incomplete,,,,,,1,From Throw In,José Paolo Guerrero Gonzáles,5535.0,Center Forward,10,Peru,784,['3088057a-0972-4900-aafe-e77c4f9cb078'],33,,,,,,,,,,,,,,,,,Peru,784,00:02:33.707,Pass,
,,,,,,,,,,,1.4,,,,,,,,,,6cfd1c55-a060-4754-8a30-19c30d880203,142,,"[56.0, 61.0]",7562,2,,-2.7610862,,,Right Foot,,,,"[51.0, 59.0]",,High Pass,5.3851647,,Aaron Mooy,3281.0,,,Recovery,1,Regular Play,Mile Jedinak,5489.0,Right Center Midfield,11,Australia,792,['0493d9e5-d333-49d1-8e70-70c0dc97cb48'],35,,,,,,,,,,,,,,,,,Australia,792,00:02:35.467,Pass,
