ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,1.28,,,,,,,,,,,,,972d0569-feea-4740-81bf-e0313fe33ead,69,,"[27.0, 45.0]",7584,1,,,1.2490457,,,Left Foot,,"[33.0, 63.0]",,Ground Pass,18.973665,,Axel Witsel,5642.0,,,,,,1,From Free Kick,Toby Alderweireld,20005.0,Right Center Back,5,Belgium,782,['dd35d47d-ad17-4514-9cee-8d15f11399fb'],43,,,,,,,,,,,,,,,,,,Belgium,782,00:01:43.160,Pass,
,,,,,,,,,,0.88,,,,,,,,,,,,,e5c10de1-e55f-4193-97ea-dc6ec382ce52,73,,"[33.0, 57.0]",7584,1,,,-2.1375256,,,Right Foot,,"[26.0, 46.0]",,Ground Pass,13.038404,,Toby Alderweireld,20005.0,,,,,,1,From Free Kick,Axel Witsel,5642.0,Left Center Midfield,5,Belgium,782,"['0cf27c52-b3c5-4fa6-99cf-36445c19e133', '92108b52-59b7-4602-87fb-e381222daa51']",45,,,,,,,,,,,,,,,,,,Belgium,782,00:01:45.480,Pass,True
,,,,,,,,,,6.08,,,,,,,,,,,,,e7ed4ed2-7d59-4f0d-9a4c-5f73b3c3c0a8,77,,"[23.0, 49.0]",7584,1,,,0.36019313,,,Right Foot,,"[100.0, 78.0]",,High Pass,82.28001,Incomplete,Dries Mertens,5630.0,,,,,,1,From Free Kick,Toby Alderweireld,20005.0,Right Center Back,5,Belgium,782,"['7c82ffea-3227-4533-abee-def46b18f7b4', 'b4d56e12-96e7-4ccf-b183-defa4ce14df2', 'dd28aa96-6a69-4d7b-8206-012867f6b085']",48,,,,,,,,,,,,,,,,,,Belgium,782,00:01:48.360,Pass,True
,,,,,,,,,,1.52,,,,,,,,,,,,,7c82ffea-3227-4533-abee-def46b18f7b4,79,,"[21.0, 3.0]",7584,1,,,0.0,,,Right Foot,,"[33.0, 3.0]",,High Pass,12.0,,Yuto Nagatomo,5690.0,,,,,Recovery,1,Regular Play,Makoto Hasebe,5681.0,Right Defensive Midfield,6,Japan,778,"['bff16611-a425-423f-bd6c-f428dcf26941', 'e7ed4ed2-7d59-4f0d-9a4c-5f73b3c3c0a8']",54,,,,,,,,,,,,,,,,,,Japan,778,00:01:54.440,Pass,
,,,,,,,,,,2.2,,,,,,,,,,,,,2a2a2453-302c-4b6f-a43f-9af55c8fdc64,81,,"[33.0, 3.0]",7584,1,,,0.5880026,,,Right Foot,,"[45.0, 11.0]",,High Pass,14.422205,Incomplete,,,,,,,,1,Regular Play,Yuto Nagatomo,5690.0,Left Back,6,Japan,778,['b90f6847-2d6a-465a-898d-bd27f800abbd'],55,,,,,,,,,,,,,,,,,,Japan,778,00:01:55.960,Pass,
,,,,,,,,,,1.4,,,,,,,,,,,,,b90f6847-2d6a-465a-898d-bd27f800abbd,82,,"[76.0, 70.0]",7584,1,,,-1.1071488,,,Head,,"[82.0, 58.0]",,High Pass,13.416408,Incomplete,Eden Hazard,3621.0,,,,,Recovery,1,Regular Play,Axel Witsel,5642.0,Left Center Midfield,6,Japan,778,"['2a2a2453-302c-4b6f-a43f-9af55c8fdc64', '642f17bf-ca64-4efd-85b4-07b6ce2d0372', '902723c6-c8bd-425c-8f5f-b461b3ea3e3b']",58,,,,,,,,,,,,,,,,,,Belgium,782,00:01:58.160,Pass,
,,,,,,,,,,0.76,,,,,,,,,,,,,642f17bf-ca64-4efd-85b4-07b6ce2d0372,84,,"[39.0, 23.0]",7584,1,,,-0.26625204,,,Head,,"[50.0, 20.0]",,Low Pass,11.401754,,Shinji Kagawa,5684.0,,,,,Recovery,1,Regular Play,Gaku Shibasaki,5693.0,Left Defensive Midfield,6,Japan,778,"['b90f6847-2d6a-465a-898d-bd27f800abbd', 'e20f9d2f-2616-41a5-8045-2f64def3b424']",59,,,,,,,,,,,,,,,,,,Japan,778,00:01:59.560,Pass,
,,,,,,,,,,0.893,,,,,,,,,,,,,29b00cb9-d962-4bee-94ab-af8f7765efed,87,,"[50.0, 20.0]",7584,2,,,2.9441972,,,Right Foot,,"[45.0, 21.0]",,Ground Pass,5.0990195,,Gaku Shibasaki,5693.0,,,,,,1,Regular Play,Shinji Kagawa,5684.0,Center Attacking Midfield,6,Japan,778,"['5c746ea4-f002-4b64-aa89-d35dca0cbb5a', 'b6f1f5db-7ae1-41c5-9c1e-548893f305f1']",0,,,,,,,,,,,,,,,,,,Japan,778,00:02:00.320,Pass,True
,,,,,,,,,,0.546,,,,,,,,,,,,,81701715-0833-4970-8bc9-921a58629235,89,,"[45.0, 21.0]",7584,2,,,0.35877067,,,Right Foot,,"[53.0, 24.0]",,Ground Pass,8.5440035,,Shinji Kagawa,5684.0,,,,,,1,Regular Play,Gaku Shibasaki,5693.0,Left Defensive Midfield,6,Japan,778,"['5c746ea4-f002-4b64-aa89-d35dca0cbb5a', '76069312-0570-426f-87d1-02665e8ee0ef']",1,,,,,,,,,,,,,,,,,,Japan,778,00:02:01.213,Pass,True
,,,,,,,,,,0.96,,,,,,,,,,,,,c997b719-ca4a-4f4e-8af1-f73fdfcae72c,94,,"[43.0, 74.0]",7584,2,,,0.11065722,,,Right Foot,,"[52.0, 75.0]",,Ground Pass,9.055386,,Kevin De Bruyne,3089.0,,,,,,1,Regular Play,Toby Alderweireld,20005.0,Right Center Back,7,Belgium,782,['3c42d0b6-c7f7-4fe5-8061-ab4774fc65da'],21,,,,,,,,,,,,,,,,,,Belgium,782,00:02:21.440,Pass,
