ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,a8072ca7-9056-49e2-a4eb-62eae0ea241f,54,,"[54.0, 74.0]",7529,1,,0.5880026,,,Right Foot,,,,"[60.0, 78.0]",Ground Pass,7.2111025,,,Šime Vrsaljko,5461.0,,,,,,1,Regular Play,Luka Modrić,5463.0,Right Center Midfield,4,Croatia,785,['b1a66231-2a5c-4499-ba13-4dcb349597df'],22,,,,,,,,,,,,,,,Croatia,785,00:01:22.640,Pass,
,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,26b6cdb9-b215-4fd1-a53b-72170fd8c54a,57,,"[58.0, 78.0]",7529,1,,-2.634494,,,Right Foot,,,,"[40.0, 68.0]",Ground Pass,20.59126,,,Dejan Lovren,3471.0,,,,,,1,Regular Play,Šime Vrsaljko,5461.0,Right Back,4,Croatia,785,['fd109e8f-adb0-41ae-bd65-899a93b13138'],23,,,,,,,,,,,,,,,Croatia,785,00:01:23.360,Pass,
,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,e74b4bad-9bba-4e42-912d-292459b10de7,60,,"[40.0, 68.0]",7529,1,,-1.6539376,,,Right Foot,,,,"[37.0, 32.0]",Ground Pass,36.124783,,,Domagoj Vida,5468.0,,,,,,1,Regular Play,Dejan Lovren,3471.0,Right Center Back,4,Croatia,785,['8789fa46-cf3a-4996-af8d-f665cc59ca34'],25,,,,,,,,,,,,,,,Croatia,785,00:01:25.360,Pass,
,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,27ebca1b-c647-4f0c-a99f-c097a656b545,63,,"[42.0, 32.0]",7529,1,,-0.08314123,,,Right Foot,,,,"[54.0, 31.0]",Ground Pass,12.0415945,,,Andrej Kramarić,5460.0,,,,,,1,Regular Play,Domagoj Vida,5468.0,Left Center Back,4,Croatia,785,['af167aae-29ad-4c08-b828-caae56dff601'],28,,,,,,,,,,,,,,,Croatia,785,00:01:28.400,Pass,
,,,,,,,,,,,,1.053,,,,,,,,,,,,,,,ebd79d8c-387d-4013-8e86-0671f84e082a,66,,"[54.0, 30.0]",7529,1,,-3.0791738,,,Right Foot,,,,"[38.0, 29.0]",Ground Pass,16.03122,,,Domagoj Vida,5468.0,,,,,,1,Regular Play,Andrej Kramarić,5460.0,Center Attacking Midfield,4,Croatia,785,['2898602a-6e0d-4fb4-9dd4-11c4cd9b0b6f'],29,,,,,,,,,,,,,,,Croatia,785,00:01:29.627,Pass,
,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,e1de7226-3a09-4576-b7f8-6daaa86ca892,69,,"[50.0, 26.0]",7529,1,,0.5317241,,,Right Foot,,,,"[67.0, 36.0]",Ground Pass,19.723083,,,Mario Mandžukić,5472.0,,,,,,1,Regular Play,Domagoj Vida,5468.0,Left Center Back,4,Croatia,785,['ea7c123d-5097-4616-9134-85cacd6dd82e'],34,,,,,,,,,,,,,,,Croatia,785,00:01:34.320,Pass,
,,,,,,,,,,,,0.507,,,,,,,,,,,,,,,d1b08670-6da9-496e-b6a9-3dea3a84ba05,71,,"[67.0, 36.0]",7529,1,,-1.2120256,,,Right Foot,,,,"[70.0, 28.0]",Low Pass,8.5440035,,Incomplete,Andrej Kramarić,5460.0,,,,,,1,Regular Play,Mario Mandžukić,5472.0,Center Forward,4,Croatia,785,"['754ffcb6-4403-48c3-8972-2097341a319e', 'a9f902df-e8b3-414d-a529-8ba0b45e07d7']",35,,,,,,,,,,,,,,,Croatia,785,00:01:35.360,Pass,
,,,,,,True,,,,,,2.44,,,,,,,,,,,,,,,754ffcb6-4403-48c3-8972-2097341a319e,73,,"[51.0, 53.0]",7529,1,,2.9147937,,,Head,,,,"[25.0, 59.0]",High Pass,26.683329,,,Abdullahi Shehu,5471.0,,,,,Interception,1,Regular Play,Onyinye Wilfred Ndidi,3338.0,Right Center Midfield,5,Nigeria,775,"['d1b08670-6da9-496e-b6a9-3dea3a84ba05', 'ea508389-8d3c-4107-b6fa-40c2cef605df']",35,,,,,,,,,,,,,,,Nigeria,775,00:01:35.867,Pass,
,,,,,,,,,,,,1.613,,,,,,,,,,,,,,,86942185-3cec-49d1-87b4-cd70ae85b1af,77,,"[26.0, 56.0]",7529,1,,-2.6779451,,,Left Foot,,,,"[10.0, 48.0]",Ground Pass,17.888544,,,Francis Odinaka Uzoho,5454.0,,,,,,1,Regular Play,Abdullahi Shehu,5471.0,Right Back,5,Nigeria,775,"['5ca291ad-d648-46b1-9a66-a868931af6b0', 'e0a9fb19-ad80-4397-933b-22018289d24f']",38,,,,,,,,,,,,,,,Nigeria,775,00:01:38.387,Pass,True
,,,,,,,,,,,,3.84,,,,,,,,,,,,,,,dd1551b7-fd37-4873-a526-2a3b2d7523b9,80,,"[9.0, 49.0]",7529,1,,0.5090709,,,Right Foot,,,,"[52.0, 73.0]",High Pass,49.24429,,,Alex Iwobi,3647.0,,,,,,1,Regular Play,Francis Odinaka Uzoho,5454.0,Goalkeeper,5,Nigeria,775,['777f3f15-a7cb-49f4-97f2-bdbc96a302cd'],40,,,,,,,,,,,,,,,Nigeria,775,00:01:40.067,Pass,
