bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.16,,,,,,,,,,,,9f1d3ff3-c921-4098-8bd4-90d13d4384d7,93,,,"[11.0, 65.0]",7536,1,,-1.5182133,,,Right Foot,,,"[12.0, 46.0]",,Ground Pass,19.026299,,,Anga Dedryck Boyata,5639.0,,,,,,1,From Throw In,Toby Alderweireld,20005.0,Right Center Back,7,Belgium,782,['20083425-b9c2-4a3b-b601-eed3c383756b'],46,,,,,,,,,,,,,,,,,Belgium,782,00:01:46.573,Pass,
,,,,,,,,,,,,1.199,,,,,,,,,,,,26dba556-c7c8-4b10-9021-6f397acf9215,96,,,"[16.0, 48.0]",7536,1,,-1.0390723,,,Right Foot,,,"[26.0, 31.0]",,Ground Pass,19.723083,,,Axel Witsel,5642.0,,,,,,1,From Throw In,Anga Dedryck Boyata,5639.0,Center Back,7,Belgium,782,['bf9b94f7-7ff8-4382-bc98-5cf690990e35'],49,,,,,,,,,,,,,,,,,Belgium,782,00:01:49.413,Pass,
,,,,,,,,,,,,1.24,,,,,,,,,,,,bfcc8ff6-7f5d-489d-90ff-71deb2c1f489,99,,,"[35.0, 28.0]",7536,1,,-2.4468544,,,Right Foot,,,"[23.0, 18.0]",,Ground Pass,15.6205,,,Jan Vertonghen,3077.0,,,,,,1,From Throw In,Axel Witsel,5642.0,Left Center Midfield,7,Belgium,782,['399a52d6-7170-4a8d-bd40-410ddd4fb5b6'],52,,,,,,,,,,,,,,,,,Belgium,782,00:01:52.373,Pass,
,,,,,,,,,,,,1.48,,,,,,,,,,,,4bded8ea-247a-467c-b973-c86fd258dbdc,102,,,"[23.0, 18.0]",7536,1,,1.4711276,,,Left Foot,,,"[25.0, 38.0]",,Ground Pass,20.09975,,,Anga Dedryck Boyata,5639.0,,,,,,1,From Throw In,Jan Vertonghen,3077.0,Left Center Back,7,Belgium,782,['c1114577-aa73-4c97-9379-c6e589b1c692'],54,,,,,,,,,,,,,,,,,Belgium,782,00:01:54.133,Pass,
,,,,,,,,,,,,1.24,,,,,,,,,,,,c839c904-81cb-4c5f-9397-2d657b15c37f,105,,,"[28.0, 38.0]",7536,1,,1.3258177,,,Left Foot,,,"[34.0, 62.0]",,Ground Pass,24.738634,,,Toby Alderweireld,20005.0,,,,,,1,From Throw In,Anga Dedryck Boyata,5639.0,Center Back,7,Belgium,782,['3332fed6-c6b4-4d39-964a-8c0ff8b0f0e8'],57,,,,,,,,,,,,,,,,,Belgium,782,00:01:57.093,Pass,
,,,,,,,,,,,,1.08,,,,,,,,,,,,8840e405-a771-47b3-abac-593c8c694a33,108,,,"[44.0, 63.0]",7536,2,,0.63502675,,,Left Foot,,,"[63.0, 77.0]",,Ground Pass,23.600847,,,Thomas Meunier,3176.0,,,,,,1,From Throw In,Toby Alderweireld,20005.0,Right Center Back,7,Belgium,782,['54ea69a7-a4f6-4a11-9775-2e2c5b28b154'],0,,,,,,,,,,,,,,,,,Belgium,782,00:02:00.213,Pass,
,,,,,,,,,,,,1.24,,,,,,,,,,,,1202ab8e-2803-4c5e-a593-e33f8fb4c05d,112,,,"[65.0, 76.0]",7536,2,,-2.8501358,,,Right Foot,,,"[45.0, 70.0]",,Ground Pass,20.880613,,,Toby Alderweireld,20005.0,,,,,,1,From Throw In,Thomas Meunier,3176.0,Right Wing Back,7,Belgium,782,"['1c56db33-5d32-4f16-be5c-52cbe4a91dd9', '29528521-16dc-4510-a627-3f330e9a253b']",1,,,,,,,,,,,,,,,,,Belgium,782,00:02:01.933,Pass,True
,,,,,,,,,,,,1.439,,,,,,,,,,,,1926d5c7-d6ba-458f-a7a8-7b6c4d5dfe5c,115,,,"[46.0, 69.0]",7536,2,,-1.9513026,,,Right Foot,,,"[38.0, 49.0]",,Ground Pass,21.540659,,,Anga Dedryck Boyata,5639.0,,,,,,1,From Throw In,Toby Alderweireld,20005.0,Right Center Back,7,Belgium,782,['0c560281-88a8-4b2f-a96e-f234ddb09390'],4,,,,,,,,,,,,,,,,,Belgium,782,00:02:04.453,Pass,
,,,,,,,,,,,,1.44,,,,,,,,,,,,13a7541d-3cac-40f8-954b-b9e3ee846944,118,,,"[42.0, 48.0]",7536,2,,-1.6563016,,,Right Foot,,,"[39.0, 13.0]",,Ground Pass,35.128338,,,Jan Vertonghen,3077.0,,,,,,1,From Throw In,Anga Dedryck Boyata,5639.0,Center Back,7,Belgium,782,['5099ef53-fe4e-403e-a1cc-36eb2e7a7f70'],7,,,,,,,,,,,,,,,,,Belgium,782,00:02:07.013,Pass,
,,,,,,,,,,,,1.413,,,,,,,,,,,,e3bc69a5-8e42-48a3-88f0-3ca105768f23,122,,,"[42.0, 11.0]",7536,2,,1.7818897,,,Left Foot,,,"[36.0, 39.0]",,Ground Pass,28.635643,,,Anga Dedryck Boyata,5639.0,,,,,,1,From Throw In,Jan Vertonghen,3077.0,Left Center Back,7,Belgium,782,"['9d3fbc86-f3f3-4026-8781-5fd9581a2938', 'd003dc4f-58c7-4357-88fe-df63369c77fd']",11,,,,,,,,,,,,,,,,,Belgium,782,00:02:11.360,Pass,True
,,,,,,,,,,,,1.4,,,,,,,,,,,,56a43ed0-7116-48f7-89fe-0748d04de2b4,126,,,"[36.0, 41.0]",7536,2,,1.484058,,,Right Foot,,,"[38.0, 64.0]",,Ground Pass,23.086792,,,Toby Alderweireld,20005.0,,,,,,1,From Throw In,Anga Dedryck Boyata,5639.0,Center Back,7,Belgium,782,"['556556bf-8b90-426f-bcff-5364eca1d92e', '62d79c42-b80e-47d8-8cdb-4cef8fc3f92a']",14,,,,,,,,,,,,,,,,,Belgium,782,00:02:14.213,Pass,True
