50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.04,,,,,,,,,,,,67fe8b05-1822-4539-83c9-5bdec00917e4,3541,,"[75.0, 19.0]",7565,83,,1.7506498,,,Left Foot,,,,"[73.0, 30.0]",,Ground Pass,11.18034,,Milos Veljkovic,6321.0,,,,2,From Throw In,Nemanja Matić,3381.0,Left Defensive Midfield,155,Serbia,786,['a26fadbb-67c8-4917-9375-1d267520f38e'],45,,,,,,,,,,,,,,,,,Serbia,786,00:38:45.953,Pass,
,,,,,,,,,,,,,,1.64,,,,,,,,,,,,953a1b12-4d9b-4a75-8244-865d69975c0c,3544,,"[82.0, 31.0]",7565,83,,-0.98279375,,,Right Foot,,,,"[100.0, 4.0]",,High Pass,32.449963,,Aleksandar Kolarov,5596.0,,,,2,From Throw In,Milos Veljkovic,6321.0,Left Center Back,155,Serbia,786,['f4dcea0c-9766-493f-8acb-5209fd59f5fe'],49,,,,,,,,,,,,,,,,,Serbia,786,00:38:49.873,Pass,
,,,,,,,,,,,,,,1.32,,,,,,,,,,,,53c38d13-ce6f-43f6-b20f-c418af59c532,3555,,"[46.0, 47.0]",7565,84,,-1.8076451,,,Right Foot,,,,"[39.0, 18.0]",,Ground Pass,29.832869,,Filipe Luís Kasmirski,6320.0,,,,2,Regular Play,Gabriel Fernando de Jesus,3202.0,Center Forward,156,Brazil,781,['00078000-772e-4c0e-b647-8106e99346b2'],18,,,,,,,,,,,,,,,,,Brazil,781,00:39:18.700,Pass,
,,,,,,,,,,,,,,5.546,,,,,,,,,,,,c152a25f-915e-4ebe-8644-2022750df6ca,3558,,"[44.0, 15.0]",7565,84,,-0.293589,,,Left Foot,,,,"[87.0, 2.0]",,Ground Pass,44.922153,,Neymar da Silva Santos Junior,4320.0,,,,2,Regular Play,Filipe Luís Kasmirski,6320.0,Left Back,156,Brazil,781,['26d107a7-ed90-4ba3-8488-d392b7ddac2c'],21,,,,,,,,,,,,,,,,,Brazil,781,00:39:21.073,Pass,
,,,,,,,,,,,,,,1.35,,,,,,,,,,,,4fddb453-d7b4-459a-a5b1-49054f8354e7,3562,,"[87.0, 2.0]",7565,84,,2.4037776,,,Left Foot,,,,"[76.0, 12.0]",,Ground Pass,14.866069,,Renato Soares de Oliveira Augusto,5553.0,,,,2,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,156,Brazil,781,['d35cb5ff-7377-4946-9679-9ea582bd2d0b'],27,,,,,,,,,,,,,,,,,Brazil,781,00:39:27.990,Pass,
,,,,,,,,,,,,,,0.946,,,,,,,,,,,,70c7e588-28a2-4700-a923-058e1d60d0ca,3565,,"[76.0, 12.0]",7565,84,,1.0516502,,,Right Foot,,,,"[80.0, 19.0]",,Ground Pass,8.062258,,Filipe Luís Kasmirski,6320.0,,,,2,Regular Play,Renato Soares de Oliveira Augusto,5553.0,Left Center Midfield,156,Brazil,781,['bb074e1f-72a1-4a45-a59b-fa5b8fa2aa64'],30,,,,,,,,,,,,,,,,,Brazil,781,00:39:30.433,Pass,
,,,,,,,,,,,,,,0.88,,,,,,,,,,,,c304dd10-119d-4527-9a62-c8df289b7918,3568,,"[80.0, 19.0]",7565,84,,-2.0899425,,,Right Foot,,,,"[76.0, 12.0]",,Ground Pass,8.062258,,Renato Soares de Oliveira Augusto,5553.0,,,,2,Regular Play,Filipe Luís Kasmirski,6320.0,Left Back,156,Brazil,781,['cd24f1f4-b42c-4580-b44e-6229d7cefd2c'],31,,,,,,,,,,,,,,,,,Brazil,781,00:39:31.380,Pass,
,,,,,,,,,,,,,,1.106,,,,,,,,,,,,cf165c10-8c4a-401f-9f5f-41f71d3038da,3572,,"[74.0, 12.0]",7565,84,,2.0899425,,,Right Foot,,,,"[66.0, 26.0]",,Ground Pass,16.124516,,Carlos Henrique Casimiro,5539.0,,,,2,Regular Play,Renato Soares de Oliveira Augusto,5553.0,Left Center Midfield,156,Brazil,781,"['7fa76871-3d63-4474-b9f1-810ce32d468b', '9c7220d0-ed64-4590-ab93-d3f15fc31bfb']",33,,,,,,,,,,,,,,,,,Brazil,781,00:39:33.073,Pass,True
,,,,,,,,,,,,,,0.88,,,,,,,,,,,,4c4cd180-6bad-4cd8-ad81-99d954cb92e4,3575,,"[66.0, 26.0]",7565,84,,0.32175055,,,Right Foot,,,,"[72.0, 28.0]",,Ground Pass,6.3245554,,Gabriel Fernando de Jesus,3202.0,,,,2,Regular Play,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,156,Brazil,781,['00840ec8-cdf0-44f2-944b-590fad09ec8b'],34,,,,,,,,,,,,,,,,,Brazil,781,00:39:34.180,Pass,
,,,,,,,,,,,,,,1.2,,,,,,,,,,,,1e92d6e2-09ab-4909-83ad-989ee3405d8b,3577,,"[72.0, 28.0]",7565,84,,-2.634494,,,Left Foot,,,,"[63.0, 23.0]",,Ground Pass,10.29563,,Carlos Henrique Casimiro,5539.0,,,,2,Regular Play,Gabriel Fernando de Jesus,3202.0,Center Forward,156,Brazil,781,['a1ea9628-e24a-4375-8ccd-b56b35d17e26'],35,,,,,,,,,,,,,,,,,Brazil,781,00:39:35.060,Pass,
