50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,1.346,,,,,,,,,,,,,1cb54889-d0a2-4208-85b8-0eb5e9ca27b5,1731,,"[66.0, 47.0]",8657,31,,1.237552,,,Left Foot,,,,"[75.0, 73.0]",,Ground Pass,27.513634,,Eric Dier,10956.0,,,,1,From Throw In,John Stones,3244.0,Center Back,51,England,768,['082a1da4-479f-41be-93b2-50c85a199ef4'],34,,,,,,,,,,,,,,,,,,,England,768,00:31:34.373,Pass,
,,,,,,,,,,,,,1.32,,,,,,,,,,,,,5e84613a-ff9a-451d-a56d-7ff1975d2d2d,1734,,"[79.0, 74.0]",8657,31,,-0.83988965,,,Right Foot,,,,"[105.0, 45.0]",,High Pass,38.948685,Incomplete,Harry Kane,10955.0,,,,1,From Throw In,Eric Dier,10956.0,Center Defensive Midfield,51,England,768,"['4e989509-1f73-4a6b-9ee6-93164bac7443', 'f0d30cdf-ca43-44f3-bff6-ca6b73c6b73d']",37,,,,,,,,,,,,,,,,,,,England,768,00:31:37.773,Pass,
,,,,,,,,,,,,,0.603,,,,,,,,,,,,,079a6550-5e02-4e5c-b342-6cf50e17c3dd,1739,,"[21.0, 22.0]",8657,31,,0.32175055,,,Right Foot,,,,"[27.0, 24.0]",,Ground Pass,6.3245554,,Axel Witsel,5642.0,,,,1,Regular Play,Jan Vertonghen,3077.0,Left Center Back,52,Belgium,782,['49461bdd-be5d-4e8f-9481-623ed8b8db42'],41,,,,,,,,,,,,,,,,,,,Belgium,782,00:31:41.730,Pass,
,,,,,,,,,,,,,1.32,,,,,,,,,,,,,abde8b87-fed4-4818-8467-f5f56c532472,1743,,"[25.0, 22.0]",8657,31,,-1.3961241,,,Right Foot,,,,"[28.0, 5.0]",,Ground Pass,17.262676,,Jan Vertonghen,3077.0,,,,1,Regular Play,Axel Witsel,5642.0,Left Defensive Midfield,52,Belgium,782,['1074d80c-94da-4995-8bce-9969cc9f229c'],43,,,,,,,,,,,,,,,,,,,Belgium,782,00:31:43.933,Pass,
,,,,,,,,,,,,,1.88,,,,,,,,,,,,,77ae34a6-dfe2-471a-9f12-8c4acc3846de,1746,,"[38.0, 4.0]",8657,31,,0.49394137,,,Left Foot,,,,"[64.0, 18.0]",,High Pass,29.529646,,Romelu Lukaku Menama,3289.0,,,,1,Regular Play,Jan Vertonghen,3077.0,Left Center Back,52,Belgium,782,['958976b1-9cb0-4e23-8ba1-7d59f3f0fa2d'],47,,,,,,,,,,,,,,,,,,,Belgium,782,00:31:47.812,Pass,
,,,,,,,,,,,,,0.68,,,,,,,,,,,,,b3172a36-c395-4753-a531-73b85aa4471b,1752,,"[63.0, 26.0]",8657,31,,1.9614034,,,Left Foot,,,,"[56.0, 43.0]",,Ground Pass,18.384777,,Youri Tielemans,2954.0,,,,1,Regular Play,Romelu Lukaku Menama,3289.0,Center Forward,52,Belgium,782,"['a631b7bb-7347-4255-9226-e8e1b23503f5', 'da80f755-9f2a-4729-866c-9748ab07457c']",51,,,,,,,,,,,,,,,,,,,Belgium,782,00:31:51.933,Pass,True
,,,,,,,,,,,,,1.75,,,,,,,,,,,,,09fdacdd-2764-4a73-b857-640a3db0dd52,1756,,"[56.0, 47.0]",8657,31,,0.90975314,,,Right Foot,,,,"[77.0, 74.0]",,Ground Pass,34.20526,,Thomas Meunier,3176.0,,,,1,Regular Play,Youri Tielemans,2954.0,Right Defensive Midfield,52,Belgium,782,"['22b6ef42-1ca4-46bf-a0fc-1ab1637266e6', '30fdfe3a-9917-4220-83b3-e92f3a296f0a']",54,,,,,,,,,,,,,,,,,,,Belgium,782,00:31:54.250,Pass,True
,,,,,,,,,,,,,1.92,,,,,,,,,,,,,0a05a0a7-ba2b-4693-8988-bf5c41b47592,1759,,"[86.0, 62.0]",8657,31,,-2.8809903,,,Right Foot,,,,"[71.0, 58.0]",,Ground Pass,15.524175,,Toby Alderweireld,20005.0,,,,1,Regular Play,Thomas Meunier,3176.0,Right Wing Back,52,Belgium,782,['4f5a697b-f537-4b61-99fe-d47e1684b518'],59,,,,,,,,,,,,,,,,,,,Belgium,782,00:31:59.613,Pass,
,,,,,,,,,,,,,0.84,,,,,,,,,,,,,73b5dbf4-e32c-4787-9d74-907360446617,1762,,"[71.0, 59.0]",8657,32,,-1.2924967,,,Right Foot,,,,"[73.0, 52.0]",,Ground Pass,7.28011,,Axel Witsel,5642.0,,,,1,Regular Play,Toby Alderweireld,20005.0,Right Center Back,52,Belgium,782,['fb422c8b-7184-464a-b2f9-2312d6d45734'],1,,,,,,,,,,,,,,,,,,,Belgium,782,00:32:01.693,Pass,
,,,,,,,,,,,,,0.799,,,,,,,,,,,,,7dcbfc98-724d-449d-b30a-739a235ef6d3,1765,,"[73.0, 51.0]",8657,32,,0.7853982,,,Right Foot,,,,"[76.0, 54.0]",,Ground Pass,4.2426405,,Eden Hazard,3621.0,,,,1,Regular Play,Axel Witsel,5642.0,Left Defensive Midfield,52,Belgium,782,['fae601a5-9929-47f7-8c7d-66f7e4b7607a'],3,,,,,,,,,,,,,,,,,,,Belgium,782,00:32:03.173,Pass,
