bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,1.293,,,,,,,,,,,,f801ed7d-db93-478b-895e-a0d8ada40b58,3047,,"[92.0, 64.0]",8651,82,True,-1.9974238,,,,,,,"[87.0, 53.0]",,Low Pass,12.083046,,Harry Kane,10955.0,,,,,,2,Regular Play,Kieran Trippier,3308.0,Right Back,151,England,768,"['b976825a-f3b1-4663-9a9f-e07cc48d0e31', 'bf513050-a4ad-4eec-89b6-48049254135b']",16,,,,,,,,,,,,,,,,,England,768,00:37:16.547,Pass,True
,,,,,,,,,,,2.399,,,,,,,,,,,,cc42b96b-f274-4658-a1ea-cabcae81d9d6,3057,,"[90.0, 62.0]",8651,83,,-0.8017901,,,Right Foot,,,,"[120.0, 31.0]",,High Pass,43.13931,Out,,,,,,,Free Kick,2,From Free Kick,Kieran Trippier,3308.0,Right Back,152,England,768,,28,,,,,,,,,,,,,,,,,England,768,00:38:28.000,Pass,
,,,,,,,,,,,3.56,,,,,,,,,,,,0120f545-82a7-45ac-abe7-b1b240b5c29d,3062,,"[41.0, 59.0]",8651,85,,-0.6267429,,,Left Foot,,,,"[99.0, 17.0]",,High Pass,71.610054,,Harry Kane,10955.0,,True,,,Free Kick,2,From Free Kick,Jordan Pickford,3468.0,Goalkeeper,153,England,768,['06f54531-77ee-4b6e-9d0f-7379768d3de7'],6,,,,,,,,,,,,,,,,,England,768,00:40:06.520,Pass,
,,,,,,,,,,,1.947,,,,,,,,,,,,c05f02aa-5539-4d20-b95f-dbab4aa61425,3065,,"[102.0, 28.0]",8651,85,True,1.3258177,,,,,,,"[105.0, 40.0]",,Low Pass,12.369317,Incomplete,Raheem Sterling,3233.0,,,,,,2,From Free Kick,Harry Kane,10955.0,Left Center Forward,153,England,768,"['49b61ea0-6922-4cf9-aef2-a1f0915f82c2', '57c03cc4-76eb-49bb-b478-33e2147e255e', 'efa2faf8-657e-4df1-aec0-a860560aba99']",10,,,,,,,,,,,,,,,,,England,768,00:40:10.080,Pass,True
,,,,,,,,,,,0.64,,,,,,,,,,,,fbb05cac-9eaa-4a02-ac93-efda2a37208d,3073,,"[67.0, 58.0]",8651,85,,2.3561945,,,Right Foot,,,,"[63.0, 62.0]",,Ground Pass,5.656854,,Kieran Trippier,3308.0,,,,,,2,From Free Kick,Jesse Lingard,3293.0,Right Attacking Midfield,153,England,768,['474aa41e-c0e0-4185-971e-b47673a8fe53'],19,,,,,,,,,,,,,,,,,England,768,00:40:19.600,Pass,
,,,,,,,,,,,3.0,,,,,,,,,,,,3e2aca3d-567a-4d98-bd45-2f9ad99709ce,3075,,"[63.0, 67.0]",8651,85,,0.40024066,,,Right Foot,,,,"[89.0, 78.0]",,Ground Pass,28.231188,,Jesse Lingard,3293.0,,,,,,2,From Free Kick,Kieran Trippier,3308.0,Right Back,153,England,768,['b6f7cd35-b04e-4bff-8c1a-bae6f554b8ad'],20,,,,,,,,,,,,,,,,,England,768,00:40:20.240,Pass,
,,,,,,,,,,,0.945,,,,,,,,,,,,850c4adf-dc91-4a36-867c-4a051ca5208a,3082,,"[101.0, 78.0]",8651,86,,-1.2397002,,,Right Foot,True,,,"[112.0, 46.0]",,High Pass,33.83785,Incomplete,,,,,,,Free Kick,2,From Free Kick,Kieran Trippier,3308.0,Right Back,154,England,768,['2a63bc1d-90cf-4976-9cc4-b2a80162b5ac'],3,,,,,,,,,,,,,,,,,England,768,00:41:03.882,Pass,
,,,,,,,,,,,0.44,,,,,,,,,,,,4be68d09-4f87-4335-8589-e40d6aaaf51a,3085,,"[103.0, 35.0]",8651,86,True,1.2924967,,,,,,,"[105.0, 42.0]",,Low Pass,7.28011,,Eric Dier,10956.0,,,,,Recovery,2,From Free Kick,Harry Maguire,3336.0,Left Center Back,154,England,768,"['2938e46f-717e-49d6-875d-8c1c21acef5a', 'd4ecf0fb-1f3f-4083-98a9-d609043e85cc']",7,,,,,,,,,,,,,,,,,England,768,00:41:07.867,Pass,True
,,,,,,,,,,,1.2,,,,,,,,,,,,0e82fdef-46f6-4bf4-83a3-73d769cae310,3088,,"[105.0, 43.0]",8651,86,,-1.5707964,,,Right Foot,,,,"[105.0, 38.0]",,Ground Pass,5.0,Incomplete,,,,,,,,2,From Free Kick,Eric Dier,10956.0,Center Defensive Midfield,154,England,768,['87de25df-0a57-412e-bf50-6d46d78238c7'],8,,,,,,,,,,,,,,,,,England,768,00:41:08.347,Pass,
,,,,,,,,,,,0.893,,,,,,,,,,,,885b8b36-12c9-4148-b549-7cde13b4db1b,3090,,"[43.0, 58.0]",8651,86,,-2.3561945,,,Right Foot,,,,"[36.0, 51.0]",,Ground Pass,9.899495,,John Guidetti,6038.0,,,,,Recovery,2,Regular Play,Pontus Jansson,4709.0,Right Back,155,Sweden,790,['17561d5d-22bd-4a10-ae98-189f66dffc17'],11,,,,,,,,,,,,,,,,,Sweden,790,00:41:11.467,Pass,
