50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,fe9258a6-d2df-4ab3-b727-2f6a96071b57,57,,"[21.0, 21.0]",7580,1,,1.5707964,,,Left Foot,,,"[21.0, 44.0]",,Ground Pass,23.0,,,Nicolás Hernán Otamendi,3090.0,,,,1,Regular Play,Faustino Marcos Alberto Rojo,3602.0,Left Center Back,5,Argentina,779,['61cf6984-7e94-4475-adc9-fac647b21a92'],34,,,,,,,,,,,,,,,,,Argentina,779,00:01:34.240,Pass,
,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,c7bfe0b8-aa6d-40fe-a874-02656dc9a58d,60,,"[24.0, 52.0]",7580,1,,0.9944211,,,Right Foot,,,"[37.0, 72.0]",,Ground Pass,23.853722,,,Gabriel Iván Mercado,5742.0,,,,1,Regular Play,Nicolás Hernán Otamendi,3090.0,Right Center Back,5,Argentina,779,['8dfed655-70f6-4dea-8443-6800301d05ab'],36,,,,,,,,,,,,,,,,,Argentina,779,00:01:36.880,Pass,
,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,3b728734-dab4-4100-abc4-1b6debf4ef9e,63,,"[54.0, 73.0]",7580,1,,0.36717382,,,Right Foot,,,"[67.0, 78.0]",,Ground Pass,13.928389,,,Cristian David Pavón,5496.0,,,,1,Regular Play,Gabriel Iván Mercado,5742.0,Right Back,5,Argentina,779,['c9c6c670-5f63-47b5-9434-e22ec62b30e5'],42,,,,,,,,,,,,,,,,,Argentina,779,00:01:42.280,Pass,
,,,,,,,,,,,,,,,1.359,,,,,,,,,,,,,c8d3147b-555a-4fe6-9eaa-1bd2fc578785,67,,"[68.0, 79.0]",7580,1,,-3.070285,,,Right Foot,,,"[54.0, 78.0]",,Ground Pass,14.035668,,,Gabriel Iván Mercado,5742.0,,,,1,Regular Play,Cristian David Pavón,5496.0,Left Wing,5,Argentina,779,"['7b0901cd-fe04-4515-800e-6e75a9ea041b', 'fe9c3cb5-c46c-4ef7-9691-c9e97018bc6e']",43,,,,,,,,,,,,,,,,,Argentina,779,00:01:43.800,Pass,True
,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,2bcfca8d-de42-4534-9a50-bcd229eea503,71,,"[54.0, 78.0]",7580,1,,-2.7509856,,,Right Foot,,,"[37.0, 71.0]",,Ground Pass,18.384777,,,Nicolás Hernán Otamendi,3090.0,,,,1,Regular Play,Gabriel Iván Mercado,5742.0,Right Back,5,Argentina,779,['d81d5dee-37e1-496d-9321-9da55162f4cc'],46,,,,,,,,,,,,,,,,,Argentina,779,00:01:46.320,Pass,
,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,c071bcc6-e380-4be1-9e49-bb3b46d697fe,74,,"[38.0, 70.0]",7580,1,,-0.60228735,,,Right Foot,,,"[70.0, 48.0]",,Low Pass,38.832977,,,Lionel Andrés Messi Cuccittini,5503.0,,,,1,Regular Play,Nicolás Hernán Otamendi,3090.0,Right Center Back,5,Argentina,779,['4c3344f0-79e2-4e42-b186-d3e392208234'],47,,,,,,,,,,,,,,,,,Argentina,779,00:01:47.680,Pass,
,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,bb4002a8-c8fb-41d8-adb4-81ad7c141474,80,,"[56.0, 41.0]",7580,1,,1.1383885,,,Right Foot,,,"[62.0, 54.0]",,Low Pass,14.3178215,,,Kylian Mbappé Lottin,3009.0,,,,1,Regular Play,N''Golo Kanté,3961.0,Left Defensive Midfield,5,Argentina,779,['fb9a3fb1-c0f4-4746-8161-a8bdbc79af9c'],52,,,,,,,,,,,,,,,,,France,771,00:01:52.120,Pass,
,,,,,,,,,,,,,,,2.959,,,,,,,,,,,,,6de54727-ada8-472a-8972-79c8200ee1d5,89,,"[50.0, 28.0]",7580,1,,2.9078496,,,Right Foot,,,"[8.0, 38.0]",,Low Pass,43.174065,,,Franco Armani,6312.0,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,5,Argentina,779,"['1f7360e5-9d91-4ff1-a017-cbd10e8c2c77', 'be5ebabe-270b-4282-ba28-0fd92c9c77a9']",56,,,,,,,,,,,,,,,,,Argentina,779,00:01:56.000,Pass,True
,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,dd111d6f-a3d8-4df1-9b1d-4373d589af00,92,,"[9.0, 39.0]",7580,2,,0.7853982,,,Left Foot,,,"[18.0, 48.0]",,Ground Pass,12.727922,,,Nicolás Hernán Otamendi,3090.0,,,,1,Regular Play,Franco Armani,6312.0,Goalkeeper,5,Argentina,779,['008198e3-cfad-4950-993a-b8f0d032f3f3'],0,,,,,,,,,,,,,,,,,Argentina,779,00:02:00.400,Pass,
,,,,,,,,,,,,,,,1.426,,,,,,,,,,,,,be1caabc-7ce3-4b6c-bccb-43dc27427d45,95,,"[30.0, 59.0]",7580,2,,0.23554498,,,Right Foot,,,"[55.0, 65.0]",,Ground Pass,25.70992,,,Enzo Nicolás Pérez,5741.0,,,,1,Regular Play,Nicolás Hernán Otamendi,3090.0,Right Center Back,5,Argentina,779,['799d0c76-36a0-47ed-a010-ff9b5a1a37bd'],4,,,,,,,,,,,,,,,,,Argentina,779,00:02:04.120,Pass,
