ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.653,,,,,,,,,,,,,cc3b397c-376f-4372-aa9c-1c850e2a4aed,50,,"[114.0, 26.0]",7586,1,,1.5707964,,,Head,,,,"[114.0, 36.0]",,Low Pass,10.0,Incomplete,Albin Ekdal,5624.0,,,,1,From Free Kick,Ola Toivonen,4417.0,Left Center Forward,7,Sweden,790,"['0ea0cd69-4552-4242-91be-fb787014782b', 'bdf5cb6c-adcc-426b-bbd0-8bf075607f51']",30,,,,,,,,,,,,,,,,,Sweden,790,00:01:30.392,Pass,
,,,,,,,,,,,,2.28,,,,,,,,,,,,,2320071f-0d60-4420-a0f8-7790511524f1,55,,"[99.0, 1.0]",7586,2,,1.3521274,,,,,,,"[105.0, 28.0]",,High Pass,27.658634,Incomplete,Albin Ekdal,5624.0,,,Throw-in,1,From Throw In,Viktor Claesson,5613.0,Right Wing,8,Sweden,790,"['6b65b520-5a21-42d9-b6e1-a4eaa20f19a3', '6bd65237-4f9b-43d2-abb7-fa9464c4767d']",2,,,,,,,,,,,,,,,,,Sweden,790,00:02:02.112,Pass,
,,,,,,,,,,,,2.56,,,,,,,,,,,,,085e220a-1b86-4ee6-bc75-11cf8685adfc,64,,"[52.0, 3.0]",7586,2,,2.203545,,,Right Foot,,,,"[41.0, 18.0]",,Ground Pass,18.601076,,Victor Nilsson Lindelöf,3702.0,,,,1,From Throw In,Gustav Svensson,5611.0,Right Center Midfield,8,Sweden,790,['945a5852-1d74-4e50-93cd-96956fa678ee'],9,,,,,,,,,,,,,,,,,Sweden,790,00:02:09.232,Pass,
,,,,,,,,,,,,1.64,,,,,,,,,,,,,d272d974-bca1-4970-a80b-bef9628937d2,67,,"[41.0, 18.0]",7586,2,,1.5978168,,,Right Foot,,,,"[40.0, 55.0]",,Ground Pass,37.01351,,Mikael Lustig,5612.0,,,,1,From Throw In,Victor Nilsson Lindelöf,3702.0,Right Center Back,8,Sweden,790,"['1a231765-eeb4-4b9b-9914-8df6c9349448', '94915fd0-083c-4fe6-a6fa-be2e5055b89e']",11,,,,,,,,,,,,,,,,,Sweden,790,00:02:11.792,Pass,True
,,,,,,,,,,,,2.533,,,,,,,,,,,,,4c28cfe7-29f3-470a-b651-ee05ab2808e0,70,,"[35.0, 52.0]",7586,2,,-2.8083484,,,Right Foot,,,,"[9.0, 43.0]",,Ground Pass,27.513634,,Robin Olsen,5622.0,,,,1,From Throw In,Mikael Lustig,5612.0,Right Back,8,Sweden,790,['30961f15-6f94-4276-b3bb-64fb08c68f42'],14,,,,,,,,,,,,,,,,,Sweden,790,00:02:14.512,Pass,
,,,,,,,,,,,,3.52,,,,,,,,,,,,,cb3f7e37-733d-4ff3-81e0-cb8294a8160f,73,,"[10.0, 47.0]",7586,2,,-0.016127633,,,Right Foot,,,,"[72.0, 46.0]",,High Pass,62.008064,Unknown,Marcus Berg,11098.0,,,,1,From Throw In,Robin Olsen,5622.0,Goalkeeper,8,Sweden,790,['b6ee6f6e-0631-42b2-a550-70eb1b668af1'],18,,,,,,,,,,,,,,,,,Sweden,790,00:02:18.552,Pass,
,,,,,,,,,,,,0.933,,,,,,,,,,,,,7f43f001-878c-44fd-9901-be9655a39559,78,,"[38.0, 28.0]",7586,2,,1.7506498,,,Left Foot,,,,"[36.0, 39.0]",,Ground Pass,11.18034,,Valon Behrami,5540.0,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Left Center Back,9,Switzerland,773,['d65234d3-9a14-4259-9f06-30f7ccd2eb26'],34,,,,,,,,,,,,,,,,,Switzerland,773,00:02:34.152,Pass,
,,,,,,,,,,,,1.093,,,,,,,,,,,,,945ea6be-567a-4952-ab88-8e9c8d8d929e,81,,"[36.0, 39.0]",7586,2,,-1.2924967,,,Right Foot,,,,"[40.0, 25.0]",,Ground Pass,14.56022,,Granit Xhaka,3500.0,,,,1,Regular Play,Valon Behrami,5540.0,Right Center Midfield,9,Switzerland,773,['7ef1e2c6-2929-4edb-bb72-f825a47a4f03'],35,,,,,,,,,,,,,,,,,Switzerland,773,00:02:35.832,Pass,
,,,,,,,,,,,,1.453,,,,,,,,,,,,,f1dafaf6-7b66-4334-8f76-82553f7dd022,85,,"[39.0, 25.0]",7586,2,,2.0988708,,,Left Foot,,,,"[32.0, 37.0]",,Ground Pass,13.892444,,Valon Behrami,5540.0,,,,1,Regular Play,Granit Xhaka,3500.0,Left Center Midfield,9,Switzerland,773,"['814cf94c-c7e1-4ea2-a018-c7089ef53c33', 'bc5c185a-eb2f-4219-a503-794582d26c89']",37,,,,,,,,,,,,,,,,,Switzerland,773,00:02:37.872,Pass,True
,,,,,,,,,,,,1.373,,,,,,,,,,,,,b2350088-c279-484b-9671-e8cf439f82e1,88,,"[30.0, 33.0]",7586,2,,-0.38050637,,,Right Foot,,,,"[40.0, 29.0]",,Ground Pass,10.770329,,Granit Xhaka,3500.0,,,,1,Regular Play,Valon Behrami,5540.0,Right Center Midfield,9,Switzerland,773,['ae3db954-7477-476d-8b86-356607600bd0'],40,,,,,,,,,,,,,,,,,Switzerland,773,00:02:40.272,Pass,
,,,,,,,,,,,,1.64,,,,,,,,,,,,,aad36943-526b-45f0-9ab9-01a97b270629,92,,"[39.0, 34.0]",7586,2,,1.7257931,,,Left Foot,,,,"[34.0, 66.0]",,Ground Pass,32.38827,,Johan Danon Djourou-Gbadjere,6359.0,,,,1,Regular Play,Granit Xhaka,3500.0,Left Center Midfield,9,Switzerland,773,"['595b7e35-bc3a-481e-ac03-b83b3bd23e3c', '6909dad5-90a6-4bf7-b1c3-cc7975b71df4']",42,,,,,,,,,,,,,,,,,Switzerland,773,00:02:42.872,Pass,True
,,,,,,,,,,,,0.653,,,,,,,,,,,,,8d76a9ba-87c3-457f-b549-3c22d36e0d09,96,,"[37.0, 67.0]",7586,2,,-0.13255154,,,Right Foot,,,,"[52.0, 65.0]",,Ground Pass,15.132746,,Xherdan Shaqiri,3533.0,,,,1,Regular Play,Johan Danon Djourou-Gbadjere,6359.0,Right Center Back,9,Switzerland,773,"['8fba8d74-229d-4404-a70f-5a64b8ffb811', '9d012f40-12a0-49a0-8cfd-3852ae04f81f']",46,,,,,,,,,,,,,,,,,Switzerland,773,00:02:46.352,Pass,True
,,,,,,,,,,,,1.2,,,,,,,,,,,,,fa944d3c-1141-4d1c-bfcb-01cd2279d635,100,,"[52.0, 63.0]",7586,2,,-2.3561945,,,Left Foot,,,,"[37.0, 48.0]",,Ground Pass,21.213203,,Valon Behrami,5540.0,,,,1,Regular Play,Xherdan Shaqiri,3533.0,Right Wing,9,Switzerland,773,"['7e357c9e-5081-427e-887f-3b74f431156b', 'bd8afacc-8773-4886-a3b3-06d27adb6729']",47,,,,,,,,,,,,,,,,,Switzerland,773,00:02:47.632,Pass,True
,,,,,,,,,,,,2.0,,,,,,,,,,,,,fde48978-e617-4d90-a168-36daf5efe5a3,103,,"[37.0, 48.0]",7586,2,,-1.5707964,,,Right Foot,,,,"[37.0, 19.0]",,Ground Pass,29.0,,Manuel Obafemi Akanji,5549.0,,,,1,Regular Play,Valon Behrami,5540.0,Right Center Midfield,9,Switzerland,773,['23446b1c-fc17-490a-b8fd-c16ba753c32c'],50,,,,,,,,,,,,,,,,,Switzerland,773,00:02:50.032,Pass,
,,,,,,,,,,,,1.773,,,,,,,,,,,,,0528baa4-60e5-48b5-b361-7deed38b53b7,106,,"[36.0, 12.0]",7586,2,,-0.19739556,,,Left Foot,,,,"[76.0, 4.0]",,Ground Pass,40.792156,,Ricardo Iván Rodríguez Araya,5544.0,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Left Center Back,9,Switzerland,773,['aff84dec-5c3d-400f-b434-1fea398e17e7'],52,,,,,,,,,,,,,,,,,Switzerland,773,00:02:52.752,Pass,
,,,,,,,,,,,,0.973,,,,,,,,,,,,,11bec556-19fb-42ac-a9d6-327e2a402fff,114,,"[80.0, 13.0]",7586,2,,1.5707964,,,Left Foot,,,,"[80.0, 22.0]",,Ground Pass,9.0,,Granit Xhaka,3500.0,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Back,9,Switzerland,773,"['61cc1401-17bc-4687-b7d1-cf13ff5df18a', 'a8feaa3f-a92f-440a-9100-64637005ce99']",58,,,,,,,,,,,,,,,,,Switzerland,773,00:02:58.032,Pass,True
