50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.36,,,,,,,,,,,,,12c406b4-f0e8-467b-bfc2-afadae71a11c,2160,,"[52.0, 31.0]",7553,60,,1.2618656,,,Right Foot,,,"[67.0, 78.0]",,High Pass,49.335587,,,Yong Lee,5608.0,,True,,2,Regular Play,Sung-Yeung Ki,3605.0,Left Defensive Midfield,125,South Korea,791,['a71861ec-2f81-44db-b410-2a721682f08d'],37,,,,,,,,,,,,,,,,,,South Korea,791,00:15:37.480,Pass,
,,,,,,,,,,,,,,0.533,,,,,,,,,,,,,2bbd8433-1a4f-4059-a6d2-d1e5d23bb07d,2163,,"[65.0, 79.0]",7553,60,,-0.19739556,,,Left Foot,,,"[70.0, 78.0]",,Ground Pass,5.0990195,,Incomplete,,,,,,2,Regular Play,Yong Lee,5608.0,Right Back,125,South Korea,791,['3e733071-cceb-439a-a6c0-a589c4f141f3'],40,,,,,,,,,,,,,,,,,,South Korea,791,00:15:40.920,Pass,
,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,465693bc-9289-4cde-a91a-b5992743004a,2167,,"[66.0, 78.0]",7553,60,,-0.7853982,,,Right Foot,,,"[80.0, 64.0]",,Ground Pass,19.79899,,,Heung-Min Son,3083.0,,,,2,Regular Play,Yong Lee,5608.0,Right Back,125,South Korea,791,['b5d901ac-6f1d-49dc-b150-ebde8f104828'],42,,,,,,,,,,,,,,,,,,South Korea,791,00:15:42.920,Pass,
,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,f0fa2e67-ef2e-4541-a59a-c5052e962a3b,2170,,"[79.0, 69.0]",7553,60,,0.5404195,,,Right Foot,,,"[94.0, 78.0]",,Ground Pass,17.492855,,,Seon-Min Moon,5989.0,,,,2,Regular Play,Heung-Min Son,3083.0,Center Forward,125,South Korea,791,['0f236bb8-1810-482a-ad56-cc071dd18d85'],44,,,,,,,,,,,,,,,,,,South Korea,791,00:15:44.880,Pass,
,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,23086437-80d6-4607-81a7-cfc37b99efac,2173,,"[93.0, 76.0]",7553,60,,-2.3961732,,,Right Foot,,,"[80.0, 64.0]",,Ground Pass,17.691807,,,Se-Jong Ju,5988.0,,,,2,Regular Play,Seon-Min Moon,5989.0,Right Wing,125,South Korea,791,['1cfc34ef-cd2a-49b2-b32d-361b1d080c7f'],49,,,,,,,,,,,,,,,,,,South Korea,791,00:15:49.040,Pass,
,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,a167192d-bb3d-43d8-b3fb-151ddc6a71f6,2176,,"[81.0, 64.0]",7553,60,,-1.2277724,,,Right Foot,,,"[86.0, 50.0]",,Ground Pass,14.866069,,,Heung-Min Son,3083.0,,,,2,Regular Play,Se-Jong Ju,5988.0,Right Defensive Midfield,125,South Korea,791,['820bf035-78d9-4d1d-afa2-07983793ab1f'],51,,,,,,,,,,,,,,,,,,South Korea,791,00:15:51.240,Pass,
,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,209931ad-83f6-45bb-bcd2-0b4cdd6907fb,2179,,"[88.0, 45.0]",7553,60,,-0.6310794,,,Left Foot,,,"[114.0, 26.0]",,High Pass,32.202484,,,Min-Woo Kim,5610.0,,,,2,Regular Play,Heung-Min Son,3083.0,Center Forward,125,South Korea,791,['5b077009-6e76-4322-9546-4bbb763a7221'],53,,,,,,,,,,,,,,,,,,South Korea,791,00:15:53.880,Pass,
,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,2e123711-be69-4428-8a1b-debb5f54cec0,2182,,"[112.0, 27.0]",7553,60,,2.1995926,65071ad1-25e6-477a-97a1-3fe63a999708,,Right Foot,,,"[104.0, 38.0]",,Ground Pass,13.601471,,,Jae-Sung Lee,5623.0,True,,,2,Regular Play,Min-Woo Kim,5610.0,Left Back,125,South Korea,791,['0c92d55a-9623-413a-b6ee-185c48e7acee'],57,,,,,,,,,,,,,,,,,,South Korea,791,00:15:57.680,Pass,
,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,4afa0027-a213-4521-a8e6-4139bc9d5f9d,2191,,"[89.0, 49.0]",7553,61,,-1.8370484,,,Right Foot,,,"[86.0, 38.0]",,Ground Pass,11.401754,,,Sung-Yeung Ki,3605.0,,,,2,Regular Play,Se-Jong Ju,5988.0,Right Defensive Midfield,125,South Korea,791,"['aedf2d5b-6d82-4f7a-8f27-14299077da2f', 'dff576fa-4ce6-492e-ac95-b124ccec4818']",2,,,,,,,,,,,,,,,,,,South Korea,791,00:16:02.840,Pass,True
,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,9948058c-b4fc-4e13-9130-7d7f02213276,2195,,"[86.0, 38.0]",7553,61,,1.5167948,,,Right Foot,,,"[88.0, 75.0]",,Low Pass,37.054016,,,Yong Lee,5608.0,,,,2,Regular Play,Sung-Yeung Ki,3605.0,Left Defensive Midfield,125,South Korea,791,"['5e6fd9be-eaed-4d21-a2d5-7e473b0ae6c1', '738a4701-f28f-4ee3-bcb7-e681cd620a21']",3,,,,,,,,,,,,,,,,,,South Korea,791,00:16:03.520,Pass,True
,,,,,,,,,,,,,,0.933,,,,,,,,,,,,,b81d6fe2-9f6f-40b6-992b-c097b50932c2,2198,,"[100.0, 71.0]",7553,61,,-1.1824776,,,Right Foot,True,,"[109.0, 49.0]",,Low Pass,23.769728,,Incomplete,,,,,,2,Regular Play,Yong Lee,5608.0,Right Back,125,South Korea,791,['44b1745b-78b5-4906-8fea-5ad3b43edaec'],7,,,,,,,,,,,,,,,,,,South Korea,791,00:16:07.280,Pass,
,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,0a21709c-2ef0-45f4-add5-a1353b920e19,2200,,"[82.0, 58.0]",7553,61,,-0.06241881,,,Head,,,"[98.0, 57.0]",,High Pass,16.03122,,,Seon-Min Moon,5989.0,,,Recovery,2,Regular Play,Se-Jong Ju,5988.0,Right Defensive Midfield,125,South Korea,791,['6ae1b9b3-6227-4e0a-acdb-1f6ec17c495f'],10,,,,,,,,,,,,,,,,,,South Korea,791,00:16:10.040,Pass,
,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,92dd01c2-2213-47ef-a64e-b543343c0eee,2205,,"[46.0, 45.0]",7553,61,,-0.5070985,,,Left Foot,,,"[55.0, 40.0]",,Ground Pass,10.29563,,,Javier Hernández Balcázar,3058.0,,,Recovery,2,Regular Play,Carlos Alberto Vela Garrido,5560.0,Center Attacking Midfield,126,Mexico,794,['e7f34b6e-64b7-4fd4-bca9-ffad50b41080'],15,,,,,,,,,,,,,,,,,,Mexico,794,00:16:15.613,Pass,
,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,1cb7e95a-475b-43b2-8584-6a5e9b7c1b0d,2209,,"[56.0, 42.0]",7553,61,,0.9272952,,,Right Foot,,,"[68.0, 58.0]",,Ground Pass,20.0,,,Miguel Arturo Layún Prado,5556.0,,,,2,Regular Play,Javier Hernández Balcázar,3058.0,Center Forward,126,Mexico,794,"['50d91e21-6c2d-4031-b313-f1c41df7c69f', 'b703f32e-9b70-4aca-879e-5cb05929b59c']",17,,,,,,,,,,,,,,,,,,Mexico,794,00:16:17.213,Pass,True
,,,,,,,,,,,,,,0.879,,,,,,,,,,,,,2bd131b4-cee2-4feb-9110-02f02854f275,2212,,"[97.0, 54.0]",7553,61,,1.3258177,a04dbc95-49e0-46d3-8681-c68801a8deec,,Right Foot,,,"[100.0, 66.0]",,Ground Pass,12.369317,,,Carlos Alberto Vela Garrido,5560.0,True,,,2,Regular Play,Miguel Arturo Layún Prado,5556.0,Right Wing,126,Mexico,794,['7a43edef-106b-4901-8dcf-6f1b2efbc870'],23,,,,,,,,,,,,,,,,,,Mexico,794,00:16:23.093,Pass,
,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,6b4336fc-beaf-4559-a2cf-ad8738fcda37,2219,,"[24.0, 41.0]",7553,61,,-1.6614562,,,Right Foot,,,"[22.0, 19.0]",,Ground Pass,22.090721,,,Young-Gwon Kim,5604.0,,,,2,Regular Play,Sung-Yeung Ki,3605.0,Left Defensive Midfield,127,South Korea,791,['04f168fd-01b1-4cbb-9b64-f4ae355dfd40'],49,,,,,,,,,,,,,,,,,,South Korea,791,00:16:49.120,Pass,
,,,,,,,,,,,,,,2.48,,,,,,,,,,,,,e94f73a9-5546-4c79-ae93-22fe91aa1972,2221,,"[22.0, 19.0]",7553,61,,-0.4636476,,,Left Foot,,,"[40.0, 10.0]",,Ground Pass,20.12461,,,Se-Jong Ju,5988.0,,,,2,Regular Play,Young-Gwon Kim,5604.0,Left Center Back,127,South Korea,791,['b51a3bb6-3aa4-4813-9980-8271b8aee0f9'],51,,,,,,,,,,,,,,,,,,South Korea,791,00:16:51.080,Pass,
,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,6783de25-0ec6-450f-83d3-80c97387eec9,2224,,"[54.0, 11.0]",7553,61,,1.3258177,,,Right Foot,,,"[57.0, 23.0]",,Ground Pass,12.369317,,,Heung-Min Son,3083.0,,,,2,Regular Play,Se-Jong Ju,5988.0,Right Defensive Midfield,127,South Korea,791,['24569bcc-69f3-4e11-bd17-d06fab8237c8'],57,,,,,,,,,,,,,,,,,,South Korea,791,00:16:57.680,Pass,
,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,1f993886-6be4-423f-bc4e-c92b2c7e8539,2227,,"[57.0, 23.0]",7553,61,,-1.6475682,,,Right Foot,,,"[56.0, 10.0]",,Ground Pass,13.038404,,,Se-Jong Ju,5988.0,,,,2,Regular Play,Heung-Min Son,3083.0,Center Forward,127,South Korea,791,['45bf422f-5187-41b4-873b-e195190fb45b'],58,,,,,,,,,,,,,,,,,,South Korea,791,00:16:58.720,Pass,
,,,,,,,,,,,,,,2.84,,,,,,,,,,,,,b35c6f25-193e-40f0-8aad-f81417749266,2231,,"[57.0, 12.0]",7553,62,,1.8113306,,,Right Foot,,,"[44.0, 65.0]",,High Pass,54.571056,,,Hyun-Soo Jang,5606.0,,True,,2,Regular Play,Se-Jong Ju,5988.0,Right Defensive Midfield,127,South Korea,791,"['561e95de-951b-4392-a975-9402acff4ba7', '6bd33603-c9f7-4105-baa7-97f1b0e9b72a']",1,,,,,,,,,,,,,,,,,,South Korea,791,00:17:01.960,Pass,True
,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,bdc53a3b-edcd-4dff-ba2b-d5acec9ad602,2234,,"[39.0, 65.0]",7553,62,,-1.5707964,,,Left Foot,,,"[39.0, 56.0]",,Ground Pass,9.0,,,Sung-Yeung Ki,3605.0,,,,2,Regular Play,Hyun-Soo Jang,5606.0,Right Center Back,127,South Korea,791,['7052ba1f-ad97-4d99-a55f-862615dcbc21'],6,,,,,,,,,,,,,,,,,,South Korea,791,00:17:06.040,Pass,
,,,,,,,,,,,,,,3.013,,,,,,,,,,,,,ed5d5a37-d4d9-4103-b75c-5eb57c611955,2237,,"[45.0, 65.0]",7553,62,,-0.38050637,,,Right Foot,,,"[105.0, 41.0]",,High Pass,64.62198,,Incomplete,,,,,,2,Regular Play,Sung-Yeung Ki,3605.0,Left Defensive Midfield,127,South Korea,791,['e029f4b8-2065-4521-b04c-ba6771bd6916'],9,,,,,,,,,,,,,,,,,,South Korea,791,00:17:09.440,Pass,
,,,,,,,,,,,,,,1.519,,,,,,,,,,,,,c31233cc-9e5b-432a-9575-a6b9010c82bc,2240,,"[16.0, 37.0]",7553,62,,-0.8139618,,,Keeper Arm,,,"[33.0, 19.0]",,Low Pass,24.758837,,,Héctor Alfredo Moreno Herrera,5573.0,,,,2,Regular Play,Francisco Guillermo Ochoa Magaña,5577.0,Goalkeeper,128,Mexico,794,['2bab48fe-61d8-497b-8397-770e4a3459c4'],13,,,,,,,,,,,,,,,,,,Mexico,794,00:17:13.893,Pass,
,,,,,,,,,,,,,,1.039,,,,,,,,,,,,,b1348d75-36d5-403c-9f9b-992dbb935037,2244,,"[59.0, 2.0]",7553,62,,1.2793396,,,Left Foot,,,"[65.0, 22.0]",,Ground Pass,20.880613,,,Hirving Rodrigo Lozano Bahena,5571.0,,,,2,Regular Play,Jesús Daniel Gallardo Vasconcelos,5576.0,Left Back,129,Mexico,794,['ad661d94-5446-43a3-80da-62b99edd027c'],20,,,,,,,,,,,,,,,,,,Mexico,794,00:17:20.373,Pass,
,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,1f35361c-d9f9-49d3-8ad6-757c75b7d3cb,2253,,"[66.0, 28.0]",7553,64,,0.7853982,,,Left Foot,,,"[71.0, 33.0]",,Ground Pass,7.071068,,,José Andrés Guardado Hernández,5563.0,,,Free Kick,2,From Free Kick,Héctor Alfredo Moreno Herrera,5573.0,Left Center Back,130,Mexico,794,['b4f54d18-e7de-4748-98fd-fd4f37e90fb7'],31,,,,,,,,,,,,,,,,,,Mexico,794,00:19:31.373,Pass,
