50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[37.0, 70.0]",,,,,,,4.56,,,,,,,,,,,,e811d698-a5bd-4647-bc71-c234b6cba7ec,2368,,,"[36.0, 68.0]",7579,70,,,,,,,,,,,,,,,,,,,2,Regular Play,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,131,Portugal,780,"['5c901708-b853-45db-b219-620dc9ead072', '60a6f745-fe7a-4a73-b5a2-072425bf5662']",55,,,,,,,,,,,,,,,,,Portugal,780,00:25:55.679,Carry,
,,,,,,"[38.0, 68.0]",,,,,,,1.12,,,,,,,,,,,,8fcb9f77-c297-47fb-bd2b-6c89c0bcc7d2,2373,,,"[35.0, 67.0]",7579,71,,,,,,,,,,,,,,,,,,,2,Regular Play,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,131,Portugal,780,"['74649770-b22c-4047-bac3-ca156758d033', '8d902d29-79ec-4139-8610-cb4e85625f21']",1,,,,,,,,,,,,,,,,,Portugal,780,00:26:01.959,Carry,
,,,,,,"[53.0, 32.0]",,,,,,,1.813,,,,,,,,,,,,66279cd5-3bec-454c-a01f-e833b295d116,2376,,,"[47.0, 43.0]",7579,71,,,,,,,,,,,,,,,,,,,2,Regular Play,João Mário Naval da Costa Eduardo,4272.0,Right Center Midfield,131,Portugal,780,"['7eec5e39-267e-4806-b1ca-3af67d35c1e1', 'd0fa23cf-f57e-4c54-a774-d4837eadb6f5']",4,,,,,,,,,,,,,,,,,Portugal,780,00:26:04.439,Carry,
,,,,,,"[81.0, 3.0]",,,,,,,1.561,,,,,,,,,,,,2f2464de-6b0e-4c27-bcb4-71400c1a418c,2379,,,"[70.0, 2.0]",7579,71,,,,,,,,,,,,,,,,,,,2,Regular Play,Gonçalo Manuel Ganchinho Guedes,4367.0,Left Midfield,131,Portugal,780,"['5575daca-a8ca-450d-b770-049a038e61c6', 'b7cb5655-1f3c-43ed-acd8-d823832f3e1f']",8,,,,,,,,,,,,,,,,,Portugal,780,00:26:08.398,Carry,
,,,,,,"[97.0, 4.0]",,,,,,,1.12,,,,,,,,,,,,d0d0cb2f-7e55-4d7f-b8ff-ca26c672f73f,2382,,,"[98.0, 5.0]",7579,71,,,,,,,,,,,,,,,,,,,2,Regular Play,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Center Forward,131,Portugal,780,"['0bd48b74-f763-4282-ba88-4567a5128547', '4c0d36de-270b-4e27-a3da-c489f25a47eb', 'a32234e3-0c0e-4974-ba2f-edd0da6db8d2']",11,,,,,,,,,,,,,,,,,Portugal,780,00:26:11.119,Carry,True
,,,,,,"[63.0, 75.0]",,,,,,,2.8,,,,,,,,,,,,b690f679-27a8-4dde-9a5a-42e57385b850,2388,,,"[64.0, 77.0]",7579,71,,,,,,,,,,,,,,,,,,,2,Regular Play,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,132,Uruguay,783,"['0f6d50b9-8458-4397-80f5-519c6b46ba21', 'ca0950bf-c335-488f-9d4d-2c7845ce925b', 'f2ab6ed7-1b19-4f54-891d-a6be39a61578']",16,,,,,,,,,,,,,,,,,Uruguay,783,00:26:16.639,Carry,True
,,,,,,"[61.0, 70.0]",,,,,,,0.72,,,,,,,,,,,,db333c27-ded0-470a-82a6-4ee86fe39e53,2393,,,"[63.0, 75.0]",7579,71,,,,,,,,,,,,,,,,,,,2,Regular Play,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,132,Uruguay,783,"['1489b62d-aea9-4233-b79f-0775ef185ef3', 'dc97c443-78c4-4f3d-9c99-18021b3ea9e9', 'e6faec9c-fc0a-4ebb-af10-8200dc2c2c87', 'f2ab6ed7-1b19-4f54-891d-a6be39a61578']",19,,,,,,,,,,,,,,,,,Uruguay,783,00:26:19.439,Carry,True
,,,,,,"[65.0, 48.0]",,,,,,,1.96,,,,,,,,,,,,939fff07-7b69-4e32-91e4-1ba0a033e3eb,2396,,,"[55.0, 49.0]",7579,71,,,,,,,,,,,,,,,,,,,2,Regular Play,Cristian Gabriel Rodríguez Barrotti,5256.0,Left Midfield,132,Uruguay,783,"['1319475f-1f43-4101-99fe-bb21c03816f4', '5a2de2e6-9325-4a53-8d4b-6954d14e6bb4']",21,,,,,,,,,,,,,,,,,Uruguay,783,00:26:21.359,Carry,
,,,,,,"[63.0, 59.0]",,,,,,,0.04,,,,,,,,,,,,a9544bee-64c6-44e2-9189-0280788f3d8d,2399,,,"[63.0, 59.0]",7579,71,,,,,,,,,,,,,,,,,,,2,Regular Play,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,132,Uruguay,783,"['0844bcf0-88e8-456c-8c6c-5fa7a1529264', '929333c2-66a9-47ff-b649-dca5a51f805d']",24,,,,,,,,,,,,,,,,,Uruguay,783,00:26:24.439,Carry,
,,,,,,"[53.0, 55.0]",,,,,,,1.227,,,,,,,,,,,,b92e5dad-1adf-40d4-b6a4-0483a3915e2d,2402,,,"[55.0, 51.0]",7579,71,,,,,,,,,,,,,,,,,,,2,Regular Play,Lucas Torreira Di Pascua,5266.0,Right Defensive Midfield,132,Uruguay,783,"['2d5bb641-8f61-4971-b99d-5efed06572cb', 'a454b641-f55d-4bbf-b0b4-4994aa262db4']",25,,,,,,,,,,,,,,,,,Uruguay,783,00:26:25.532,Carry,
