ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,5741823d-1b93-400b-ac39-3b28f55da970,2247,,,"[35.0, 7.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Ludwig Augustinsson,5621.0,Left Back,128,Sweden,790,['539d147a-2998-4071-b221-c74b22d27b40'],26,,,,,,,,,,,,,,,,,Sweden,790,00:22:26.733,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,e0a5cfe9-abe2-4064-8a00-d1c1d475979b,2250,,,"[20.0, 53.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Pontus Jansson,4709.0,Right Center Back,128,Sweden,790,['eeaf9055-9563-4363-9aeb-2978b9988b62'],31,,,,,,,,,,,,,,,,,Sweden,790,00:22:31.373,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,bd001fc1-2f26-4947-a964-ba237c8c751a,2253,,,"[7.0, 41.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Robin Olsen,5622.0,Goalkeeper,128,Sweden,790,['47d7e4de-3ad6-40db-8a1d-d27ef2a673fe'],35,,,,,,,,,,,,,,,,,Sweden,790,00:22:35.292,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,e42b819d-b340-469a-acf8-a053786d75d1,2256,,,"[20.0, 62.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Pontus Jansson,4709.0,Right Center Back,128,Sweden,790,['8271dabb-05a6-493d-abcb-795863971b1c'],40,,,,,,,,,,,,,,,,,Sweden,790,00:22:40.213,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,d34b9fe2-05cd-43e4-bba9-7275fad8043b,2259,,,"[4.0, 41.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Robin Olsen,5622.0,Goalkeeper,128,Sweden,790,['17aa038b-6b04-466f-980b-d9d6e231a793'],43,,,,,,,,,,,,,,,,,Sweden,790,00:22:43.892,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,09e7c767-7421-4875-a5e5-d9109917babd,2262,,,"[16.0, 24.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Andreas Granqvist,5607.0,Left Center Back,128,Sweden,790,['926d8f4c-e890-49a0-b6e6-7b753e6e5475'],47,,,,,,,,,,,,,,,,,Sweden,790,00:22:47.973,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,fff32a34-1080-4230-a0b5-4b2df727288a,2265,,,"[34.0, 23.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Sebastian Larsson,5617.0,Right Center Midfield,128,Sweden,790,['dfb820a8-0765-4852-ae30-93d42ce28117'],52,,,,,,,,,,,,,,,,,Sweden,790,00:22:52.173,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,6f2632db-3df3-4fb0-9781-dedd65ef3674,2268,,,"[37.0, 5.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Ludwig Augustinsson,5621.0,Left Back,128,Sweden,790,['d6b0c8f0-cb0b-4104-8fb2-08d336c5b6ea'],53,,,,,,,,,,,,,,,,,Sweden,790,00:22:53.373,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,5b405274-4c1b-4bcd-ab80-3d6189713047,2271,,,"[75.0, 25.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Emil Peter Forsberg,5625.0,Left Midfield,128,Sweden,790,['4a14f870-0a21-42f8-94a2-4c8edf42f7bf'],56,,,,,,,,,,,,,,,,,Sweden,790,00:22:56.360,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,8a945846-3118-4b4c-95c0-ac306bfcd281,2273,,,"[37.0, 49.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Young-Gwon Kim,5604.0,Left Center Back,129,South Korea,791,['b1efc94b-0390-4b6b-983c-8f651e3f75cb'],57,,,,,,,,,,,,,,,,,South Korea,791,00:22:57.240,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,f0c71e06-a1bb-49ba-b52e-bff2aec84cd8,2275,,,"[46.0, 62.0]",7538,67,,,,,,,,,,,,,,,,,,2,Regular Play,Woo-Young Jung,5618.0,Left Center Midfield,129,South Korea,791,['25dc79e1-9def-40ec-80b0-0cd7fbe9e2ec'],58,,,,,,,,,,,,,,,,,South Korea,791,00:22:58.733,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,7bfe2076-d9eb-4513-99ea-b6ad3239232c,2279,,,"[65.0, 48.0]",7538,68,,,,,,,,,,,,,,,,,,2,Regular Play,Heung-Min Son,3083.0,Left Wing,129,South Korea,791,['39346506-a02c-4983-aec6-6667f3a7e41b'],2,,,,,,,,,,,,,,,,,South Korea,791,00:23:02.559,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,0a7bd08f-0a2a-4c4f-b441-70ae007eaa30,2282,,,"[68.0, 52.0]",7538,68,,,,,,,,,,,,,,,,,,2,Regular Play,Ja-Cheol Koo,5627.0,Center Attacking Midfield,129,South Korea,791,['1a7a3a67-d7c9-48f0-94af-d86c2faa804c'],2,,,,,,,,,,,,,,,,,South Korea,791,00:23:02.973,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,516f2f9d-aeda-4a51-9707-38abc1090e22,2285,,,"[66.0, 55.0]",7538,68,,,,,,,,,,,,,,,,,,2,Regular Play,Heung-Min Son,3083.0,Left Wing,129,South Korea,791,['aa597bb4-923d-4909-b6ac-1f6d23442853'],3,,,,,,,,,,,,,,,,,South Korea,791,00:23:03.853,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,f5c62c23-be7c-4948-9a33-228cccedbffc,2293,,,"[50.0, 18.0]",7538,68,,,,,,,,,,,,,,,,,,2,Regular Play,Viktor Claesson,5613.0,Right Midfield,130,Sweden,790,['5c96164d-2b18-4bc8-9c46-15877894de51'],6,,,,,,,,,,,,,,,,,Sweden,790,00:23:06.693,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,da330813-513d-4613-ab6a-21f65f7903b9,2296,,,"[68.0, 6.0]",7538,68,,,,,,,,,,,,,,,,,,2,Regular Play,Ola Toivonen,4417.0,Left Center Forward,130,Sweden,790,['756c4264-ea04-461d-a095-6e5433f575f1'],9,,,,,,,,,,,,,,,,,Sweden,790,00:23:09.812,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,0a98af1a-18ea-4ff2-b10d-afc5a960de3d,2299,,,"[96.0, 42.0]",7538,68,,,,,,,,,,,,,,,,,,2,Regular Play,Viktor Claesson,5613.0,Right Midfield,130,Sweden,790,['8cff51be-60ff-4582-97a8-66e667cf52a4'],17,,,,,,,,,,,,,,,,,Sweden,790,00:23:17.520,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,45ae0300-4850-4e20-b75b-9b966b2cf0ff,2302,,,"[79.0, 47.0]",7538,68,,,,,,,,,,,,,,,,,,2,Regular Play,Sebastian Larsson,5617.0,Right Center Midfield,130,Sweden,790,['bd3affe8-751e-4b7b-9a1c-bff90cacd3f9'],21,,,,,,,,,,,,,,,,,Sweden,790,00:23:21.133,Ball Receipt*,
