50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,3.0134,,,,,,,,,,,,f76764c0-7eb6-4845-b630-d68e31ab7b66,20,,,"[58.0, 79.0]",19732,0,,,-0.19739556,,Right Foot,,,,"[103.0, 70.0]",,Ground Pass,45.891174,Incomplete,,,,,,1,Regular Play,Fara Williams,10251.0,Left Wing,3,Reading WFC,974,['ad283d63-be9e-4051-a3ea-55c22d590307'],20,,,,,,,,,,,,,,,,Reading WFC,974,00:00:20.984,Pass,
,,,,,,,,,,,,0.934184,,,,,,,,,,,,ad283d63-be9e-4051-a3ea-55c22d590307,21,,,"[18.0, 11.0]",19732,0,,,-0.8379812,,Left Foot,,,,"[27.0, 1.0]",,Ground Pass,13.453624,Out,,,,,Recovery,1,Regular Play,Sophie Elizabeth Bradley-Auckland,15614.0,Right Center Back,3,Reading WFC,974,['f76764c0-7eb6-4845-b630-d68e31ab7b66'],23,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:23.998,Pass,
,,,,,,,,,,,,1.940249,,,,,,,,,,,,1ecc0992-8072-4298-90c8-13f34b422c52,22,,,"[89.0, 80.0]",19732,0,,,-2.3561945,,,,,,"[80.0, 71.0]",,Low Pass,12.727922,,Rachel Furness,15706.0,,,Throw-in,1,From Throw In,Natasha Harding,15725.0,Right Back,4,Reading WFC,974,['b00ac548-8b3c-4f96-94aa-d1b7417c9cfc'],33,,,,,,,,,,,,,,,,Reading WFC,974,00:00:33.344,Pass,
,,,,,,,,,,,,1.078,,,,,,,,,,,,bba700f7-1ae8-46bc-9d4a-3d3975fb8b81,25,,,"[81.0, 61.0]",19732,0,,,-0.93804747,,Left Foot,,,,"[92.0, 46.0]",,Ground Pass,18.601076,,Remi Allen,18149.0,,,,1,From Throw In,Rachel Furness,15706.0,Left Defensive Midfield,4,Reading WFC,974,['e806c579-a761-41fa-94b0-f29bcd90705a'],36,,,,,,,,,,,,,,,,Reading WFC,974,00:00:36.674,Pass,
,,,,,,,,,,,,0.2266,,,,,,,,,,,,f02fa41d-788c-4000-b248-7e9bd7e843a2,28,,,"[92.0, 46.0]",19732,0,,,0.98279375,,Right Foot,,,,"[94.0, 49.0]",,Ground Pass,3.6055512,Incomplete,,,,,,1,From Throw In,Remi Allen,18149.0,Right Wing,4,Reading WFC,974,"['43095bbf-72f2-4e88-980a-2151865989c2', '8bbf64fc-aa29-4dee-8787-c38f43518adc']",37,,,,,,,,,,,,,,,,Reading WFC,974,00:00:37.752,Pass,True
,,,,,,,,,,,,1.6958,,,,,,,,,,,,d347e4b1-3eac-4be9-8d51-f542296df803,30,,,"[36.0, 35.0]",19732,0,,,0.9707461,,Right Foot,,,,"[49.0, 54.0]",,Ground Pass,23.021729,Incomplete,Jessica Anne Clarke,15218.0,,,Recovery,1,From Throw In,Satara Murray,15629.0,Right Back,4,Reading WFC,974,"['0210bf30-9ea2-482f-a7fa-fb85019b0845', '979dc087-26d5-4d43-996d-b4afdd2ea09f']",39,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:39.330,Pass,
,,,,,,,,,,,,1.4096,,,,,,,,,,,,47869444-6aec-4508-be84-5e21a58bccfa,35,,,"[84.0, 30.0]",19732,0,,,1.1071488,,Left Foot,,,True,"[91.0, 44.0]",,Ground Pass,15.652476,,Brooke Chaplen,15723.0,,,,1,From Throw In,Mayumi Pacheco,15724.0,Left Back,4,Reading WFC,974,"['479e8294-5ea1-4402-88b9-8f3d31423cc6', 'c9389375-6944-41a3-bf6b-ffb1515de18c']",42,,,,,,,,,,,,,,,,Reading WFC,974,00:00:42.848,Pass,True
,,,,,,,,,,,,0.3373,,,,,,,,,,,,3b384d1c-e9cb-4418-9105-bf0107dd0241,39,,,"[95.0, 43.0]",19732,0,,,-0.7853982,,Right Foot,,,,"[100.0, 38.0]",,Ground Pass,7.071068,Incomplete,,,,,,1,From Throw In,Brooke Chaplen,15723.0,Center Attacking Midfield,4,Reading WFC,974,['66eecb9b-8008-4317-ab92-bd5ef95e239b'],44,,,,,,,,,,,,,,,,Reading WFC,974,00:00:44.615,Pass,
,,,,,,,,,,,,1.1153,,,,,,,,,,,,66eecb9b-8008-4317-ab92-bd5ef95e239b,40,,,"[21.0, 43.0]",19732,0,,,-1.012197,,Right Foot,,,,"[26.0, 35.0]",,Ground Pass,9.433981,Incomplete,,,,,Recovery,1,From Throw In,Sophie Elizabeth Bradley-Auckland,15614.0,Right Center Back,4,Reading WFC,974,"['2062824d-626d-4fc1-b8d5-44780af8c361', '3b384d1c-e9cb-4418-9105-bf0107dd0241']",44,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:44.953,Pass,
,,,,,,,,,,,,2.6241,,,,,,,,,,,,850978ea-df5f-4371-b0c2-025e01d2cf51,45,,,"[6.0, 40.0]",19732,1,,,0.26625204,,Right Foot,,,,"[61.0, 55.0]",,Ground Pass,57.00877,,Courtney Sweetman-Kirk,15611.0,,,Goal Kick,1,From Goal Kick,Frances Kitching,19778.0,Goalkeeper,5,Liverpool WFC,966,['25b0723f-1a3f-4073-a642-caa27175d947'],11,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:11.453,Pass,
,,,,,,,,,,,,0.7909,,,,,,,,,,,,ac612f3b-47d8-4c50-95f8-28de0365922c,51,,,"[60.0, 39.0]",19732,1,,,0.2914568,,Left Foot,,,,"[70.0, 42.0]",,Ground Pass,10.440307,,Fara Williams,10251.0,,,,1,From Goal Kick,Rachel Furness,15706.0,Left Defensive Midfield,5,Liverpool WFC,966,['366ca9ba-b093-4e94-a2f6-7549bcc0120f'],18,,,,,,,,,,,,,,,,Reading WFC,974,00:01:18.199,Pass,
,,,,,,,,,,,,1.294499,,,,,,,,,,,,3adb0840-b2ec-450e-a44d-0f34b20a5e8c,56,,,"[42.0, 38.0]",19732,1,,,-1.6614562,,Left Foot,,,,"[41.0, 27.0]",,Ground Pass,11.045361,,Leigh-Anne Robe,15630.0,,,Recovery,1,From Goal Kick,Rhiannon Roberts,19779.0,Center Defensive Midfield,5,Liverpool WFC,966,['8d2744e0-f2a0-4883-8d9e-542d249f05ca'],20,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:20.515,Pass,
,,,,,,,,,,,,2.4936,,,,,,,,,,,,f4073023-9728-4a4f-a2da-0dc67920c911,62,,,"[67.0, 69.0]",19732,1,,,0.2551824,,Right Foot,,,,"[90.0, 75.0]",,High Pass,23.769728,Incomplete,,,,,Recovery,1,From Goal Kick,Natasha Harding,15725.0,Right Back,5,Liverpool WFC,966,"['33e311b5-c5f3-41cf-ad21-9dc6e8b8df10', '631cd7e2-8410-4f06-a86b-6a8ecd39d80c']",23,,,,,,,,,,,,,,,,Reading WFC,974,00:01:23.979,Pass,True
,,,,,,,,,,,,2.8413,,,,,,,,,,,,1b68c7dc-01ec-4318-8568-d57184edf0c5,64,,,"[57.0, 80.0]",19732,1,True,,-2.158799,,,,,,"[45.0, 62.0]",,Low Pass,21.633308,,Josanne Potter,10198.0,,,Throw-in,1,From Throw In,Kirstyn Pearce,18152.0,Right Center Back,6,Reading WFC,974,['9cbdb629-9c00-41d2-bfd2-257a316aca26'],38,,,,,,,,,,,,,,,,Reading WFC,974,00:01:38.864,Pass,
,,,,,,,,,,,,1.187842,,,,,,,,,,,,b6298566-d3e0-4cdb-be8a-332ce209d013,66,,,"[50.0, 41.0]",19732,1,True,,0.0,,Left Foot,,,,"[70.0, 41.0]",,Ground Pass,20.0,,Remi Allen,18149.0,,,,1,From Throw In,Josanne Potter,10198.0,Left Center Back,6,Reading WFC,974,['80707ab6-e46d-4f1f-ba6b-8264fd228082'],43,,,,,,,,,,,,,,,,Reading WFC,974,00:01:43.176,Pass,
,,,,,,,,,,,,1.0871,,,,,,,,,,,,68d4594d-abd9-4644-8abf-770fc9e6463e,69,,,"[75.0, 38.0]",19732,1,,,-0.07677189,,Right Foot,,,,"[88.0, 37.0]",,Ground Pass,13.038404,,Brooke Chaplen,15723.0,,,,1,From Throw In,Remi Allen,18149.0,Right Wing,6,Reading WFC,974,"['0549b311-74c2-467d-b540-7ee9384da74e', 'b67a162c-9949-41fe-a7ff-a25c344ef112']",45,,,,,,,,,,,,,,,,Reading WFC,974,00:01:45.752,Pass,True
,,,,,,,,,,,,1.2431,,,,,,,,,,,,3d3d87e6-a855-4184-9b45-c778114d7680,73,,,"[86.0, 40.0]",19732,1,,,-2.863293,,Right Foot,,,,"[79.0, 38.0]",,Ground Pass,7.28011,Incomplete,,,,,,1,From Throw In,Brooke Chaplen,15723.0,Center Attacking Midfield,6,Reading WFC,974,['3dfb7d08-89fc-4d4b-8e0a-bc4f5ed97b5b'],48,,,,,,,,,,,,,,,,Reading WFC,974,00:01:48.748,Pass,
,,,,,,,,,,,,0.4807,,,,,,,,,,,,3dfb7d08-89fc-4d4b-8e0a-bc4f5ed97b5b,74,,,"[42.0, 43.0]",19732,1,,,0.0,,Right Foot,,,,"[45.0, 43.0]",,Ground Pass,3.0,Incomplete,,,,,Interception,1,From Throw In,Laura Coombs,19416.0,Left Center Midfield,6,Reading WFC,974,"['3d3d87e6-a855-4184-9b45-c778114d7680', 'fe8d43b9-614c-4674-940e-8831f07665f5']",49,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:49.991,Pass,
,,,,,,,,,,,,2.2623,,,,,,,,,,,,3df7880e-2615-4da4-8a26-b4aafe584459,77,,,"[63.0, 63.0]",19732,1,,,0.5247958,,Right Foot,,,,"[82.0, 74.0]",,High Pass,21.954498,Incomplete,,,,,Recovery,1,From Throw In,Natasha Harding,15725.0,Right Back,6,Reading WFC,974,['9e5db231-6362-4d4e-99fc-1df8bdf47b47'],53,,,,,,,,,,,,,,,,Reading WFC,974,00:01:53.580,Pass,
,,,,,,,,,,,,0.5006,,,,,,,,,,,,9e5db231-6362-4d4e-99fc-1df8bdf47b47,78,,,"[39.0, 7.0]",19732,1,,,0.0,,Right Foot,,,,"[43.0, 7.0]",,Low Pass,4.0,Incomplete,,,,,Recovery,1,From Throw In,Leigh-Anne Robe,15630.0,Left Back,6,Reading WFC,974,"['3df7880e-2615-4da4-8a26-b4aafe584459', 'c8099dff-c93c-48c3-99c0-5d57aad37cff']",55,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:55.842,Pass,
,,,,,,,,,,,,3.2536,,,,,,,,,,,,a698498b-7d04-44d8-9e18-7e5204b29751,80,,,"[36.0, 18.0]",19732,1,,,0.2510027,,Left Foot,,,,"[75.0, 28.0]",,High Pass,40.261642,Incomplete,,,,,Recovery,1,From Throw In,Jasmine Matthews,15618.0,Left Center Back,6,Reading WFC,974,['aaeba250-c0d4-4394-b8ff-efa153c729ec'],57,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:57.824,Pass,
,,,,,,,,,,,,3.1472,,,,,,,,,,,,aaeba250-c0d4-4394-b8ff-efa153c729ec,81,,,"[46.0, 53.0]",19732,2,,,3.1415927,,Left Foot,,,,"[15.0, 53.0]",,Ground Pass,31.0,,Grace Moloney,15719.0,,,Recovery,1,From Throw In,Josanne Potter,10198.0,Left Center Back,6,Reading WFC,974,"['a698498b-7d04-44d8-9e18-7e5204b29751', 'cf298c58-32e4-4cb0-ad73-da6c654fd2d6']",1,,,,,,,,,,,,,,,,Reading WFC,974,00:02:01.077,Pass,
,,,,,,,,,,,,1.9185,,,,,,,,,,,,43fe3d0a-0f22-4f2c-8cfa-427ce6b46150,84,,,"[17.0, 48.0]",19732,2,,,-0.8379812,,Right Foot,,,,"[26.0, 38.0]",,Ground Pass,13.453624,,Josanne Potter,10198.0,,,,1,From Throw In,Grace Moloney,15719.0,Goalkeeper,6,Reading WFC,974,['e6ea1901-616a-48ac-8ca9-3fe2fc519eb0'],5,,,,,,,,,,,,,,,,Reading WFC,974,00:02:05.726,Pass,
,,,,,,,,,,,,1.1588,,,,,,,,,,,,d3d0115e-136f-40ac-ad23-e8285c1f3e0c,88,,,"[47.0, 34.0]",19732,2,,,0.0,,Left Foot,,,,"[57.0, 34.0]",,Ground Pass,10.0,,Brooke Chaplen,15723.0,,,,1,From Throw In,Josanne Potter,10198.0,Left Center Back,6,Reading WFC,974,"['c74cc31f-3b1b-4e1a-9cec-2761a320d207', 'd481f7e6-b589-49cc-abb1-d4ee4fbb0a75']",12,,,,,,,,,,,,,,,,Reading WFC,974,00:02:12.042,Pass,True
,,,,,,,,,,,,1.011,,,,,,,,,,,,d623500d-c79b-4441-b6d2-bad88654bf35,91,,,"[56.0, 33.0]",19732,2,,,-1.7894653,,Right Foot,,,,"[54.0, 24.0]",,Ground Pass,9.219544,,Remi Allen,18149.0,,,,1,From Throw In,Brooke Chaplen,15723.0,Center Attacking Midfield,6,Reading WFC,974,['5749f014-d182-489d-89bf-50a1a5059450'],13,,,,,,,,,,,,,,,,Reading WFC,974,00:02:13.684,Pass,
,,,,,,,,,,,,1.5611,,,,,,,,,,,,7611ebac-ada1-4079-b473-a69a96bb4ecf,94,,,"[54.0, 24.0]",19732,2,,,2.55359,,Right Foot,,,,"[45.0, 30.0]",,Ground Pass,10.816654,,Josanne Potter,10198.0,,,,1,From Throw In,Remi Allen,18149.0,Right Wing,6,Reading WFC,974,['30d7cf1c-8c92-42b1-bc3d-d3f8411b2e88'],14,,,,,,,,,,,,,,,,Reading WFC,974,00:02:14.775,Pass,
,,,,,,,,,,,,2.3268,,,,,,,,,,,,d28eeb24-cfe2-46da-954d-f47c240fb41c,97,,,"[50.0, 30.0]",19732,2,,,1.3360738,,Left Foot,,,,"[61.0, 76.0]",,High Pass,47.296936,,Natasha Harding,15725.0,,True,,1,From Throw In,Josanne Potter,10198.0,Left Center Back,6,Reading WFC,974,['2abcdda5-8366-4944-bd26-fd7e193b1121'],17,,,,,,,,,,,,,,,,Reading WFC,974,00:02:17.641,Pass,
,,,,,,,,,,,,1.665816,,,,,,,,,,,,404e4f2d-60e7-41dd-9ddc-23de8a0fae4a,100,,,"[60.0, 76.0]",19732,2,,,-2.5748634,,Right Foot,,,,"[49.0, 69.0]",,High Pass,13.038404,,Kirstyn Pearce,18152.0,,,,1,From Throw In,Natasha Harding,15725.0,Right Back,6,Reading WFC,974,['b8162075-6e13-4619-8f96-23d6a169684b'],20,,,,,,,,,,,,,,,,Reading WFC,974,00:02:20.008,Pass,
,,,,,,,,,,,,2.9822,,,,,,,,,,,,cc477fa8-16bb-4388-a7cf-8f4561ea65f1,104,,,"[51.0, 69.0]",19732,2,,,-0.45471928,,Right Foot,,,,"[96.0, 47.0]",,High Pass,50.08992,Incomplete,,,,,,1,From Throw In,Kirstyn Pearce,18152.0,Right Center Back,6,Reading WFC,974,['8965fc8a-9ba9-49b7-aad7-fb517e5669ae'],22,,,,,,,,,,,,,,,,Reading WFC,974,00:02:22.952,Pass,
,,,,,,,,,,,,2.3748,,,,,,,,,,,,8965fc8a-9ba9-49b7-aad7-fb517e5669ae,105,,,"[25.0, 34.0]",19732,2,,,-0.26060238,,Right Foot,,,,"[40.0, 30.0]",,High Pass,15.524175,Incomplete,Rhiannon Roberts,19779.0,,,Recovery,1,From Throw In,Sophie Elizabeth Bradley-Auckland,15614.0,Right Center Back,6,Reading WFC,974,"['293e0a65-b5c4-46e2-ac65-d772cf4653ed', '335f0db1-275f-494a-98cc-02144c496ae8', 'cc477fa8-16bb-4388-a7cf-8f4561ea65f1']",25,,,,,,,,,,,,,,,,Liverpool WFC,966,00:02:25.935,Pass,
,,,,,,,,,,,,1.2922,,,,,,,,,,,,293e0a65-b5c4-46e2-ac65-d772cf4653ed,107,,,"[81.0, 51.0]",19732,2,,True,0.5585993,,,,,,"[89.0, 56.0]",,Low Pass,9.433981,Incomplete,Lauren Bruton,15726.0,,,Recovery,1,From Throw In,Brooke Chaplen,15723.0,Center Attacking Midfield,6,Reading WFC,974,"['0ddb6353-2270-4dc2-8fb6-debf80895218', '29956589-7291-4a86-ae99-31c528ae467f', '8965fc8a-9ba9-49b7-aad7-fb517e5669ae', 'c1a9a681-53cf-4336-a2a1-066f72171157']",28,,,,,,,,,,,,,,,,Reading WFC,974,00:02:28.309,Pass,True
,,,,,,,,,,,,0.8809,,,,,,,,,,,,29956589-7291-4a86-ae99-31c528ae467f,110,,,"[32.0, 25.0]",19732,2,,,0.3529904,,Left Foot,,,,"[51.0, 32.0]",,High Pass,20.248457,Incomplete,,,,,Recovery,1,From Throw In,Jasmine Matthews,15618.0,Left Center Back,6,Reading WFC,974,"['293e0a65-b5c4-46e2-ac65-d772cf4653ed', 'e46c830e-9bb4-4004-b8a6-1b0586cd2a98']",29,,,,,,,,,,,,,,,,Liverpool WFC,966,00:02:29.602,Pass,
,,,,,,,,,,,,0.1604,,,,,,,,,,,,e46c830e-9bb4-4004-b8a6-1b0586cd2a98,111,,,"[70.0, 49.0]",19732,2,,,0.32175055,,Head,,,,"[73.0, 50.0]",,Low Pass,3.1622777,Incomplete,,,,,Recovery,1,From Throw In,Rachel Furness,15706.0,Left Defensive Midfield,6,Reading WFC,974,"['29956589-7291-4a86-ae99-31c528ae467f', 'a0b088bc-8f6b-41ca-be62-3d1e5709a2f5']",30,,,,,,,,,,,,,,,,Reading WFC,974,00:02:30.482,Pass,
,,,,,,,,,,,,0.6077,,,,,,,,,,,,d60b7321-6841-40e0-b364-3551e7aec444,116,,,"[70.0, 52.0]",19732,2,,,0.9272952,,Left Foot,,,,"[73.0, 56.0]",,Ground Pass,5.0,,Rachel Rowe,19780.0,,,,1,From Throw In,Rachel Furness,15706.0,Left Defensive Midfield,6,Reading WFC,974,"['b11b877e-3188-42f6-b52d-db64c6a8a36b', 'c4d6fd15-ca5a-4587-846f-c614f024ca15']",33,,,,,,,,,,,,,,,,Reading WFC,974,00:02:33.771,Pass,True
,,,,,,,,,,,,2.0569,,,,,,,,,,,,88c162ef-98f5-4282-bea1-675ba39ed607,120,,,"[68.0, 58.0]",19732,2,,,2.158799,,Right Foot,,,,"[56.0, 76.0]",,Ground Pass,21.633308,,Natasha Harding,15725.0,,,,1,From Throw In,Rachel Rowe,19780.0,Right Defensive Midfield,6,Reading WFC,974,"['123a8524-1589-4a00-a15e-9d7a60246d85', 'a12de465-d54e-4a99-b89e-522d8babefaf']",36,,,,,,,,,,,,,,,,Reading WFC,974,00:02:36.058,Pass,True
