ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.1078,,,,,,,,,,,,,2a7b4e8d-3b39-41c6-9441-8b37fbed3980,20,,,"[27.0, 15.0]",19737,0,,,-1.5707964,,,Right Foot,,,,"[27.0, 5.0]",,Ground Pass,10.0,,Leigh-Anne Robe,15630.0,,,,1,Regular Play,Niamh Fahey,19777.0,Center Defensive Midfield,3,Liverpool WFC,966,['1be4fffb-222c-4405-b672-7f796928da2d'],13,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:13.649,Pass,
,,,,,,,,,,,,1.7982,,,,,,,,,,,,,a4d979d8-419e-471f-91d1-241a3952048c,23,,,"[27.0, 5.0]",19737,0,,,0.22131445,,,Right Foot,,,,"[67.0, 14.0]",,Low Pass,41.0,Incomplete,,,,,,1,Regular Play,Leigh-Anne Robe,15630.0,Left Back,3,Liverpool WFC,966,['7a2aeb53-5994-4aa2-83ca-61b7555a8475'],14,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:14.797,Pass,
,,,,,,,,,,,,2.161188,,,,,,,,,,,,,7a2aeb53-5994-4aa2-83ca-61b7555a8475,24,,,"[54.0, 67.0]",19737,0,,,-0.41822433,,,Head,,,,"[72.0, 59.0]",,Low Pass,19.697716,,Ellie Mason,15715.0,,,Recovery,1,Regular Play,Hannah Short,15717.0,Right Center Back,3,Liverpool WFC,966,"['a4d979d8-419e-471f-91d1-241a3952048c', 'bb1adede-dfc3-4122-9b14-4e91bf737312']",16,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:16.595,Pass,
,,,,,,,,,,,,0.8031,,,,,,,,,,,,,0154c330-1a71-4c8a-b63e-e681a8aac62b,28,,,"[75.0, 60.0]",19737,0,,,0.38050637,,,Right Foot,,,,"[90.0, 66.0]",,Low Pass,16.155495,Incomplete,,,,,,1,Regular Play,Ellie Mason,15715.0,Right Defensive Midfield,3,Liverpool WFC,966,['48ce5afb-d4ae-4c1e-8d75-45f9f3e811b6'],19,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:19.711,Pass,
,,,,,,,,,,,,1.2841,,,,,,,,,,,,,48ce5afb-d4ae-4c1e-8d75-45f9f3e811b6,29,,,"[31.0, 15.0]",19737,0,,,0.63274884,,,Right Foot,,,,"[46.0, 26.0]",,Ground Pass,18.601076,,Rinsola Babajide,15613.0,,,Recovery,1,Regular Play,Leigh-Anne Robe,15630.0,Left Back,3,Liverpool WFC,966,"['0154c330-1a71-4c8a-b63e-e681a8aac62b', 'a38585c0-64c2-4825-850f-35a36ca1915d']",20,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:20.514,Pass,
,,,,,,,,,,,,0.350972,,,,,,,,,,,,,ea07656e-1e5f-4b87-8d19-a6a1180f0652,33,,,"[76.0, 37.0]",19737,0,,,2.4149504,,,Left Foot,,,,"[67.0, 45.0]",,Ground Pass,12.0415945,,Georgia Evans,15707.0,,,Recovery,1,Regular Play,Amber Gaylor,15711.0,Left Wing,4,Yeovil Town LFC,970,['d5ca02ba-f26b-4ebc-a97a-b2ad0d26ccdf'],24,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:24.334,Pass,
,,,,,,,,,,,,0.587238,,,,,,,,,,,,,c6acdc4e-3bad-4c42-9de1-cf950b42955d,36,,,"[67.0, 45.0]",19737,0,,,-0.8379812,,,Right Foot,,,,"[76.0, 35.0]",,Low Pass,13.453624,,Amber Gaylor,15711.0,,,,1,Regular Play,Georgia Evans,15707.0,Left Defensive Midfield,4,Yeovil Town LFC,970,['410b3e7b-09e9-419a-9279-605425386fa5'],25,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:25.544,Pass,
,,,,,,,,,,,,1.432348,,,,,,,,,,,,,5fe8566e-fc35-4fe8-b46e-8c6d459c75c1,40,,,"[40.0, 42.0]",19737,0,,,2.0344439,,,Left Foot,,,,"[35.0, 52.0]",,Ground Pass,11.18034,,Satara Murray,15629.0,,,Recovery,1,Regular Play,Rinsola Babajide,15613.0,Left Center Midfield,5,Liverpool WFC,966,['7cd9a294-a1bc-4bae-92ef-0e3203711db7'],27,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:27.481,Pass,
,,,,,,,,,,,,1.333406,,,,,,,,,,,,,1219bd85-80e0-405d-9dfd-43927b84fbf5,43,,,"[48.0, 32.0]",19737,0,,,-2.0344439,,,Right Foot,,,,"[38.0, 12.0]",,Ground Pass,22.36068,,Leigh-Anne Robe,15630.0,,,,1,Regular Play,Satara Murray,15629.0,Right Back,5,Liverpool WFC,966,['5ddf83a8-6039-43b1-ae35-b17d2016cd78'],32,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:32.544,Pass,
,,,,,,,,,,,,1.234644,,,,,,,,,,,,,0800e831-2fa4-45f0-a601-ee34e91219b0,47,,,"[47.0, 12.0]",19737,0,,,1.4219064,,,Right Foot,,,,"[50.0, 32.0]",,Ground Pass,20.22375,,Laura Coombs,19416.0,,,,1,Regular Play,Leigh-Anne Robe,15630.0,Left Back,5,Liverpool WFC,966,"['12914e75-bdc3-4441-ad2b-23b542e376ae', 'd537ceb6-80b8-4bcc-9a89-56b2cf5eab3c']",37,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:37.909,Pass,True
,,,,,,,,,,,,1.312,,,,,,,,,,,,,481f974b-0706-42ec-a071-6a298b539704,50,,,"[44.0, 41.0]",19737,0,,,1.4219064,,,Right Foot,,,,"[47.0, 61.0]",,Ground Pass,20.22375,,Satara Murray,15629.0,,,,1,Regular Play,Laura Coombs,19416.0,Right Center Midfield,5,Liverpool WFC,966,['f4ecdc2d-5f8f-40c4-8022-2d322cf9ea14'],42,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:42.001,Pass,
,,,,,,,,,,,,1.544724,,,,,,,,,,,,,4569980e-36c6-4c81-91c6-948fe63dad1d,53,,,"[47.0, 61.0]",19737,0,,,-2.7707014,,,Right Foot,,,,"[29.0, 54.0]",,Ground Pass,19.313208,,Sophie Elizabeth Bradley-Auckland,15614.0,,,,1,Regular Play,Satara Murray,15629.0,Right Back,5,Liverpool WFC,966,['a2b5d348-574a-4b03-9eae-5841f1bfdd5a'],44,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:44.160,Pass,
,,,,,,,,,,,,1.502548,,,,,,,,,,,,,e6a78f81-a633-4d3d-8fb0-f04490e7a36d,56,,,"[29.0, 54.0]",19737,0,,,-1.6672701,,,Right Foot,,,,"[26.0, 23.0]",,Ground Pass,31.144823,,Jasmine Matthews,15618.0,,,,1,Regular Play,Sophie Elizabeth Bradley-Auckland,15614.0,Right Center Back,5,Liverpool WFC,966,['14237bcd-d3cd-43a6-a020-dd64552afc39'],46,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:46.520,Pass,
,,,,,,,,,,,,1.298452,,,,,,,,,,,,,984dad4d-6431-4592-8823-c1efd64608b5,60,,,"[34.0, 16.0]",19737,0,,,-0.94200003,,,Right Foot,,,,"[42.0, 5.0]",,Ground Pass,13.601471,,Leigh-Anne Robe,15630.0,,,,1,Regular Play,Jasmine Matthews,15618.0,Left Center Back,5,Liverpool WFC,966,['626fd30e-0668-4a81-814c-3fdb91e177fb'],50,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:50.261,Pass,
,,,,,,,,,,,,1.092,,,,,,,,,,,,,b00d77e0-ff88-4fad-b982-9edee97f6181,63,,,"[42.0, 5.0]",19737,0,,,-0.094951704,,,Right Foot,,,,"[63.0, 3.0]",,Ground Pass,21.095022,,Niamh Charles,15631.0,,,,1,Regular Play,Leigh-Anne Robe,15630.0,Left Back,5,Liverpool WFC,966,['f5fe71d8-f457-4328-a8ff-2784d9add857'],53,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:53.082,Pass,
,,,,,,,,,,,,2.821553,,,,,,,,,,,,,35fb3655-869a-4564-8a0c-6f04c220ac10,71,,,"[45.0, 71.0]",19737,0,,,-1.929567,,,Left Foot,,,,"[33.0, 39.0]",,Ground Pass,34.176014,,Megan Alexander,15710.0,,,,1,Regular Play,Anne-Marie Heatherson,15714.0,Right Wing,5,Liverpool WFC,966,['589026c4-9bd5-427b-8d83-5b06c33dbeb5'],58,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:58.057,Pass,
,,,,,,,,,,,,3.028551,,,,,,,,,,,,,3af4a200-8f21-4d44-898a-e9c2399e9552,74,,,"[34.0, 40.0]",19737,1,,,0.81103355,,,Left Foot,,,,"[72.0, 80.0]",,High Pass,55.17246,Out,,,,True,,1,Regular Play,Megan Alexander,15710.0,Left Back,5,Liverpool WFC,966,,0,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:01:00.908,Pass,
,,,,,,,,,,,,1.078132,,,,,,,,,,,,,94ed2127-58e1-4a7a-9d4e-f5889e3186a9,75,,,"[49.0, 1.0]",19737,1,,,2.2974386,,,,,,,"[41.0, 10.0]",,High Pass,12.0415945,,Jasmine Matthews,15618.0,,,Throw-in,1,From Throw In,Leigh-Anne Robe,15630.0,Left Back,6,Liverpool WFC,966,['ebacc178-63bf-4524-85f9-439586e9fea3'],10,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:10.700,Pass,
,,,,,,,,,,,,5.401073,,,,,,,,,,,,,7de1ec23-df6a-4f19-931d-ed463114ba51,79,,,"[44.0, 8.0]",19737,1,,,0.4514531,,,Left Foot,,,,"[110.0, 40.0]",,High Pass,73.34848,Incomplete,,,,,,1,From Throw In,Jasmine Matthews,15618.0,Left Center Back,6,Liverpool WFC,966,"['bc16a23c-5717-4fc3-9ff4-4297a8ab41fc', 'ed02fe21-b951-49bf-9e37-68e86303f96e']",13,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:13.969,Pass,True
,,,,,,,,,,,,2.28,,,,,,,,,,,,,d8c35ccd-d9be-4291-a5ca-3e2e0f4dec6e,82,,,"[15.0, 52.0]",19737,1,,,0.10673567,,,Drop Kick,,,,"[71.0, 58.0]",,High Pass,56.32051,,Shannon Albuery,19775.0,,,,1,From Throw In,Megan Walsh,15709.0,Goalkeeper,6,Liverpool WFC,966,['07dec4b3-703b-48f7-a727-81919b650d86'],29,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:01:29.250,Pass,
,,,,,,,,,,,,4.441302,,,,,,,,,,,,,ae7d1854-703e-4468-8bc6-61df0663cc69,85,,,"[71.0, 58.0]",19737,1,,True,0.5317241,,,,,,,"[105.0, 78.0]",,High Pass,39.446167,Incomplete,,,,,,1,From Throw In,Shannon Albuery,19775.0,Right Center Forward,6,Liverpool WFC,966,"['1ad512fd-0969-4484-b09a-baa446f0dcc1', 'd6fdf76a-5259-480c-a4cb-cf96713a461b']",31,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:01:31.869,Pass,True
,,,,,,,,,,,,1.9525,,,,,,,,,,,,,d6fdf76a-5259-480c-a4cb-cf96713a461b,86,,,"[16.0, 3.0]",19737,1,,,0.066568166,,,Left Foot,,,,"[46.0, 5.0]",,High Pass,30.066593,,Niamh Charles,15631.0,,,Recovery,1,From Throw In,Jasmine Matthews,15618.0,Left Center Back,6,Liverpool WFC,966,"['8a8b7e8d-55a7-4a87-be8c-c3c984606159', 'ae7d1854-703e-4468-8bc6-61df0663cc69']",36,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:36.310,Pass,
,,,,,,,,,,,,3.0002,,,,,,,,,,,,,ca4f8d7c-cdc6-4936-b0d2-c87398f92f77,90,,,"[52.0, 37.0]",19737,1,,,1.5063695,,,Right Foot,,,,"[54.0, 68.0]",,Ground Pass,31.06445,,Satara Murray,15629.0,,,,1,From Throw In,Niamh Charles,15631.0,Left Wing,6,Liverpool WFC,966,['2897a01e-deb4-45f7-a2f4-a301387d3595'],46,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:46.336,Pass,
,,,,,,,,,,,,1.048622,,,,,,,,,,,,,6d8432b9-f79c-43f9-8a49-919479907b02,93,,,"[54.0, 68.0]",19737,1,,,0.27829966,,,Right Foot,,,,"[75.0, 74.0]",,Ground Pass,21.84033,,Jessica Anne Clarke,15218.0,,,,1,From Throw In,Satara Murray,15629.0,Right Back,6,Liverpool WFC,966,['ab156d3f-7ec3-42ca-8f6b-d6db74d42945'],49,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:49.375,Pass,
,,,,,,,,,,,,2.103394,,,,,,,,,,,,,fba7b4ea-8abe-48ee-89db-d5bed229323b,97,,,"[115.0, 70.0]",19737,2,,,-1.3258177,,,Right Foot,True,,,"[120.0, 50.0]",,High Pass,20.615528,Out,,,,,,1,From Throw In,Jessica Anne Clarke,15218.0,Right Wing,6,Liverpool WFC,966,,1,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:02:01.051,Pass,
,,,,,,,,,,,,2.1947,,,,,,,,,,,,,d0be484d-46a7-4e69-b6c8-6593e00f6b8d,98,,,"[7.0, 41.0]",19737,2,,,0.1864869,,,Right Foot,,,,"[60.0, 51.0]",,High Pass,53.935146,Incomplete,,,,,Goal Kick,1,From Goal Kick,Megan Walsh,15709.0,Goalkeeper,7,Yeovil Town LFC,970,['59c72add-25c8-4a9d-8820-35505e209535'],29,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:02:29.185,Pass,
,,,,,,,,,,,,2.116989,,,,,,,,,,,,,2a2ddcf3-6d4d-4e25-923f-3c867663e873,102,,,"[56.0, 53.0]",19737,2,,,-2.1224513,,,Left Foot,,,,"[48.0, 40.0]",,Ground Pass,15.264338,,Megan Alexander,15710.0,,,,1,From Goal Kick,Ellie Mason,15715.0,Right Defensive Midfield,7,Yeovil Town LFC,970,['e94e78a7-9551-4937-ac29-3e773e385de6'],32,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:02:32.573,Pass,
,,,,,,,,,,,,1.7047,,,,,,,,,,,,,a7360e03-1875-4052-a32c-e2f3be3ca3dd,105,,,"[48.0, 40.0]",19737,2,,,0.38460472,,,Left Foot,,,,"[90.0, 57.0]",,High Pass,45.310043,Incomplete,,,,,,1,From Goal Kick,Megan Alexander,15710.0,Left Back,7,Yeovil Town LFC,970,['82dd8543-7478-447f-b3f9-5b2bde1b4463'],34,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:02:34.730,Pass,
,,,,,,,,,,,,1.8982,,,,,,,,,,,,,82dd8543-7478-447f-b3f9-5b2bde1b4463,106,,,"[31.0, 24.0]",19737,2,,,-0.066568166,,,Head,,,,"[46.0, 23.0]",,High Pass,15.033297,,Niamh Fahey,19777.0,,,Recovery,1,From Goal Kick,Jasmine Matthews,15618.0,Left Center Back,7,Yeovil Town LFC,970,"['080b8aa3-3096-4224-a4da-d4900a9ec10e', 'a7360e03-1875-4052-a32c-e2f3be3ca3dd']",36,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:02:36.435,Pass,
,,,,,,,,,,,,2.0987,,,,,,,,,,,,,5e17ad3c-45e9-4f3c-8153-ff15f9a41c91,109,,,"[47.0, 23.0]",19737,2,,,-0.5191461,,,Right Foot,,,,"[75.0, 7.0]",,High Pass,32.24903,Incomplete,,,,,,1,From Goal Kick,Niamh Fahey,19777.0,Center Defensive Midfield,7,Yeovil Town LFC,970,['86b2d099-5cdc-4272-bac8-1989a350769b'],38,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:02:38.413,Pass,
,,,,,,,,,,,,3.5893,,,,,,,,,,,,,86b2d099-5cdc-4272-bac8-1989a350769b,110,,,"[46.0, 74.0]",19737,2,,,0.4636476,,,Head,,,,"[56.0, 79.0]",,Low Pass,11.18034,,Anne-Marie Heatherson,15714.0,,,Recovery,1,From Goal Kick,Amy Goddard,15708.0,Right Back,7,Yeovil Town LFC,970,"['5e17ad3c-45e9-4f3c-8153-ff15f9a41c91', 'dcf5f3b5-19f5-4e33-8f2e-c66b19f7bf57']",40,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:02:40.512,Pass,
,,,,,,,,,,,,1.0919,,,,,,,,,,,,,a9957c0c-f5ac-4616-afad-27420e17916d,112,,,"[57.0, 78.0]",19737,2,,,-2.976444,,,Head,,,,"[45.0, 76.0]",,Low Pass,12.165525,,Georgia Evans,15707.0,,,,1,From Goal Kick,Anne-Marie Heatherson,15714.0,Right Wing,7,Yeovil Town LFC,970,['3bd5c0ba-824c-4d99-a34d-722f333a4a1d'],44,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:02:44.101,Pass,
,,,,,,,,,,,,0.2594,,,,,,,,,,,,,93b56c5d-3b22-470f-9c6f-4e7f3281472b,114,,,"[45.0, 76.0]",19737,2,,,0.0,,,Right Foot,,,,"[46.0, 76.0]",,Ground Pass,1.0,Incomplete,,,,,,1,From Goal Kick,Georgia Evans,15707.0,Left Defensive Midfield,7,Yeovil Town LFC,970,['e5ea2115-4a4e-41cf-9534-47500673262c'],45,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:02:45.193,Pass,
,,,,,,,,,,,,3.29836,,,,,,,,,,,,,486af69d-e0eb-42b3-8787-ee9c7ac78bd9,119,,,"[40.0, 77.0]",19737,2,,,-2.340811,,,Left Foot,,,,"[8.0, 44.0]",,Low Pass,45.96738,,Megan Walsh,15709.0,,,,1,From Goal Kick,Amy Goddard,15708.0,Right Back,7,Yeovil Town LFC,970,['77a442b1-9c20-46cd-b449-a6a329439db8'],48,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:02:48.659,Pass,
,,,,,,,,,,,,2.1199,,,,,,,,,,,,,e9f01170-a184-49dd-8287-5a19cc8603e5,122,,,"[12.0, 29.0]",19737,2,,,-0.31290123,,,Right Foot,,,,"[46.0, 18.0]",,High Pass,35.735138,,Amber Gaylor,15711.0,,,,1,From Goal Kick,Megan Walsh,15709.0,Goalkeeper,7,Yeovil Town LFC,970,['6ce6c5c3-7d6f-4906-9c84-1ad051bdf274'],56,,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:02:56.803,Pass,
