ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,"[83.0, 4.0]",,,,,,,,5.443491,,,,,,,,,,,,,,6772acfa-5b9d-4cce-9ae0-fed583b5c022,3171,,"[82.0, 4.0]",19749,81,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Charlie Wellings,15563.0,Center Forward,178,Birmingham City WFC,969,"['4d2390a1-e6e7-4b3b-beb1-6fead3951b7a', '91232b3b-ebdf-43ba-be63-0f87d5fe0e98', '91351361-85f1-4e55-8ac8-05aa492f92ed']",26,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:36:26.259,Carry,True
,,"[74.0, 5.0]",,,,,,,,1.417633,,,,,,,,,,,,,,df92df99-b65f-40f2-a95c-21b6ea4d3076,3178,,"[79.0, 5.0]",19749,81,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lucy Staniforth,15562.0,Right Center Midfield,179,Birmingham City WFC,969,"['9256d3e5-ef6b-428d-925b-e3903723f1ce', 'fb024ae5-b725-4341-a64a-6b468fb52107']",36,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:36:36.285,Carry,
,,"[47.0, 22.0]",,,,,,,,1.202453,,,,,,,,,,,,,,5c62b704-4e70-4cd4-81d3-3ec47cb2bcbe,3181,,"[48.0, 18.0]",19749,81,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Aoife Mannion,19503.0,Left Center Back,179,Birmingham City WFC,969,"['054a6294-38ef-46f4-8776-45a7c8adaa71', '4a945b14-36df-447c-aebf-6d85b56fb450']",39,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:36:39.497,Carry,
,,"[55.0, 58.0]",,,,,,,,3.5054,,,,,,,,,,,,,,78bd8210-4c1f-44d8-8af0-32f62097013b,3184,,"[49.0, 56.0]",19749,81,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Meaghan Sargeant,19502.0,Right Center Back,179,Birmingham City WFC,969,"['41f05bd1-7a23-4825-b7ff-f60bb44bf4ce', 'c2ad0d89-45d6-470d-92f9-fa63cc110f56', 'f215f877-f155-4de0-84fe-44a8acfc93e5']",41,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:36:41.891,Carry,True
,,"[66.0, 76.0]",,,,,,,,2.731083,,,,,,,,,,,,,,461a6214-8bcb-4a28-8bd0-8c2b5bed566d,3188,,"[64.0, 76.0]",19749,81,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Harriet Scott,19592.0,Right Back,179,Birmingham City WFC,969,"['129582cd-2ec1-4ec1-8ddc-9bbae811205d', '4a09be40-747e-4335-b439-8f80af348db4', 'a6e3f10c-51cc-4492-9278-f2dd387a451d']",46,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:36:46.871,Carry,True
,,"[44.0, 58.0]",,,,,,,,2.150814,,,,,,,,,,,,,,4f39bb11-eb41-4620-b691-bdedb99018d3,3192,,"[44.0, 58.0]",19749,81,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Aoife Mannion,19503.0,Left Center Back,179,Birmingham City WFC,969,"['101e1506-0c05-4f58-9cf7-6fffaba3f84f', '91240333-255a-4c04-95bd-451235d0beb9']",50,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:36:50.996,Carry,
,,"[85.0, 78.0]",,,,,,,,0.161166,,,,,,,,,,,,,,af445e98-2e4f-4719-81ae-085f03bf2c9e,3195,,"[85.0, 78.0]",19749,81,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Charlie Wellings,15563.0,Center Forward,179,Birmingham City WFC,969,"['8e3bc26a-b2a1-4417-b393-1cb9f404590f', 'fa20ff22-4eca-420b-aa54-92429b8d37a7']",55,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:36:55.395,Carry,
,,"[89.0, 70.0]",,,,,,,,1.989936,,,,,,,,,,,,,,30da8fb1-ba0e-4a0c-9745-8c6366acd85d,3198,,"[84.0, 69.0]",19749,81,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Sarah Emma Mayling,19500.0,Left Wing,179,Birmingham City WFC,969,"['905beb6d-7da0-49f3-a9b0-84c0b60bf9b8', '9f3e2e08-60e7-40f1-9343-a7c69ba62c5f', 'bbb35773-44b1-4fed-bf81-6ffa9f2a9223']",56,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:36:56.389,Carry,True
,,"[9.0, 67.0]",,,,,,,,1.599998,,,,,,,,,,,,,,dd2993cc-2515-4789-a4ab-9841f6dbdf49,3205,,"[8.0, 63.0]",19749,82,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Leah Williamson,18999.0,Right Center Back,180,Arsenal WFC,968,"['eb299f75-139b-452f-ac28-a19fb35fe8be', 'ff1abf1a-c409-4f5e-b92b-e9ac9a819ee0']",17,,,,,,,,,,,,,,,,Arsenal WFC,968,00:37:17.606,Carry,
,,"[76.0, 76.0]",,,,,,,,0.760183,,,,,,,,,,,,,,51b009f9-96d1-49f4-85b2-95d835ed40a7,3212,,"[78.0, 76.0]",19749,82,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jessica Marie Wik,15612.0,Right Back,181,Arsenal WFC,968,"['986a2438-ab6a-4c58-a156-ce91c75cf4d9', 'c415f9e2-32c1-47b1-bfed-58104edc9cfc']",57,,,,,,,,,,,,,,,,Arsenal WFC,968,00:37:57.403,Carry,
