ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,1.958509,,,,,,,,,,,,d77ca805-f85f-49a1-a84f-6b47cc51c64f,109,,,"[106.0, 1.0]",19730,3,,,2.976444,,,,,,"[94.0, 3.0]",,Low Pass,12.165525,,Magdalena Lilly Eriksson,4633.0,,,,,Throw-in,1,From Throw In,Francesca Kirby,4641.0,Center Forward,9,Chelsea FCW,971,['4c6c4b16-0ee6-4fe2-be60-8d9947c1ff35'],25,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:25.378,Pass,
,,,,,,,,,,1.41042,,,,,,,,,,,,a925447c-93f2-4127-8138-45ee5255b787,112,,,"[94.0, 3.0]",19730,3,,,-0.14189705,,,Right Foot,,,"[101.0, 2.0]",,High Pass,7.071068,,Francesca Kirby,4641.0,,,,,,1,From Throw In,Magdalena Lilly Eriksson,4633.0,Left Center Back,9,Chelsea FCW,971,['50514a44-1ffc-467f-8438-5c3847de9e8e'],27,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:27.552,Pass,
,,,,,,,,,,0.726382,,,,,,,,,,,,ce1a10bd-fc5b-4442-a46f-af722e7890f0,114,,,"[101.0, 2.0]",19730,3,,,1.3258177,,,Head,,,"[102.0, 6.0]",,Low Pass,4.1231055,,Jonna Ann-Charlotte Andersson,10222.0,,,,,,1,From Throw In,Francesca Kirby,4641.0,Center Forward,9,Chelsea FCW,971,['f8feec1f-cd3a-41a5-9558-0d0ff02a416a'],29,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:29.003,Pass,
,,,,,,,,,,1.368098,,,,,,,,,,,,91758085-b5e7-4e1a-90c4-04c4ddc3019d,122,,,"[12.0, 59.0]",19730,3,,,-2.1995926,,,Right Foot,,,"[4.0, 48.0]",,Ground Pass,13.601471,,Marie Hourihan,19419.0,,,,,,1,From Throw In,Laura Rafferty,16394.0,Right Center Back,9,Chelsea FCW,971,['8239d156-0182-4584-9ec7-4206bb50e56a'],33,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:03:33.063,Pass,
,,,,,,,,,,2.171943,,,,,,,,,,,,c5ec4f0f-3c5a-4060-bfcb-b8ee967b462d,126,,,"[5.0, 49.0]",19730,3,,,0.094951704,,,Right Foot,,,"[47.0, 53.0]",,High Pass,42.190044,Incomplete,,,,,,,,1,From Throw In,Marie Hourihan,19419.0,Goalkeeper,9,Chelsea FCW,971,['b5278912-89c7-48fd-860d-3f3aeee997c8'],34,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:03:34.608,Pass,
,,,,,,,,,,2.981471,,,,,,,,,,,,b5278912-89c7-48fd-860d-3f3aeee997c8,127,,,"[74.0, 28.0]",19730,3,,,1.6447353,,,Head,,,"[72.0, 55.0]",,Low Pass,27.073973,,Millie Bright,4642.0,,,,,Recovery,1,From Throw In,So-Yun Ji,4647.0,Left Defensive Midfield,9,Chelsea FCW,971,"['c5ec4f0f-3c5a-4060-bfcb-b8ee967b462d', 'f286dda3-9548-4636-86f8-fa5cd6abe43e']",36,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:36.780,Pass,
,,,,,,,,,,0.236391,,,,,,,,,,,,c7041b78-a0b2-4a44-a5bd-a1a7c95572a0,131,,,"[71.0, 60.0]",19730,3,,,-0.4636476,,,Right Foot,,,"[73.0, 59.0]",,Low Pass,2.236068,Incomplete,,,,,,,,1,From Throw In,Millie Bright,4642.0,Right Center Back,9,Chelsea FCW,971,"['9033acf8-6caf-4219-b457-53ac5d5eb573', 'c01b603a-111e-4a43-ade7-d8597c7988c5']",39,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:39.801,Pass,True
,,,,,,,,,,3.741825,,,,,,,,,,,,2f2e1252-2606-47a8-bd50-d11f5bd470cb,133,,,"[80.0, 80.0]",19730,3,,,-2.7763913,,,,,,"[46.0, 67.0]",,Low Pass,36.40055,,Millie Bright,4642.0,,,,,Throw-in,1,From Throw In,Jessica Carter,19422.0,Right Midfield,10,Chelsea FCW,971,['0088f331-0138-4d19-8867-0766c35f2d23'],55,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:55.035,Pass,
,,,,,,,,,,1.786513,,,,,,,,,,,,36b49074-fa4d-4776-9d25-2af7abc8b9be,136,,,"[41.0, 64.0]",19730,3,,,-2.1692152,,,Left Foot,,,"[26.0, 42.0]",,Ground Pass,26.627054,,Carly Mitchell Telford,19421.0,,,,,,1,From Throw In,Millie Bright,4642.0,Right Center Back,10,Chelsea FCW,971,['a5d9a0c9-f9ed-4f3f-a510-ebb72f12d2ad'],58,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:58.817,Pass,
,,,,,,,,,,2.122984,,,,,,,,,,,,4311f687-285c-4955-a728-773f6fbf02be,139,,,"[25.0, 40.0]",19730,4,,,-1.0040671,,,Right Foot,,,"[39.0, 18.0]",,Ground Pass,26.076809,,Magdalena Lilly Eriksson,4633.0,,,,,,1,From Throw In,Carly Mitchell Telford,19421.0,Goalkeeper,10,Chelsea FCW,971,['bc5014ef-906d-4aec-8e2f-56aa1b831ba3'],1,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:04:01.809,Pass,
