50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.153499,,,,,,,,,,,7a1d93fc-43d3-4067-9ffc-4ac3a5b60c0a,53,,,"[12.0, 47.0]",19768,0,,,-1.3370532,,,Right Foot,,,,"[17.0, 26.0]",Ground Pass,21.587032,,,Brooke Hendrix,18159.0,,,,,,1,Regular Play,Anne Moorhouse,22027.0,Goalkeeper,4,West Ham United LFC,972,['eeef61b0-37cd-45ab-aa06-c251e4365fda'],53,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:53.288,Pass,
,,,,,,,,,,,,,,2.072696,,,,,,,,,,,08a42fd5-29aa-4099-b090-aaae9b59e278,56,,,"[15.0, 30.0]",19768,0,,,1.199905,,,Right Foot,,,,"[29.0, 66.0]",Ground Pass,38.626415,,,Gilly Louise Scarlett Flaherty,18151.0,,,,,,1,Regular Play,Brooke Hendrix,18159.0,Left Center Back,4,West Ham United LFC,972,['63b29939-2e94-4e89-aeaa-839370d6c558'],57,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:57.956,Pass,
,,,,,,,,,,,,,,2.29448,,,,,,,,,,,ec06b19c-96f8-4315-8596-9d20b171c5f9,60,,,"[40.0, 69.0]",19768,1,,,-0.38416937,,,Right Foot,,,,"[87.0, 50.0]",Low Pass,50.695168,,Incomplete,,,,,,,,1,Regular Play,Gilly Louise Scarlett Flaherty,18151.0,Right Center Back,4,West Ham United LFC,972,"['ea76b5b7-edb3-420d-9285-4a99411f9bf7', 'f6ff31e2-8cd2-4a28-b297-ef5e965973a0']",3,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:03.007,Pass,True
,,,,,,,,,,,,,,2.028795,,,,,,,,,,,f6ff31e2-8cd2-4a28-b297-ef5e965973a0,61,,,"[34.0, 31.0]",19768,1,,,-0.24497867,,,Left Foot,,,,"[66.0, 23.0]",High Pass,32.984844,,Incomplete,,,,,,,Recovery,1,Regular Play,Danique Kerkdijk,16383.0,Right Center Back,4,West Ham United LFC,972,"['ec06b19c-96f8-4315-8596-9d20b171c5f9', 'eefd4230-8647-4dc4-9d64-1f78fc2e4246']",5,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:05.301,Pass,
,,,,,,,,,,,,,,3.865132,,,,,,,,,,,eefd4230-8647-4dc4-9d64-1f78fc2e4246,62,,,"[55.0, 58.0]",19768,1,,,0.63274884,,,Head,,,,"[85.0, 80.0]",Low Pass,37.202152,,Out,,,,,,,Recovery,1,Regular Play,Gilly Louise Scarlett Flaherty,18151.0,Right Center Back,4,West Ham United LFC,972,['f6ff31e2-8cd2-4a28-b297-ef5e965973a0'],7,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:07.330,Pass,
,,,,,,,,,,,,,,1.8122,,,,,,,,,,,d0ebae33-36fa-4225-a6d1-9509e78fc697,63,,,"[35.0, 1.0]",19768,1,,,0.094951704,,,,,,,"[56.0, 3.0]",High Pass,21.095022,,,Lucy Hope,16386.0,,,,,Throw-in,1,From Throw In,Poppy Pattinson,17274.0,Left Back,5,Bristol City WFC,973,['aea2e668-a66e-496d-b5f5-282ce98a17d5'],21,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:21.896,Pass,
,,,,,,,,,,,,,,1.916952,,,,,,,,,,,ab46dfbd-a557-47b9-b0b2-f45714e95696,65,,,"[56.0, 3.0]",19768,1,,,-0.094951704,,,Head,,,,"[77.0, 1.0]",Low Pass,21.095022,,Incomplete,Juliette Kemppi,16390.0,,,,,,1,From Throw In,Lucy Hope,16386.0,Center Attacking Midfield,5,Bristol City WFC,973,"['7f3aaa81-7a66-432d-b6b0-767d810edbcf', 'fc92e0c9-e86a-4249-9b7a-bf07ab16c389']",23,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:23.708,Pass,
,,,,,,,,,,,,,,4.783213,,,,,,,,,,,fc92e0c9-e86a-4249-9b7a-bf07ab16c389,67,,,"[44.0, 80.0]",19768,1,,,-2.5378432,,,Left Foot,,,,"[15.0, 60.0]",High Pass,35.22783,,,Anne Moorhouse,22027.0,,,,,Recovery,1,From Throw In,Gilly Louise Scarlett Flaherty,18151.0,Right Center Back,5,Bristol City WFC,973,"['2df7ca3e-a926-47ed-8164-07e2d30dbc1d', 'ab46dfbd-a557-47b9-b0b2-f45714e95696']",25,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:25.625,Pass,
,,,,,,,,,,,,,,2.831594,,,,,,,,,,,be49b105-fe8d-493f-bc43-e542343546f4,71,,,"[17.0, 60.0]",19768,1,,,0.2536741,,,Right Foot,,,,"[44.0, 67.0]",High Pass,27.89265,,Incomplete,,,,,,,,1,From Throw In,Anne Moorhouse,22027.0,Goalkeeper,5,Bristol City WFC,973,"['44e18c50-d1e8-422e-aee6-5bbe609e0026', '63ba43d2-3a5d-4e45-bf1f-6988620b8dd7']",30,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:30.422,Pass,True
,,,,,,,,,,,,,,1.7143,,,,,,,,,,,63ba43d2-3a5d-4e45-bf1f-6988620b8dd7,72,,,"[77.0, 14.0]",19768,1,,,2.55359,,,Head,,,,"[74.0, 16.0]",High Pass,3.6055512,,,Lucy Hope,16386.0,,,,,Recovery,1,From Throw In,Ella Rutherford,16388.0,Left Wing,5,Bristol City WFC,973,"['86dd89a6-8265-4d5f-ac55-a4e87cf7ea5c', 'be49b105-fe8d-493f-bc43-e542343546f4']",33,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:33.253,Pass,
