ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,2.556156,,,,,,,,,,fb45c712-13fd-4222-bf3a-f1c9e6af9444,89,,"[54.0, 12.0]",19720,1,,,1.4743226,,,Right Foot,,,"[57.0, 43.0]",Ground Pass,31.144823,,Millie Bright,4642.0,,,,1,From Throw In,Magdalena Lilly Eriksson,4633.0,Left Center Back,5,Chelsea FCW,971,['b9ef31d3-d398-4222-becf-2f1066c89fc4'],48,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:48.871,Pass,
,,,,,,,,1.619072,,,,,,,,,,b423d47c-c35b-4fe8-b987-c125834c4a46,92,,"[65.0, 51.0]",19720,1,,,1.1383885,,,Right Foot,,,"[77.0, 77.0]",Ground Pass,28.635643,,Hannah Jayne Blundell,17275.0,,,,1,From Throw In,Millie Bright,4642.0,Right Center Back,5,Chelsea FCW,971,['fdeef182-3891-4d68-ac38-fa1685103766'],54,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:54.615,Pass,
,,,,,,,,1.625846,,,,,,,,,,ee823364-38ea-4a7e-9a43-0a8eafa81aa2,96,,"[72.0, 76.0]",19720,1,,,-2.3086114,,,Right Foot,,,"[62.0, 65.0]",Ground Pass,14.866069,,So-Yun Ji,4647.0,,,,1,From Throw In,Hannah Jayne Blundell,17275.0,Right Back,5,Chelsea FCW,971,['ae525214-df1f-4e26-8eb8-23984e6412cd'],57,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:57.169,Pass,
,,,,,,,,1.565341,,,,,,,,,,e70fce46-92de-46e0-99f1-118976ddf0fe,100,,"[65.0, 65.0]",19720,1,,,-1.9055332,,,Right Foot,,,"[57.0, 42.0]",Ground Pass,24.351591,,Maren Nævdal Mjelde,10395.0,,,,1,From Throw In,So-Yun Ji,4647.0,Right Center Midfield,5,Chelsea FCW,971,['5e1c8bb1-13b3-44d3-86c8-1bc68b9714bf'],59,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:59.427,Pass,
,,,,,,,,1.437601,,,,,,,,,,d0f1bee7-92ca-4c18-acde-a76f2efae898,103,,"[58.0, 39.0]",19720,2,,,-1.5707964,,,Right Foot,,,"[58.0, 25.0]",Ground Pass,14.0,,Magdalena Lilly Eriksson,4633.0,,,,1,From Throw In,Maren Nævdal Mjelde,10395.0,Center Defensive Midfield,5,Chelsea FCW,971,['704c0dd9-10b8-416b-a3d6-adfdeb7469f4'],2,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:02.109,Pass,
,,,,,,,,3.889187,,,,,,,,,,1e73ef00-f479-4f8d-925b-d96e7c318688,107,,"[64.0, 24.0]",19720,2,,,1.1801893,,,Left Foot,,,"[85.0, 75.0]",High Pass,55.154327,,Hannah Jayne Blundell,17275.0,,True,,1,From Throw In,Magdalena Lilly Eriksson,4633.0,Left Center Back,5,Chelsea FCW,971,['3eb97861-da0b-46b8-803a-e1188f7134a1'],5,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:05.585,Pass,
,,,,,,,,0.796714,,,,,,,,,,a8b38daf-703c-47a2-a375-a0776bad5eae,110,,"[85.0, 77.0]",19720,2,,,-2.158799,,,Right Foot,,,"[79.0, 68.0]",Ground Pass,10.816654,,So-Yun Ji,4647.0,,,,1,From Throw In,Hannah Jayne Blundell,17275.0,Right Back,5,Chelsea FCW,971,['e2aea4ff-2998-4e34-967c-80cdaae69e90'],9,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:09.595,Pass,
,,,,,,,,1.129608,,,,,,,,,,ad85376f-38d1-4098-b348-cb563c1496d6,113,,"[79.0, 68.0]",19720,2,,,1.0636978,,,Right Foot,,,"[84.0, 77.0]",Ground Pass,10.29563,,Hannah Jayne Blundell,17275.0,,,,1,From Throw In,So-Yun Ji,4647.0,Right Center Midfield,5,Chelsea FCW,971,['7e0a5bd3-0d44-4115-91f5-f630d957f69e'],10,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:10.998,Pass,
,,,,,,,,1.197581,,,,,,,,,,689fa862-35c0-4e53-bd4c-2c1b59a8778e,117,,"[84.0, 74.0]",19720,2,,,-2.5213432,,,Right Foot,,,"[77.0, 69.0]",Ground Pass,8.602325,,So-Yun Ji,4647.0,,,,1,From Throw In,Hannah Jayne Blundell,17275.0,Right Back,5,Chelsea FCW,971,['ad3cc0f3-ed35-46a2-af81-86d7ab67e775'],13,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:13.120,Pass,
,,,,,,,,2.045971,,,,,,,,,,c82500ee-1ac1-45fb-81ed-657342b26c5e,121,,"[75.0, 66.0]",19720,2,,,-2.9889433,,,Right Foot,,,"[62.0, 64.0]",Ground Pass,13.152946,,Millie Bright,4642.0,,,,1,From Throw In,So-Yun Ji,4647.0,Right Center Midfield,5,Chelsea FCW,971,['26f1c507-ab79-4a98-a9ee-7c17abf3146d'],14,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:14.843,Pass,
