bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.214732,,,,,,,,,,,,,,baba23e4-6cdf-4ebf-8632-8287009374f6,55,,,"[43.3, 67.1]",3802643,0,,,,2.158799,,Right Foot,,,"[36.7, 77.0]",,Ground Pass,,11.898319,,,,,Achraf Hakimi Mouh,5245.0,,,,,,,1,From Free Kick,Danilo Luís Hélio Pereira,13621.0,Right Defensive Midfield,3,Paris Saint-Germain,131,['603b4a99-0e15-4459-a402-a6c551c6019a'],42,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:42.437,Pass,
,,,,,,,,,,,,,,,,1.243156,,,,,,,,,,,,,,e59c8348-6af1-4d1d-a263-75119458a9b8,58,,,"[36.7, 77.0]",3802643,0,,,,0.18131977,,Right Foot,,,"[42.7, 78.1]",,Ground Pass,,6.1,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Free Kick,Achraf Hakimi Mouh,5245.0,Right Wing Back,3,Paris Saint-Germain,131,['4e71bb7e-5b44-428e-85ac-f536c6db9106'],43,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:43.732,Pass,
,,,,,,,,,,,,,,,,0.771983,,,,,,,,,,,,,,fc6b5b61-67ad-496c-ab67-118db25f9427,61,,,"[42.9, 77.7]",3802643,0,,,,-1.6626425,,Left Foot,,,"[42.2, 70.1]",,Ground Pass,,7.632169,,,,,Danilo Luís Hélio Pereira,13621.0,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Paris Saint-Germain,131,['79ca0bd8-1150-4db4-895d-000007087169'],45,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:45.761,Pass,
,,,,,,,,,,,,,,,,3.351278,,,,,,,,,,,,,,8ee73a83-e57b-4bef-9eae-38b1eb438ec1,64,,,"[44.1, 68.4]",3802643,0,,,,-1.3992414,,Right Foot,,,"[53.3, 15.3]",,High Pass,,53.891094,,,,,Juan Bernat Velasco,15651.0,,,True,,,,1,From Free Kick,Danilo Luís Hélio Pereira,13621.0,Right Defensive Midfield,3,Paris Saint-Germain,131,['b3845155-e295-41ce-bb55-6504615bfd4e'],48,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:48.300,Pass,
,,,,,,,,,,,,,,,,1.153528,,,,,,,,,,,,,,813e445e-5f60-4405-a2f5-fc67e19f3b24,68,,,"[54.6, 14.8]",3802643,0,,,,2.5829933,,Left Foot,,,"[47.4, 19.3]",,Ground Pass,,8.490583,,,,,Presnel Kimpembe,2999.0,,,,,,,1,From Free Kick,Juan Bernat Velasco,15651.0,Left Wing Back,3,Paris Saint-Germain,131,"['1c67eba0-61b7-4186-84a0-f85e7eab22dc', 'e2a7e8e3-f35c-4dae-8f3a-55afa348bb90']",51,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:51.691,Pass,True
,,,,,,,,,,,,,,,,0.678954,,,,,,,,,,,,,,07d87b32-2e90-41e0-af6a-00e6ed4ffa4e,71,,,"[49.8, 22.7]",3802643,0,,,,-0.91170627,,Right Foot,,,"[55.3, 15.6]",,Ground Pass,,8.9810915,,,,,Kylian Mbappé Lottin,3009.0,,,,,,,1,From Free Kick,Presnel Kimpembe,2999.0,Left Center Back,3,Paris Saint-Germain,131,['8800c3e5-9cee-41c4-87e3-a5d6f6dfac59'],55,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:55.598,Pass,
,,,,,,,,,,,,,,,,0.658797,,,,,,,,,,,,,,681060ae-76a2-468a-994f-e0bc7ec8f105,80,,,"[66.6, 41.7]",3802643,1,,,,2.2481828,,Left Foot,,,"[59.2, 50.9]",,Ground Pass,,11.806778,,,,,Danilo Luís Hélio Pereira,13621.0,,,,,,,1,From Free Kick,Kylian Mbappé Lottin,3009.0,Center Forward,3,Paris Saint-Germain,131,"['9042d526-3f5c-4d4a-b2e6-88239409973c', 'db10a6cc-6fc2-4370-9fae-3a8e3b348e5f']",3,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:03.917,Pass,True
,,,,,,,,,,,,,,,,1.51769,,,,,,,,,,,,,,62403e72-5e3f-421a-a2c2-f9f08ffaf4c0,83,,,"[61.1, 55.4]",3802643,1,,,,1.1170493,,Right Foot,,,"[71.0, 75.7]",,Ground Pass,,22.585394,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Free Kick,Danilo Luís Hélio Pereira,13621.0,Right Defensive Midfield,3,Paris Saint-Germain,131,['236272e0-5eeb-4c4e-af5a-31636abff8cd'],6,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:06.106,Pass,
,,,,,,,,,,,,,,,,2.104603,,,,,,,,,,,,,,3539e96c-5bb0-4817-969a-c885a0ea5954,86,,,"[82.8, 60.1]",3802643,1,,,,-1.7935565,,Left Foot,,,"[78.7, 42.0]",,Ground Pass,,18.558556,,,,,Marco Verratti,3166.0,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Paris Saint-Germain,131,['51b4ce29-fcd5-46c3-bcb5-040dbd870713'],11,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:11.200,Pass,
,,,,,,,,,,,,,,,,0.762835,,,,,,,,,,,,,,4c17d2f5-fd50-4bf2-bd79-1d9e993e12a0,89,,,"[78.7, 42.0]",3802643,1,,,,-0.67350787,,Right Foot,,,"[88.6, 34.1]",,Ground Pass,,12.665702,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Free Kick,Marco Verratti,3166.0,Left Defensive Midfield,3,Paris Saint-Germain,131,['59642a75-2ed9-446a-997f-b8e2b9a214cc'],13,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:13.425,Pass,
,,,,,,,,,,,,,,,,0.724299,,,,,,,,,,,,,,ff465693-4096-47c1-8c23-b6b4faacbb8c,93,,,"[86.9, 33.7]",3802643,1,,,,3.1290934,,Left Foot,,,"[78.9, 33.8]",,Ground Pass,,8.000625,,,,,Marco Verratti,3166.0,,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,3,Paris Saint-Germain,131,"['9aa3425d-6b37-4187-94f1-ce9300e6b34c', 'a7a7f8c8-e3d1-4cb8-8ce5-a09f879f6d44']",14,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:14.308,Pass,True
,,,,,,,,,,,,,,,,1.505794,,,,,,,,,,,,,,365f0de3-308e-495b-9331-fc6e27f00cba,96,,,"[78.9, 33.8]",3802643,1,,,,-1.3363235,,Right Foot,,,"[84.8, 9.1]",,Ground Pass,,25.394882,,,,,Juan Bernat Velasco,15651.0,,,,,,,1,From Free Kick,Marco Verratti,3166.0,Left Defensive Midfield,3,Paris Saint-Germain,131,['04d6b46d-16cf-4a13-8ee5-bbe618bb967b'],15,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:15.145,Pass,
