ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.773519,,,,,,,,,,,,,98fe004e-a521-45b4-a787-a93a0e7395ad,48,,,"[58.4, 68.4]",3802805,0,,,,,-2.024798,,Right Foot,,,,"[46.2, 43.4]",,Ground Pass,,27.81798,,,Dante Bonfim da Costa Santos,3197.0,,,,,,1,Regular Play,Jean-Clair Todibo,11532.0,Right Center Back,3,OGC Nice,136,['6b56f740-6e32-47e7-99dc-70f4b5ee4426'],39,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:39.654,Pass,
,,,,,,,,,,,,,,,,1.764325,,,,,,,,,,,,,fefe80bb-4495-4cbc-8473-2f730fb2f1cb,51,,,"[42.8, 43.2]",3802805,0,,,,,-1.3811269,,Left Foot,,,,"[49.5, 8.3]",,Ground Pass,,35.537304,,,Melvin Bard,33221.0,,,,,,1,Regular Play,Dante Bonfim da Costa Santos,3197.0,Left Center Back,3,OGC Nice,136,['8b00d009-95e9-4a6e-9202-8a467cedec36'],42,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:42.956,Pass,
,,,,,,,,,,,,,,,,0.925539,,,,,,,,,,,,,5fb88dbe-d0bb-4413-b874-e2202200f7ba,54,,,"[49.5, 8.3]",3802805,0,,,,,1.3535029,,Left Foot,,,,"[52.9, 23.7]",,Ground Pass,,15.770859,,,Khéphren Thuram-Ulien,22072.0,,,,,,1,Regular Play,Melvin Bard,33221.0,Left Back,3,OGC Nice,136,['2010fcb9-25fb-40b8-9368-dcc07b1ff2f6'],44,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:44.920,Pass,
,,,,,,,,,,,,,,,,0.820065,,,,,,,,,,,,,954b2d9e-a83f-412b-ad15-3d4379bdad45,58,,,"[69.8, 15.8]",3802805,0,,,,,-0.89405936,,Right Foot,,,,"[79.6, 3.6]",,Low Pass,,15.648643,,,Amine Gouiri,4435.0,,,,,,1,Regular Play,Khéphren Thuram-Ulien,22072.0,Left Midfield,3,OGC Nice,136,"['607486bf-f1e7-4bb9-a252-3649839b0477', 'febd77f7-5290-474d-870c-d03e469330e0']",48,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:48.435,Pass,True
,,,,,,,,,,,,,,,,0.547135,,,,,,,,,,,,,a5b4160a-e9bb-4047-92b9-8fdfd04aa132,61,,,"[90.1, 6.6]",3802805,0,,,,,1.2454357,,Right Foot,,,,"[92.9, 14.9]",,Ground Pass,,8.759566,,,Khéphren Thuram-Ulien,22072.0,,,,,,1,Regular Play,Amine Gouiri,4435.0,Left Center Forward,3,OGC Nice,136,['fc3bb500-853a-478b-bee8-2b4eb074fc97'],51,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:51.926,Pass,
,,,,,,,,,,,,,,,,0.640149,,,,,,,,,,,,,f468b5e6-a00b-457d-b07b-d199e2a316d2,66,,,"[106.6, 25.0]",3802805,0,,,,,1.3294408,,Right Foot,,,,"[109.8, 38.0]",,Ground Pass,,13.388055,,,Kasper Dolberg,6302.0,,,,,,1,Regular Play,Khéphren Thuram-Ulien,22072.0,Left Midfield,3,OGC Nice,136,['68141132-780e-4236-99b8-a3fd5b88855c'],56,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:56.465,Pass,
,,,,,,,,,,,,,,,,0.912361,,,,,,,,,,,,,58088b63-da83-4a5d-9ead-61c72c24cb1a,71,,,"[109.8, 38.0]",3802805,0,,,,,-1.4679855,4a42c63f-80b9-4758-b2d7-9944c989146d,Right Foot,,,,"[111.1, 25.4]",,Ground Pass,,12.666886,,,Amine Gouiri,4435.0,True,,,,,1,Regular Play,Kasper Dolberg,6302.0,Right Center Forward,3,OGC Nice,136,"['3f76fd59-1c18-41fb-9529-65535f587596', '90c6288f-14ac-4d39-baa1-b7f12fb0edf0', 'b99ccbef-7555-4c08-9c06-24db05c4f12a']",58,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:58.379,Pass,True
,,,,,,,,,,,,,,,,1.407404,,,,,,,,,,,,,e8d03467-f18e-4fe3-b50c-a34ec2b51f36,78,,,"[117.5, 5.9]",3802805,1,,,,,2.9572682,,Left Foot,,,,"[105.7, 8.1]",,Ground Pass,,12.003333,,,Melvin Bard,33221.0,,,,,,1,Regular Play,Amine Gouiri,4435.0,Left Center Forward,3,OGC Nice,136,"['35e91cf4-7992-4fc4-b248-541bb9a8ef87', '965dfd1a-57d8-4588-831c-9a039f5296c8']",4,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:04.842,Pass,True
,,,,,,,,,,,,,,,,1.523914,,,,,,,,,,,,,3fa67411-efc7-4332-853d-ac67b64917d6,81,,,"[106.1, 8.1]",3802805,1,,,,,1.4083072,,Left Foot,True,,,"[112.1, 44.7]",,High Pass,,37.088543,,,Justin Kluivert,8063.0,,,,,,1,Regular Play,Melvin Bard,33221.0,Left Back,3,OGC Nice,136,['2a5dfef7-f9e4-4e1d-9182-8bdcd26d41b2'],6,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:06.289,Pass,
,,,,,,,,,,,,,,,,1.25586,,,,,,,,,,,,,e44c31d5-634c-489a-8ac2-9a98c35ddb12,87,,,"[107.8, 76.5]",3802805,1,,,,,-3.1215954,,Right Foot,,,,"[97.8, 76.3]",,Ground Pass,,10.002,,,Flavius Daniliuc,39120.0,,,,,,1,Regular Play,Pablo Paulino Rosario,8534.0,Right Defensive Midfield,3,OGC Nice,136,['93ea6c8f-519a-4663-88f6-155324dd90ef'],13,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:13.311,Pass,
