50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.648496,,,,,,,,,,,,,ab0a6f80-aea9-4922-9d64-ed4c31cdf34a,2310,,,"[91.0, 68.2]",3802907,56,,,,3.1415927,,Head,,,,"[86.2, 68.2]",,Low Pass,,4.8,,,,Leandro Daniel Paredes,16308.0,,,,,,2,Regular Play,Achraf Hakimi Mouh,5245.0,Right Back,104,Paris Saint-Germain,131,['25a2199d-fac8-4d33-92b2-befe0a1745a1'],1,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:11:01.890,Pass,
,,,,,,,,,,,,,,,,,1.057767,,,,,,,,,,,,,bc9ffb29-d639-4ecd-8073-9cc5337f1386,2313,,,"[85.6, 68.2]",3802907,56,,,,1.3357841,,Left Foot,,,,"[87.3, 75.3]",,Low Pass,,7.300685,,,,Danilo Luís Hélio Pereira,13621.0,,,,,,2,Regular Play,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,104,Paris Saint-Germain,131,['af537d18-63ef-47b9-96de-2c2a96c74f64'],2,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:11:02.724,Pass,
,,,,,,,,,,,,,,,,,0.120466,,,,,,,,,,,,,9d944af5-1a89-425f-9413-5326fcfe8789,2316,,,"[86.6, 75.8]",3802907,56,,,,-2.9816794,,Right Foot,,,,"[83.5, 75.3]",,Ground Pass,,3.1400638,,Incomplete,,Marcos Aoás Corrêa,4372.0,,,,,,2,Regular Play,Danilo Luís Hélio Pereira,13621.0,Right Center Midfield,104,Paris Saint-Germain,131,"['0c049ad2-79a4-4c83-85f9-99e81da66ba1', '4ea6d475-00cb-40d9-a37e-f0d0d0959275', '80a8b185-ceec-44ff-9a3b-4eefab10f7ad']",3,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:11:03.781,Pass,True
,,,,,,,,,,,,,,,,,0.770404,,,,,,,,,,,,,813ab1e5-b25e-44f0-9406-d0fe41c7ea98,2327,,,"[34.8, 9.0]",3802907,56,,,,0.13021144,,Right Foot,,,,"[43.2, 10.1]",,Ground Pass,,8.471718,,,,Jonathan Bamba,4256.0,,,,,Free Kick,2,From Free Kick,Benjamin André,2990.0,Left Defensive Midfield,105,Lille,143,['275e4ef5-f9a1-4d59-a8d0-832bd0c0174c'],9,,,,,,,,,,,,,,,,,,,Lille,143,00:11:09.147,Pass,
,,,,,,,,,,,,,,,,,2.130925,,,,,,,,,,,,,691a4e93-6291-47fa-aa26-ecf474eb37da,2330,,,"[66.9, 9.0]",3802907,56,,,,0.55827475,,Left Foot,,,,"[94.6, 26.3]",,Ground Pass,,32.658535,,Incomplete,,Jonathan David,23640.0,,,,,,2,From Free Kick,Jonathan Bamba,4256.0,Left Midfield,105,Lille,143,"['29efc072-ae92-483b-a7d5-83712b7c0556', 'f29af0d4-4d01-4f02-b104-71cb413a2997']",13,,,,,,,,,,,,,,,,,,,Lille,143,00:11:13.181,Pass,
,,,,,,,,,,,,,,,,,1.448812,,,,,,,,,,,,,8fc8ef76-3c6a-4958-897d-7badb7f62ccd,2334,,,"[25.1, 70.9]",3802907,56,,,,-0.5006026,,Left Foot,,,,"[47.4, 58.7]",,Ground Pass,,25.419086,,,,Leandro Daniel Paredes,16308.0,,,,,,2,Regular Play,Nuno Mendes,41092.0,Left Back,106,Paris Saint-Germain,131,['bd6d0385-f48b-4512-8033-27f44ff68bc3'],21,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:11:21.189,Pass,
,,,,,,,,,,,,,,,,,1.377287,,,,,,,,,,,,,59d458cc-d531-4bc1-8610-1413e6b4736b,2337,,,"[49.2, 55.4]",3802907,56,,,,-1.124438,,Right Foot,,,,"[55.9, 41.4]",,Ground Pass,,15.520632,,,,Julian Draxler,3186.0,,,,,,2,Regular Play,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,106,Paris Saint-Germain,131,['c5b1154c-ff35-4f5a-9d43-950426c9cf05'],25,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:11:25.517,Pass,
,,,,,,,,,,,,,,,,,1.122897,,,,,,,,,,,,,17cbc1aa-3dfd-4be3-b5bd-b4563bf7d8c3,2340,,,"[52.6, 43.0]",3802907,56,,,,2.1717134,,Right Foot,,,,"[44.1, 55.4]",,Ground Pass,,15.033629,,,,Marco Verratti,3166.0,,,,,,2,Regular Play,Julian Draxler,3186.0,Right Wing,106,Paris Saint-Germain,131,['9da2dbb0-34b8-4c24-9189-b4e950f56dd6'],27,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:11:27.616,Pass,
,,,,,,,,,,,,,,,,,1.009662,,,,,,,,,,,,,43a14295-b0ad-4443-8991-f6b2fe179eff,2343,,,"[53.0, 57.6]",3802907,56,,,,-1.9372932,,Right Foot,,,,"[49.2, 47.7]",,Ground Pass,,10.604244,,,,Leandro Daniel Paredes,16308.0,,,,,,2,Regular Play,Marco Verratti,3166.0,Left Center Midfield,106,Paris Saint-Germain,131,['458750c9-4965-4848-97b4-14311e7c4fb3'],33,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:11:33.332,Pass,
,,,,,,,,,,,,,,,,,1.05189,,,,,,,,,,,,,cb656d49-f348-4f2c-8b61-105a743d1b60,2346,,,"[49.2, 47.7]",3802907,56,,,,1.3909428,,Right Foot,,,,"[51.4, 59.8]",,Ground Pass,,12.298374,,,,Marco Verratti,3166.0,,,,,,2,Regular Play,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,106,Paris Saint-Germain,131,['bd264b88-63ad-4ebb-9320-6f1e7e80a424'],34,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:11:34.447,Pass,
