ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,2.509968,,,,,,,,,,,,,8f0a9d5e-87bd-4ca8-9a81-425591b75da4,15,,,"[55.9, 76.9]",3775591,0,,,,,-0.030033885,,Right Foot,,,,"[79.2, 76.2]",,Low Pass,,23.310513,Incomplete,,Martha Thomas,31558.0,,,,,,1,From Kick Off,Cecilie Redisch Kvamme,31553.0,Right Wing Back,2,West Ham United LFC,972,"['44c74e27-e4e5-4e5d-958b-1b7427ef0e46', '4ba5bb5b-1528-4833-b8d9-4b3a3047a7d1']",11,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:11.465,Pass,
,,,,,,,,,,True,,,,,1.118972,,,,,,,,,,,,,44c74e27-e4e5-4e5d-958b-1b7427ef0e46,17,,,"[40.9, 3.9]",3775591,0,,,,,-0.09184612,,Left Foot,,,,"[48.5, 3.2]",,Ground Pass,,7.632169,,,Guro Reiten,10514.0,,,,,Interception,1,Regular Play,Millie Bright,4642.0,Left Center Back,3,Chelsea FCW,971,"['8f0a9d5e-87bd-4ca8-9a81-425591b75da4', 'da0f43f1-07f9-4d65-aeef-3fdd936ff6ae']",13,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:13.975,Pass,
,,,,,,,,,,,,,,,0.761335,,,,,,,,,,,,,6c59d444-ba15-43c8-90a2-444b93664845,21,,,"[47.2, 3.5]",3775591,0,,,,,1.9916685,,Right Foot,,,,"[42.5, 14.0]",,Ground Pass,,11.503912,,,Sophie Louise Ingle,15549.0,,,,,,1,Regular Play,Guro Reiten,10514.0,Left Midfield,3,Chelsea FCW,971,"['606f5013-ced5-4590-a8aa-baf95c92450f', 'bc7a2d48-02a4-428c-b368-a60c6060d347']",16,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:16.260,Pass,True
,,,,,,,,,,,,,,,0.77422,,,,,,,,,,,,,24317f21-b554-4dc6-a9f2-4bee2035c6f1,25,,,"[42.4, 13.0]",3775591,0,,,,,0.055498507,,Right Foot,,,,"[53.2, 13.6]",,Low Pass,,10.816654,Incomplete,,Samantha May Kerr,4961.0,,,,,,1,Regular Play,Sophie Louise Ingle,15549.0,Left Defensive Midfield,3,Chelsea FCW,971,"['0e15712a-495d-459f-8fb8-e38664b534d5', '8fb7a74e-a268-4338-9d72-b07617cc2086', 'e6e91fb9-c7ac-4ee1-bf84-2adfccabcc7c']",17,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:17.147,Pass,True
,,,,,,,,,,,,,,,0.060361,,,,,,,,,,,,,bbd5e65c-f0f4-40e0-a318-922d929ab6a1,29,,,"[65.7, 14.6]",3775591,0,,,,,-0.96299434,,Right Foot,,,,"[67.3, 12.3]",,Low Pass,,2.8017852,Incomplete,,Guro Reiten,10514.0,,,,,Recovery,1,Regular Play,Samantha May Kerr,4961.0,Right Center Forward,3,Chelsea FCW,971,"['99cce186-ad79-4b6f-b93c-01be618216b9', 'e31d90e3-6e19-49b0-8c29-5eb76653ee67', 'ec601d52-bec8-4f2d-9c97-01b75d468a2d']",18,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:18.992,Pass,True
,,,,,,,,,,,,,,,5.215316,,,,,,,,,,,,,b964f7e1-9c4a-47ba-8ffa-e8d3ecb000ea,32,,,"[62.9, 10.6]",3775591,0,,,,,0.19270076,,Left Foot,,,,"[112.1, 20.2]",,High Pass,,50.12784,Incomplete,,Bethany England,15550.0,,,,,Recovery,1,Regular Play,Guro Reiten,10514.0,Left Midfield,3,Chelsea FCW,971,"['1baf5a72-0989-4383-bc2a-31d04bf0a893', 'f33bf31b-4f99-4617-9096-9da387a7f3bd']",20,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:20.918,Pass,
,,,,,,,,,,,,,,,3.797863,,,,,,,,,,,,,2cbf5059-06fd-4e52-9dda-7dfa491cd5e1,37,,,"[7.0, 36.1]",3775591,1,,,,,-0.8458856,,Right Foot,,,,"[38.8, 0.2]",,High Pass,,47.958836,Out,,Laura Vetterlein,31556.0,,,,,Goal Kick,1,From Goal Kick,Courtney Brosnan,31555.0,Goalkeeper,4,West Ham United LFC,972,['d6362eec-45a4-48d3-bd76-fab0eb22add3'],4,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:04.172,Pass,
,,,,,,,,,,,,,,,3.810809,,,,,,,,,,,,,95c2c58d-d331-42ff-9abd-82db0c85c3e3,39,,,"[81.3, 80.0]",3775591,1,,,,,-0.3875238,,,,,,"[115.6, 66.0]",,High Pass,,37.04713,,,Pernille Mosegaard Harder,10108.0,,,,,Throw-in,1,From Throw In,Niamh Charles,15631.0,Right Back,5,Chelsea FCW,971,['9ee8a610-25e2-48f2-917c-5f9516d743ef'],13,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:13.606,Pass,
,,,,,,,,,,,,,,,1.314143,,,,,,,,,,,,,ac0468b0-c502-42aa-b24e-82466f18521a,42,,,"[115.8, 67.2]",3775591,1,,,,,-1.401018,,Right Foot,True,,,"[120.0, 42.7]",,High Pass,,24.857393,Out,,Bethany England,15550.0,,,,,,1,From Throw In,Pernille Mosegaard Harder,10108.0,Right Center Midfield,5,Chelsea FCW,971,['d8c15e82-b48c-4a1e-85ac-c230bbc4dfa4'],17,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:17.560,Pass,
,,,,,,,,,,,,,,,2.833991,,,,,,,,,,,,,27ba571f-461f-4e16-afee-7d4088935877,44,,,"[7.0, 36.1]",3775591,1,,,,,-0.49708903,,Right Foot,,,,"[50.5, 12.5]",,High Pass,,49.489494,,,Emily Louise van Egmond,5076.0,,,,,Goal Kick,1,From Goal Kick,Courtney Brosnan,31555.0,Goalkeeper,6,West Ham United LFC,972,['88561458-a315-4ce9-9a46-d50466d586cf'],44,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:44.096,Pass,
,,,,,,,,,,,,,,,0.884787,,,,,,,,,,,,,31ca5d98-5d8a-4e25-9eb9-918cb02795a1,47,,,"[50.0, 12.5]",3775591,1,,,,True,-0.25615138,,,,,,"[58.4, 10.3]",,High Pass,,8.683317,Incomplete,,Martha Thomas,31558.0,,,,,,1,From Goal Kick,Emily Louise van Egmond,5076.0,Left Attacking Midfield,6,West Ham United LFC,972,"['1fde75ec-cd81-4515-bdf3-19d54c664bef', '646a95f0-7ad7-4dd0-b079-75a7aad7f131', 'e6b294c5-cc01-40fc-a742-bb77f662139a']",46,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:46.930,Pass,True
,,,,,,,,,,,,,,,1.320924,,,,,,,,,,,,,646a95f0-7ad7-4dd0-b079-75a7aad7f131,49,,,"[61.7, 69.8]",3775591,1,,,,,-0.41716948,,Head,,,,"[70.5, 65.9]",,High Pass,,9.625487,Incomplete,,So-Yun Ji,4647.0,,,,,Recovery,1,From Goal Kick,Sophie Louise Ingle,15549.0,Left Defensive Midfield,6,West Ham United LFC,972,"['31ca5d98-5d8a-4e25-9eb9-918cb02795a1', '73b3647d-b80c-442c-8869-1d9b741cde28', 'baf48216-669e-4791-930b-4af943c13462']",47,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:47.815,Pass,
,,,,,,,,,,,,,,,2.212305,,,,,,,,,,,,,73b3647d-b80c-442c-8869-1d9b741cde28,51,,,"[49.6, 14.2]",3775591,1,,,,,0.79543126,,Head,,,,"[64.4, 29.3]",,High Pass,,21.143557,,,Kenza Dali,15421.0,,,,,Recovery,1,From Goal Kick,Emily Louise van Egmond,5076.0,Left Attacking Midfield,6,West Ham United LFC,972,"['646a95f0-7ad7-4dd0-b079-75a7aad7f131', '76bd3d20-053a-4d87-afee-4ea9759207f0']",49,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:49.135,Pass,
,,,,,,,,,,,,,,,1.990678,,,,,,,,,,,,,f6acfa29-8b25-4704-a8ad-df115238862b,54,,,"[64.4, 28.1]",3775591,1,,,,,0.13059573,88678a0d-cd80-4afc-8f71-51fcd5e538ac,Right Foot,,,,"[97.9, 32.5]",,High Pass,,33.78772,,,Martha Thomas,31558.0,True,,,,,1,From Goal Kick,Kenza Dali,15421.0,Right Attacking Midfield,6,West Ham United LFC,972,"['2a11c2d8-e04b-4d49-baef-73fbc792e10b', '7120965b-3468-4ad0-84e3-e43c522aa2a0']",51,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:51.348,Pass,True
,,,,,,,,,,,,,,,2.948986,,,,,,,,,,,,,29c58f35-479f-4c7c-9fae-1c5a408c34bf,59,,,"[6.0, 44.0]",3775591,2,,,,,0.35580552,,Right Foot,,,,"[65.2, 66.0]",,High Pass,,63.15568,,,Samantha May Kerr,4961.0,,,,,Goal Kick,1,From Goal Kick,Zecira Musovic,62713.0,Goalkeeper,7,Chelsea FCW,971,['8d3cea1a-1bab-4fb0-8a94-a6c20665d400'],27,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:27.558,Pass,
,,,,,,,,,,,,,,,3.48716,,,,,,,,,,,,,f251b0b6-9e51-424c-9d25-414e4d5de0cc,61,,,"[65.2, 66.0]",3775591,2,,,,True,0.10970272,,,,,,"[99.7, 69.8]",,Low Pass,,34.708645,Incomplete,,Bethany England,15550.0,,,,,,1,From Goal Kick,Samantha May Kerr,4961.0,Right Center Forward,7,Chelsea FCW,971,"['77e26c40-692e-418c-bd79-aa6f312ab4aa', 'dfe30ca7-a8e6-4428-a3e9-dd9efc84118d', 'fa159ec1-0180-4ca7-b3db-784901dd662a']",30,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:30.587,Pass,True
,,,,,,,,,,,,,,,0.866348,,,,,,,,,,,,,9f96ed9b-1aee-4284-a6be-4bd3535ae795,65,,,"[107.4, 80.0]",3775591,2,,,,,-1.6426723,,,,,,"[106.5, 67.5]",,High Pass,,12.532358,,,Samantha May Kerr,4961.0,,,,,Throw-in,1,From Throw In,Niamh Charles,15631.0,Right Back,8,Chelsea FCW,971,['ca323438-aa83-45fe-9f18-54e43952987b'],48,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:48.701,Pass,
,,,,,,,,,,,,,,,1.134236,,,,,,,,,,,,,4e5f9225-2732-45de-b4cc-f1ade80b9a22,69,,,"[106.1, 69.1]",3775591,2,,,,,0.81291413,,Right Foot,,,,"[111.4, 74.7]",,Low Pass,,7.7103825,,,Bethany England,15550.0,,,,,,1,From Throw In,Samantha May Kerr,4961.0,Right Center Forward,8,Chelsea FCW,971,"['c3dc33cf-3648-43e2-8137-8509f637029f', 'e4fd84b3-29f3-4845-8f8b-f4897c37bf34']",49,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:49.691,Pass,True
,,,,,,,,,,,,,,,0.695177,,,,,,,,,,,,,22deeb5f-8029-439c-9369-d73fc854dc6e,72,,,"[112.4, 74.4]",3775591,2,,,,,-1.9117752,,Right Foot,,,,"[110.2, 68.2]",,Ground Pass,,6.5787535,,,Samantha May Kerr,4961.0,,,,,,1,From Throw In,Bethany England,15550.0,Left Center Forward,8,Chelsea FCW,971,['0dd71a25-b74d-45a0-899e-a6e8b45e3851'],51,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:51.757,Pass,
,,,,,,,,,,,,,,,0.742619,,,,,,,,,,,,,833cfd8c-7a78-4df0-ad8c-50614e4241be,75,,,"[110.2, 68.2]",3775591,2,,,,,-2.1622353,,Right Foot,,,,"[105.7, 61.5]",,Ground Pass,,8.070935,,,Niamh Charles,15631.0,,,,,,1,From Throw In,Samantha May Kerr,4961.0,Right Center Forward,8,Chelsea FCW,971,['aef0886f-9a12-441e-878d-b625779bde70'],52,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:02:52.493,Pass,
,,,,,,,,,,,,,,,1.225932,,,,,,,,,,,,,632c7576-83a4-4618-94a8-66911db03f7e,89,,,"[1.5, 17.5]",3775591,2,,,,,-1.2191777,,Left Foot,,,,"[7.7, 0.6]",,Low Pass,,18.001389,Out,,,,,,,,,1,From Throw In,Laura Vetterlein,31556.0,Left Center Back,8,Chelsea FCW,971,,57,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:02:57.925,Pass,
,,,,,,,,,,,,,,,0.909521,,,,,,,,,,,,,236002d6-8a77-4452-bf45-a1d6b5228192,90,,,"[112.4, 80.0]",3775591,3,,,,,-2.2896264,,,,,,"[106.1, 72.8]",,Low Pass,,9.567131,,,Bethany England,15550.0,,,,,Throw-in,1,From Throw In,Niamh Charles,15631.0,Right Back,9,Chelsea FCW,971,['628fac19-d9db-4437-92ea-5333c632e52c'],2,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:02.811,Pass,
,,,,,,,,,,,,,,,1.692457,,,,,,,,,,,,,9776d2bc-789c-42ab-b090-062ba3d3e7ef,93,,,"[106.1, 72.8]",3775591,3,,,,,-1.5261333,,Right Foot,True,,,"[107.7, 37.0]",,High Pass,,35.835735,Incomplete,,Samantha May Kerr,4961.0,,,,,,1,From Throw In,Bethany England,15550.0,Left Center Forward,9,Chelsea FCW,971,"['94e9f947-03e5-496c-98a5-8354f7bde63a', 'a5f862d9-8d71-4fa6-a219-0dd875389b74']",5,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:05.415,Pass,
,,,,,,,,,,,,,,,1.661376,,,,,,,,,,,,,bd981cd0-aa46-465b-93d6-e4d2917d99b0,96,,,"[106.1, 0.1]",3775591,3,,,,,2.6851563,,,,,,"[89.4, 8.3]",,Low Pass,,18.604568,,,Sophie Louise Ingle,15549.0,,,,,Throw-in,1,From Throw In,Jonna Ann-Charlotte Andersson,10222.0,Left Back,10,Chelsea FCW,971,['80391b7b-9af1-4112-9a8f-8b05bc100f1b'],17,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:17.321,Pass,
,,,,,,,,,,,,,,,0.826012,,,,,,,,,,,,,dab5daa9-4689-4e46-8eb6-b63f17991955,99,,,"[93.4, 5.4]",3775591,3,,,,,0.6237768,,Left Foot,,,,"[104.1, 13.1]",,Ground Pass,,13.182564,,,Guro Reiten,10514.0,,,,,,1,From Throw In,Sophie Louise Ingle,15549.0,Left Defensive Midfield,10,Chelsea FCW,971,['db2b934a-231b-4a49-b16f-b23a9e769aef'],20,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:20.678,Pass,
,,,,,,,,,,,,,,,0.434047,,,,,,,,,,,,,abdcd5d0-db52-43e7-aedb-88be9c874cb1,103,,,"[105.2, 11.8]",3775591,3,,,,,0.2551824,,Right Foot,,,,"[109.8, 13.0]",,Ground Pass,,4.753946,Pass Offside,,Samantha May Kerr,4961.0,,,,,,1,From Throw In,Guro Reiten,10514.0,Left Midfield,10,Chelsea FCW,971,"['c21ef7f8-d168-414c-877f-dbf101c2e3e6', 'd3115b4b-6c35-4243-b86e-045a2454c9ad']",22,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:03:22.359,Pass,True
,,,,,,,,,,,,,,,3.084468,,,,,,,,,,,,,dcd45c75-b598-412f-a414-a47979658b32,105,,,"[8.9, 37.8]",3775591,4,,,,,-0.067722365,,Right Foot,,,,"[66.4, 33.9]",,High Pass,,57.63211,Incomplete,,Martha Thomas,31558.0,,,,,Free Kick,1,From Free Kick,Courtney Brosnan,31555.0,Goalkeeper,11,West Ham United LFC,972,"['4954cb2c-5b09-4ee2-ba73-c05d6f90ace8', 'd0f0de19-258f-406a-958e-d7f9a0731c5d']",4,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:04:04.068,Pass,
,,,,,,,,,,,,,,,1.879432,,,,,,,,,,,,,82576241-22f4-4a0a-b61c-c9b1dc0734b2,114,,,"[58.5, 45.9]",3775591,4,,,,,3.0442271,,Left Foot,,,,"[37.0, 48.0]",,Ground Pass,,21.602314,,,Maren Nævdal Mjelde,10395.0,,,,,,1,Regular Play,Guro Reiten,10514.0,Left Midfield,12,Chelsea FCW,971,"['51d1602c-25c3-43e5-a1e8-973d8b22fed0', '5f2924d4-803a-4e6a-b768-f0c8c57ef79d']",9,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:04:09.682,Pass,True
,,,,,,,,,,,,,,,1.483765,,,,,,,,,,,,,2268515a-0ef3-401c-901c-e706cfc5f29d,117,,,"[37.0, 48.0]",3775591,4,,,,,1.496424,,Right Foot,,,,"[38.9, 73.5]",,Ground Pass,,25.570686,,,Niamh Charles,15631.0,,,,,,1,Regular Play,Maren Nævdal Mjelde,10395.0,Right Center Back,12,Chelsea FCW,971,['5ad47fe9-5309-4bed-b322-7a4be0cecded'],14,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:04:14.811,Pass,
,,,,,,,,,,,,,,,0.924088,,,,,,,,,,,,,354930e0-cebc-4b8e-a3f1-1502fbdf4897,120,,,"[38.6, 73.6]",3775591,4,,,,,-1.1571071,,Right Foot,,,,"[45.8, 57.2]",,Ground Pass,,17.91089,,,So-Yun Ji,4647.0,,,,,,1,Regular Play,Niamh Charles,15631.0,Right Back,12,Chelsea FCW,971,['7c48ea75-40e7-4843-bc2e-f0514f5ac1dd'],17,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:04:17.560,Pass,
