50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[20.2, 50.5]",,,,,,,,,,,1.10109,,,,,,,,,,,1e40fd31-f7b9-4e5c-85ab-0c4345338aa8,486,,"[25.1, 54.7]",3775599,14,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Natalie Haigh,46535.0,Center Back,36,Aston Villa,2647,"['4229264a-22e9-4dff-a8b5-285b39c38908', 'c14e0294-f04f-4ca5-9f00-e409996f09d7', 'cb77fc80-e680-4ac6-8e1e-eaf9066195e9']",40,,,,,,,,,,,,,,,,Aston Villa,2647,00:14:40.618,Carry,True
,,,,"[95.0, 68.9]",,,,,,,,,,,3.166428,,,,,,,,,,,8a8fb697-55e1-4900-b992-15d498e0cb5c,501,,"[74.7, 63.8]",3775599,14,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stine Larsen,10102.0,Right Center Forward,36,Aston Villa,2647,"['60d88d17-832a-43c5-8d19-ece6672b073a', '6866ef95-1c49-4486-b7a1-2f494d66b188', 'f8bea245-996b-4ced-b2c4-905b2a5dd92c']",56,,,,,,,,,,,,,,,,Aston Villa,2647,00:14:56.709,Carry,True
,,,,"[112.2, 61.9]",,,,,,,,,,,1.880067,,,,,,,,,,,92591e88-4e01-44d3-8240-f6e57a43792b,505,,"[107.5, 63.8]",3775599,15,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stine Larsen,10102.0,Right Center Forward,36,Aston Villa,2647,"['039229a1-c9e2-42aa-9156-5eafe9c4ff1b', '3431cd11-4407-4e20-b5e9-a66d74da04bb', '60d88d17-832a-43c5-8d19-ece6672b073a']",2,,,,,,,,,,,,,,,,Aston Villa,2647,00:15:02.843,Carry,True
,,,,"[69.9, 75.1]",,,,,,,,,,,1.385423,,,,,,,,,,,dd770a66-1bae-4a0e-bbc1-3fe0acba2076,515,,"[68.0, 75.1]",3775599,15,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kenza Dali,15421.0,Right Wing,37,West Ham United LFC,972,"['23c1969f-b71e-405e-9495-df3c163b3f2b', 'dcf07243-a5d8-45ad-8138-c4dddc00cce2']",22,,,,,,,,,,,,,,,,West Ham United LFC,972,00:15:22.375,Carry,
,,,,"[95.9, 9.7]",,,,,,,,,,,1.710974,,,,,,,,,,,d220d8dc-bfd6-4b80-b997-92288cc3756b,526,,"[95.3, 13.8]",3775599,16,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kenza Dali,15421.0,Right Wing,39,West Ham United LFC,972,"['15a1c079-f697-4af6-8be3-301bb97692d6', 'bbd04103-2471-4dbc-a666-0f6c0555127b', 'efbae18f-57ad-49b5-99c6-a939c0679e87', 'fec7a6a2-5746-4c4b-840a-527bc2273ec0']",11,,,,,,,,,,,,,,,,West Ham United LFC,972,00:16:11.644,Carry,True
,,,,"[95.3, 9.7]",,,,,,,,,,,0.929063,,,,,,,,,,,d63f1c2e-8620-412b-9d14-7693b3c4ca06,530,,"[95.9, 9.7]",3775599,16,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kenza Dali,15421.0,Right Wing,39,West Ham United LFC,972,"['15a1c079-f697-4af6-8be3-301bb97692d6', '1bd61ee5-d350-4382-bc42-57e0c21e1657', 'a712ab87-4ee6-4d83-adb3-d962de0565ed', 'fec7a6a2-5746-4c4b-840a-527bc2273ec0']",13,,,,,,,,,,,,,,,,West Ham United LFC,972,00:16:13.355,Carry,True
,,,,"[89.6, 4.0]",,,,,,,,,,,0.676037,,,,,,,,,,,de4817b9-a31f-4b7e-8979-484f248abb82,533,,"[89.6, 4.0]",3775599,16,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Laura Vetterlein,31556.0,Left Center Midfield,39,West Ham United LFC,972,"['59377fed-d464-486b-ac62-76618dfa154a', 'e42afca0-6b7f-4f1a-b5b1-c74fb3e78dc9']",15,,,,,,,,,,,,,,,,West Ham United LFC,972,00:16:15.328,Carry,
,,,,"[34.1, 69.9]",,,,,,,,,,,2.074759,,,,,,,,,,,e669553e-2fe9-48e2-81e7-078fab6e5380,544,,"[29.1, 71.0]",3775599,16,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Stine Larsen,10102.0,Right Center Forward,40,West Ham United LFC,972,"['57cd8b6b-8362-4571-b9b3-f7c215259a3e', 'cc6f9cf5-52c8-4c16-909c-77d3dcba8188', 'f320a765-0f9d-43f4-8212-17c4ee797c2d', 'f7f0a319-56cd-4c50-8732-ec4bc4dfa9c0']",22,,,,,,,,,,,,,,,,Aston Villa,2647,00:16:22.660,Carry,True
,,,,"[91.0, 5.7]",,,,,,,,,,,0.390302,,,,,,,,,,,0575f6c1-7095-440f-b14d-fbf307813467,549,,"[90.0, 9.5]",3775599,16,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Laura Vetterlein,31556.0,Left Center Midfield,40,West Ham United LFC,972,"['9aca0461-081a-421a-82cb-d8c3f3f7d189', 'c88dcb1e-8e92-494a-bc86-6cc313ec2e46', 'd4e4c6d9-e2ab-41d1-9653-1a814b5d33e2']",25,,,,,,,,,,,,,,,,West Ham United LFC,972,00:16:25.740,Carry,True
,,,,"[87.9, 3.0]",,,,,,,,,,,2.355195,,,,,,,,,,,d7b9c30b-278b-48af-9160-9a4fadbbf8e6,552,,"[91.0, 5.7]",3775599,16,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Laura Vetterlein,31556.0,Left Center Midfield,40,West Ham United LFC,972,"['1f7acb3d-4be6-4018-90ee-a7a29ff6f770', '9aca0461-081a-421a-82cb-d8c3f3f7d189', 'bf848abc-f428-4e6b-895b-f92e075006a6', 'c88dcb1e-8e92-494a-bc86-6cc313ec2e46']",26,,,,,,,,,,,,,,,,West Ham United LFC,972,00:16:26.130,Carry,True
