ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.715703,,,,,,,,,,,,9f14da8e-04a7-43fc-9bc2-fd06eb4a4c92,61,,,"[67.6, 68.5]",3775621,1,,,,,-0.44814497,,Right Foot,,,"[88.4, 58.5]",,Ground Pass,,23.078995,,,,Natasha Harding,15725.0,,,,,,,1,From Throw In,Jessica Fishlock,5016.0,Right Center Midfield,3,Reading WFC,974,['52516294-35b2-4879-ac21-87a4ec028cd9'],5,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:05.054,Pass,
,,,,,,,,,,,,,,,,1.31829,,,,,,,,,,,,5229a5c3-d422-4e5b-bdb7-ab82000f1cda,64,,,"[86.2, 61.3]",3775621,1,,,,,1.0857615,,Right Foot,,,"[94.0, 76.1]",,Ground Pass,,16.729614,,,,Amalie Vevle Eikeland,26570.0,,,,,,,1,From Throw In,Natasha Harding,15725.0,Right Center Forward,3,Reading WFC,974,['cabab795-ca6e-49d4-ae2d-c2a0ad6ed891'],7,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:07.558,Pass,
,,,,,,,,,,,,,,,,1.480559,,,,,,,,,,,,e35ff9b3-fc03-437f-9c08-c7f18a14350d,67,,,"[93.1, 74.9]",3775621,1,,,,,-3.049654,,Right Foot,,,"[79.0, 73.6]",,Ground Pass,,14.159802,,,,Kristine Leine,31628.0,,,,,,,1,From Throw In,Amalie Vevle Eikeland,26570.0,Center Attacking Midfield,3,Reading WFC,974,['64ae7874-71c5-416d-93f9-0120cf000e11'],11,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:11.312,Pass,
,,,,,,,,,,,,,,,,0.796324,,,,,,,,,,,,1652c93a-28d6-4083-895b-005ed7e57d48,70,,,"[79.0, 73.6]",3775621,1,,,,,-1.8985348,,Right Foot,,,"[73.9, 58.6]",,Ground Pass,,15.843295,,,,Angharad James,15577.0,,,,,,,1,From Throw In,Kristine Leine,31628.0,Right Back,3,Reading WFC,974,['4df2c12c-42b0-4e8d-8ebc-2530f7cc1bbf'],13,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:13.270,Pass,
,,,,,,,,,,,,,,,,2.117843,,,,,,,,,,,,51ae8484-cfd2-4627-ac1a-1fb6dd086e2c,73,,,"[73.9, 58.6]",3775621,1,,,,,-1.5232133,,Right Foot,,,"[75.9, 16.6]",,High Pass,,42.047592,,,,Lily Woodham,15704.0,,,True,,,,1,From Throw In,Angharad James,15577.0,Center Defensive Midfield,3,Reading WFC,974,['a70bf201-0713-4663-a272-debe58e3ab26'],15,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:15.165,Pass,
,,,,,,,,,,,,,,,,0.920178,,,,,,,,,,,,5d1915f8-37d3-409d-81c8-c6287d65fe02,77,,,"[91.5, 19.9]",3775621,1,,,,,0.8297041,,Left Foot,,,"[101.2, 30.5]",,Ground Pass,,14.368368,,,,Danielle Carter,24281.0,,,,,,,1,From Throw In,Lily Woodham,15704.0,Left Back,3,Reading WFC,974,['c84f0441-88bb-4067-92d4-5e209743023a'],20,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:20.046,Pass,
,,,,,,,,,,,,,,,,1.517076,,,,,,,,,,,,56e77a2f-afb7-45a5-9985-0ca7625d5c5a,81,,,"[100.9, 32.5]",3775621,1,,,,,2.067219,,Right Foot,,,"[97.0, 39.7]",,Ground Pass,,8.188406,,,,Amalie Vevle Eikeland,26570.0,,,,,,,1,From Throw In,Danielle Carter,24281.0,Left Center Forward,3,Reading WFC,974,"['0ec91978-a3bf-4cb2-8092-e32e59a190d3', '733cfb99-4de9-47c5-a1de-f50029ad3b50']",22,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:22.929,Pass,True
,,,,,,,,,,,,,,,,0.620699,,,,,,,,,,,,6c8bef66-1f0d-4a38-91e4-d29213d10176,84,,,"[97.0, 39.7]",3775621,1,,,,,2.735026,33e2a59e-fa0e-401a-8ed0-20b07c527a54,Right Foot,,,"[89.8, 42.8]",,Ground Pass,,7.839005,,,,Angharad James,15577.0,True,,,,,,1,From Throw In,Amalie Vevle Eikeland,26570.0,Center Attacking Midfield,3,Reading WFC,974,['b70f2ea9-942d-4573-a8ba-3a80ee748515'],24,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:24.633,Pass,
,,,,,,,,,,,,,,,,2.462417,,,,,,,,,,,,73a2a129-3a6d-47ff-9759-1962056def2b,89,,,"[16.5, 55.7]",3775621,1,,,,,0.101483166,,Drop Kick,,,"[65.6, 60.7]",,High Pass,,49.353928,,Incomplete,,,,,,,,,,1,From Keeper,Sophie Baggaley,16376.0,Goalkeeper,5,Bristol City WFC,973,['0af440cf-5895-4773-8057-5afa980cf50c'],44,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:44.098,Pass,
,,,,,,,,,,,,,,,,1.306292,,,,,,,,,,,,0af440cf-5895-4773-8057-5afa980cf50c,90,,,"[54.5, 19.4]",3775621,1,,,,,-0.45577377,,Other,,,"[64.7, 14.4]",,Low Pass,,11.359577,,Incomplete,,Angharad James,15577.0,,,,,,Recovery,1,From Keeper,Molly Bartrip,21021.0,Left Center Back,5,Bristol City WFC,973,"['4818fe3c-d3e7-484b-81b4-3d44799df12e', '5d648b07-c4ea-4d46-9d15-a7a32bf957bc', '73a2a129-3a6d-47ff-9759-1962056def2b']",46,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:46.561,Pass,
