ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.075879,,,,,,,,,,,,,2202f9b2-bf14-4896-b808-0e245e169d5a,49,,"[60.1, 45.4]",3775610,1,,,,1.0737793,,Right Foot,,,,"[74.8, 72.5]",,Ground Pass,,30.83018,,,,Ona Batlle Pascual,46639.0,,,,,,,1,From Free Kick,Amy Turner,31533.0,Right Center Back,6,Manchester United,1475,"['26427064-c949-4939-8e80-1cbef4c3f2cf', 'a14074ac-708f-4d8d-8991-fa2ff7b3adb6']",30,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:30.879,Pass,True
,,,,,,,,,,,,,,,,0.953247,,,,,,,,,,,,,bf0edee5-1a73-4485-a512-3a39af15f559,52,,"[74.8, 66.0]",3775610,1,,,,-1.9127462,,Right Foot,,,,"[68.5, 48.3]",,Ground Pass,,18.787762,,,,Jackie Groenen,10654.0,,,,,,,1,From Free Kick,Ona Batlle Pascual,46639.0,Right Back,6,Manchester United,1475,['af10f477-8db3-485e-9bd4-ff29c3f76c91'],34,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:34.407,Pass,
,,,,,,,,,,,,,,,,1.368427,,,,,,,,,,,,,8ef4cbbc-ab66-4ed0-97b5-8c2803c6d01a,56,,"[68.8, 47.0]",3775610,1,,,,-1.8785757,,Right Foot,,,,"[64.0, 31.9]",,Ground Pass,,15.844558,,,,Katie Zelem,31540.0,,,,,,,1,From Free Kick,Jackie Groenen,10654.0,Right Center Midfield,6,Manchester United,1475,"['1bc8c859-2096-498f-8b71-495cccbbec59', '47a7b783-52fa-464e-8c97-0d395ea3f019']",36,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:36.094,Pass,True
,,,,,,,,,,,,,,,,1.66467,,,,,,,,,,,,,18e6b0ce-ad46-4b0b-9659-1d525c8b6c9a,59,,"[67.1, 29.5]",3775610,1,,,,-1.0580331,,Right Foot,,,,"[81.4, 4.1]",,Ground Pass,,29.148756,,,,Kirsty Smith,10196.0,,,,,,,1,From Free Kick,Katie Zelem,31540.0,Center Defensive Midfield,6,Manchester United,1475,['de9ad668-fd70-4cc6-ae7e-33697226ecca'],38,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:38.846,Pass,
,,,,,,,,,,,,,,,,0.004306,,,,,,,,,,,,,f2f2e555-e23b-40d4-b2c2-dd6482f4cd9a,62,,"[82.7, 4.6]",3775610,1,,,,0.43395337,,Right Foot,,,,"[86.8, 6.5]",,Ground Pass,,4.5188494,,Incomplete,,Leah Galton,31539.0,,,,,,,1,From Free Kick,Kirsty Smith,10196.0,Left Back,6,Manchester United,1475,"['4d758cb7-3910-473f-98d3-25aeba131ca8', '9baac14f-a78a-44d7-a490-a30af7448e07']",41,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:41.210,Pass,
,,,,,,,,,,,,,,,,0.682398,,,,,,,,,,,,,5bcade47-77f9-48e5-8b7e-29ec743306ff,67,,"[64.5, 13.2]",3775610,1,,,,-0.070306465,,Right Foot,,,,"[71.6, 12.7]",,Ground Pass,,7.1175838,,,,Katie Zelem,31540.0,,,,,,,1,From Free Kick,Millie Turner,31536.0,Left Center Back,6,Manchester United,1475,['7446c23f-f344-44d7-a087-7d16b9b1edc5'],44,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:44.418,Pass,
,,,,,,,,,,,,,,,,1.104276,,,,,,,,,,,,,fc4ad6af-5b40-47d1-8332-2ef920cb2f6d,70,,"[71.1, 12.7]",3775610,1,,,,-3.001343,,Left Foot,,,,"[62.6, 11.5]",,Ground Pass,,8.584288,,,,Millie Turner,31536.0,,,,,,,1,From Free Kick,Katie Zelem,31540.0,Center Defensive Midfield,6,Manchester United,1475,['de13b90a-5b36-4638-8906-4803694d8cb8'],45,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:45.753,Pass,
,,,,,,,,,,,,,,,,0.883796,,,,,,,,,,,,,d0cd7f51-2587-4132-b078-e8c9b22c38ee,73,,"[64.7, 12.2]",3775610,1,,,,1.2368512,,Right Foot,,,,"[69.8, 26.9]",,Ground Pass,,15.559563,,,,Katie Zelem,31540.0,,,,,,,1,From Free Kick,Millie Turner,31536.0,Left Center Back,6,Manchester United,1475,['32d3bd18-1f3d-4891-b285-dab64b4ae312'],47,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:47.678,Pass,
,,,,,,,,,,,,,,,,1.115032,,,,,,,,,,,,,4c22d768-0845-48a2-95c1-cf78a106b016,76,,"[66.1, 27.8]",3775610,1,,,,1.1870815,,Right Foot,,,,"[72.6, 43.9]",,Ground Pass,,17.362604,,,,Jackie Groenen,10654.0,,,,,,,1,From Free Kick,Katie Zelem,31540.0,Center Defensive Midfield,6,Manchester United,1475,['8b637186-1adf-4e22-9989-30cc4eb6c2a4'],49,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:49.712,Pass,
,,,,,,,,,,,,,,,,1.076647,,,,,,,,,,,,,610166bb-e01f-47fe-b1e6-af0f35428cd9,79,,"[73.5, 43.0]",3775610,1,,,,-1.5794168,,Right Foot,,,,"[73.4, 31.4]",,Ground Pass,,11.600431,,,,Katie Zelem,31540.0,,,,,,,1,From Free Kick,Jackie Groenen,10654.0,Right Center Midfield,6,Manchester United,1475,['e07e2de1-3091-47f9-828f-e2ad81a6a230'],53,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:53.610,Pass,
,,,,,,,,,,,,,,,,0.593185,,,,,,,,,,,,,1a5f81e5-2d3b-4e8c-8302-9e4b7cfac8c1,86,,"[77.4, 38.1]",3775610,1,,,,0.9391057,,Right Foot,,,,"[83.4, 46.3]",,Ground Pass,,10.160708,,,,Tobin Powell Heath,5013.0,,,,,,,1,From Free Kick,Katie Zelem,31540.0,Center Defensive Midfield,6,Manchester United,1475,['13f712fb-7b9c-44a4-9f8f-f35ad3171a4f'],56,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:56.773,Pass,
,,,,,,,,,,,,,,,,0.231638,,,,,,,,,,,,,5d847f5d-cdb5-40a6-be19-7fd6891955b7,88,,"[83.7, 46.3]",3775610,1,,,,-0.35877067,,Right Foot,,,,"[86.1, 45.4]",,Low Pass,,2.5632012,,Incomplete,,Jessica Sigsworth,31535.0,,,,,,,1,From Free Kick,Tobin Powell Heath,5013.0,Right Wing,6,Manchester United,1475,"['2ec6cf8a-b1d7-4ebb-957d-800cef57af8c', 'f0c20ba1-cf26-4b19-9fa5-c31afa01573f']",57,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:57.366,Pass,
,,,,,,,,,,,,,,,,1.12407,,,,,,,,,,,,,7022a3b5-2557-420c-a4ab-ee5c4b36fd85,93,,"[45.1, 39.4]",3775610,2,,,,2.7776136,,Right Foot,,,,"[38.8, 41.8]",,Ground Pass,,6.7416615,,,,Laura Rafferty,16394.0,,,,,,,1,Regular Play,Chloe Logarzo,25547.0,Right Center Midfield,7,Bristol City WFC,973,['96b377f8-74e4-42ea-bdef-ecf6e647f2ac'],1,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:02:01.307,Pass,
,,,,,,,,,,,,,,,,1.508109,,,,,,,,,,,,,316e001e-875e-4d9a-8c06-c8bf2dcb6e3a,96,,"[38.8, 41.3]",3775610,2,,,,-1.5829538,,Right Foot,,,,"[38.4, 8.4]",,Ground Pass,,32.90243,,,,Jemma Elizabeth Purfield,24239.0,,,,,,,1,Regular Play,Laura Rafferty,16394.0,Center Defensive Midfield,7,Bristol City WFC,973,['6a514883-ed44-425f-bcc0-018c17227e01'],2,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:02:02.533,Pass,
,,,,,,,,,,,,,,,,3.566701,,,,,,,,,,,,,f9d52ad3-de57-44d9-90c1-569978ec4858,99,,"[40.5, 8.4]",3775610,2,,,,0.27766863,f87303db-494c-4d3d-a474-9e8a5f17739b,Left Foot,,,,"[103.3, 26.3]",,High Pass,,65.30122,,,,Ebony Salmon,31527.0,True,,,Through Ball,True,,1,Regular Play,Jemma Elizabeth Purfield,24239.0,Left Back,7,Bristol City WFC,973,['be17f91a-cdbb-4d81-a007-ad68c85bdba4'],5,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:02:05.194,Pass,
