50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,True,,,,1.277759,,,,,,,,,,cb1c21c3-3525-459b-b9ac-3cc8a404152b,53,,"[73.4, 7.7]",3775646,0,,,,,-0.79615045,,Right Foot,,,,"[78.0, 3.0]",,Low Pass,,6.576473,,,,Natalie Haigh,46535.0,,,,,Interception,1,Regular Play,Marisa Ewers,15565.0,Center Defensive Midfield,7,Aston Villa,2647,"['1f2420dc-a937-47df-858e-7695322f65a4', '6278fa0c-55b7-4b34-8c8c-6ab975619b03']",52,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:52.020,Pass,
,,,,,,,,,,,,,0.228042,,,,,,,,,,7adb644a-f4d4-482d-b6a2-8ea49cc03b1f,57,,"[84.1, 3.0]",3775646,0,,,,,0.18534794,,Left Foot,,,,"[88.9, 3.9]",,Ground Pass,,4.883646,,Incomplete,,Stine Larsen,10102.0,,,,,,1,Regular Play,Natalie Haigh,46535.0,Left Back,7,Aston Villa,2647,"['08cd5944-bd3d-49a0-ab55-cb57e737625e', '59794fcc-0463-4385-a427-1d733db3f54a']",55,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:55.504,Pass,
,,,,,,,,,,,,,0.919652,,,,,,,,,,24c9f3c2-d6c2-4192-8f47-1a45485ba04b,60,,"[89.5, 0.1]",3775646,1,,,,,0.64689666,,,,,,"[98.9, 7.2]",,Low Pass,,11.780067,,Incomplete,,Mana Iwabuchi,25610.0,,,,,Throw-in,1,From Throw In,Natalie Haigh,46535.0,Left Back,8,Aston Villa,2647,"['230b3beb-598e-4181-901a-9db27ca20071', 'e72f7d65-967b-4534-8552-24ac3d468d44']",10,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:10.816,Pass,
,,,,,,,,,,,,,1.494069,,,,,,,,,,3d94b54c-385a-4e51-969a-baf4e409dd8e,63,,"[92.9, 13.0]",3775646,1,,,,,-2.815951,,Left Foot,,,,"[77.5, 7.8]",,Ground Pass,,16.25423,,,,Marisa Ewers,15565.0,,,,,Recovery,1,From Throw In,Natalie Haigh,46535.0,Left Back,8,Aston Villa,2647,['bb23c430-6b3b-44d6-9f3f-125937e2b545'],14,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:14.009,Pass,
,,,,,,,,,,,,,2.177729,,,,,,,,,,adf05fd8-06d3-470b-ac68-8b2d084ea6ef,65,,"[77.5, 7.8]",3775646,1,,,,,2.0176387,,Right Foot,,,,"[63.7, 36.6]",,Ground Pass,,31.93556,,,,Asmita Ale,46541.0,,,,,,1,From Throw In,Marisa Ewers,15565.0,Center Defensive Midfield,8,Aston Villa,2647,['29141285-1462-4de6-a6f2-a1836dfffb93'],15,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:15.503,Pass,
,,,,,,,,,,,,,2.10506,,,,,,,,,,c975d4da-25cd-4f0e-90f0-10e0af5d63df,67,,"[63.7, 36.6]",3775646,1,,,,,2.4910183,,Right Foot,,,,"[45.7, 50.3]",,Ground Pass,,22.620565,,,,Elisha N''Dow,46534.0,,,,,,1,From Throw In,Asmita Ale,46541.0,Right Back,8,Aston Villa,2647,['89ff32f7-6bbd-4e01-ae29-7b5d00ee6202'],17,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:17.681,Pass,
,,,,,,,,,,,,,1.065815,,,,,,,,,,d06c17f8-f819-4137-b278-1edd936fcdd8,71,,"[46.7, 50.0]",3775646,1,,,,,0.5364355,,Right Foot,,,,"[57.8, 56.6]",,Ground Pass,,12.913946,,,,Asmita Ale,46541.0,,,,,,1,From Throw In,Elisha N''Dow,46534.0,Right Center Back,8,Aston Villa,2647,['7834d677-b0a9-4c15-aca7-a8159361062c'],20,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:20.499,Pass,
,,,,,,,,,,,,,2.065765,,,,,,,,,,6214f15c-7d07-42ec-ae84-41fb51066ed6,74,,"[61.1, 59.9]",3775646,1,,,,,0.49678466,,Right Foot,,,,"[96.7, 79.2]",,Ground Pass,,40.49506,,Out,,Stine Larsen,10102.0,,,,,,1,From Throw In,Asmita Ale,46541.0,Right Back,8,Aston Villa,2647,['b8f10bff-e15e-4ea9-a022-8c6a119e4fa2'],24,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:24.219,Pass,
,,,,,,,,,,,,,1.634429,,,,,,,,,,6fb28b8d-729d-48e4-93a6-5715e49f6e05,76,,"[33.6, 0.1]",3775646,1,,,,,0.1781466,,,,,,"[69.7, 6.6]",,High Pass,,36.68051,,Incomplete,,Bethany England,15550.0,,,,,Throw-in,1,From Throw In,Niamh Charles,15631.0,Left Back,9,Chelsea FCW,971,"['2840a436-4904-4280-a7d2-cac867a089ef', '83c9b01e-230c-4b86-91d2-6c12ad760cc6']",43,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:43.750,Pass,
,,,,,,,,,,,,,1.690388,,,,,,,,,,d08a893e-495d-4ba0-bf46-fd23947ca67d,80,,"[85.1, 17.4]",3775646,1,,,,True,0.102206714,,,,,,"[92.9, 18.2]",,Low Pass,,7.8409185,,Incomplete,,Guro Reiten,10514.0,,,,,Recovery,1,From Throw In,Pernille Mosegaard Harder,10108.0,Center Attacking Midfield,9,Chelsea FCW,971,"['0232a6aa-5818-495b-96c7-4e649855d3a8', '08037ad0-4112-4ccc-8eb5-c5c1ed6cb359', '7f30776a-a000-4047-841b-0354eedd0675']",46,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:46.967,Pass,True
